gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
LINC01515	7.09455105925184e-07	-0.154020483368226	0.0165324323333746	-0.154020483368226
UCKL1	3.03659437622785e-06	0.0253938905057274	0.0353808793746188	0.0253938905057274
OR2L2	2.78848986589776e-05	0.0414706314693413	0.197904729583079	0.0414706314693413
OR4D9	3.39706869644387e-05	0.152148579130422	0.197904729583079	0.152148579130422
CBLL1	5.04385563491741e-05	-0.0250273152736192	0.235073935720961	-0.0250273152736192
AC244502.1	0.000112439205404449	-0.103171309094161	0.436695133923311	-0.103171309094161
AC092868.2	0.000136791293199552	0.081151435460942	0.455378215061307	0.081151435460942
TMX3	0.000183866904787088	-0.0119672578915474	0.521435231121363	-0.0119672578915474
CCDC18-AS1	0.000211421271278867	0.0156618061284408	0.521435231121363	0.0156618061284408
ZSCAN12	0.000225523893871529	-0.0291941289306258	0.521435231121363	-0.0291941289306258
AC048341.2	0.000246139447381668	-0.054540434381974	0.521435231121363	-0.054540434381974
AC027698.1	0.00027668292175724	-0.105496005935215	0.537295177142413	-0.105496005935215
ZNF761	0.000375324020071954	0.0430401505753827	0.650778728138278	0.0430401505753827
BNC2	0.000390975505039518	0.0739415897440701	0.650778728138278	0.0739415897440701
TMC5	0.000430782611458999	0.062365731333627	0.669235146321937	0.062365731333627
PEX5L-AS2	0.000489728969400697	-0.0504666408296549	0.713259635871528	-0.0504666408296549
AC010230.1	0.000540640207152486	-0.0371897849355733	0.739488181157078	-0.0371897849355733
LINC00470	0.000585595187216474	-0.100663512868754	0.739488181157078	-0.100663512868754
AC084880.2	0.000614844574707706	-0.102082093594999	0.739488181157078	-0.102082093594999
OR2L3	0.000634672086132325	0.0275954363905939	0.739488181157078	0.0275954363905939
TMEM39B	0.000704689087764287	0.0161436892943031	0.743953950360702	0.0161436892943031
CCDC121	0.000706462871626899	-0.0617460585428556	0.743953950360702	-0.0617460585428556
SARM1	0.000734280601566157	0.0131206859435776	0.743953950360702	0.0131206859435776
ACER1	0.000766621250365351	0.0553137897513918	0.744357291552658	0.0553137897513918
TAP2	0.000880218974762014	-0.0211921416243666	0.812148304250014	-0.0211921416243666
CEMIP2	0.000937542675359554	-0.0111515675549015	0.812148304250014	-0.0111515675549015
AC007222.2	0.00100838841107256	-0.0510544736888667	0.812148304250014	-0.0510544736888667
TPTE2	0.00103677367606238	0.0447777027903759	0.812148304250014	0.0447777027903759
SEPTIN14	0.0010417934231741	0.0854573818322224	0.812148304250014	0.0854573818322224
SLC11A2	0.00104974067322819	-0.0119449285899276	0.812148304250014	-0.0119449285899276
SOX13	0.00121532938936543	0.0807160860821063	0.812148304250014	0.0807160860821063
AL133268.4	0.00122839073131216	0.0817333061820537	0.812148304250014	0.0817333061820537
FMNL3	0.00124857960328596	0.0535666776399744	0.812148304250014	0.0535666776399744
AC087521.2	0.00126983830227919	-0.0541995115216189	0.812148304250014	-0.0541995115216189
METTL18	0.00127374630341066	-0.0567500463194854	0.812148304250014	-0.0567500463194854
RBM10	0.00129556092614068	0.0135016859682796	0.812148304250014	0.0135016859682796
LAMA4	0.00129856573892835	-0.0387648140003203	0.812148304250014	-0.0387648140003203
AC009229.3	0.00135095078513422	0.140526183149821	0.812148304250014	0.140526183149821
SLC30A10	0.00146595865270873	0.0797173923131803	0.812148304250014	0.0797173923131803
MRPL13	0.00147628153097841	-0.0196226635788822	0.812148304250014	-0.0196226635788822
ERICH6-AS1	0.00150744059276595	0.0394739007384648	0.812148304250014	0.0394739007384648
HGH1	0.00150867574570419	0.055235723176356	0.812148304250014	0.055235723176356
AP000977.1	0.00161537030072815	-0.141749982650023	0.812148304250014	-0.141749982650023
ZNF566	0.00168810549611106	0.0142324091290413	0.812148304250014	0.0142324091290413
NDC1	0.0017246446782863	0.0174404677493957	0.812148304250014	0.0174404677493957
TMEM106A	0.00192771274973138	0.0449575805206009	0.812148304250014	0.0449575805206009
C7orf25	0.00194497287982947	-0.0298388524222885	0.812148304250014	-0.0298388524222885
KLHL26	0.00196110913030737	-0.0276175468851937	0.812148304250014	-0.0276175468851937
GLB1L2	0.00197377136697475	0.0348677765078767	0.812148304250014	0.0348677765078767
RBM12	0.00197963543559697	-0.0249598587293754	0.812148304250014	-0.0249598587293754
PPP6R1	0.00198898346908011	0.013527777225699	0.812148304250014	0.013527777225699
AC017074.1	0.00202175114830571	0.0552647469108452	0.812148304250014	0.0552647469108452
MRPL3	0.00204186532022626	-0.0129111983025577	0.812148304250014	-0.0129111983025577
AC023593.1	0.00205317355547496	-0.0561868108909608	0.812148304250014	-0.0561868108909608
IFNGR1	0.00209611695005824	-0.0139837543329514	0.812148304250014	-0.0139837543329514
AC009102.1	0.0021756948741207	0.0800387236630313	0.812148304250014	0.0800387236630313
GJA9	0.00218662717886123	-0.052599891898206	0.812148304250014	-0.052599891898206
AK6	0.00224561285089394	-0.0212837507918669	0.812148304250014	-0.0212837507918669
MYO1B	0.00226352328016119	0.0594257067706931	0.812148304250014	0.0594257067706931
ORMDL1	0.00228411451044183	-0.0148869923968832	0.812148304250014	-0.0148869923968832
AF038458.3	0.00228650935654731	0.0354935938547327	0.812148304250014	0.0354935938547327
LINC00598	0.00234294187397176	0.0448199281888672	0.812148304250014	0.0448199281888672
AC022509.5	0.00235396081842272	0.0721243060594772	0.812148304250014	0.0721243060594772
AC012291.3	0.00239440393244539	0.0166848133122943	0.812148304250014	0.0166848133122943
AL133346.1	0.00240817420120051	0.104494764163432	0.812148304250014	0.104494764163432
AL021396.1	0.00243824720801975	-0.0410381557368441	0.812148304250014	-0.0410381557368441
AL035252.2	0.00245537397565693	-0.0743482080206855	0.812148304250014	-0.0743482080206855
OSTF1	0.00248432983447971	-0.0183965597408585	0.812148304250014	-0.0183965597408585
SLC38A10	0.00250010410092222	0.0161325346919288	0.812148304250014	0.0161325346919288
CTR9	0.00250717305373865	-0.0164825519177939	0.812148304250014	-0.0164825519177939
NEAT1	0.00252338723578927	-0.0284932835206062	0.812148304250014	-0.0284932835206062
FAM218A	0.00256572751998385	-0.0449915913899909	0.812148304250014	-0.0449915913899909
MAPK7	0.00267919548478348	-0.036468799817615	0.812148304250014	-0.036468799817615
AC008897.2	0.00268940448422735	0.131293593849957	0.812148304250014	0.131293593849957
AC015849.1	0.00269700616397037	0.0379619090778536	0.812148304250014	0.0379619090778536
ACADM	0.0027117299216771	-0.0103043215022594	0.812148304250014	-0.0103043215022594
SHCBP1	0.00285049455826494	-0.0741243520412232	0.812148304250014	-0.0741243520412232
LINC2194	0.00286500954267597	0.0759461758193034	0.812148304250014	0.0759461758193034
CDK20	0.00287204810958613	0.0197095770719094	0.812148304250014	0.0197095770719094
EHD1	0.00287829611517198	0.028933020549313	0.812148304250014	0.028933020549313
PGBD2	0.00290767798505218	-0.0443976732091238	0.812148304250014	-0.0443976732091238
AL354892.1	0.00294305536956225	-0.0529261052704939	0.812148304250014	-0.0529261052704939
BRSK1	0.00299857222755911	0.0113697616646632	0.812148304250014	0.0113697616646632
TWIST2	0.00299886833178206	-0.134885670877124	0.812148304250014	-0.134885670877124
GRAMD4	0.00302669366266628	0.0130625178797585	0.812148304250014	0.0130625178797585
AC126696.3	0.00303871153671502	-0.0446114935738495	0.812148304250014	-0.0446114935738495
LIAS	0.00304452656817917	-0.0160525633728054	0.812148304250014	-0.0160525633728054
LCT	0.00306694634913965	0.0682014991614837	0.812148304250014	0.0682014991614837
AC132219.1	0.0031700895261931	-0.093916062632514	0.814122816443973	-0.093916062632514
NSD3	0.0031946137455702	-0.00557893042040562	0.814122816443973	-0.00557893042040562
AC060765.1	0.00320458916588247	-0.0903884369756733	0.814122816443973	-0.0903884369756733
PRXL2C	0.00328468143016611	-0.0355781633933647	0.814122816443973	-0.0355781633933647
LGALS2	0.00331653944780685	0.147749531226312	0.814122816443973	0.147749531226312
TMEM181	0.00336898948165858	0.00832473271111011	0.814122816443973	0.00832473271111011
C1orf53	0.00337486187252475	-0.0399812323465609	0.814122816443973	-0.0399812323465609
AL390783.1	0.00340980620591459	-0.0449205565235008	0.814122816443973	-0.0449205565235008
AC008462.1	0.00341739403891353	0.0192426598931126	0.814122816443973	0.0192426598931126
INSIG2	0.00347593758334287	-0.0128121362634738	0.814122816443973	-0.0128121362634738
S1PR3	0.00348542808401457	0.0702776556713918	0.814122816443973	0.0702776556713918
SEZ6	0.00356199199655806	0.0125908218894839	0.814122816443973	0.0125908218894839
RSRC2	0.00359295833064478	-0.0120964885528089	0.814122816443973	-0.0120964885528089
TJAP1	0.00360446563265325	0.0166129008635331	0.814122816443973	0.0166129008635331
AC012414.5	0.00367411181716402	0.0318804983141125	0.814122816443973	0.0318804983141125
LYPD8	0.00371881540156803	0.0531769807011566	0.814122816443973	0.0531769807011566
ARTN	0.00383701500850588	-0.108355999178002	0.814122816443973	-0.108355999178002
AC106729.1	0.00383830011399676	0.0831747828411979	0.814122816443973	0.0831747828411979
DUSP28	0.00386693325712837	-0.0319781811062187	0.814122816443973	-0.0319781811062187
AC008764.2	0.00386931167955832	-0.105065536734553	0.814122816443973	-0.105065536734553
AL121904.2	0.00388613721650879	0.122089852188823	0.814122816443973	0.122089852188823
AL390728.5	0.00388969712489486	0.0824237173334678	0.814122816443973	0.0824237173334678
LINC02021	0.00400782553556208	0.0229138712158862	0.814122816443973	0.0229138712158862
FZD1	0.00401529620329264	0.0940629272676574	0.814122816443973	0.0940629272676574
FGD1	0.0040720195124389	0.0144960592450773	0.814122816443973	0.0144960592450773
ZNF585A	0.00412762115036542	0.0159708294859948	0.814122816443973	0.0159708294859948
AC018557.3	0.00414026255133992	-0.0445076082767148	0.814122816443973	-0.0445076082767148
AC026341.2	0.00414726986022357	-0.115154966697917	0.814122816443973	-0.115154966697917
GABRR1	0.00416058638191029	0.0698632294784857	0.814122816443973	0.0698632294784857
HMMR	0.00416847734032714	-0.058927879490006	0.814122816443973	-0.058927879490006
AC005520.5	0.00425255039411099	0.0375252452399259	0.814122816443973	0.0375252452399259
CRLS1	0.00425915689712447	-0.0131103574114052	0.814122816443973	-0.0131103574114052
MYT1	0.00426448377660409	0.036656114082445	0.814122816443973	0.036656114082445
AC121334.3	0.00428049833824916	0.112974811727763	0.814122816443973	0.112974811727763
AIRE	0.00430218818802814	-0.0298091552668956	0.814122816443973	-0.0298091552668956
SUSD6	0.00433211300000226	0.0113759498602253	0.814122816443973	0.0113759498602253
AC096576.3	0.00440126155625428	-0.0315481767541065	0.817277452978006	-0.0315481767541065
HMGN3-AS1	0.00441904300198381	-0.0611055272044394	0.817277452978006	-0.0611055272044394
MIR3976HG	0.00466090708767044	-0.0569729526069158	0.839959320995465	-0.0569729526069158
NFATC3	0.00468400112024754	0.0123400939874241	0.839959320995465	0.0123400939874241
PAWR	0.00468562522853401	-0.0647954821267474	0.839959320995465	-0.0647954821267474
AL049651.2	0.00471989747232498	0.0614108975830778	0.839959320995465	0.0614108975830778
CLTCL1	0.00474267264256387	0.0212386095388734	0.839959320995465	0.0212386095388734
SNIP1	0.00475795521483935	-0.0217968197568048	0.839959320995465	-0.0217968197568048
AP003557.1	0.00484287755775425	0.0877000815773297	0.84079924651298	0.0877000815773297
RYR1	0.0048629439325888	0.0203469779219886	0.84079924651298	0.0203469779219886
AC136431.1	0.00487390706892663	0.0790786117969973	0.84079924651298	0.0790786117969973
ODF2L	0.00490703761428852	-0.00663531576340285	0.84079924651298	-0.00663531576340285
PCSK7	0.00532570270931479	0.00988199598773784	0.855280772627252	0.00988199598773784
AL355297.4	0.00538011104815964	-0.0553050404472652	0.855280772627252	-0.0553050404472652
LINC02613	0.00538713007366532	0.0153552387985617	0.855280772627252	0.0153552387985617
AC129803.1	0.00542592970009234	-0.0260386347662584	0.855280772627252	-0.0260386347662584
CNGB1	0.00542912792392695	0.0426266236260386	0.855280772627252	0.0426266236260386
RTKN	0.00543058196448945	-0.093788666715503	0.855280772627252	-0.093788666715503
PCF11-AS1	0.00548086184977712	0.029326519173635	0.855280772627252	0.029326519173635
AC010266.2	0.00551001935579392	0.106234994611105	0.855280772627252	0.106234994611105
AC092159.1	0.00553304718227201	0.0497622278940439	0.855280772627252	0.0497622278940439
DDX31	0.00554998316234578	0.0166129647148395	0.855280772627252	0.0166129647148395
AC096570.2	0.00558273616710356	-0.0662735355842427	0.855280772627252	-0.0662735355842427
LRAT	0.00572111677150318	0.0615192678314159	0.855280772627252	0.0615192678314159
PTPN12	0.00572882372959176	0.0100204385002176	0.855280772627252	0.0100204385002176
SH2B3	0.00574720600265688	0.0174375598786219	0.855280772627252	0.0174375598786219
FAM221A	0.0057766167694461	-0.0168463261274426	0.855280772627252	-0.0168463261274426
SEPSECS-AS1	0.00577791711504191	-0.0366004813469686	0.855280772627252	-0.0366004813469686
AL139339.1	0.00578753195843244	0.0696006070210387	0.855280772627252	0.0696006070210387
ASTN2-AS1	0.00580383996117439	-0.047771185898473	0.855280772627252	-0.047771185898473
EIF4EBP2	0.00581626700912125	0.013663606231872	0.855280772627252	0.013663606231872
SNHG15	0.00584596246512706	-0.0286885907767481	0.855280772627252	-0.0286885907767481
PLCE1	0.00588517614267662	0.0358130580957042	0.855280772627252	0.0358130580957042
AC140725.1	0.00589369322229324	0.0606980312810262	0.855280772627252	0.0606980312810262
AL158058.2	0.00590337587396977	-0.0197363559439881	0.855280772627252	-0.0197363559439881
POF1B	0.00591773119004912	-0.179808257788491	0.855280772627252	-0.179808257788491
AC131009.1	0.00592553877939594	-0.0752686889560736	0.855280772627252	-0.0752686889560736
RAB11FIP4	0.00594582178971012	0.00746264631108394	0.855280772627252	0.00746264631108394
AC096570.1	0.00601365749548022	-0.0412633998680647	0.859731660228071	-0.0412633998680647
TEX43	0.00606701783980835	0.0653905764458283	0.86207144342106	0.0653905764458283
LINC02268	0.00621879300897234	-0.0373034280386323	0.864005386837197	-0.0373034280386323
PCBP2-OT1	0.00623721703675601	0.0820756215611182	0.864005386837197	0.0820756215611182
AC126544.2	0.00626621774969847	-0.111552193730842	0.864005386837197	-0.111552193730842
AL096803.4	0.00628629911093505	-0.0705205596928335	0.864005386837197	-0.0705205596928335
ZBTB20-AS5	0.00631554325752832	-0.102106800407	0.864005386837197	-0.102106800407
WASHC5	0.00633811385529173	-0.0107903032484782	0.864005386837197	-0.0107903032484782
ATP1A2	0.00637837436062379	0.0356166378211992	0.864005386837197	0.0356166378211992
MIR100HG	0.00637941525122128	-0.00820976941203524	0.864005386837197	-0.00820976941203524
PLIN5	0.00647745289969423	0.0458578408643241	0.864005386837197	0.0458578408643241
AC006063.2	0.00653689410303924	-0.0220012262571833	0.864005386837197	-0.0220012262571833
BFSP2-AS1	0.00654207784011735	0.0502681205443694	0.864005386837197	0.0502681205443694
AC023906.5	0.00658156066400676	0.0988188953194314	0.864005386837197	0.0988188953194314
LINC00486	0.00662845831903645	0.0346400747671389	0.864005386837197	0.0346400747671389
LINC01344	0.00663390302334457	-0.0973680209150855	0.864005386837197	-0.0973680209150855
GOLGA8O	0.00675310412253188	0.0690345262310649	0.864005386837197	0.0690345262310649
WDFY1	0.00676223561692021	0.00960403515059816	0.864005386837197	0.00960403515059816
DNAI2	0.00676721465015916	-0.13035721190841	0.864005386837197	-0.13035721190841
CFAP300	0.00676952184781458	0.0351061261857104	0.864005386837197	0.0351061261857104
POLI	0.00679161593646693	-0.0158621363743917	0.864005386837197	-0.0158621363743917
ZFP3	0.00686417245860039	-0.0239794033274515	0.864005386837197	-0.0239794033274515
LINC02119	0.00690183569409638	-0.152397944086243	0.864005386837197	-0.152397944086243
ERCC2	0.00693284564432045	0.0173329404188638	0.864005386837197	0.0173329404188638
FBXL19	0.00693339944807776	0.0148231203698147	0.864005386837197	0.0148231203698147
CEP57L1	0.0069717278205568	-0.0122760584849929	0.864077271484715	-0.0122760584849929
PAN3-AS1	0.00719312476975476	-0.0549258319739082	0.864077271484715	-0.0549258319739082
AL136040.2	0.00719665953473336	-0.0599163752509448	0.864077271484715	-0.0599163752509448
LYN	0.0071967791284446	0.0497890021249682	0.864077271484715	0.0497890021249682
PCGF3	0.0072221005437499	0.0113735363259685	0.864077271484715	0.0113735363259685
HYLS1	0.00724679279784312	-0.0154051224212402	0.864077271484715	-0.0154051224212402
DEFA5	0.00729351405985761	0.0990801998803458	0.864077271484715	0.0990801998803458
ANGEL1	0.00734436008929059	0.0124628295143184	0.864077271484715	0.0124628295143184
MED7	0.0074183409125038	-0.0222332541308234	0.864077271484715	-0.0222332541308234
LIPT2	0.00743408348864043	0.0704319218108576	0.864077271484715	0.0704319218108576
RAPGEFL1	0.00747034178520561	0.00926907263269534	0.864077271484715	0.00926907263269534
AC136604.2	0.00748539221390232	0.0353880082996667	0.864077271484715	0.0353880082996667
ZNF497	0.00749519239962691	0.0274134220192568	0.864077271484715	0.0274134220192568
ROBO3	0.00757876870923263	0.0340177447039608	0.864077271484715	0.0340177447039608
AL135791.1	0.00760370145270214	-0.0592261429671767	0.864077271484715	-0.0592261429671767
AL139339.2	0.00767819575615873	0.0843172253655685	0.864077271484715	0.0843172253655685
CLCN3	0.00769020910688179	-0.00680952165765112	0.864077271484715	-0.00680952165765112
SETD6	0.00769136009394572	-0.0190396516720948	0.864077271484715	-0.0190396516720948
STRBP	0.00769348869522032	0.00508506018560528	0.864077271484715	0.00508506018560528
AL049552.2	0.007696330879244	-0.0651779778666994	0.864077271484715	-0.0651779778666994
AP002856.4	0.00771546208898171	-0.12505217156805	0.864077271484715	-0.12505217156805
AC093893.1	0.00782844602728627	0.0625916942947565	0.864077271484715	0.0625916942947565
AKIRIN2	0.00786480166625338	-0.0165156121171797	0.864077271484715	-0.0165156121171797
UBP1	0.00793882107916843	0.00769317373766737	0.864077271484715	0.00769317373766737
FANCA	0.00797207746591579	0.0171212855430548	0.864077271484715	0.0171212855430548
LATS2	0.00803103639246614	0.0764009120403096	0.864077271484715	0.0764009120403096
TTF2	0.0080324826298995	0.0163048065068219	0.864077271484715	0.0163048065068219
SRXN1	0.00807773900259666	-0.0257859995618199	0.864077271484715	-0.0257859995618199
LINC01918	0.00811985132529375	0.0617914894229504	0.864077271484715	0.0617914894229504
AC022007.1	0.00815744934069887	-0.104815037190087	0.864077271484715	-0.104815037190087
HSPB6	0.00819113096075193	0.0661252111759482	0.864077271484715	0.0661252111759482
KLHL11	0.00819528715777752	-0.0259270233328926	0.864077271484715	-0.0259270233328926
AL132657.1	0.00819687052194347	0.0494444806342995	0.864077271484715	0.0494444806342995
C17orf80	0.00824767805677996	-0.0159538556540959	0.864077271484715	-0.0159538556540959
JPX	0.00825920957760407	-0.00976644848177433	0.864077271484715	-0.00976644848177433
AC025774.1	0.00829713462270787	0.0471517439694473	0.864077271484715	0.0471517439694473
