gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
UTY	7.7151674912895e-40	0.757101774356257	1.26767917049378e-35	0.757101774356257
USP9Y	2.31631368874595e-38	0.660367796599249	1.90296751098924e-34	0.660367796599249
TTTY14	7.34029499365488e-34	0.659433747028786	4.02027956802478e-30	0.659433747028786
NLGN4Y	7.98041925754249e-31	0.588097582214904	3.27815672051701e-27	0.588097582214904
LINC00278	2.2366438792579e-26	0.590003140558423	7.35005911601732e-23	0.590003140558423
KDM5D	1.15896611749069e-21	0.533407514761699	3.17382871274824e-18	0.533407514761699
RPS4Y1	1.29967323229111e-17	0.415517903964625	3.05070441139646e-14	0.415517903964625
TTTY10	7.74854769314311e-16	0.343836433981677	1.59145483932543e-12	0.343836433981677
ZFY	6.67167805108487e-14	0.323496854422824	1.21802602285973e-10	0.323496854422824
DDX3Y	3.0957399086309e-08	0.292725678317847	5.08661024387144e-05	0.292725678317847
AC109347.1	1.41045727429867e-06	-0.194008202561562	0.00210683849763649	-0.194008202561562
F2R	5.53859898340169e-06	0.13961404366738	0.00758372665802276	0.13961404366738
TRIM26	2.46941251178317e-05	0.0739749263845481	0.0312114746008532	0.0739749263845481
PHKA1	3.65655443911133e-05	-0.059483602093024	0.0429148899921701	-0.059483602093024
GEM	6.02463160602722e-05	-0.134255876381565	0.0659938146124222	-0.134255876381565
DNAL1	8.31659270107115e-05	0.0483408811681775	0.0854062091695626	0.0483408811681775
AC119396.1	0.000107661065825983	-0.19529195521584	0.104057586622748	-0.19529195521584
VAV3-AS1	0.000117993668964578	-0.144711780956476	0.107708554153166	-0.144711780956476
AURKC	0.000146277587226266	-0.170465613001905	0.113394016184374	-0.170465613001905
AL357079.1	0.000150826337724773	-0.0840975897775409	0.113394016184374	-0.0840975897775409
LMAN2L	0.000150896810655159	0.0432072366792569	0.113394016184374	0.0432072366792569
IER2	0.000151826934213147	-0.0934309003545185	0.113394016184374	-0.0934309003545185
KRCC1	0.00018608828409569	0.0339333162933383	0.126630980066448	0.0339333162933383
AC079922.2	0.000199004142286002	-0.122725916374528	0.126630980066448	-0.122725916374528
AL158071.4	0.000199366115417248	-0.164168142214461	0.126630980066448	-0.164168142214461
ADM	0.000200377669145374	-0.273786051453599	0.126630980066448	-0.273786051453599
TMA7	0.000218569618687041	0.155630950748028	0.133011755727658	0.155630950748028
PLBD2	0.000280657580308888	0.0543135794336706	0.164695882216262	0.0543135794336706
SUSD1	0.000318179706578565	0.116431210291614	0.180276233061807	0.116431210291614
AC073195.1	0.000349775069131158	-0.123524907202377	0.191571805363135	-0.123524907202377
MRTO4	0.000405944084029828	-0.0711501168924169	0.206606591277569	-0.0711501168924169
