logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.6671098539804	0.696234139306662	6.06970725634612	-0.00564255627820129	0.090963699777066	0.0834861891446926	2.21343486832163e-06	-2.25894180196058e-05	0.0599752031929901	0.0502690949294164	0.131004741694526	0.007802315220873	0.191002772546201	0.139634281183551	4.61024901773461e-07	3.75306394472227e-06	0	1.26959582288981e-43	0	0.469563166904716	0.633901393837309	0.549912143960348	1.57782403542597e-06	1.75576991601716e-09	36493	USP9Y	2.67148353052475e-39	0.696234139306662	0.763532077110141	0.0667072927974306	1	NBGMM (LN)
-11.7675237849205	0.700797140571142	5.96949025428316	-0.00418529169371406	0.118189334658361	0.0707171765464673	6.6683735784133e-06	-5.59292320393029e-05	0.0632290408396765	0.0532260178491294	0.138202853809401	0.00822084048573337	0.203360198671709	0.145311322693249	5.61711941473196e-07	4.3863997591949e-06	0	1.3690332203011e-39	0	0.61067686258236	0.561117639778275	0.626499451042583	1.66419668889277e-32	3.09352107511963e-37	36501	NLGN4Y	1.44035985107878e-35	0.700797140571142	0.824670283937628	0.128896226471839	1	NBGMM (LN)
-11.9665647868754	0.615175857162216	5.62617641409603	-0.00631282704144713	-0.125338327071853	0.0499823850549214	2.62368126290756e-06	-4.72775297954432e-05	0.0579244405383707	0.0483478425312733	0.123981526009794	0.00750006056053611	0.181404602098364	0.131458277420526	5.56320889500711e-07	4.6074838393856e-06	0	4.35249295720218e-37	0	0.399953952289666	0.489607989305219	0.703785960418711	2.40373675892733e-06	1.05574584368471e-24	36496	UTY	3.05283856018161e-33	0.615175857162216	0.701366350993632	0.081301284462865	1	NBGMM (LN)
-13.3163634451886	0.748184732164454	6.30013241363439	-0.00471032806479056	-0.147453173034353	0.0620512599667287	-3.55710508898933e-06	-9.55933853094159e-06	0.0777496895139977	0.0615710974161868	0.174062163415608	0.00741411953557889	0.213320275284726	0.14642617671735	8.55914209195088e-07	7.26220901286893e-06	0	5.62830321025526e-34	7.36941807967259e-287	0.525220643199876	0.489421605410682	0.671732368137313	3.2399093809882e-05	0.188069083306268	36517	KDM5D	2.96076890375478e-30	0.748184732164454	0.718772524062101	0.0732775807750368	1	NBGMM (LN)
-13.1933885360839	0.599293510387149	5.7042380220999	-0.00810969721071199	0.00970270029305194	0.0520485246914005	-7.22913543191004e-06	-1.01765390714879e-05	0.0644435415096174	0.051756110141014	0.137997121854123	0.00691629218560609	0.170843073951897	0.121958087678773	9.85780575242786e-07	8.24611954400255e-06	0	5.2543958238526e-31	0	0.240976379302327	0.954710045395534	0.669544042529508	2.24365263036807e-13	0.217165510604982	36495	DDX3Y	2.21125993851013e-27	0.599293510387149	0.546742050870925	0.0676555316053344	1	NBGMM (LN)
-11.2010289441389	0.549327559796414	5.57020390160357	-0.000807084362701795	-0.156312880311949	0.0353541406319663	6.26637439099808e-06	-3.96864712740597e-05	0.0580335828169312	0.0498307354572316	0.12147795161141	0.00826875907588629	0.183362633031197	0.135309887648135	5.17409409124528e-07	3.93858432138702e-06	0	2.93176683965428e-28	0	0.922244788835303	0.393948028638459	0.793874461983779	9.22980272494708e-34	7.030385892709e-24	36514	TTTY14	1.02817063066676e-24	0.549327559796414	0.777864823524044	0.133712422410445	1	NBGMM (LN)
-13.2952672696425	0.470521015453663	5.02285835739533	-0.00516571060202321	-0.0755505433964416	0.0326606759387233	4.98193773535834e-06	3.72381525240057e-06	0.0565407328058976	0.0456286354929367	0.116359649667058	0.00665171327319282	0.153020469301344	0.107235553086127	1.15467511749844e-06	9.98865733604295e-06	0	6.22142687369778e-25	0	0.437395682221675	0.621498042662989	0.760694072676188	1.59906892123623e-05	0.709294039203456	36471	PRKY	1.87016091823355e-21	0.470521015453663	0.450606621436262	0.278066136775463	1	NBGMM (LN)
-13.3689647375198	0.470287567442048	5.1767876538949	-0.00344553169456419	0.0627368289113715	0.132465768419569	-4.40603700836557e-06	-8.64352751473292e-07	0.0589157776468402	0.0463957943613385	0.121795028810381	0.00646283930142471	0.154807668428697	0.105399371971666	1.35121790048055e-06	1.10958666483143e-05	0	3.8077407677969e-24	0	0.593943788582545	0.685288906620637	0.208826623708769	0.00111102525369012	0.93790869343909	36453	ZFY	9.0761047329023e-21	0.470287567442048	0.427011077556587	0.419323793892748	1	NBGMM (LN)
-13.2535610741009	0.462711184095424	5.15726532147211	-0.00454520108837232	0.0397537852630783	0.100672222608159	-2.02719703127274e-05	0.000148676254750228	0.0568021405320778	0.0456568547378812	0.117888347329673	0.00583789019523964	0.156840924173211	0.107080950544762	1.33769590363047e-06	1.08222167721889e-05	0	3.88199518088208e-24	0	0.436233569727977	0.799908409516913	0.347140304035842	7.08664157203213e-52	6.00643993390751e-43	36451	RPS4Y1	9.0761047329023e-21	0.462711184095424	0.447515542835792	0.295809468138823	1	NBGMM (LN)
-12.3418751494545	0.317200111438376	4.74964139598605	-0.00156883969783406	-0.0910518663999333	0.0638223382488757	7.14869537832251e-06	-9.50982542762393e-05	0.0440570896862833	0.0376047123672876	0.0898970061530064	0.00606564327928223	0.131918651351555	0.0911359672431525	9.92160386822921e-07	7.92108504562542e-06	0	3.30874429127369e-17	0	0.795910254420991	0.490060734070294	0.483741202287086	5.79667078793093e-13	3.31603568608069e-33	36519	TTTY10	6.9622597376981e-14	0.317200111438376	0.379173376993092	0.342607415765758	1	NBGMM (LN)
