logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.5460136359611	0.693106965029309	5.85897507455053	-0.0038230052799241	0.108261884820152	0.0794107464802292	1.6684518002006e-05	-7.15983259799251e-05	0.0718742428630778	0.057379275481969	0.157559593951506	0.00789473998777653	0.205468475821754	0.136098636622	1.77129873883892e-06	1.25438681998303e-05	0	1.35713694653082e-33	1.15887973505852e-302	0.62821048370084	0.598261192101832	0.559570642229442	4.53803110708246e-21	1.14422473070642e-08	36501	NLGN4Y	2.83044481568468e-29	0.693106965029309	0.657586132662279	0.13513274796302	1	NBGMM (LN)
-11.320683592158	0.654975059711602	5.80643233673709	-0.00312818786354033	0.221691864839605	0.0934155724270734	2.9012247767356e-06	-5.81423083702557e-06	0.0681349155082645	0.0549270597056093	0.149047190563815	0.00767759361785496	0.201888485515268	0.133534295266565	1.32603838595626e-06	9.94400123882248e-06	0	8.82634222366266e-33	0	0.683682068283329	0.272164893561912	0.484200629312038	0.0286776899357543	0.558751258939235	36493	USP9Y	9.20410967083542e-29	0.654975059711602	0.649551850608189	0.048717666392507	1	NBGMM (LN)
-11.6737094460685	0.61709733818608	5.45325487163994	-0.000351950291318976	-0.0736218288817424	0.0818368856250657	3.40374335776245e-06	-3.24785542493059e-05	0.068257089189924	0.0536292599223333	0.146926808986862	0.00731614641184758	0.188813977666368	0.125865427266532	1.62518131421897e-06	1.23434340312032e-05	0	1.22019791103833e-30	1.58278970606374e-301	0.961631791447062	0.696597730215841	0.515567224074621	0.0362263556160901	0.00850735918590132	36496	UTY	8.48281587753847e-27	0.61709733818608	0.580634525761861	0.0590953988580467	1	NBGMM (LN)
-11.1342565753813	0.585514017006591	5.70919099544122	-0.00225792353860252	-0.027800797702076	0.156256181145148	3.53951694382112e-06	-3.47661102465356e-05	0.0634523446229993	0.0515694137385521	0.135375666118438	0.00794409890365904	0.18721213683584	0.126184286704422	1.57927527274644e-06	1.10641963033321e-05	0	7.09261466980185e-30	0	0.776236797721241	0.881949048459784	0.215598443505683	0.0250112697349086	0.00167673482036597	36514	TTTY14	3.69808928883468e-26	0.585514017006591	0.603594457253433	0.11854684872386	1	NBGMM (LN)
-12.5671429657777	0.503721120082856	5.24071202631542	0.00260654417005474	-0.174600955154437	0.0851682364309934	-5.36315282263694e-06	4.6123287394256e-05	0.0769041886300305	0.0536509307637381	0.157482004229842	0.00661750950603041	0.163161692562242	0.109941209461475	2.46441701431802e-06	1.9274015228098e-05	0	6.06526980998051e-21	7.99223955994485e-243	0.693665226959344	0.284569808572542	0.438534253962471	0.0295376244784285	0.0167098966313483	36517	KDM5D	2.52994534313907e-17	0.503721120082856	0.408997335520184	0.0460709332611933	1	NBGMM (LN)
-12.5152649611968	0.277490937898394	4.81769038789799	-0.00343130559213051	0.0226848952251917	-0.0167710936751099	-8.98055514971932e-06	6.12046581617661e-05	0.0680010549399817	0.0427208372656952	0.131272529387095	0.00594027674202344	0.124003407410054	0.081839075534434	2.76298715649111e-06	2.12121134748036e-05	0	8.27871825356817e-11	7.32647190860409e-295	0.563511272466796	0.854846920162404	0.837628611508051	0.00115280684545374	0.00390961949690512	36495	DDX3Y	2.87768246494029e-07	0.277490937898394	0.218658156263783	0.0429924615066643	1	NBGMM (LN)
-12.8684227384333	0.27915936366678	4.54326122296606	-0.00517964461279856	0.009678593315665	0.161890571546964	-2.80307223094641e-05	0.000215730189630326	0.0745813011434851	0.0474774408350715	0.142883148515945	0.00679307570896279	0.146096356404075	0.0968576867592484	3.92898411649303e-06	2.91108413626382e-05	0	4.10683730101771e-09	7.1125116430231e-222	0.445768284158254	0.947180371871198	0.0946373283647966	9.7250189602803e-13	1.25684054773653e-13	36451	RPS4Y1	1.22360283928608e-05	0.27915936366678	0.283708550804121	0.243743328354617	1	NBGMM (LN)
-12.1286281980766	0.211951510075203	4.40044849307989	0.00524255404458603	-0.143216986192574	-0.015089405278435	4.86468112392584e-06	-8.07464065446062e-05	0.0576501785599274	0.040078497238094	0.111142881792494	0.00620612474138145	0.125631202408115	0.0796670372433364	3.07090239415066e-06	2.21728567693852e-05	0	1.23384432403267e-07	0	0.398256720097648	0.254294872065926	0.849774716481485	0.113166175079423	0.000270866653209354	36519	TTTY10	0.000321663215275316	0.211951510075203	0.219789388686538	0.313794909611196	1	NBGMM (LN)
-13.0078257777704	0.228291637669901	4.44121080736702	-0.0153776187603666	-0.0157963649913543	-0.00233562663346407	-7.58764879544261e-06	3.72050177814285e-05	0.0800129355842609	0.0440323757886278	0.151831492950877	0.00826715049781429	0.12969913616733	0.0823485162267262	4.21095544902652e-06	3.11975265547187e-05	0	2.16442514357597e-07	4.37094084142645e-188	0.0628732251043406	0.903063457979427	0.977372869707039	0.0715638244555458	0.233040539599138	36453	ZFY	0.000501569453271337	0.228291637669901	0.178063743631241	0.444715415163186	1	NBGMM (LN)
-13.2257351458627	0.244149634995417	4.228385107747	0.00399882178768922	0.0512912137844324	-0.0471283358210398	2.18865067375975e-06	-3.17327605764695e-05	0.0852896620778649	0.0516570214978725	0.16221796978584	0.00715077262655293	0.148904198405308	0.0977721824461298	4.49706031530294e-06	3.41932481951033e-05	0	2.28581240529998e-06	8.84493176798543e-150	0.576014761210978	0.730502021078214	0.629790369592681	0.626481754195888	0.353385933286188	36471	PRKY	0.00476729035249364	0.244149634995417	0.260804232576096	0.429435921816257	1	NBGMM (LN)
-13.5491499668876	-1.38411109844254	0.268530903660461	0.0965488484625715	-0.549650865619496	-0.108315262405523	1.00844564300159e-06	-0.000102304845887998	0.201344097937646	0.303097806353066	0.480569915223559	0.0511842962646504	0.65751981947921	0.554027976644854	9.03628568294537e-06	5.86780154575061e-05	0	4.95818289383545e-06	0.576314648214939	0.0592547749995552	0.403185451430272	0.844997591514924	0.911140908913308	0.0812471294339881	18098	LINC01515	0.00940071476671201	-1.38411109844254	2.73583107586228	0.762352257958016	1	NBGMM (LN)
-13.8329581766732	0.331135242222741	-0.060640294139567	0.00320701325644925	-0.473867369636678	0.229015143256259	2.5979242238019e-05	-0.000128249430105429	0.0862454807585889	0.0761741458275923	0.155689390362616	0.0171560124358882	0.265117884625107	0.170014873241975	1.37873681590721e-05	9.40805617280095e-05	0	1.37960783968354e-05	0.696909747180259	0.851713695858287	0.0738755039779871	0.177970554666766	0.0595273057654439	0.172823478085501	12602	LINC00326	0.0239775842537	0.331135242222741	0.322972503366175	23.3335303071088	1	NBGMM (HL)
