gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	1.35713694653082e-33	0.693106965029309	2.83044481568468e-29	0.693106965029309
USP9Y	8.82634222366266e-33	0.654975059711602	9.20410967083542e-29	0.654975059711602
UTY	1.22019791103833e-30	0.61709733818608	8.48281587753847e-27	0.61709733818608
TTTY14	7.09261466980185e-30	0.585514017006591	3.69808928883468e-26	0.585514017006591
KDM5D	6.06526980998051e-21	0.503721120082856	2.52994534313907e-17	0.503721120082856
DDX3Y	8.27871825356817e-11	0.277490937898394	2.87768246494029e-07	0.277490937898394
RPS4Y1	4.10683730101771e-09	0.27915936366678	1.22360283928608e-05	0.27915936366678
TTTY10	1.23384432403267e-07	0.211951510075203	0.000321663215275316	0.211951510075203
ZFY	2.16442514357597e-07	0.228291637669901	0.000501569453271337	0.228291637669901
PRKY	2.28581240529998e-06	0.244149634995417	0.00476729035249364	0.244149634995417
LINC01515	4.95818289383545e-06	-1.38411109844254	0.00940071476671201	-1.38411109844254
LINC00326	1.37960783968354e-05	0.331135242222741	0.0239775842537	0.331135242222741
PCDH11Y	2.2150954561447e-05	0.155907749031548	0.0355369467948875	0.155907749031548
AL590428.1	2.9248718227694e-05	-0.221937663916251	0.0435722333826276	-0.221937663916251
ZFP37	0.000116887674608039	-0.157932903348795	0.162520622775017	-0.157932903348795
MAP10	0.000160202168639859	-0.127949636188978	0.208823526822056	-0.127949636188978
LINC00382	0.00021005200672193	0.394969565977593	0.257696744246622	0.394969565977593
CREG1	0.000314513753938462	-0.0554245886217412	0.364416602896698	-0.0554245886217412
UBQLN4	0.000334907279524383	0.091921681419096	0.367622432724239	0.091921681419096
SGMS1-AS1	0.000395840305234323	-0.157123813173532	0.412782270298352	-0.157123813173532
AC104984.3	0.000471396749994742	-0.257942051055523	0.449687127898745	-0.257942051055523
AL513327.2	0.000474353510441714	-0.162206161319269	0.449687127898745	-0.162206161319269
AC108463.3	0.000535200630320027	0.109677369099031	0.485310623737151	0.109677369099031
NIPSNAP3A	0.000653481797182229	-0.0745748101613994	0.564146975852955	-0.0745748101613994
OR2T6	0.000696967875724352	0.185219789055624	0.564146975852955	0.185219789055624
OR2L3	0.000703290246076756	0.122092561463832	0.564146975852955	0.122092561463832
CYP51A1-AS1	0.000790485271211591	-0.174011022254964	0.575760427251181	-0.174011022254964
ENOSF1	0.000798434216377777	-0.186335494353683	0.575760427251181	-0.186335494353683
XRRA1	0.000800587475560234	-0.0689698664358588	0.575760427251181	-0.0689698664358588
AC079341.1	0.000923227967668638	-0.144470929274318	0.641828083123237	-0.144470929274318
AC073048.1	0.000983060083596738	-0.15892768741516	0.655735987682255	-0.15892768741516
AL353732.1	0.00104736240503659	0.270328022557768	0.655735987682255	0.270328022557768
TRIM65	0.00104849290721172	-0.0772416561716419	0.655735987682255	-0.0772416561716419
LINC00486	0.00107009142862349	0.193122299186836	0.655735987682255	0.193122299186836
LINC01116	0.00110538571264695	0.151077751049454	0.655735987682255	0.151077751049454
