gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	1.75297242143688e-38	0.832143687759296	3.82112928424812e-34	0.832143687759296
TTTY14	1.00724231321331e-36	0.745243946214074	1.09779339717119e-32	0.745243946214074
UTY	3.50692910074598e-36	0.647767655817609	2.54813468460203e-32	0.647767655817609
KDM5D	1.61067391316465e-34	0.739413619686948	8.77736748979078e-31	0.739413619686948
USP9Y	7.84046805957625e-32	0.662046273944965	3.41813045525286e-28	0.662046273944965
DDX3Y	3.95533912410269e-28	0.553214099941378	1.43697470378651e-24	0.553214099941378
RPS4Y1	1.75744899589517e-21	0.447020379935376	5.47269617321755e-18	0.447020379935376
PRKY	1.84472722688345e-20	0.449791954093831	5.02642051145068e-17	0.449791954093831
ZFY	6.73425650311874e-19	0.416040578426746	1.63103692505536e-15	0.416040578426746
TTTY10	2.18631868191807e-16	0.316979473762205	4.765737462845e-13	0.316979473762205
AC244502.1	2.36953102662233e-08	-0.39907377661163	4.69554884711941e-05	-0.39907377661163
AC079062.1	7.04317748782868e-07	0.335902641367745	0.00127939319066408	0.335902641367745
AC004949.1	1.35767286824101e-06	0.246787874928239	0.00227650409091673	0.246787874928239
AC064829.1	2.60900484127743e-06	0.276516013039081	0.00406222053786897	0.276516013039081
DHCR24-DT	6.75635739156615e-06	-0.216640559623447	0.00981833856142393	-0.216640559623447
LINC01515	1.03825207948689e-05	-0.52947089017278	0.0141448867679095	-0.52947089017278
AC055855.1	5.13595543114596e-05	-0.141638770592615	0.0658550332283057	-0.141638770592615
TRPM6	8.86939417371826e-05	0.139162457808251	0.107408363443728	0.139162457808251
PARP14	0.000106022203274699	-0.354472083539078	0.121635367735889	-0.354472083539078
MTUS2-AS2	0.000181117594833157	-0.190746061012595	0.197400066608657	-0.190746061012595
AC010255.3	0.000297757565422781	0.13592559445995	0.291595296112398	0.13592559445995
AL390783.1	0.000307380110821684	-0.120386643642646	0.291595296112398	-0.120386643642646
LRRC8C-DT	0.000323807123238937	-0.0702419043568802	0.291595296112398	-0.0702419043568802
WDFY4	0.000351212189632915	-0.157529345638906	0.291595296112398	-0.157529345638906
AC239860.4	0.000371128461448812	-0.0782950512623357	0.291595296112398	-0.0782950512623357
AL590006.1	0.000375042629441571	-0.130719350921415	0.291595296112398	-0.130719350921415
AC023385.1	0.000375693665499032	-0.190818758959847	0.291595296112398	-0.190818758959847
AL137779.1	0.000385187469582836	-0.181393834449031	0.291595296112398	-0.181393834449031
LINC00616	0.000387937590020165	0.212694967997555	0.291595296112398	0.212694967997555
LINC01446	0.00041063873058694	0.375952723048001	0.298370101644471	0.375952723048001
AC026402.2	0.000519139128214623	-0.21380774834016	0.362852527058968	-0.21380774834016
AC008464.1	0.000532676432052801	-0.257991595116571	0.362852527058968	-0.257991595116571
ALOX12	0.000554842431707966	-0.171149402628529	0.366498646253644	-0.171149402628529
SPOCK3	0.000669559735780282	-0.0889144927718036	0.429266562368782	-0.0889144927718036
AC244213.1	0.000764280210137947	0.299930738965043	0.459672331120892	0.299930738965043
ADGRG2	0.000772058737089248	-0.12267366645414	0.459672331120892	-0.12267366645414
LINC00486	0.000780249392213643	0.200666138719903	0.459672331120892	0.200666138719903
OAF	0.000825936515701876	-0.152044831084188	0.473783267612355	-0.152044831084188
RBL1	0.000876377814768329	0.0406281362620318	0.489827784777437	0.0406281362620318
LINC02788	0.000905880135040482	-0.203697682153777	0.493659379590311	-0.203697682153777
ZNF596	0.0010173395800389	-0.0577429989952288	0.533712121300304	-0.0577429989952288
MEGF11	0.0010312632925827	-0.093301650567725	0.533712121300304	-0.093301650567725
ROBO3	0.00105283150820777	0.115573938536621	0.533712121300304	0.115573938536621
GRID1-AS1	0.00108222599309215	-0.177487156670025	0.536144595395972	-0.177487156670025
ECD	0.00119677143305089	0.0259781960662005	0.572826984848765	0.0259781960662005
LINC00922	0.00121253959850204	-0.2999902686628	0.572826984848765	-0.2999902686628
AP002490.1	0.00123510727075383	-0.210257180003527	0.572826984848765	-0.210257180003527
AC097512.1	0.00127352029538079	-0.121828548362377	0.578337404139802	-0.121828548362377
ASB17	0.0013925345560213	0.208776125115093	0.619478943921476	0.208776125115093
TSPAN2	0.00144703222509133	-0.248933471442246	0.630848168850818	-0.248933471442246
EIF5A	0.00149298445823975	0.119952065176014	0.633632394351581	0.119952065176014
ZNF776	0.00151155539527857	0.0390495319701735	0.633632394351581	0.0390495319701735
KCNE4	0.00156721537872013	0.162073673255525	0.639753712183536	0.162073673255525
ZBTB34	0.00159116731465721	0.0457419814749753	0.639753712183536	0.0457419814749753
LINC01563	0.00163935102760752	0.148339263042996	0.639753712183536	0.148339263042996
TCERG1L	0.00171484288298725	-0.0674928171969375	0.639753712183536	-0.0674928171969375
LINC00382	0.00172286352673269	0.384338611803788	0.639753712183536	0.384338611803788
TIGAR	0.00180471588892895	0.0259607599951055	0.639753712183536	0.0259607599951055
ZNF280B	0.00182020983332794	0.0327223901936986	0.639753712183536	0.0327223901936986
AC010230.1	0.00182025128943474	-0.112700678825057	0.639753712183536	-0.112700678825057
ZFY-AS1	0.00182837989822114	0.225169689086532	0.639753712183536	0.225169689086532
CACHD1	0.00183818741282593	-0.0376338068968047	0.639753712183536	-0.0376338068968047
AC079790.1	0.00186248428415689	0.0724614759864212	0.639753712183536	0.0724614759864212
FAM135B	0.00189799578291616	-0.039664814977832	0.639753712183536	-0.039664814977832
AL035427.1	0.00190769755445132	-0.165475014493751	0.639753712183536	-0.165475014493751
AC011625.1	0.00198155889679745	-0.198479801033634	0.646068840309252	-0.198479801033634
SAP30	0.00199944229160519	-0.0834448805007038	0.646068840309252	-0.0834448805007038
