logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.4080458291991	0.653282624634027	6.07353377608974	-0.00463065461795528	0.30112474858554	0.202316408435161	1.08440342984286e-06	-2.51998884384476e-05	0.0678022372359347	0.0545345882066018	0.146885956163249	0.00720761459650021	0.206218345536	0.138514227674662	1.0597577962882e-06	8.56178830871653e-06	0	4.56519114969963e-33	0	0.520570001088711	0.144228826225704	0.144120235830735	0.306186863419804	0.00324736397758381	36493	USP9Y	9.86172592158114e-29	0.653282624634027	0.694729451813373	0.0709547066393192	1	NBGMM (LN)
-11.905784684922	0.621076300448699	5.50851496641986	-0.0016587515618986	-0.0655974277979594	0.0637316610771446	2.43779405297984e-06	-3.1910208021e-05	0.0668034624252971	0.052279556758355	0.140192248488423	0.00698425417293586	0.185590788289533	0.1255210578528	1.3694020092649e-06	1.14894261662829e-05	0	1.50533777536678e-32	0	0.812269897024473	0.723749638131009	0.611637932364578	0.0750450756782298	0.00548033918177945	36496	UTY	1.62591533117366e-28	0.621076300448699	0.580049769503498	0.0841736853989597	1	NBGMM (LN)
-11.3185154552719	0.629642170135632	6.0232102151663	-0.00760736914655591	0.555344802489621	0.114167109564848	1.9828785334865e-06	-5.11131333973966e-05	0.0725427693476561	0.0592412024983191	0.160790950152334	0.00772140566969037	0.240166608832962	0.152169846806373	1.21219315233773e-06	9.35449171848053e-06	0	2.19733530426764e-26	4.14716474202352e-307	0.324510558332284	0.0207594248991601	0.453097494228537	0.101886119620401	4.65470060889423e-08	36514	TTTY14	1.58222790809299e-22	0.629642170135632	0.8193761489977	0.125296664422262	1	NBGMM (LN)
-11.3587957177597	0.655777317708298	5.9163084796927	-0.00863415379645352	0.711128034152216	0.205652754182544	6.3564274829512e-06	-3.32482911265125e-05	0.0755543333842954	0.0618725921265246	0.169247023929315	0.00757500084431652	0.254903584199988	0.159280511119965	1.38513826880118e-06	1.04971488707756e-05	0	3.01719215854505e-26	1.02625543573823e-267	0.254360401086705	0.00527418783691012	0.19665662683346	4.45331357652125e-06	0.00153827657652862	36501	NLGN4Y	1.62943462522225e-22	0.655777317708298	0.881544529616089	0.174851460145507	1	NBGMM (LN)
-12.6872767265948	0.509467422876285	5.15802120729852	-0.00540751501121578	0.0177090608457173	0.0779291386744896	5.79942375942313e-07	-1.59817341730465e-05	0.0717299858999545	0.0520570296808972	0.142859237083501	0.00684235194455618	0.165564905303408	0.109828756905146	2.17901185655944e-06	1.83567463247076e-05	0	1.28397096453902e-22	1.85128247654897e-285	0.429352222504363	0.914819569856755	0.477982420491388	0.790124264727388	0.38396215785808	36471	PRKY	5.54726815519439e-19	0.509467422876285	0.417239127724873	0.179750094303196	1	NBGMM (LN)
-12.9897393611353	0.475474146983644	5.26461441546198	-0.00563416520812242	-0.0821988146640423	0.0326393965501488	-1.96630551167922e-06	2.31010087851891e-05	0.0781331692067521	0.053222001725672	0.153498872681663	0.00635098783347267	0.161407239176034	0.107122280843559	2.22879212154352e-06	1.94524493288183e-05	0	4.11661155512711e-19	8.57571171210732e-258	0.375007780689002	0.610567542441351	0.760600070821404	0.377652869164986	0.235005628254967	36517	KDM5D	1.48211738023093e-15	0.475474146983644	0.378931738021215	0.0760702728260044	1	NBGMM (LN)
-12.1307208221708	0.335858165713193	4.58312942247235	0.00522251115109201	-0.200635032681431	-0.00431402539984885	8.38854912818965e-07	-2.93689046870075e-05	0.0549973693941374	0.0429856424094388	0.105784600016262	0.00668586961841002	0.137479349435891	0.0913976891414711	2.40831272826136e-06	1.90900289041042e-05	0	5.57257729537801e-15	0	0.43472799029031	0.144459707796654	0.962353352519545	0.727602549616987	0.123940548408188	36519	TTTY10	1.71969735335365e-11	0.335858165713193	0.309761175004834	0.43025476925156	1	NBGMM (LN)
-12.9193900970425	0.314971943471136	5.08725416438168	-0.0015639286283114	0.0143420587801468	-0.0518167359258336	-7.17189288793427e-06	7.79396892784269e-05	0.071827144121358	0.0471667451458808	0.136399261660496	0.00530245593911847	0.136870598467887	0.0895120691981935	2.21037361071357e-06	1.96595309834629e-05	0	2.42490751728171e-11	1.85021919781385e-304	0.768036505820203	0.916545988868219	0.562670226682441	0.00117594288495253	7.35581224803523e-05	36495	DDX3Y	6.54785652353994e-08	0.314971943471136	0.260309321291303	0.0509513279349031	1	NBGMM (LN)
-13.1022052725819	0.301742993412036	4.55130088812598	-0.000571103031086017	0.0516927770282408	0.0219488579813252	-1.08366681566704e-05	0.000102934932006507	0.0713040093542791	0.0475352480952811	0.133734358036606	0.00546756606089073	0.143999778994745	0.092472562293475	3.0505181048278e-06	2.58256132426278e-05	0	2.18453230473148e-10	7.39344438034684e-254	0.916809958602207	0.719611420746016	0.812381120594821	0.000381730449584262	6.72618893984805e-05	36451	RPS4Y1	5.24336298297883e-07	0.301742993412036	0.257262607381913	0.227385020732077	1	NBGMM (LN)
-13.0672510802084	0.287694550492369	4.62075184211623	-0.000776333912583805	0.0437176266971028	0.0780600739410545	-3.65959875524601e-06	5.75195500616027e-06	0.0728295999754617	0.048178388126865	0.137541046000848	0.00623320709110533	0.142644631119924	0.0929775732425214	3.12978786266301e-06	2.58539138138799e-05	0	2.3516266972097e-09	1.955578899428e-247	0.900881342351795	0.759239738231423	0.401156205147895	0.242290786508559	0.823940955552079	36453	ZFY	5.07998399131239e-06	0.287694550492369	0.260851939714117	0.36534129556814	1	NBGMM (LN)
