gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
CFAP161	1.01384195019324e-05	-0.499321450817276	0.148980509609491	-0.499321450817276
KAZN-AS1	2.01355411720809e-05	0.409213087016365	0.148980509609491	0.409213087016365
LINC00486	3.71524038102526e-05	0.303227749252309	0.148980509609491	0.303227749252309
POLR1D	3.74252363523184e-05	-0.283612178789755	0.148980509609491	-0.283612178789755
ENPEP	5.98163325435639e-05	0.63283525734228	0.171260780161444	0.63283525734228
SOGA1	6.4533359352425e-05	-0.233813489127685	0.171260780161444	-0.233813489127685
MED13L	9.24595927638322e-05	0.0747088388487293	0.210319156511214	0.0747088388487293
MYCBP2	0.000115251088649896	-0.0958870302427622	0.229392885571537	-0.0958870302427622
SCX	0.000145248358426844	0.545933640460557	0.256976623470071	0.545933640460557
UTY	0.000191676214451689	0.182063819323574	0.270071116307634	0.182063819323574
UMAD1	0.00019979447670193	0.130001481265954	0.270071116307634	0.130001481265954
EBAG9	0.000210042240840505	-0.339922787666055	0.270071116307634	-0.339922787666055
SLC44A2	0.000243484267724487	0.211946281670385	0.270071116307634	0.211946281670385
SLC8A2	0.000254748730176537	0.773391122070673	0.270071116307634	0.773391122070673
STIM1	0.000260331439455008	0.151649073366423	0.270071116307634	0.151649073366423
PNCK	0.000271377118691336	0.528983032296635	0.270071116307634	0.528983032296635
PLPBP	0.00031874372636396	-0.3270417453208	0.290656834632683	-0.3270417453208
AC116337.3	0.000329084204247156	1.04072637813754	0.290656834632683	1.04072637813754
EMC6	0.000359382821553031	0.486387447838204	0.290656834632683	0.486387447838204
LMLN2	0.000402866889940829	0.85100471575733	0.290656834632683	0.85100471575733
HEATR5B	0.000415652613070434	0.138769047784575	0.290656834632683	0.138769047784575
AL033543.1	0.00042264439696575	0.785197000655315	0.290656834632683	0.785197000655315
SEPTIN7-AS1	0.000435404772103849	-0.459481033795392	0.290656834632683	-0.459481033795392
ARFIP1	0.000438093577289732	-0.148408846372585	0.290656834632683	-0.148408846372585
ARGLU1	0.00046147922291631	-0.0880925768782694	0.293925346659856	-0.0880925768782694
HNRNPA2B1	0.000498103527365846	-0.0859066497645337	0.305050094855629	-0.0859066497645337
BRF2	0.000613297320659189	0.603004919709151	0.33786523986279	0.603004919709151
LINC02208	0.000613917927311515	-0.386999478354465	0.33786523986279	-0.386999478354465
IFITM1	0.000631449307878103	0.437344853690047	0.33786523986279	0.437344853690047
CHST15	0.000641327327404162	0.156910930992996	0.33786523986279	0.156910930992996
AC109361.1	0.000657779465913867	-0.78216934457473	0.33786523986279	-0.78216934457473
AC083862.3	0.000699182324873219	-0.601116240762413	0.347908754967383	-0.601116240762413
ISG20	0.000852735416847955	0.41683607135217	0.399975178316243	0.41683607135217
AC008543.1	0.000923592045035568	0.6502346415999	0.399975178316243	0.6502346415999
CCNG2	0.000925817597649184	-0.297747771353177	0.399975178316243	-0.297747771353177
KCNH5	0.000949646312857962	0.438339775815884	0.399975178316243	0.438339775815884
ALG14	0.000957385992178315	-0.237798258010244	0.399975178316243	-0.237798258010244
NT5M	0.000979535927746925	0.42911056933915	0.399975178316243	0.42911056933915
MYRIP	0.000983384068030444	0.335174564770818	0.399975178316243	0.335174564770818
PPP1R26	0.00102078471585686	-0.837877278400945	0.399975178316243	-0.837877278400945
DYNLT3	0.00104433977676664	-0.376325065714248	0.399975178316243	-0.376325065714248
NQO1	0.00105501208875728	0.31103599915211	0.399975178316243	0.31103599915211
LINC02343	0.00111405674249989	-0.383702871945752	0.412537802577344	-0.383702871945752
STRIP2	0.00115974910696491	0.283433321687042	0.413211420279023	0.283433321687042
LINC01422	0.00118962759588174	0.232976173655548	0.413211420279023	0.232976173655548
ADAT1	0.0011937276476063	0.313987530306427	0.413211420279023	0.313987530306427
AXIN2	0.00124816122066674	-0.261267249759119	0.416629432871261	-0.261267249759119
SLC7A8	0.00126088076368249	0.330491242819422	0.416629432871261	0.330491242819422
UBE3B	0.00128209773351076	0.156249280706344	0.416629432871261	0.156249280706344
TAF9B	0.00138661762759025	0.425597133303439	0.427494445399324	0.425597133303439
DUS4L	0.00139805323505038	0.564550055949766	0.427494445399324	0.564550055949766
AL162390.1	0.00141803454535408	0.334467606271067	0.427494445399324	0.334467606271067
RALA	0.00148588510385727	-0.171862269493662	0.427494445399324	-0.171862269493662
SBNO1	0.00150125295818612	-0.145987503443617	0.427494445399324	-0.145987503443617
FBXW2	0.00150336247034614	-0.220877442047141	0.427494445399324	-0.220877442047141
NT5C3B	0.00150346598896955	-0.308808487886936	0.427494445399324	-0.308808487886936
XKR6	0.00167897911686828	0.119227524589542	0.469024289085854	0.119227524589542
MZT1	0.00173940588809538	-0.468160455801027	0.477526895795564	-0.468160455801027
AXL	0.00183923838581268	-0.143020775659055	0.486541510492012	-0.143020775659055
ITGB8	0.00185967526936399	-0.252859802185242	0.486541510492012	-0.252859802185242
CASTOR1	0.00187241328579314	0.278493210957176	0.486541510492012	0.278493210957176
SNRPG	0.00190860612158837	-0.295569813968886	0.486541510492012	-0.295569813968886
CFAP97	0.00194817607347874	-0.194716657881917	0.486541510492012	-0.194716657881917
DCLRE1C	0.00195557725751986	-0.22866779430846	0.486541510492012	-0.22866779430846
GPR37L1	0.00202473398892521	-0.825647863661488	0.495997527779326	-0.825647863661488
MIA3	0.0020577335673238	-0.147978542731622	0.496443812007529	-0.147978542731622
GOLGA8R	0.00208965227203799	-0.94013207214552	0.496619897427776	-0.94013207214552
SGSM3	0.00215442269432353	-0.224935774012895	0.504483420025199	-0.224935774012895
ABCB8	0.00224658836340003	0.244919738828125	0.518440963919112	0.244919738828125
APLNR	0.00230433931810655	0.659599979297446	0.520725480095419	0.659599979297446
EDA	0.00238352740565748	0.201609275309506	0.520725480095419	0.201609275309506
GRAMD1C	0.00243392136510373	0.371333359960082	0.520725480095419	0.371333359960082
PRRX2	0.00243852913567424	0.360637266708792	0.520725480095419	0.360637266708792
TRMT13	0.0024469280802648	-0.172602999361362	0.520725480095419	-0.172602999361362
ZNRD1	0.00245270432752348	-0.641865695606734	0.520725480095419	-0.641865695606734
RHOQ	0.00250096662734924	-0.112952020176885	0.523523246232841	-0.112952020176885
TSR2	0.00253289928736853	0.385625960405308	0.523523246232841	0.385625960405308
ALG1L9P	0.0025645175661723	-0.372420632277101	0.523523246232841	-0.372420632277101
C3	0.00269692713919762	0.280743766921216	0.535653954525358	0.280743766921216
PARP10	0.00270303323103763	0.241620655071902	0.535653954525358	0.241620655071902
KLHL21	0.00272486154095045	-0.214909783457882	0.535653954525358	-0.214909783457882
HS3ST5	0.00278963888528191	0.412177460244885	0.536552997634826	0.412177460244885
DHCR24	0.00279682841196323	0.306312707804155	0.536552997634826	0.306312707804155
FUT4	0.00287056908677239	-0.641251337409761	0.544143709150914	-0.641251337409761
AC107223.1	0.00294904770210989	-0.257290418723405	0.552443371302304	-0.257290418723405
FAM118A	0.00304713573349051	-0.191696548878736	0.564180724236853	-0.191696548878736
SUMO1	0.00314704756073693	-0.203086611294878	0.575982049535795	-0.203086611294878
PI4K2B	0.00318925299685628	-0.320847676140118	0.577073584874347	-0.320847676140118
APPL1	0.00336635988331901	-0.138899864656057	0.597059358608597	-0.138899864656057
PLCD1	0.00340182177360858	0.302595754931835	0.597059358608597	0.302595754931835
MAP3K10	0.00349663566950922	0.211816608647961	0.597059358608597	0.211816608647961
SULT1C4	0.00353285077915048	0.33993849473792	0.597059358608597	0.33993849473792
PCDHB2	0.0035801069563623	0.588207250162343	0.597059358608597	0.588207250162343
AC119674.1	0.00359463741282673	-0.18488640203434	0.597059358608597	-0.18488640203434
ADAMTSL4	0.00364038252790432	0.289901305972627	0.597059358608597	0.289901305972627
PCOLCE2	0.0036473898419006	0.465941518570527	0.597059358608597	0.465941518570527
MAP1B	0.00369680402954734	0.217636374528677	0.597059358608597	0.217636374528677
SFTA1P	0.00372017357138673	-0.32151414836136	0.597059358608597	-0.32151414836136
MRPL14	0.0037386319672291	-0.386254197311544	0.597059358608597	-0.386254197311544
ERMARD	0.00374966626018085	-0.252769751775239	0.597059358608597	-0.252769751775239
AL359232.1	0.0038030980159623	-0.371162407514685	0.597141728395902	-0.371162407514685
SMAGP	0.00382518723207825	0.373747123552186	0.597141728395902	0.373747123552186
MPP6	0.0039417466986226	0.140749414826711	0.604704905165462	0.140749414826711
ASIC3	0.0039495892819951	0.553713491707537	0.604704905165462	0.553713491707537
TNFRSF21	0.00406351767640229	-0.240300324959594	0.6057270418045	-0.240300324959594
PARL	0.00406515529443795	0.149040545351994	0.6057270418045	0.149040545351994
DMD	0.00408978340656037	0.126933510791396	0.6057270418045	0.126933510791396
PNPLA7	0.00410842934841964	0.166653372439176	0.6057270418045	0.166653372439176
JAK2	0.00419974205013723	-0.107899264303937	0.611184623885292	-0.107899264303937
GPR158	0.00422221369260705	0.43301349347686	0.611184623885292	0.43301349347686
HEATR3	0.00429094508128063	-0.247528755087706	0.615538004767852	-0.247528755087706
CNOT2	0.00442211158531853	-0.099249094169411	0.621545428077479	-0.099249094169411
GPN2	0.00452973608467467	-0.322754824486958	0.621545428077479	-0.322754824486958
ATG12	0.00453666743545321	-0.166878080420187	0.621545428077479	-0.166878080420187
MRPL45	0.0046416790995678	0.277318946775938	0.621545428077479	0.277318946775938
GYG2	0.00464616501054892	0.25380417720192	0.621545428077479	0.25380417720192
ACTR3	0.00466384309219401	-0.128732454056393	0.621545428077479	-0.128732454056393
TRAF5	0.0046876345154824	-0.165640375482715	0.621545428077479	-0.165640375482715
STAG1	0.00470856944556421	-0.0521699953698671	0.621545428077479	-0.0521699953698671
AC025809.1	0.00474552048868188	0.245915281675516	0.621545428077479	0.245915281675516
TMEM243	0.00475364562262893	-0.230856986474007	0.621545428077479	-0.230856986474007
ZNF697	0.00476220198614912	-0.513117621229394	0.621545428077479	-0.513117621229394
RAP1B	0.00480802869945347	-0.0831810679023243	0.622424723425997	-0.0831810679023243
MOB1B	0.00487283027586632	-0.18082662755714	0.625726423246931	-0.18082662755714
EXOSC4	0.00498188917958852	-0.845381640122326	0.629890384803102	-0.845381640122326
SLC6A20	0.00502142259873327	0.140255666168927	0.629890384803102	0.140255666168927
COL6A2	0.00507859646629566	-0.0916840283616108	0.629890384803102	-0.0916840283616108
BZW1	0.00509412464871525	0.189077945348514	0.629890384803102	0.189077945348514
NDUFV2	0.00519589047856952	-0.160136681179195	0.629890384803102	-0.160136681179195
RNF41	0.00521023865066125	-0.242406495896036	0.629890384803102	-0.242406495896036
C1orf162	0.00523326889189498	0.519018772107836	0.629890384803102	0.519018772107836
LGALS9	0.00540266497676537	0.33928558003138	0.629890384803102	0.33928558003138
ALDH1L1	0.00540700907962412	0.185118025751778	0.629890384803102	0.185118025751778
SEC14L1	0.00543951966033772	-0.139156433595359	0.629890384803102	-0.139156433595359
F2R	0.00551800603831745	-0.298175310597022	0.629890384803102	-0.298175310597022
UNC80	0.00566323011541247	0.284589238195978	0.629890384803102	0.284589238195978
SNAP23	0.00567183889925891	-0.136657641580045	0.629890384803102	-0.136657641580045
PPARGC1A	0.00571187003843487	0.231779991119083	0.629890384803102	0.231779991119083
NXF1	0.00571454673005241	0.191774419287541	0.629890384803102	0.191774419287541
AMFR	0.00572145527100151	0.161859946428682	0.629890384803102	0.161859946428682
ADORA1	0.00579311225987125	0.493344965578135	0.629890384803102	0.493344965578135
FUZ	0.00580072311271176	0.392986946644088	0.629890384803102	0.392986946644088
HGF	0.00580320176772316	-0.361887601466132	0.629890384803102	-0.361887601466132
KCND3	0.00591237149214232	0.269021849495418	0.629890384803102	0.269021849495418
CABLES1	0.00594409094538679	0.234646697902686	0.629890384803102	0.234646697902686
UCK2	0.00599366305217214	-0.126942576754267	0.629890384803102	-0.126942576754267
ISG15	0.00608268951860412	0.295815188615924	0.629890384803102	0.295815188615924
TRAF3IP3	0.00608344409425247	-0.687268315681331	0.629890384803102	-0.687268315681331
WDR91	0.00609880117452123	0.199975058542866	0.629890384803102	0.199975058542866
NAGK	0.00611346990044233	0.193382756430166	0.629890384803102	0.193382756430166
MAK	0.00613013478769514	-0.242892371187152	0.629890384803102	-0.242892371187152
GNL1	0.00619762184996059	0.174166328137333	0.629890384803102	0.174166328137333
PIH1D1	0.00623517988749461	-0.231658486610611	0.629890384803102	-0.231658486610611
AC021851.1	0.00624535441063576	-0.337272326030496	0.629890384803102	-0.337272326030496
RHBDF2	0.00627106549220955	0.308574623745692	0.629890384803102	0.308574623745692
CREBBP	0.00630287645209006	0.0674984018103485	0.629890384803102	0.0674984018103485
GBP3	0.00636486243480426	-0.258469661595154	0.629890384803102	-0.258469661595154
OGDHL	0.00640889544002422	0.486661653912998	0.629890384803102	0.486661653912998
USP19	0.00648031453078885	0.300381956197556	0.629890384803102	0.300381956197556
REV3L	0.00652016628704254	0.0814445728122261	0.629890384803102	0.0814445728122261
FBF1	0.00655383895123718	0.171701246636231	0.629890384803102	0.171701246636231
MTUS2	0.00655873928658019	0.381540582812187	0.629890384803102	0.381540582812187
GLIS1	0.00656586049657855	-0.278607186584817	0.629890384803102	-0.278607186584817
ZNF519	0.00658354470996451	-0.216131147508487	0.629890384803102	-0.216131147508487
TOR1AIP1	0.00678228188200766	-0.160444179910927	0.629890384803102	-0.160444179910927
ITGA11	0.00681156766346166	0.12991244874638	0.629890384803102	0.12991244874638
HYI	0.00683586573365178	0.231734529091675	0.629890384803102	0.231734529091675
LSM1	0.00684505133650714	-0.405346474629474	0.629890384803102	-0.405346474629474
ZNF514	0.00696443674416849	-0.19741290765355	0.629890384803102	-0.19741290765355
SULT1A1	0.00704410486827105	0.155305494501025	0.629890384803102	0.155305494501025
EFHC1	0.00708339471229558	-0.121935419954341	0.629890384803102	-0.121935419954341
SLC16A12	0.00712049762584166	0.142837511890216	0.629890384803102	0.142837511890216
COA5	0.00713671970942992	0.232733808545617	0.629890384803102	0.232733808545617
AL603832.1	0.00714641558802163	0.517452486424242	0.629890384803102	0.517452486424242
FDX1	0.00716403825096229	-0.196776165891215	0.629890384803102	-0.196776165891215
NDUFB7	0.00718866203778119	0.228888730887991	0.629890384803102	0.228888730887991
PTPRF	0.00729844537959956	0.189604544356653	0.629890384803102	0.189604544356653
MET	0.00737252804348114	0.285322460285088	0.629890384803102	0.285322460285088
POLR1E	0.00742364831961835	-0.410868872473265	0.629890384803102	-0.410868872473265
ZKSCAN2	0.00749987322121572	0.542420698276794	0.629890384803102	0.542420698276794
ANKRD65	0.00755285572441377	0.362563512692253	0.629890384803102	0.362563512692253
RPS4Y1	0.00756873235830517	0.205941575220618	0.629890384803102	0.205941575220618
ZBTB48	0.0075703532256141	-0.286653355568893	0.629890384803102	-0.286653355568893
CALCB	0.00769855269462373	-0.51959230149638	0.629890384803102	-0.51959230149638
AL357054.2	0.00772316464929421	-0.311754500030428	0.629890384803102	-0.311754500030428
ITM2C	0.00781142910443989	-0.245325241165328	0.629890384803102	-0.245325241165328
ZNF618	0.00792275290097659	-0.138297709364319	0.629890384803102	-0.138297709364319
LIMS1	0.00794072058703715	-0.0932367374137011	0.629890384803102	-0.0932367374137011
QRICH2	0.00796512171006169	0.175524665141259	0.629890384803102	0.175524665141259
CNNM2	0.00797057378310013	0.108743411375293	0.629890384803102	0.108743411375293
IGFBP7	0.00798215503498571	-0.147615687407153	0.629890384803102	-0.147615687407153
PSMD6-AS2	0.0079841302248174	0.256452731941722	0.629890384803102	0.256452731941722
GRIA3	0.007997808197292	0.255958789257389	0.629890384803102	0.255958789257389
GPSM1	0.00801469284526237	0.17541998950399	0.629890384803102	0.17541998950399
RBIS	0.00803714078633441	-0.216722778121664	0.629890384803102	-0.216722778121664
P4HB	0.00804955326507864	0.12085657876653	0.629890384803102	0.12085657876653
AC007364.1	0.00805420512276027	-0.16633237279681	0.629890384803102	-0.16633237279681
GIHCG	0.00808180680499953	-0.308859993644921	0.629890384803102	-0.308859993644921
GPLD1	0.00811325005257729	-0.289923664100365	0.629890384803102	-0.289923664100365
PILRB	0.00814216160728531	0.10780218016918	0.629890384803102	0.10780218016918
MINDY3	0.00815314455466509	-0.127152035560857	0.629890384803102	-0.127152035560857
AL732437.3	0.00815379729074686	-1.31301809784107	0.629890384803102	-1.31301809784107
CDH3	0.0081871210928567	0.402942728701964	0.629890384803102	0.402942728701964
THNSL1	0.008215177555146	-0.614360696803632	0.629890384803102	-0.614360696803632
LGI4	0.0083006561807273	0.272512543855807	0.629890384803102	0.272512543855807
USP9Y	0.0083439000942401	0.115050323734457	0.629890384803102	0.115050323734457
LARP7	0.00835622218071268	0.133449407341271	0.629890384803102	0.133449407341271
UPB1	0.00840352632683668	0.450799037703605	0.629890384803102	0.450799037703605
TRADD	0.00840605363468337	-0.325602948993076	0.629890384803102	-0.325602948993076
ING2	0.0084147189379635	-0.42653305139888	0.629890384803102	-0.42653305139888
SLC12A7	0.00842421880489042	-0.179792785869213	0.629890384803102	-0.179792785869213
SKIL	0.00847101481528494	-0.109086747439618	0.629890384803102	-0.109086747439618
C9orf40	0.00848893311157729	-0.498729663114003	0.629890384803102	-0.498729663114003
RAB9B	0.00850299480939315	0.403456042060886	0.629890384803102	0.403456042060886
ARHGAP19	0.00850508275655762	0.22564196479842	0.629890384803102	0.22564196479842
COA7	0.00872676480828266	0.42709029276944	0.6390258468454	0.42709029276944
CD55	0.00874574623500951	0.203779586320329	0.6390258468454	0.203779586320329
AC019257.1	0.00874883091203273	-0.224759516714913	0.6390258468454	-0.224759516714913
PTRH2	0.00880750630703765	-0.21343601506566	0.640374077292057	-0.21343601506566
KRT10	0.00890017658538707	-0.216066780506035	0.641388227991747	-0.216066780506035
BMPR2	0.00899738912532542	-0.0773816029780121	0.641388227991747	-0.0773816029780121
MYO1D	0.00903541039589142	-0.165061644551798	0.641388227991747	-0.165061644551798
POLR3K	0.00908462157744733	0.464459495061287	0.641388227991747	0.464459495061287
ZNF41	0.00915102612055479	-0.27049671190778	0.641388227991747	-0.27049671190778
CSPG4	0.00916401514646281	0.498791832858898	0.641388227991747	0.498791832858898
SLC15A3	0.00917613824861829	0.303458602278232	0.641388227991747	0.303458602278232
MEF2B	0.0092087130067688	0.172973254800536	0.641388227991747	0.172973254800536
KCNJ3	0.00923863538210908	-0.493836098593638	0.641388227991747	-0.493836098593638
SLCO1A2	0.00925258106119301	0.19292938938629	0.641388227991747	0.19292938938629
NDUFB3	0.00926454138278602	-0.328981476350477	0.641388227991747	-0.328981476350477
MMGT1	0.0094118068481811	0.290205136535038	0.643025800150128	0.290205136535038
B9D2	0.00941704021870126	0.532837233341428	0.643025800150128	0.532837233341428
C19orf53	0.00941964280742505	0.248058871616088	0.643025800150128	0.248058871616088
ELOVL2	0.00944972914872386	-0.238869486347554	0.643025800150128	-0.238869486347554
FAM210A	0.00961762749305518	-0.250770615031784	0.645176643858436	-0.250770615031784
MYO7A	0.00963003907152754	-0.262964337914025	0.645176643858436	-0.262964337914025
CARM1	0.009669200373798	0.186459969875807	0.645176643858436	0.186459969875807
TSN	0.00971096381951538	-0.189053472955195	0.645176643858436	-0.189053472955195
BTBD11	0.00971662594160586	0.286342037102102	0.645176643858436	0.286342037102102
DNAJC7	0.00972444856660332	0.0988272790831859	0.645176643858436	0.0988272790831859
AL133410.1	0.00977585594742094	0.187833186255621	0.645896075729393	0.187833186255621
RAI2	0.00981908023417454	0.380589418319124	0.646071134581658	0.380589418319124
CCDC3	0.00991131049414549	0.196003847636793	0.649455954725426	0.196003847636793
AC069366.2	0.00999495684802242	0.573335163958348	0.64949378415778	0.573335163958348
ARHGEF28	0.0101457354998507	0.217296439574303	0.64949378415778	0.217296439574303
FSCN1	0.0101800249176053	-0.242053353470483	0.64949378415778	-0.242053353470483
WBP2NL	0.0101814509160361	0.299988539107946	0.64949378415778	0.299988539107946
