logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.8847936027832	0.655277622589268	5.89331712339429	0.00102210265554606	-0.312951400800344	0.0330811672786922	5.92179603001406e-06	-2.92051309346646e-05	0.0618351459284657	0.0523599562520872	0.135093408036647	0.00806798359367498	0.184929222499578	0.133557485743389	2.05532357131378e-06	9.8754937463694e-06	0	6.19154536012016e-36	0	0.89918872228635	0.0905932422311485	0.804372452588615	0.00396165541695694	0.00310312038563383	36514	TTTY14	1.11546881207925e-31	0.655277622589268	0.668831583287122	0.162461144936647	1	NBGMM (LN)
-11.3776024846715	0.664448782858718	5.84427874585008	0.000155433560067008	-0.193269418302136	0.130157063864219	-2.17181570213125e-06	2.32700232733047e-05	0.0650377205281623	0.0534448862101032	0.145491456672678	0.00751781980592523	0.18522156366957	0.131171156141777	2.10098038599782e-06	1.06741407839966e-05	0	1.74297259377674e-35	0	0.983504632206101	0.296739982332954	0.321066351256169	0.301269248879207	0.0292547091401084	36493	USP9Y	1.57006971247409e-31	0.664448782858718	0.620763458499112	0.0980084756941906	1	NBGMM (LN)
-11.2883657102132	0.637520378646545	5.79915197782478	-0.00199600990539655	-0.295021025901124	0.0385366563051484	1.82159764380949e-05	-0.000155938508258838	0.0659945526863827	0.0548243127993496	0.146053591605568	0.00756057376446367	0.190906913588661	0.135711456097553	2.54764932920039e-06	1.2158886086421e-05	0	2.95501361751686e-31	0	0.791778040241681	0.122257794309959	0.776440858359128	8.67075237395501e-13	1.18686509761778e-37	36501	NLGN4Y	1.77458417777279e-27	0.637520378646545	0.658294032685057	0.224522533923982	1	NBGMM (LN)
-11.5752707109873	0.614389737234524	5.613801298993	-0.00759545450966206	-0.200476834435252	0.0364910122786957	8.61457046676089e-06	-5.29311756105395e-05	0.0653182490223063	0.0536338299612117	0.144617426684372	0.00737079684858232	0.181931610745039	0.126612047518006	2.2329435881992e-06	1.15996329905797e-05	0	2.21285343088716e-30	0	0.302785005128613	0.270489871490486	0.773185063142297	0.000114345015492799	5.03853608802162e-06	36496	UTY	9.96669185271577e-27	0.614389737234524	0.583866904291392	0.0807600204039088	1	NBGMM (LN)
-10.867089430201	0.362687570584182	4.87053065352571	-0.00531331450366154	-0.0765759566443705	0.0516517874301865	7.83721127875633e-06	4.52541119827082e-05	0.046758098001601	0.0408166957879405	0.0965564818441619	0.00621961032369782	0.139129867790712	0.0973049515028354	4.0362726971477e-06	1.84712809194581e-05	0	6.34823652114443e-19	0	0.392947568493259	0.582050581646498	0.595540862181125	0.052174011440343	0.0142867518922178	36460	PCDH11Y	2.28739658329876e-15	0.362687570584182	0.405190871738835	1.0838335758811	1	NBGMM (LN)
-12.4728238169786	0.356575667410578	5.14524221218631	-0.00297497550444398	-0.222847793413339	0.0241234300086628	-6.8116493778339e-06	2.92473187166903e-05	0.0695711175457011	0.0475480813054665	0.142619423488602	0.00605295545748325	0.145572069866156	0.0933190399224734	3.68911007857941e-06	1.96057724992575e-05	0	6.41766104603344e-14	5.25603862552202e-285	0.623078938759259	0.125808523302305	0.796017260107097	0.0648311374280365	0.135759244094955	36517	KDM5D	1.92700969008897e-10	0.356575667410578	0.302006493756098	0.0684831779351889	1	NBGMM (LN)
-11.9137756012521	0.227901089550157	4.60821981034956	0.00543112851626599	-0.0258584904640625	-0.0304002275185084	2.14454129366041e-05	-0.00015480564312685	0.0532111489916468	0.0397826459031347	0.106764705243423	0.00567693563632767	0.123200063340632	0.0792138034970722	4.22610020512184e-06	2.09657493040496e-05	0	1.01229490025484e-08	0	0.338718325227271	0.833753342443904	0.701145686046744	3.88483627579244e-07	1.53903779527126e-13	36519	TTTY10	2.6053578461416e-05	0.227901089550157	0.227011692804972	0.507244890487884	1	NBGMM (LN)
-12.6064662390982	0.199359947276535	4.6576143464337	-0.000960235731628564	-0.314402118337335	0.183841267129348	-2.88982874382274e-05	0.000183169682059217	0.0651154694646116	0.0405488771035354	0.127667002649933	0.00597080119007535	0.12951347813416	0.0772991585017819	5.71750080748271e-06	2.83593600595488e-05	0	8.80897454631205e-07	2.09939512235364e-291	0.872233657615111	0.0152006495281321	0.0173922551228543	4.31844279264844e-07	1.05481237058067e-10	36469	TBL1Y	0.00198378106782947	0.199359947276535	0.185980242318431	1.04513181026795	1	NBGMM (LN)
-12.8594832446859	0.182048958309606	4.55242069679282	-0.000735707120807841	-0.0555938299516704	0.137211560219548	-4.49596738649785e-05	0.000291312095668797	0.0691376971539222	0.041489589328651	0.135059625421857	0.00625676072764887	0.129997271701189	0.0789523689200249	5.51774620904268e-06	2.83855272414306e-05	0	1.14491091977613e-05	4.60390886177717e-249	0.906395742197952	0.668903175292337	0.0822279038343844	3.69395363934348e-16	1.03766201745956e-24	36451	RPS4Y1	0.0229185723674297	0.182048958309606	0.184517807806375	0.348937521149635	1	NBGMM (LN)
-13.8508164241156	-0.8957219383131	0.10115657782307	0.0740524663949847	-0.641449122402001	-0.290635042234224	5.69643193044609e-06	-3.35781431976366e-05	0.192221325460368	0.224308330127731	0.414279113677549	0.0455163394209867	0.605910142941328	0.452332853018897	1.72505135541067e-05	7.80206586640234e-05	0	6.51704806164171e-05	0.807095334542743	0.103749313533423	0.289757440126957	0.520532540515112	0.741235166113776	0.666922857246663	18098	LINC01515	0.117411137878537	-0.8957219383131	2.63851252270194	1.69102040630625	1	NBGMM (LN)
-13.9949765505171	-0.240219136778804	0.117128867972767	-0.0314443482188848	-0.379795998720523	0.115145982449272	-7.73454948119767e-05	0.000527900419622337	0.0869671430690501	0.062749922096184	0.12127554584244	0.0139386360404161	0.197896527248837	0.130781739268475	1.5038341121703e-05	8.19756119605953e-05	0	0.000129084807010973	0.334140365365336	0.0240760893215658	0.054963512979447	0.378618892271703	2.70069241171364e-07	1.19689951928125e-10	5562	AC069155.1	0.196497000409277	-0.240219136778804	0.345246965782493	0.658591227904461	1	NBGMM (LN)
-12.801916769169	0.136335279599599	4.35371961189846	0.000626696876364652	0.0546128891960867	-0.0459655877412593	-3.22653508156849e-06	-1.26152310750998e-05	0.0701392910539856	0.0356451332976736	0.138293769660417	0.00564869043654227	0.108979348434371	0.066676580804825	6.13995182505896e-06	3.09400435533097e-05	0	0.000130881661018613	1.54775941161707e-217	0.911659551657567	0.616279193572423	0.49058335013198	0.59923674021575	0.683470791851696	36453	ZFY	0.196497000409277	0.136335279599599	0.107375624599586	0.828436886643097	1	NBGMM (LN+HL)
-12.502281274966	0.112928233766667	4.91268344692633	-0.00253419298322225	0.0069803359229687	-0.0531342596257407	-7.86966097657584e-06	1.45246323320528e-05	0.0679817209762038	0.0296933462510851	0.135496072539313	0.00470695234179689	0.0902096660722483	0.0540523145049299	4.04002655532591e-06	2.12880766777051e-05	0	0.000142868100874409	7.7034730032218e-288	0.590305348720795	0.93832202710614	0.325599840558989	0.0514241675305415	0.495055877291055	36495	DDX3Y	0.197993208104104	0.112928233766667	0.0813471811503023	0.0502709595032629	1	NBGMM (LN)
-12.8023770266786	0.150848131541275	4.32962316375543	-0.00145158070443382	0.0268589209452908	-0.0396182389908587	-9.30085721331758e-07	-4.1862751329481e-05	0.0710838083006927	0.0403129628984701	0.140217095909519	0.00674465556754078	0.12240125399883	0.0760303257408072	5.94000053012733e-06	3.06279037587447e-05	0	0.000182615158635209	2.35851552915909e-209	0.829596268617388	0.826312469693607	0.602307773236445	0.875575807625354	0.171682552096512	36471	PRKY	0.234999621283709	0.150848131541275	0.160981517382796	0.657770713249097	1	NBGMM (LN)
-12.771086400681	0.147884437648423	0.013925434493956	0.0142224663485991	-0.29556963506924	0.0897614560563709	2.68859594187195e-05	-4.68208833771272e-05	0.0525405127254785	0.039909610256439	0.0838355997063833	0.00801560632519454	0.135141754671388	0.0918406445979528	9.83206429742868e-06	5.33058465207472e-05	0	0.000210987128014293	0.868075049643052	0.0760057849623552	0.0287346287298247	0.328390507693012	0.00624716290586911	0.379756933099447	13830	AC002383.1	0.253409606553701	0.147884437648423	0.176012876893103	5.59053299984676	1	NBGMM (LN+HL)
-10.8195267906732	0.17509423384304	0.0322209693876018	-0.001339331064297	-0.0578285551451155	0.0977157623479266	-5.29089248786361e-05	0.000366371401831443	0.0462079332774209	0.048272487760623	0.0918234415032792	0.00687181849162493	0.142639510717698	0.101697873067469	4.28055488152922e-06	2.28253684294147e-05	0	0.00028650524801455	0.725662360269788	0.845469680221008	0.685170642820642	0.336630753795155	4.28576328928999e-35	5.61943036629286e-58	7903	C4orf48	0.322604909264383	0.17509423384304	0.519922889909088	0.238428226770277	1	NBGMM (LN)
-14.8313201332751	-0.296627994392747	0.217779475131898	-0.0113273590594298	-0.45162445363979	0.056279502532315	-0.000118169940201595	0.000798268016977781	0.12037598579194	0.0830648420359302	0.157184177677828	0.0163159920398777	0.260476244072449	0.168287797057321	2.10048207018548e-05	0.000112307637220335	0	0.000355564606838973	0.165898083235343	0.487526148917058	0.0829462563620062	0.738059522636911	1.84598250543537e-08	1.17847999834532e-12	11278	AL022097.1	0.376814820988879	-0.296627994392747	0.550868055382488	0.805428637479661	1	NBGMM (LN)
-14.3983338785756	-0.240525269393764	0.0833723192218991	-0.0294654185555767	-0.355936418215511	0.0915978337076463	-1.10599539665288e-05	0.000188308931086556	0.104239738570904	0.0682081492186019	0.129286688564599	0.0163399043762027	0.215903972769667	0.139345924464597	1.57188799584012e-05	9.42905090839991e-05	0	0.00042134229949843	0.519015382643427	0.0713442924106176	0.099232335088539	0.510961474474352	0.481675965849249	0.0458127597430469	29576	AC005856.1	0.377392701716481	-0.240525269393764	0.053857593602319	3.16178910405999	1	NBGMM (LN+HL)
-12.2563433867351	-0.0913777591565718	0.0185285595226849	0.000349658052021791	-0.0930674072564938	0.0525298085746808	-6.10819872852467e-06	4.76383880316072e-05	0.0361811792268306	0.0259453626819611	0.0519364088523927	0.00560313183464731	0.0815723349701342	0.0569465790305957	6.62999850392501e-06	3.73094693784882e-05	0	0.000428416754894277	0.721275429175253	0.950241079357299	0.253903731873468	0.356299056525822	0.356895308489798	0.201657177377685	27985	AC105429.1	0.377392701716481	-0.0913777591565718	0.0203094763656417	0.226429791327192	1	NBGMM (LN+HL)
-9.86722354901596	-0.0528807235732782	-0.0545431746545525	-0.000492369420535018	-0.0205419098153923	0.0393626042965666	3.54054728276328e-06	-3.2706670767743e-05	0.0164802825394624	0.0150278568521696	0.0303919487543145	0.00289156154349904	0.046279767114049	0.0334341473669823	2.57711711354501e-06	1.38329597950273e-05	0	0.000433427180182079	0.0727080975864217	0.864791483754027	0.657141112531951	0.239068834391221	0.169491274787848	0.0180592293898281	32293	IGFL4	0.377392701716481	-0.0528807235732782	0.0528568533075333	0.21267998967158	1	NBGMM (LN)
