gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	6.19154536012016e-36	0.655277622589268	1.11546881207925e-31	0.655277622589268
USP9Y	1.74297259377674e-35	0.664448782858718	1.57006971247409e-31	0.664448782858718
NLGN4Y	2.95501361751686e-31	0.637520378646545	1.77458417777279e-27	0.637520378646545
UTY	2.21285343088716e-30	0.614389737234524	9.96669185271577e-27	0.614389737234524
PCDH11Y	6.34823652114443e-19	0.362687570584182	2.28739658329876e-15	0.362687570584182
KDM5D	6.41766104603344e-14	0.356575667410578	1.92700969008897e-10	0.356575667410578
TTTY10	1.01229490025484e-08	0.227901089550157	2.6053578461416e-05	0.227901089550157
TBL1Y	8.80897454631205e-07	0.199359947276535	0.00198378106782947	0.199359947276535
RPS4Y1	1.14491091977613e-05	0.182048958309606	0.0229185723674297	0.182048958309606
LINC01515	6.51704806164171e-05	-0.8957219383131	0.117411137878537	-0.8957219383131
AC069155.1	0.000129084807010973	-0.240219136778804	0.196497000409277	-0.240219136778804
ZFY	0.000130881661018613	0.136335279599599	0.196497000409277	0.136335279599599
DDX3Y	0.000142868100874409	0.112928233766667	0.197993208104104	0.112928233766667
PRKY	0.000182615158635209	0.150848131541275	0.234999621283709	0.150848131541275
AC002383.1	0.000210987128014293	0.147884437648423	0.253409606553701	0.147884437648423
C4orf48	0.00028650524801455	0.17509423384304	0.322604909264383	0.17509423384304
AL022097.1	0.000355564606838973	-0.296627994392747	0.376814820988879	-0.296627994392747
AC005856.1	0.00042134229949843	-0.240525269393764	0.377392701716481	-0.240525269393764
AC105429.1	0.000428416754894277	-0.0913777591565718	0.377392701716481	-0.0913777591565718
IGFL4	0.000433427180182079	-0.0528807235732782	0.377392701716481	-0.0528807235732782
CCT6B	0.000439900462702382	-0.139623987417035	0.377392701716481	-0.139623987417035
AC004949.1	0.000513570211529368	0.206483319339764	0.414250352159787	0.206483319339764
ERICH6	0.00054357021082412	-0.181053967864075	0.414250352159787	-0.181053967864075
INHBA-AS1	0.000551843275523695	-0.117910218691928	0.414250352159787	-0.117910218691928
GRPEL2	0.000598764154143771	-0.0930318362029162	0.431493400042167	-0.0930318362029162
AL161756.1	0.000731120230796088	-0.164918724726822	0.506610079923935	-0.164918724726822
TUBE1	0.000851281490932882	-0.0354511945534065	0.548633571912722	-0.0354511945534065
EFCAB13	0.000852672070024212	-0.110546811985166	0.548633571912722	-0.110546811985166
AC009812.1	0.000925349985881732	-0.144355352601833	0.556139564039775	-0.144355352601833
TMEM204	0.000933097335192911	-0.173131380400477	0.556139564039775	-0.173131380400477
PPP1R16A	0.000956945297803787	0.0578177464247248	0.556139564039775	0.0578177464247248
PET100	0.00101957824611995	0.162697835760705	0.571125602973604	0.162697835760705
