logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.4533446640095	0.80658428671978	6.37901055163488	0.000567523416219628	-0.196823236357644	0.133590034097481	1.19305857482979e-06	-1.09213574032412e-05	0.0620151686759943	0.0524953462435668	0.142047555575817	0.00742340973532553	0.188013972386061	0.135439614069628	1.07854538230468e-06	6.33770395963643e-06	0	2.81593327837663e-53	0	0.939060690696141	0.295166779792942	0.323964395250907	0.268651328443719	0.0848459192813125	36493	USP9Y	5.2359463378135e-49	0.80658428671978	0.684100168720058	0.0979597171757856	1	NBGMM (LN)
-11.32960938368	0.845220394953113	6.78703091686618	-0.000136717399074077	0.0184270364532715	0.113012424532296	1.06427959391015e-06	4.63836097362698e-06	0.0673806167500104	0.0564234706398479	0.155495820282852	0.00780721632845599	0.209398595388886	0.147803389543189	1.31408019134236e-06	7.14891455840245e-06	0	9.93016144519415e-51	0	0.986028422642839	0.929876827744968	0.444501899003674	0.417995006896669	0.516454526954239	36514	TTTY14	9.232071095597e-47	0.845220394953113	0.77771413595413	0.246747921909717	1	NBGMM (LN)
-11.7650333555785	0.758613463660813	6.19475038505124	-0.00180917659492506	-0.183436688149995	0.0662921897365635	9.51363858667223e-06	-6.33629684986942e-05	0.0649260280962428	0.0543976660074711	0.147124839353076	0.00759732385689191	0.189766820097848	0.137429257504822	1.39157488544421e-06	8.02558525872676e-06	0	3.34159158710702e-44	0	0.811777626818409	0.333722741953601	0.629540860865753	8.10956827131785e-12	2.90033201542785e-15	36501	NLGN4Y	2.07111846568893e-40	0.758613463660813	0.687404782061982	0.174470243329818	1	NBGMM (LN)
-11.7822466449688	0.632788110616872	5.66209950961133	-0.00498859109576332	-0.195661821782578	0.101519806429828	4.07505347990348e-06	-3.33917023236519e-05	0.0570111942281977	0.0477711986230407	0.1259635714088	0.00694370424752639	0.168790642178465	0.119482405624314	1.33983271232793e-06	8.11812272168587e-06	0	4.74467533199607e-40	0	0.47248991742402	0.24637537315393	0.395512348198158	0.00235430413459115	3.90162060859507e-05	36496	UTY	2.20556232807837e-36	0.632788110616872	0.56365047018811	0.0999222069840204	1	NBGMM (LN)
-12.9665442497943	0.718808932239322	6.17393274879629	-0.0029605531917248	-0.309751468116691	0.105462251660783	-8.75216304953903e-06	7.62222146339261e-05	0.0780856918606419	0.0613787427969059	0.179465501199952	0.00675708908052993	0.188711064156225	0.132154575308433	1.82333738942333e-06	1.15535241262321e-05	0	1.1189812980152e-31	2.37156802414615e-259	0.661284565636997	0.10071317056612	0.424857753427991	1.58603254987774e-06	4.18676329607939e-11	36517	KDM5D	4.16126765105893e-28	0.718808932239322	0.588705910553692	0.0359090524491981	1	NBGMM (LN)
-12.808240821841	0.457591294507015	5.35983147708316	-0.00597925315579721	-0.129208086043464	0.0372692974906577	-2.10424709585923e-06	-2.24103842236329e-05	0.0626000573662909	0.0487019549540943	0.133032177244144	0.00684883038277449	0.148621475686093	0.102510597155598	2.21212682989866e-06	1.37030042755467e-05	0	5.68127097062356e-21	0	0.382645232573755	0.384640983400256	0.716182631759846	0.341486326722191	0.101957715648319	36495	DDX3Y	1.76062587379624e-17	0.457591294507015	0.383320160191752	0.0773485192876771	1	NBGMM (LN)
-12.163261032797	0.342315599398016	4.80688259788226	-0.000381683666695629	-0.180199186248423	0.0202812048120982	1.07925978353523e-05	-9.42136279893223e-05	0.0484824281059298	0.040661198529296	0.0999397800917145	0.00631293342842118	0.131338195515583	0.0909734370208137	2.31119853185244e-06	1.35196682380707e-05	0	3.80591583474033e-17	0	0.951788804666725	0.170055895794094	0.823585739576791	3.01643687453332e-06	3.20031684225421e-12	36519	TTTY10	1.01095998615945e-13	0.342315599398016	0.340325620985983	0.45048702447977	1	NBGMM (LN)
-13.0364168562784	0.349123370854123	4.5932219179934	-0.00750165556569406	-0.0122584645549501	0.00919922454287625	-9.92653072922499e-06	6.21309359607691e-05	0.0564767938461577	0.0424077764867194	0.114604006381335	0.00684660564889427	0.131555289791247	0.0877173400607975	3.35486969274203e-06	2.01868596039528e-05	0	1.83297383367205e-16	0	0.273220968101128	0.925759701501097	0.916476186201009	0.00308796970106137	0.00208541077611454	36453	ZFY	4.26028943291227e-13	0.349123370854123	0.27346646841426	0.634290066594669	1	NBGMM (LN)
-13.1770487924426	0.372519800008375	4.83761673597844	-0.000726629404529633	-0.2567500051827	0.130781029835405	-2.5644948049802e-05	0.000202412316619199	0.0617320085319231	0.0470524924726304	0.126887841008607	0.00604808383872003	0.149260168337459	0.10045948614076	3.13065968003925e-06	1.9128982407252e-05	0	2.43092952970604e-15	4.9113435436447e-318	0.904370594557281	0.0854050248475858	0.192974992685071	2.5788820760822e-16	3.63302917650421e-26	36451	RPS4Y1	5.02230040837268e-12	0.372519800008375	0.357564587197618	0.309621975788672	1	NBGMM (LN)
-13.7277091605237	-0.856689109047825	0.0604001603312464	0.0527863813573873	-0.509472447396764	-0.382844745082603	-1.87362952034724e-05	1.10499163170048e-05	0.142087235739545	0.173481783312339	0.299650261549767	0.0344137427244689	0.439128966136491	0.3463098613225	9.06069793847738e-06	4.99838555799523e-05	0	7.8843772699759e-07	0.840253794980233	0.125060394991107	0.245972002387939	0.268944003094747	0.0386527706759938	0.825038156886426	18098	LINC01515	0.00146602110957932	-0.856689109047825	2.10387212701469	2.70436475766664	1	NBGMM (LN)
