gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
USP9Y	2.81593327837663e-53	0.80658428671978	5.2359463378135e-49	0.80658428671978
TTTY14	9.93016144519415e-51	0.845220394953113	9.232071095597e-47	0.845220394953113
NLGN4Y	3.34159158710702e-44	0.758613463660813	2.07111846568893e-40	0.758613463660813
UTY	4.74467533199607e-40	0.632788110616872	2.20556232807837e-36	0.632788110616872
KDM5D	1.1189812980152e-31	0.718808932239322	4.16126765105893e-28	0.718808932239322
DDX3Y	5.68127097062356e-21	0.457591294507015	1.76062587379624e-17	0.457591294507015
TTTY10	3.80591583474033e-17	0.342315599398016	1.01095998615945e-13	0.342315599398016
ZFY	1.83297383367205e-16	0.349123370854123	4.26028943291227e-13	0.349123370854123
RPS4Y1	2.43092952970604e-15	0.372519800008375	5.02230040837268e-12	0.372519800008375
LINC01515	7.8843772699759e-07	-0.856689109047825	0.00146602110957932	-0.856689109047825
PCDH11Y	1.04968637514437e-06	0.1240935174646	0.00177435167813041	0.1240935174646
FA2H	1.70693635870869e-06	-0.373273829818598	0.00264489788781912	-0.373273829818598
LINC00326	3.38585974569003e-06	0.38518125801038	0.00484282123933541	0.38518125801038
AC027796.1	2.95523603262841e-05	0.113079063368652	0.0378680938701033	0.113079063368652
AC093655.1	3.05486397790443e-05	0.164543534285761	0.0378680938701033	0.164543534285761
C4orf48	4.45119091443285e-05	0.222210878841434	0.0504604196310147	0.222210878841434
PRKY	4.61346205080806e-05	0.183127956303629	0.0504604196310147	0.183127956303629
AC020917.3	6.14868670848329e-05	0.138247132385763	0.0635159336986324	0.138247132385763
AC244502.1	0.00010114467538544	-0.227418755066125	0.0989833733745722	-0.227418755066125
ST18	0.000130215063518274	-0.26080089977573	0.121060944552939	-0.26080089977573
AL133243.2	0.000182274193550385	0.0622205591087772	0.161390778803612	0.0622205591087772
CFAP298	0.000209733162647269	-0.0384840406717618	0.177262655739242	-0.0384840406717618
FKBP14	0.000245568067988952	-0.0464988218136458	0.190132431261604	-0.0464988218136458
OR2M2	0.000258099072430843	0.171540633621812	0.190132431261604	0.171540633621812
AL139353.2	0.000263765582977963	-0.102982862449945	0.190132431261604	-0.102982862449945
AC004949.1	0.000265862278842729	0.173168678101093	0.190132431261604	0.173168678101093
LINC01608	0.000278541703602564	-0.282871041907685	0.191822386547633	-0.282871041907685
AC126773.3	0.000366759968498683	-0.139063328903742	0.243554816223733	-0.139063328903742
AC073534.2	0.000444081899622239	0.13033234192239	0.284733063502618	0.13033234192239
REEP3	0.000536081570319287	-0.0414349181326829	0.332263357283894	-0.0414349181326829
AC004231.1	0.000561134288795403	-0.161863536970536	0.336571966640701	-0.161863536970536
SBK1	0.00062474854715296	0.0391332971203049	0.363017952680067	0.0391332971203049
KRTCAP3	0.000655179651840808	-0.112663474807265	0.36916395291903	-0.112663474807265
AC073525.1	0.000684889780329754	-0.172660118169323	0.374554134572101	-0.172660118169323
RHD	0.000706574893642949	-0.184897379622087	0.375372959211343	-0.184897379622087
AL591845.1	0.000763253315609828	-0.100696997621168	0.381443956388405	-0.100696997621168
COQ7	0.000806388399314953	-0.0567947276152672	0.381443956388405	-0.0567947276152672
PRKAR2A-AS1	0.000812134558671849	-0.135788613284133	0.381443956388405	-0.135788613284133
ZNF561-AS1	0.000821822960536817	-0.0641948175301161	0.381443956388405	-0.0641948175301161
BID	0.000839044798840236	0.0730982364895412	0.381443956388405	0.0730982364895412
MOG	0.000841088642138571	-0.257804299994992	0.381443956388405	-0.257804299994992
AHRR	0.000891030280386202	-0.087408529705307	0.394471834130977	-0.087408529705307
LRRC38	0.000963333882898808	0.0520242660585642	0.408130915613184	0.0520242660585642
S1PR3	0.00100514436388568	-0.109757729554651	0.408130915613184	-0.109757729554651
HCK	0.00101239467839668	0.176624671466168	0.408130915613184	0.176624671466168
CUL2	0.00101925726806707	-0.0304059818122254	0.408130915613184	-0.0304059818122254
AC021683.3	0.00103213689337161	0.139229619071303	0.408130915613184	0.139229619071303
OR2L5	0.00105358093736866	0.100154302262382	0.408130915613184	0.100154302262382
PCSK6	0.00107811834127245	-0.0894662752233758	0.409112906890202	-0.0894662752233758
OR2L3	0.00110342258242248	0.0868281125839122	0.410340789951272	0.0868281125839122
AC007996.1	0.00116156176879289	-0.157204939637312	0.415581173798914	-0.157204939637312
TBC1D8-AS1	0.00116366953975376	-0.0898180670816752	0.415581173798914	-0.0898180670816752
TTC39A-AS1	0.00121092049609856	-0.132828302013639	0.415581173798914	-0.132828302013639
SPAG5-AS1	0.00122011136442734	-0.104223588127947	0.415581173798914	-0.104223588127947
AL359317.1	0.00122926559959881	0.0457557438338994	0.415581173798914	0.0457557438338994
AC018541.1	0.00125220267248767	0.209029539485627	0.415776008789923	0.209029539485627
ELP3	0.00132073129610577	-0.0280957531002222	0.430836451224399	-0.0280957531002222
HSPB1	0.00137172239732713	0.273445331432033	0.43975528027415	0.273445331432033
ENPP2	0.00142850323664622	-0.214658505497853	0.447707213679319	-0.214658505497853
AC044849.1	0.00144468284504459	-0.150738324035085	0.447707213679319	-0.150738324035085
AL078581.4	0.00147677722756883	-0.154204626420857	0.450150750318276	-0.154204626420857
SERPINE1	0.00150998858368245	-0.572953533145255	0.452850447177281	-0.572953533145255
C17orf50	0.0016272331126703	-0.160728595466592	0.477747031622124	-0.160728595466592
IGFL4	0.00164439120274368	-0.0534699157525625	0.477747031622124	-0.0534699157525625
SH3PXD2A-AS1	0.00167185554797297	-0.182831112457854	0.478253570138606	-0.182831112457854
CLDN11	0.00170522061613741	-0.226434359737585	0.480407153582712	-0.226434359737585
CCNQ	0.00173769350722398	-0.065314141930996	0.482248851840637	-0.065314141930996
ORMDL1	0.0017693546932099	-0.0477844424340419	0.482922022020695	-0.0477844424340419
GIPC2	0.00179206300523975	0.0751729665830317	0.482922022020695	0.0751729665830317
MOGS	0.0018672787155736	-0.0578695013910599	0.489901027767732	-0.0578695013910599
AC125793.1	0.00187332252366897	-0.189760009905497	0.489901027767732	-0.189760009905497
C10orf90	0.00193127673622788	-0.197823368752075	0.489901027767732	-0.197823368752075
PPP2R3A	0.00194044318594837	-0.0319981139946902	0.489901027767732	-0.0319981139946902
AURKA	0.00194969753978768	-0.0833047727689335	0.489901027767732	-0.0833047727689335
SLC7A14	0.0020329046180374	-0.0272685663212993	0.500661491821262	-0.0272685663212993
AGBL3	0.00204637374305776	-0.047431200933861	0.500661491821262	-0.047431200933861
PAPPA	0.00212153668820732	-0.112703063962538	0.512309781565284	-0.112703063962538
POLR3F	0.00218720860360771	-0.0368421171416312	0.521396881736945	-0.0368421171416312
SBNO1-AS1	0.00224694397492316	-0.106565492274716	0.528856661642041	-0.106565492274716
AC010632.1	0.00234331906487469	-0.0754527496125888	0.544645933653499	-0.0754527496125888
NIBAN1	0.00239266994343595	-0.15388260453807	0.545018129643224	-0.15388260453807
CTBP1	0.00240354343501906	0.0499709321490944	0.545018129643224	0.0499709321490944
AC027808.2	0.00246551405575458	-0.142173337324662	0.548649065030526	-0.142173337324662
OTOGL	0.0024785695096571	-0.232194634549181	0.548649065030526	-0.232194634549181
