logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.2570662046114	0.791791270745856	6.12667977411964	-0.00728531161232954	-0.0666554160593809	0.104796985524341	7.14041464287895e-06	-9.59222115366387e-05	0.07053740875866	0.0592019715617368	0.167664291509506	0.00813405516771481	0.206022496178717	0.142372666718711	2.29986455433771e-06	1.02464146880888e-05	0	8.53313629798478e-41	2.44656955632363e-292	0.370436760167169	0.746290370914715	0.461684949818573	0.00190465062154162	7.85835208404147e-21	36501	NLGN4Y	9.96834657185754e-37	0.791791270745856	0.698252060344563	0.194011374767691	1	NBGMM (LN)
-10.9861100582862	0.712664997648622	6.09903620073535	-0.0023026316623756	-0.0210780966579763	0.0447505131996497	6.38522774754045e-06	-1.3753410975287e-05	0.0633623762397018	0.0533803886697977	0.145749316438317	0.00681012550360809	0.193416184865117	0.132253083049822	2.18851345595569e-06	9.65530084649963e-06	0	1.17357506143837e-40	0	0.735273641620253	0.913219990438352	0.735084165155577	0.00352725727345182	0.154318715488517	36514	TTTY14	9.96834657185754e-37	0.712664997648622	0.646493150806409	0.216171523938574	1	NBGMM (LN)
-11.3384789064721	0.767244899063876	6.21984968117784	-0.00511270352578757	-0.11672004964312	0.0741992245902213	9.86162675948253e-07	-3.28941170212191e-06	0.0688926063266897	0.0576612380474592	0.163076355417872	0.00727672707956955	0.201036505097186	0.139166490942665	1.9318305866269e-06	9.07244696789793e-06	0	2.13394534163007e-40	2.71019710026216e-318	0.482298630734892	0.561515924440537	0.593916768766097	0.609714570840428	0.716924921226633	36493	USP9Y	1.20838211545372e-36	0.767244899063876	0.672051577327451	0.097139145065487	1	NBGMM (LN)
-11.5165646372239	0.603997367090334	5.44431842826942	-0.0112238904253789	-0.120717901475605	0.112956809406918	8.80913369336275e-06	-5.04811647032234e-05	0.0624350074182754	0.0513761137277041	0.142049953385234	0.00794379048756346	0.180815143446981	0.123059899944087	2.29668529787349e-06	1.10789501154282e-05	0	6.54782871365242e-32	2.19365146753513e-321	0.157681099800115	0.504368788612868	0.358670680258166	0.000125265325801403	5.20146364796885e-06	36496	UTY	2.78086285468818e-28	0.603997367090334	0.559348193579352	0.104081149614988	1	NBGMM (LN)
-12.4113881644822	0.506736015651871	5.2179532965316	-0.00922814501070588	-0.247372212669713	0.0653030904281389	-3.33921131628791e-06	3.42092114846739e-05	0.0702829288930419	0.053292781065514	0.155910088108114	0.00758000900730147	0.171242817844082	0.1124258698026	3.30621348244332e-06	1.66260818889565e-05	0	1.93375431235298e-21	1.42240145554585e-245	0.223439919875421	0.148578744996748	0.561338411978613	0.312504607965669	0.0396320982810803	36517	KDM5D	6.57012365165047e-18	0.506736015651871	0.435435922343397	0.0714955426861091	1	NBGMM (LN)
-11.8683472152356	0.348330659500599	4.77315368763384	0.00217208294337838	-0.172127086816793	-0.0124736645530479	1.46281524652311e-05	-0.00010103596492598	0.0545885282096308	0.0423996563541127	0.11513796813585	0.00643346227570295	0.138250360590314	0.0901246300805274	4.01609213039298e-06	1.84603911530586e-05	0	2.1143647915164e-16	0	0.735647528923939	0.21311742513516	0.889920651414754	0.000270123996893437	4.42176558605483e-08	36519	TTTY10	5.98647151304678e-13	0.348330659500599	0.300971326699635	0.527962903502562	1	NBGMM (LN)
-12.3182993212585	0.314944176404488	4.80566056226859	-0.00518757728825361	0.0558798992196958	0.0289955023355798	-3.06655788312243e-06	-2.92750217518315e-05	0.0621015967135319	0.0437827792748899	0.13021764188395	0.00637998262403517	0.13516027746606	0.0869014580230807	3.97381447857705e-06	1.94055526747932e-05	0	6.32277857287925e-13	3.86543782502837e-298	0.416159520872357	0.679288424298293	0.73863646804377	0.440297311243434	0.131403603880495	36495	DDX3Y	1.53444803422961e-09	0.314944176404488	0.254300639315842	0.110868532390438	1	NBGMM (LN)
-12.691019631796	0.308610263813144	4.50878089121545	-0.0115863294197491	-0.1312887463522	0.0588691444437696	-4.57459817146163e-05	0.000259250503644633	0.0648136206500455	0.0466592676531758	0.133808904526417	0.00735740279338828	0.148493090436979	0.0949135390872407	5.31603737796435e-06	2.52325806158719e-05	0	3.73753924206085e-11	6.68930210783416e-249	0.115306021483735	0.376620405076101	0.535099991797521	7.61317371516777e-18	9.1881432526078e-25	36451	RPS4Y1	7.93666458051621e-08	0.308610263813144	0.28721486240059	0.389863216687064	1	NBGMM (LN)
-12.5551681574802	0.258441958123729	4.19193792670559	-0.00672708119699028	0.0460928399021548	0.0361451758139573	-8.64849233998839e-06	3.08293324143646e-05	0.0596324862665712	0.0395415975374696	0.121551224858444	0.00681049948007435	0.125243591003854	0.0793964538535075	5.52110636856915e-06	2.6406885737521e-05	0	6.32064571701636e-11	1.25619805072532e-260	0.323274357014658	0.712854192299142	0.648929934792519	0.117245200698803	0.24301930949331	36453	ZFY	1.19305699378527e-07	0.258441958123729	0.188634730355327	0.61226219697794	1	NBGMM (LN)
-9.31211193323909	0.161512174577243	3.45562329873075	-0.00134526437447333	-0.0603929822037552	-0.00734005776695229	-1.10134216892474e-05	-2.29845522167796e-05	0.0268514344469498	0.0250745307825081	0.0543657609261289	0.00430228286416779	0.0832879464818486	0.059764357024729	3.60643804807717e-06	1.47739179758201e-05	0	1.18466938038153e-10	0	0.754519099677379	0.468384113082295	0.90225229395297	0.00225945715635618	0.119767079711849	36460	PCDH11Y	2.01251634339214e-07	0.161512174577243	0.194591458610119	1.31015030245471	1	NBGMM (LN)
