gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	8.53313629798478e-41	0.791791270745856	9.96834657185754e-37	0.791791270745856
TTTY14	1.17357506143837e-40	0.712664997648622	9.96834657185754e-37	0.712664997648622
USP9Y	2.13394534163007e-40	0.767244899063876	1.20838211545372e-36	0.767244899063876
UTY	6.54782871365242e-32	0.603997367090334	2.78086285468818e-28	0.603997367090334
KDM5D	1.93375431235298e-21	0.506736015651871	6.57012365165047e-18	0.506736015651871
TTTY10	2.1143647915164e-16	0.348330659500599	5.98647151304678e-13	0.348330659500599
DDX3Y	6.32277857287925e-13	0.314944176404488	1.53444803422961e-09	0.314944176404488
RPS4Y1	3.73753924206085e-11	0.308610263813144	7.93666458051621e-08	0.308610263813144
ZFY	6.32064571701636e-11	0.258441958123729	1.19305699378527e-07	0.258441958123729
PCDH11Y	1.18466938038153e-10	0.161512174577243	2.01251634339214e-07	0.161512174577243
LINC01515	1.09558889107213e-05	-0.940909040211063	0.0169198764377576	-0.940909040211063
HIST1H2BE	9.43307483414381e-05	0.156703348637792	0.123346575775318	0.156703348637792
FCHSD1	9.43904806380467e-05	-0.15642112013656	0.123346575775318	-0.15642112013656
ZNF654	0.000139927338003301	-0.034174231559307	0.167387019489225	-0.034174231559307
C4orf48	0.000147798757495784	0.213428403258267	0.167387019489225	0.213428403258267
TTC30A	0.000196744111129028	-0.164176163739021	0.208893059991245	-0.164176163739021
DCTN1	0.000239035655121312	0.0686226634545754	0.235412107798734	0.0686226634545754
LINC00486	0.000257509010485288	0.212663498862231	0.235412107798734	0.212663498862231
AC026341.1	0.000296522701825775	-0.057140836095833	0.235412107798734	-0.057140836095833
C12orf73	0.000301936243120896	0.0579189359617783	0.235412107798734	0.0579189359617783
AC139491.1	0.00032220998900495	-0.160798187867543	0.235412107798734	-0.160798187867543
AC003659.1	0.000323237789533299	0.104660581733468	0.235412107798734	0.104660581733468
RPS17	0.000326064942856577	0.172339046547818	0.235412107798734	0.172339046547818
MSS51	0.000340884724294526	-0.0663126887842969	0.235412107798734	-0.0663126887842969
UPRT	0.000346438821224885	-0.0612382730231884	0.235412107798734	-0.0612382730231884
DYNC1LI2	0.000388181181747461	-0.0300402487589482	0.253631612135611	-0.0300402487589482
AC025178.1	0.000511784446239718	0.081025725642155	0.309424689195865	0.081025725642155
SRRD	0.000525968659780325	-0.0905462038351147	0.309424689195865	-0.0905462038351147
IL7	0.000528214974492588	-0.194875739052494	0.309424689195865	-0.194875739052494
EIF1AY	0.000635380531377459	0.158163773928113	0.359794815568009	0.158163773928113
CCDC125	0.00068597829438015	0.056222755375249	0.370522016625504	0.056222755375249
CTHRC1	0.000704221240242241	-0.192380283501433	0.370522016625504	-0.192380283501433
COL19A1	0.000754563202032095	-0.0427907581719996	0.370522016625504	-0.0427907581719996
MED22	0.000761110124736623	0.0736003991902435	0.370522016625504	0.0736003991902435
SNX7	0.000778669439549957	0.0532566262096117	0.370522016625504	0.0532566262096117
KCTD18	0.000791544406132942	-0.060314095510519	0.370522016625504	-0.060314095510519
NCK2	0.000837041731573882	-0.0464184622841698	0.370522016625504	-0.0464184622841698
RPL36	0.000848281906390915	0.138836926445793	0.370522016625504	0.138836926445793
KLHL9	0.000850621535695471	0.0641120107366905	0.370522016625504	0.0641120107366905
KCTD21	0.000918662906314879	0.0803128632767305	0.383201270246445	0.0803128632767305
FN3K	0.000924844129980235	-0.065287681475433	0.383201270246445	-0.065287681475433
CCDC85B	0.00102783684720563	0.131633679233262	0.405457990099553	0.131633679233262
RHBDD2	0.00103806125206817	0.0963210359255407	0.405457990099553	0.0963210359255407
FAM114A2	0.00105016197106077	-0.0543727623934065	0.405457990099553	-0.0543727623934065
SNHG6	0.00110454568286738	0.103683172537688	0.416978268012246	0.103683172537688
ZFYVE28	0.00124132066314914	-0.0296532535792618	0.448719086686078	-0.0296532535792618
SELENOM	0.00125071401129646	0.12881982408566	0.448719086686078	0.12881982408566
HSPB1	0.00126786650346902	0.306440116953265	0.448719086686078	0.306440116953265
AL627309.5	0.0013299845292634	0.117207916136001	0.461097493533195	0.117207916136001
PRDM10	0.0013653096016967	-0.042112786356609	0.46387759027247	-0.042112786356609
PCTP	0.00142304963874958	-0.0542897397064101	0.474015044374076	-0.0542897397064101
AC009063.3	0.0015403001899607	-0.184799170878923	0.48596349858437	-0.184799170878923
AC078883.1	0.00154367300593201	-0.162955731226433	0.48596349858437	-0.162955731226433
UQCR11	0.00156575561321117	0.108031986701384	0.48596349858437	0.108031986701384
AL162377.1	0.00157334544514601	-0.175308042102153	0.48596349858437	-0.175308042102153
LEPROT	0.00161621084181388	-0.0546877512697349	0.490289103227395	-0.0546877512697349
Z97832.2	0.00165898820970149	0.098014727631044	0.494436696603666	0.098014727631044
ACTB	0.00174739301539229	0.0983950256310104	0.507064545337883	0.0983950256310104
ANKRD6	0.00179627906625494	0.041286037847643	0.507064545337883	0.041286037847643
PET100	0.00181911961189507	0.149150398658255	0.507064545337883	0.149150398658255
ERICH1	0.00183604760396911	-0.0497870252796271	0.507064545337883	-0.0497870252796271
TNKS	0.00185513486396228	-0.0223780715976954	0.507064545337883	-0.0223780715976954
SRPRA	0.00193063791045088	-0.0661397008258347	0.507064545337883	-0.0661397008258347
MYOZ3	0.00193263437324141	0.0856300661019005	0.507064545337883	0.0856300661019005
AGBL3	0.00194014571738653	-0.0485202302303494	0.507064545337883	-0.0485202302303494
UBQLN4	0.00198549453114589	0.060171296327751	0.508680986654712	0.060171296327751
CEACAM19	0.0020062176893022	-0.0566722013709828	0.508680986654712	-0.0566722013709828
RPL21	0.00208853038861001	0.127569242578377	0.510901269050313	0.127569242578377
PSMB6	0.00210875611194297	0.153442946089841	0.510901269050313	0.153442946089841
ZNF600	0.00213048844701464	0.145236113976415	0.510901269050313	0.145236113976415
AC004054.1	0.00219402412945383	-0.186181740982134	0.510901269050313	-0.186181740982134
KISS1R	0.00220551218218593	-0.166140405345374	0.510901269050313	-0.166140405345374
CDKN2B-AS1	0.00224233294766903	-0.106138206627606	0.510901269050313	-0.106138206627606
CXADR	0.00225398380413626	0.0431321982018355	0.510901269050313	0.0431321982018355
PSENEN	0.00227816638943212	0.168834300820866	0.510901269050313	0.168834300820866
AC103758.1	0.0023118630259593	-0.176525869196515	0.510901269050313	-0.176525869196515
VARS2	0.00231571684229304	0.0580859386056928	0.510901269050313	0.0580859386056928
STYXL1	0.00237494927364789	0.0551743924263052	0.511520144382446	0.0551743924263052
SRA1	0.00237874331329252	0.0475285559395792	0.511520144382446	0.0475285559395792
RNF207	0.00243755982319392	-0.0529156297528228	0.512617502700945	-0.0529156297528228
WWC2	0.00244419694600757	-0.0281053535614041	0.512617502700945	-0.0281053535614041
AP1M1	0.00251972614107554	0.0335861679108882	0.518124777633336	0.0335861679108882
GOLGA6L4	0.00260788944194052	0.0804220244661138	0.518124777633336	0.0804220244661138
DYNLL2	0.00261504846862875	0.0811919003629348	0.518124777633336	0.0811919003629348
MON1A	0.00264608676519953	0.0545001359750705	0.518124777633336	0.0545001359750705
COPS9	0.00265026635905178	0.141090573348164	0.518124777633336	0.141090573348164
ZNF224	0.00267550411853103	-0.0376739324457256	0.518124777633336	-0.0376739324457256
OR2M4	0.00271511917545205	0.12449402081163	0.518124777633336	0.12449402081163
SCAND1	0.00277792847981152	0.12888484402272	0.518124777633336	0.12888484402272
SLC2A12	0.00278472272711925	0.133726438151544	0.518124777633336	0.133726438151544
TMCO3	0.00279647263546862	-0.0327583198173194	0.518124777633336	-0.0327583198173194
MIF	0.00288291556252902	0.133458982176608	0.518124777633336	0.133458982176608
SNTB1	0.00289540826096139	0.162534976947853	0.518124777633336	0.162534976947853
C7orf25	0.00290464231551956	-0.0863440574395468	0.518124777633336	-0.0863440574395468
WASHC1	0.00290847534938748	0.0719671024845527	0.518124777633336	0.0719671024845527
AC004034.1	0.00292794788396517	-0.151576189645471	0.518124777633336	-0.151576189645471
LINC01170	0.00297959931141019	0.162449848412339	0.519859719565459	0.162449848412339
RPL7	0.00304998260365757	0.141808173376585	0.519859719565459	0.141808173376585
NLRP3	0.00312910991391839	-0.166226629117466	0.519859719565459	-0.166226629117466
PRPS1	0.00313101137507223	0.0994070340770488	0.519859719565459	0.0994070340770488
ATP6V0C	0.00314134406794671	0.0981763654986031	0.519859719565459	0.0981763654986031
AC005838.2	0.0031664635813501	0.0785657409367689	0.519859719565459	0.0785657409367689
NEBL	0.00316802068310384	-0.0209172319546655	0.519859719565459	-0.0209172319546655
B3GAT3	0.00318365195465387	0.0625779535357749	0.519859719565459	0.0625779535357749
LINC01179	0.00321316638535279	-0.473908412765347	0.519859719565459	-0.473908412765347
TBP	0.0032742074731711	-0.0504958639272893	0.522315827986737	-0.0504958639272893
LPXN	0.00328983950992353	-0.0597735777273047	0.522315827986737	-0.0597735777273047
DOHH	0.00336872340408774	0.0938615406590492	0.52521054125552	0.0938615406590492
PDHX	0.00336990516816881	-0.0269027287277853	0.52521054125552	-0.0269027287277853
