gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
UTY	1.20377971670495e-21	0.567090677017909	1.61836145113814e-17	0.567090677017909
NLGN4Y	6.04142715147304e-19	0.528850422293446	4.06104733122018e-15	0.528850422293446
LINC00278	4.66830707163908e-17	0.535194578404884	2.09202400903719e-13	0.535194578404884
USP9Y	2.01735856610621e-13	0.399993745379563	6.78034214068298e-10	0.399993745379563
LINC00486	3.36064246675488e-05	0.296986507214846	0.0903609546461052	0.296986507214846
RPS6KA2	6.94552800577025e-05	-0.0739777219508534	0.155626130849292	-0.0739777219508534
AC138627.1	0.000136767096791665	0.206387077390653	0.253952928144135	0.206387077390653
NFKBID	0.000151117481787644	-0.135340769083598	0.253952928144135	-0.135340769083598
AC113143.3	0.000223903988383079	0.119671754766165	0.320510708570319	0.119671754766165
NR4A3	0.000240282657121664	-0.407897908857292	0.320510708570319	-0.407897908857292
WWTR1	0.000280084023798964	0.131141139412754	0.320510708570319	0.131141139412754
AC022182.1	0.000294020025811895	0.105759029963115	0.320510708570319	0.105759029963115
NPIPB13	0.000309925558718696	0.149406054964093	0.320510708570319	0.149406054964093
TTTY10	0.000363966748559491	0.263398059302094	0.349512069116699	0.263398059302094
NPFFR1	0.000429983508263285	-0.347853907080715	0.357931125972895	-0.347853907080715
RPS28	0.000443656079675774	0.145583859402161	0.357931125972895	0.145583859402161
STXBP6	0.000470382196325495	0.212495568932848	0.357931125972895	0.212495568932848
BTG2	0.000487170575701445	-0.0939448178810431	0.357931125972895	-0.0939448178810431
LINC01515	0.000530712472201879	-0.398570832573674	0.357931125972895	-0.398570832573674
ZNF558	0.000554053071036049	0.0798467716290515	0.357931125972895	0.0798467716290515
DPY19L3	0.000559100985229901	0.052038354097294	0.357931125972895	0.052038354097294
MED4	0.00058628345407526	0.0422507064022536	0.358272488935809	0.0422507064022536
STAM-AS1	0.000682995163783776	-0.186259184432599	0.379853034468559	-0.186259184432599
ANKDD1A	0.000730304005216483	-0.11372725431642	0.379853034468559	-0.11372725431642
PADI2	0.000744458080448601	-0.116269116848177	0.379853034468559	-0.116269116848177
C3orf33	0.00075379290577681	0.129488889905884	0.379853034468559	0.129488889905884
AC083862.3	0.000762870569075505	-0.186674395559265	0.379853034468559	-0.186674395559265
PRXL2C	0.00082247397429458	-0.0881769965121175	0.388437534332414	-0.0881769965121175
CABYR	0.000837897091315085	0.126894903630443	0.388437534332414	0.126894903630443
AC096667.1	0.000877115403996816	-0.254433786688516	0.393064649711106	-0.254433786688516
MSH2	0.00102085414429906	0.100566116196548	0.438817939690164	0.100566116196548
KCNIP1	0.00107144829879011	-0.100150625850075	0.438817939690164	-0.100150625850075
LINC00649	0.00107713418698121	0.187774488232528	0.438817939690164	0.187774488232528
RUNX1T1	0.00115628673428454	0.223193029686814	0.441510539511276	0.223193029686814
CERNA2	0.00117438580705619	-0.204234247692942	0.441510539511276	-0.204234247692942
KIF4A	0.00118226565177075	-0.365950693155345	0.441510539511276	-0.365950693155345
TNNI2	0.00126988719490146	-0.16942525559354	0.46132358122821	-0.16942525559354
IGSF8	0.00130394942626242	0.371817845553755	0.46132358122821	0.371817845553755
AL136441.1	0.00137469504011335	0.131655287890086	0.465883766399739	0.131655287890086
PTGES2	0.00140921494880002	-0.114167403477363	0.465883766399739	-0.114167403477363
AC130895.1	0.00143696204528693	0.115358489226927	0.465883766399739	0.115358489226927
DOCK4-AS1	0.00145545359928511	-0.207076243394443	0.465883766399739	-0.207076243394443
NEMP2	0.00154445865226862	-0.10158358466779	0.479505465046996	-0.10158358466779
NMT1	0.00156934249197172	0.0505495022380166	0.479505465046996	0.0505495022380166
COX4I1	0.00168794136006066	0.236407975792384	0.504281858770124	0.236407975792384
MELK	0.0018887547139038	-0.346032425348174	0.537346950574353	-0.346032425348174
ZFP36	0.00195395873387433	-0.132405789609512	0.537346950574353	-0.132405789609512
HNRNPA3	0.00198781024588773	-0.0293932209823516	0.537346950574353	-0.0293932209823516
MAF	0.00199197400522782	0.0724606939532254	0.537346950574353	0.0724606939532254
ZNF425	0.00199846381498941	0.107394940700137	0.537346950574353	0.107394940700137
ASTE1	0.00207876449494739	0.0969420138306577	0.547978624903387	0.0969420138306577
AP002433.2	0.00215974288692851	0.126513075577859	0.55046175066564	0.126513075577859
TRMT10C	0.00217007384597433	0.134472995647731	0.55046175066564	0.134472995647731
ADNP	0.00232324367967121	0.0232879911232624	0.553828458264592	0.0232879911232624
ZNF320	0.00232341219834841	0.0940570461637662	0.553828458264592	0.0940570461637662
AC136604.2	0.0024059682318265	0.182794384397564	0.553828458264592	0.182794384397564
AC145285.6	0.00241483837936646	-0.157171511773171	0.553828458264592	-0.157171511773171
Z98884.1	0.00242742398268519	0.172503796053042	0.553828458264592	0.172503796053042
ZNF185	0.00243051763147954	0.100966316805194	0.553828458264592	0.100966316805194
RGS16	0.00256688361820253	-0.161057821566674	0.575153056051913	-0.161057821566674
GSTK1	0.00263617902044257	-0.0655440983168779	0.580529523516256	-0.0655440983168779
KIF18B	0.00267724118253554	-0.407271484941125	0.580529523516256	-0.407271484941125
IL1B	0.00272497999068545	-0.193404624503042	0.581502079282145	-0.193404624503042
FAM49B	0.00290218039407449	-0.0213589679202653	0.603976731098171	-0.0213589679202653
GPRASP1	0.0029201493247085	0.309847846086032	0.603976731098171	0.309847846086032
VPS33B	0.00306667738262886	-0.0695961312198681	0.620300812233977	-0.0695961312198681
NXPE3	0.00309135334868167	0.0716624912419239	0.620300812233977	0.0716624912419239
AC092910.3	0.00317073537037944	0.100842976850428	0.626873034108548	0.100842976850428
NBPF20	0.00327036862973514	0.128039161254277	0.629155873362161	0.128039161254277
HLA-B	0.00327587854324243	0.101601625231009	0.629155873362161	0.101601625231009
AC016727.1	0.00340872645043665	0.112607049909858	0.645449554924933	0.112607049909858
PORCN	0.00349218609712655	0.182176995063287	0.65206874846902	0.182176995063287
NSD1	0.00362239493967731	0.0246905145655717	0.657735691879605	0.0246905145655717
FMNL1	0.00370911747568961	-0.0400970387635792	0.657735691879605	-0.0400970387635792
DMTF1	0.00373405332263732	0.0300905864258323	0.657735691879605	0.0300905864258323
