gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	6.63617048608426e-42	0.871007509137421	1.13332519561347e-37	0.871007509137421
UTY	8.12540313562234e-32	0.675800881043263	6.93828173750792e-28	0.675800881043263
USP9Y	6.9502174002918e-31	0.633839780954466	3.95652709207278e-27	0.633839780954466
TTTY14	9.1048631454534e-25	0.599307037404901	3.88732131995133e-21	0.599307037404901
KDM5D	1.14234209066099e-19	0.485137198113975	3.90178364486168e-16	0.485137198113975
PCDH11Y	3.10697380696152e-12	0.236056251729707	8.84348311254815e-09	0.236056251729707
ZFY	1.46170839981747e-10	0.287850071384593	3.56615086458325e-07	0.287850071384593
RPS4Y1	6.93653585996878e-07	0.197477196784517	0.00148077699270684	0.197477196784517
TTTY10	3.23469781930711e-06	0.145514705521112	0.00613801881756966	0.145514705521112
OR2L2	2.15746572933823e-05	0.187613415840042	0.0368451997256383	0.187613415840042
DDX3Y	6.47792433669427e-05	0.169380950029673	0.100572719838241	0.169380950029673
EXTL3-AS1	0.000221003312119612	-0.137146077592683	0.299643572168394	-0.137146077592683
LINC00486	0.000228092659455974	0.244528574272813	0.299643572168394	0.244528574272813
AC010491.1	0.000340939124055628	0.130380709213412	0.415897025758715	0.130380709213412
OR2L5	0.000395420987336925	0.160677801994183	0.450199974782667	0.160677801994183
ANKRD6	0.000422638022493599	0.0405513374640914	0.451113259259105	0.0405513374640914
SINHCAF	0.000469897446700245	-0.181237376623739	0.452386258903409	-0.181237376623739
ATP5F1B	0.000476809501127847	0.174351226075672	0.452386258903409	0.174351226075672
MAGEE1	0.000556647902244471	0.24947918062013	0.482769835728784	0.24947918062013
EIF1AD	0.000565370459923626	0.0856738553906343	0.482769835728784	0.0856738553906343
MCM9	0.000687337407293045	-0.0443610631718992	0.558968963892886	-0.0443610631718992
TMEM86A	0.000783828077789555	0.131568882007718	0.608464359658637	0.131568882007718
POLM	0.000845437640448336	-0.058660093421203	0.609703005192596	-0.058660093421203
AC025178.1	0.000856825865126028	0.0736809897715971	0.609703005192596	0.0736809897715971
LINC01515	0.000942239595474556	-0.709525649630833	0.617381456194855	-0.709525649630833
NOSTRIN	0.000979853694518034	-0.140650056812819	0.617381456194855	-0.140650056812819
SMIM10L2A	0.00102289895607031	0.164431677161806	0.617381456194855	0.164431677161806
AC137579.1	0.00104070951591507	-0.217998079818938	0.617381456194855	-0.217998079818938
OR2L13	0.00104836996308999	0.191680785032434	0.617381456194855	0.191680785032434
H19	0.00116111398730273	0.274629191964354	0.644576656651787	0.274629191964354
CCDC8	0.00117144331411938	0.144082486968559	0.644576656651787	0.144082486968559
UQCRB	0.00120777919035351	0.184558917508702	0.644576656651787	0.184558917508702
FAM122B	0.00129283424800037	-0.0501090821759411	0.669061311737888	-0.0501090821759411
ARHGEF6	0.00137224496924312	-0.0474565253133956	0.684440108696994	-0.0474565253133956
HIRA	0.0014242178606735	-0.0523920547351639	0.684440108696994	-0.0523920547351639
SEMA4F	0.00146501643264583	0.0792582225494719	0.684440108696994	0.0792582225494719
AC015845.2	0.00152296793326712	0.123197908910644	0.684440108696994	0.123197908910644
