gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
AC064829.1	1.37822362057776e-40	1.02172384194443	1.93998756832525e-36	1.02172384194443
UTY	3.01200351402915e-40	0.737780275176355	2.11984807317372e-36	0.737780275176355
NLGN4Y	1.59805564966458e-36	0.645599804306121	7.49807710822619e-33	0.645599804306121
KDM5D	5.94821648744652e-36	0.769524618877117	2.09317738193243e-32	0.769524618877117
TTTY14	1.13218446196131e-31	0.601220561699853	3.18732569731349e-28	0.601220561699853
USP9Y	7.95954207376245e-31	0.577356937342	1.86730857050467e-27	0.577356937342
DDX3Y	1.27141386309986e-30	0.741479153155691	2.55663164814195e-27	0.741479153155691
RPS4Y1	3.22205910484483e-27	0.532079574537852	5.66921299497448e-24	0.532079574537852
ZFY	4.61879490921928e-27	0.505099353211949	7.22379523801895e-24	0.505099353211949
EIF1AY	1.0584050949995e-15	0.376980727547877	1.4898110117213e-12	0.376980727547877
TTTY10	1.5569300486438e-15	0.318480266274864	1.99230430588274e-12	0.318480266274864
LINC01515	7.96699163742185e-07	-0.960334745008129	0.000934528119069582	-0.960334745008129
EIF5A	2.42825248550055e-06	0.160088349411051	0.00262923707583891	0.160088349411051
FAM207A	7.60190112301172e-06	0.0909887705632974	0.00764316858625093	0.0909887705632974
SLC35F3	1.46380490892499e-05	-0.278671165032278	0.0137363452653521	-0.278671165032278
AC068633.1	1.62544030772074e-05	-0.116857888645743	0.0142998111071732	-0.116857888645743
IRAK2	1.89939037337135e-05	-0.0964149305757348	0.0157269522915148	-0.0964149305757348
TMEM141	2.96575245509129e-05	0.142019324274112	0.022164967169179	0.142019324274112
OR2L13	3.1330173031688e-05	0.177124491622244	0.022164967169179	0.177124491622244
AC012146.1	3.14932753185266e-05	0.144212011343243	0.022164967169179	0.144212011343243
PRDM2	3.46079563701e-05	-0.0298178957117659	0.0231972187555013	-0.0298178957117659
DNHD1	5.58245838092539e-05	-0.0524728165796213	0.0357175837135936	-0.0524728165796213
NFIB	6.55507952661497e-05	-0.0497535685049795	0.0386445530440088	-0.0497535685049795
CALR	6.58901160170653e-05	0.116516898362013	0.0386445530440088	0.116516898362013
IQCH-AS1	7.16428710613476e-05	-0.0698438630860272	0.038836593804872	-0.0698438630860272
AC005034.6	7.17356805148246e-05	0.11146927787059	0.038836593804872	0.11146927787059
MCM5	9.47934636110999e-05	0.0619276265239321	0.0494189923625867	0.0619276265239321
ESS2	0.000110090032987102	0.0719183325440831	0.0553438322973732	0.0719183325440831
TMTC4	0.000122721453891858	-0.0649425801978488	0.0595664546545447	-0.0649425801978488
IGSF11	0.000132725078555584	-0.0442180642415361	0.0622746068582799	-0.0442180642415361
PPFIBP2	0.000138535575997901	-0.0680436243353147	0.0629040892821435	-0.0680436243353147
LINC00486	0.000144681285510746	0.205517918169503	0.0636416804640396	0.205517918169503
ACP7	0.00015275550476169	-0.089308926595228	0.0636532708545587	-0.089308926595228
MRPL55	0.000153751861967533	0.160196562081949	0.0636532708545587	0.160196562081949
AC108734.4	0.000158548877926709	-0.182349327128781	0.0637638287341817	-0.182349327128781
HIGD2A	0.000209641630434204	0.145526969253427	0.0819698774997737	0.145526969253427
ARL10	0.000218725245365593	-0.0387045292906149	0.0832101771288132	-0.0387045292906149
AC009226.1	0.000228191707551715	-0.0898688430528226	0.0844561923303355	-0.0898688430528226
LINC00844	0.000240302869662968	0.107044689493385	0.0844561923303355	0.107044689493385
SNHG25	0.000245326638846015	0.140244331286196	0.0844561923303355	0.140244331286196
ARHGEF7	0.000246000560211975	-0.0356503333531188	0.0844561923303355	-0.0356503333531188
MRPS17	0.000259938004640288	0.141940504493339	0.0871163655551593	0.141940504493339
LINC02715	0.000280268948069934	-0.163613784109939	0.0917457142565673	-0.163613784109939
NAALAD2	0.00029449264815316	0.0961136722355456	0.0923508586390181	0.0961136722355456
JOSD2	0.000295239317899674	0.0839687737872561	0.0923508586390181	0.0839687737872561
