logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-13.2582478426823	0.64132639552308	-0.267141700157982	0.0125357578957811	0.312466814116787	-0.518647937110231	-0.000769004521156464	0.00199129513428018	0.285173288139188	0.136853783257098	0.404361164558776	0.037340726219466	0.480752547033454	0.428145255597795	0.000422356892889345	0.00113077310238991	0	2.78302480461896e-06	0.50883600780868	0.737087489991264	0.51572224030409	0.225748604278639	0.0686455130049978	0.0782378490384363	20268	AP001372.1	0.0406794735691153	0.64132639552308	0.00425738417416574	0.00100270991356458	1	NBGMM (HL)
-11.6361354603515	0.409196778147689	0.049547104916318	0.0215313097131726	0.451556734909373	-0.448607641981116	0.000149969572459719	-9.61426015633653e-05	0.134077118503639	0.102139863624343	0.232436653133627	0.0273190363044288	0.312239418079214	0.260238599189222	0.000182555102124305	0.000533107220739653	0	6.16930392244743e-05	0.831199119964169	0.430613012468463	0.148124626415095	0.0847381641166649	0.411359789784703	0.856882643092933	16926	GABBR2	0.45088357717207	0.409196778147689	0.566210243047537	9.66688969567858	1	NBGMM (HL)
-13.4003378448882	0.602584096339366	-0.00944558099797423	0.00267996491567017	-0.682000873902748	0.0245350690697073	-0.00130457613995844	0.00307486972929355	0.309018813855652	0.156122943831867	0.421140820689627	0.0415380558422371	0.803176424886372	0.444586445366112	0.000612222649779797	0.00149457782764963	0	0.000113537112206579	0.982106100704153	0.948557532966038	0.395809183053617	0.955990064607465	0.0330986068126367	0.0396525687250769	24391	AKAP5	0.55319065637452	0.602584096339366	0.0020453324779387	0.00100478981568468	1	NBGMM (HL)
-11.7868720881196	0.315062894126513	-0.0644658269122641	-0.040952537373241	0.820040765591878	0.427080323772071	-0.000540606884021695	0.00153714487226633	0.139986426022875	0.0851102969149861	0.21573004337726	0.0267275612544961	0.302390926487001	0.267640426085773	0.000207136588316957	0.000573783990960568	0	0.000214059505048928	0.765072525329446	0.125467845868352	0.00669075736224622	0.110550367335261	0.00905672848295659	0.00738510187442478	283	AGTRAP	0.707703068885671	0.315062894126513	0.00684622709408593	1.9540054094922	1	NBGMM (HL)
-10.2171352566573	0.165091013597851	-0.120151878639063	-0.0194362512720875	0.0139166858368689	-0.192167841516446	-9.45826457938313e-05	0.000295551566984819	0.0628951596998101	0.0449778736276504	0.105712280505865	0.0122974279464387	0.143164061492013	0.116633336682418	8.28467394911826e-05	0.000242685193141731	0	0.000242082188166406	0.255708307067982	0.11398931053295	0.922561249737546	0.0994299284171168	0.25359619074317	0.223285044639081	31313	PLPPR2	0.707703068885671	0.165091013597851	0.045479362451952	0.100175415193919	1	NBGMM (HL)
-9.27134127309853	0.133248936134074	-0.0996439708101244	0.0088409216360646	0.109219356988769	-0.0744857786076888	-0.00020515405335384	0.000635926737647844	0.0468036360335757	0.0378310096991264	0.0848503842166939	0.00914511897065284	0.1194609013819	0.0952947500729125	7.24089564817172e-05	0.000204768425030435	0	0.000427957499813352	0.24025523126344	0.333675702853059	0.360575699552187	0.434428700493763	0.00460745920787619	0.00189899932238044	1381	PRKACB	0.827411922769292	0.133248936134074	0.0464434983817395	1.95777204133412	1	NBGMM (HL)
-12.0724068888094	0.336187603053238	-0.313872011248096	0.0061098022840969	0.553754771861147	-0.150197029149269	3.76785551129244e-05	-0.000173116601503289	0.157156992877813	0.099078910483195	0.270072651897808	0.027350215557781	0.33089915612673	0.30329120734492	0.000208415146684525	0.000608884817037601	0	0.000690988890623918	0.245163895662627	0.823230915801336	0.0942318584803217	0.620442140841644	0.856535498167801	0.776167085629792	18345	LINC00863	0.827411922769292	0.336187603053238	1e-04	2.40141645670028	1	NBGMM (HL)
-12.6729026595586	0.406634488594088	-0.0530846389146811	-0.0274403893001491	0.465445281307705	-0.106609369055967	4.36491382074866e-05	-1.2317955387175e-05	0.208794993138931	0.120434093880903	0.333278247211405	0.0400387770177269	0.419742621821438	0.377134587705128	0.000239010439892726	0.00072678328380597	0	0.000734392590896625	0.873448088881147	0.493126026465831	0.267480839763676	0.77742018968275	0.855092737783322	0.986477625276749	13760	ZP3	0.827411922769292	0.406634488594088	1e-04	0.334187491881479	1	NBGMM (HL)
-11.3053252300116	0.242266996129175	0.0299971950019145	-0.0510427981232786	0.132732294239554	-0.0734229410641332	-0.000443560188187926	0.00106352532920178	0.1078829765947	0.0737428446741411	0.177831153439772	0.0236999137463979	0.247821946188143	0.200153005846438	0.000180881786662413	0.000490456172481691	0	0.00101875660025429	0.866045537589268	0.031262733075058	0.592238209043196	0.713742794994236	0.0141981638309946	0.0301251403696656	5182	AC010894.3	0.827411922769292	0.242266996129175	0.00121315564355122	0.774496159953258	1	NBGMM (HL)
-8.97201622003374	-0.109725538737148	0.0757776571849139	0.00920611720417376	-0.049205080634229	0.236235855067219	-0.000156583371106303	0.000412115568767263	0.0381230427848643	0.0334274211301992	0.0691353117534984	0.00753560136955274	0.103533105370506	0.0780602227315581	6.13349172121802e-05	0.000171232484610263	0	0.00102890670391291	0.273044875915486	0.221827471433393	0.634602099722639	0.00247543431094046	0.0106822857857221	0.0160947238803134	24845	EVL	0.827411922769292	-0.109725538737148	0.0319784160216999	0.952834122456409	1	NBGMM (HL)
