logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-9.02310491140437	-0.41138532471623	0.110885890946217	-0.00616665005498003	-0.0156397868118591	-0.08411120981924	-1.5161532027063e-05	3.75015402259779e-05	0.0982267250770017	0.094585337466985	0.167280965416955	0.0188125550819216	0.214634814046609	0.201475580632145	2.23045889164047e-05	0.0001036563959837	0	1.36537776208035e-05	0.507412448395142	0.743067127809167	0.941911984635365	0.676330310504461	0.496663119732652	0.717511180911496	10990	FBXW11	0.126065067151821	-0.41138532471623	1e-04	0.00727425326693583	1	NBGMM (HL)
-8.15037165792245	0.384307169572824	-0.109842341102228	0.00898504734837566	0.506738058291954	0.246261824770585	-3.05707839679966e-05	9.07203908014474e-05	0.0886557938064522	0.0895198866434398	0.176234547595312	0.0188876261559552	0.228607285706487	0.213680305279461	4.49082363097842e-05	0.000167385377405607	0	1.7629012327202e-05	0.533104742575673	0.634280440760252	0.0266482988566	0.249124755178705	0.496036709274601	0.587828728040264	8538	LINC01088	0.126065067151821	0.384307169572824	1e-04	1.44347918646271	1	NBGMM (HL)
-7.34233393673369	0.19550163023195	-0.0591179799386972	-0.0114323656497757	0.135698824541514	-0.0232000460434688	-2.11196833556376e-05	0.00011244616951101	0.0509511185013608	0.0500916790883747	0.0978915078390242	0.0112018138176692	0.127413500849998	0.112913535186066	1.64799035381514e-05	7.03374431146062e-05	0	9.50562656301011e-05	0.545901310324505	0.307452686097445	0.286863690442378	0.837206996581353	0.200003467917073	0.109894549545063	32411	FTL	0.453164903680569	0.19550163023195	1e-04	0.279008563296196	1	NBGMM (HL)
-10.299018181968	0.548017552167171	0.167899361051399	-0.0389018942603172	0.896854958249286	0.328006591661866	1.45168290099061e-05	-8.86431950285285e-05	0.188973017267381	0.152426374063685	0.286683493918734	0.0409839990712396	0.423155998733548	0.377411340488815	3.78642922608205e-05	0.000181092182151103	0	0.000324026061797969	0.558103301900191	0.342520361402386	0.0340530582868234	0.384794761642346	0.701429872791923	0.624493336404376	30872	CDC34	0.64362363573107	0.548017552167171	1e-04	0.001	1	NBGMM (HL)
-9.97223436714864	0.504122423413625	0.113210781973985	-0.00360067112349215	0.397778492997908	-0.363076008633527	3.25210564088406e-05	-0.000109494927134103	0.162560658957214	0.140725118280817	0.255623650670144	0.032858671527766	0.341192498606716	0.306782202598591	3.46631944897347e-05	0.000163065304943892	0	0.000340556101596976	0.657852026222016	0.912742040820785	0.24367602376449	0.236611986621934	0.348140936691404	0.501915436045737	8530	MRPL1	0.64362363573107	0.504122423413625	0.00798828496012343	0.23607866134482	1	NBGMM (HL)
-9.03968225210939	0.321723070056171	0.153442609431562	-0.0231997831686088	0.0760866483009289	-0.349685649733171	3.7556247175995e-05	-0.000225560049174682	0.0991334009506853	0.0903170292251946	0.169080059854922	0.0220785350978325	0.221988471648381	0.194275823317567	2.16560541384549e-05	0.000105191347059037	0	0.000367826007717486	0.364134774394107	0.293357561550966	0.731786206302297	0.0718694427167257	0.082879997753708	0.032010193800376	20178	PPFIA1	0.64362363573107	0.321723070056171	1e-04	0.001	1	NBGMM (HL)
-9.97497601950743	-0.548667604599244	0.189913126318192	0.00692216311309973	-0.696626204614766	0.0747604675524897	4.16380562360646e-05	-0.000117225214172676	0.16596366897958	0.154287551374152	0.280663366098566	0.0289981760066059	0.385841033632083	0.311636146410702	3.69730030085202e-05	0.000172320268690821	0	0.000376348483815224	0.498622937842542	0.811330234213452	0.0710004391053325	0.81041037792826	0.26009162979123	0.496330191687978	24529	LIN52	0.64362363573107	-0.548667604599244	1e-04	0.456566482653006	1	NBGMM (HL)
-9.72943617193306	0.452443649442919	-0.339802958115428	-0.0200880881477173	0.485537212468526	-0.184384417098458	1.8280898759868e-05	-0.000149371145277968	0.146346517507632	0.127488037640243	0.241804039990379	0.0326202276511274	0.319942013713546	0.300338917352486	3.51472981436712e-05	0.000159324011198805	0	0.000386828373205127	0.159937324144785	0.538015358411275	0.12912061835865	0.539267425462528	0.602978233214334	0.348485660522508	34500	GP1BB	0.64362363573107	0.452443649442919	0.0744953878523052	0.175353273321657	1	NBGMM (HL)
-8.45740762177945	-0.388529141570371	0.0775696035305377	0.0293547385909403	-0.463062354506496	-0.0712644879290703	2.81072085402294e-05	-0.000151540078112456	0.100115917390787	0.110147233123235	0.20059631467072	0.0196178892194892	0.26578651374445	0.21822005531799	4.34285478256569e-05	0.000159542377868274	0	0.000419722820553236	0.698981975253299	0.134568976666863	0.0814674716457901	0.743991873605154	0.51749875056455	0.342192455831207	6620	FLNB	0.64362363573107	-0.388529141570371	0.0942581662803617	1.19414028297798	1	NBGMM (HL)
-8.84932426064624	0.306767117774086	0.113988227441885	0.0316797430834416	0.443322927813282	-0.0912644564117089	-2.60090971912844e-05	0.00010732670847837	0.0962810732077158	0.0874263132750224	0.161883124555619	0.0173189391393109	0.212955405602653	0.196425238271051	2.47363909669521e-05	0.00011121296788774	0	0.000450023518201	0.481346191580858	0.0673701746323886	0.0373640183139865	0.642198640062281	0.293051611093751	0.334516914369128	442	NBL1	0.64362363573107	0.306767117774086	1e-04	0.290376714675514	1	NBGMM (HL)
-11.9029283112351	1.32595308111785	0.438711396714772	0.0519338990069021	1.20631662312513	1.25323908742204	1.94664562918867e-05	-0.000118634982844373	0.472574094966818	0.381616470832358	0.679225064622596	0.0621688397416069	1.09995772945819	0.877793295326372	9.30166454529488e-05	0.000434198295693273	5.50038516887673e-140	0.000511673141965136	0.518344188775682	0.403510181997823	0.272775346767524	0.153373764951759	0.834230228297294	0.784678221599358	8614	HERC6	0.650525779695028	1.32595308111785	0.0260779064267926	4.856798139309	1	NBGMM (HL)
-10.9410886209748	-1.17282853408758	0.744696530942481	-0.101586522796595	-0.0277651038180259	-0.375079534554948	-3.59356170497258e-05	-9.94872688281784e-05	0.293507138764779	0.33924230727273	0.499779260706952	0.0634706383962862	0.577564681988076	0.569142373015754	0.000106150726250514	0.000393119662125754	3.86010022090705e-304	0.000545819420804107	0.136210856255986	0.10948153935034	0.961658289308361	0.509879170995885	0.734960901316714	0.800213185444284	27741	LINC01572	0.650525779695028	-1.17282853408758	0.00911537194796372	2.00133116886812	1	NBGMM (HL)
-7.70085880282286	0.230911109774197	-0.205285298012505	-0.0212317370977166	0.418784707460416	0.244258301099558	-2.87711178887615e-07	-2.73228735206231e-05	0.0678662933384915	0.0677767424816486	0.126084986777288	0.0155735927147347	0.171468774298342	0.148915013509051	1.45680644818522e-05	6.62381667598955e-05	0	0.000656962248891945	0.10349303870534	0.172782760108166	0.0145924762378098	0.100952568736428	0.984243247564405	0.679977077069279	12012	HSP90AB1	0.70753098836676	0.230911109774197	0.151110694506602	0.100313624832172	1	NBGMM (HL)
-10.4209033241904	-0.651291302257016	0.503775154488042	0.00980426959568336	-1.04619036283334	-0.912418783581386	-6.58740494627327e-05	0.000137617892803403	0.203026273329919	0.19566150618833	0.332280874601003	0.0335756971468633	0.399666649302726	0.347320776645622	7.0065873389385e-05	0.000265438374548715	0	0.000872637867253135	0.129490933195746	0.770282843173891	0.00885356452352544	0.00861361567935715	0.347128776997034	0.604140743238445	9008	SMAD1	0.70753098836676	-0.651291302257016	1e-04	0.0645324527010158	1	NBGMM (HL)
-10.1245110982031	-0.507527094522132	0.473797596623721	0.0416868488374795	-0.0721288262140698	-0.215388212414499	-5.64100972913135e-05	0.000287309603011738	0.170955870939751	0.152803736866994	0.260121844030551	0.0245379234139403	0.329254660478103	0.309437305132085	3.56806817211922e-05	0.000164522571840566	0	0.000895570685676363	0.0685392607871173	0.0893428597447664	0.826597867220488	0.486388661232623	0.113884833824656	0.0807547867843539	23478	DZIP1	0.70753098836676	-0.507527094522132	1e-04	0.00100000164213579	1	NBGMM (HL)
