gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
UTY	1.55533045547821e-47	0.786657267241074	2.55556347139624e-43	0.786657267241074
USP9Y	3.78502561968395e-45	0.681292925984048	3.10958779785135e-41	0.681292925984048
TTTY14	3.42810697639555e-40	0.679927352145597	1.87757419097184e-36	0.679927352145597
NLGN4Y	2.3370522531646e-36	0.608892183799416	9.60002639293689e-33	0.608892183799416
LINC00278	5.20727896069601e-30	0.606148309821199	1.71121601206392e-26	0.606148309821199
KDM5D	1.0549752435209e-24	0.552213009374709	2.88904970438199e-21	0.552213009374709
RPS4Y1	4.87202452417368e-20	0.433089045126072	1.14360335652425e-16	0.433089045126072
TTTY10	4.53778174451562e-18	0.359683076775902	9.32003648051701e-15	0.359683076775902
ZFY	1.41723037084502e-15	0.337398892826237	2.5873902470394e-12	0.337398892826237
DDX3Y	8.11500560540045e-08	0.280320659486582	0.000133337657102335	0.280320659486582
F2R	1.96987331161459e-06	0.145491168182017	0.0029424534893763	0.145491168182017
AC109347.1	3.27811510490534e-06	-0.187067764960284	0.00448855910739164	-0.187067764960284
TRIM26	7.56581347422633e-06	0.0787239943562259	0.00956260624577022	0.0787239943562259
GEM	1.16150346786319e-05	-0.146323380246604	0.0136319024860429	-0.146323380246604
PHKA1	2.51341484368099e-05	-0.0604111894465831	0.0275319461976816	-0.0604111894465831
VAV3-AS1	3.93320283092858e-05	-0.154002420998089	0.0403915348218672	-0.154002420998089
FANCC	4.77060139996333e-05	-0.0784067260087889	0.0461092656487044	-0.0784067260087889
IER2	5.22893679011052e-05	-0.099021405000036	0.0462948500769006	-0.099021405000036
LMAN2L	5.57212723667564e-05	0.0460332831224854	0.0462948500769006	0.0460332831224854
DNAL1	5.63506178283739e-05	0.0491299644652507	0.0462948500769006	0.0491299644652507
AL158071.4	6.70920514532366e-05	-0.177272562013108	0.0515069309461347	-0.177272562013108
C2CD4C	6.89643041089991e-05	-0.347127269672755	0.0515069309461347	-0.347127269672755
AURKC	8.63023443351077e-05	-0.175917501785554	0.0582884257428602	-0.175917501785554
PGAP2	8.71802556732032e-05	0.0711131690005541	0.0582884257428602	0.0711131690005541
AL137781.1	8.86866681012418e-05	-0.194273491837509	0.0582884257428602	-0.194273491837509
KBTBD11-OT1	0.000117284660497134	-0.160537578333102	0.0721109688975064	-0.160537578333102
PNISR	0.000118495293057798	-0.0573380457406488	0.0721109688975064	-0.0573380457406488
