logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.8484624063946	0.793433390000135	6.12808036676137	7.32606666323902e-05	1.39794008832381e-05	-8.7398661437881e-05	0.0704286756364266	0.0542972204037346	0.157743778501746	0.00828360152764913	2.00992130694341e-06	1.06826469037073e-05	0	2.32817093300883e-48	0	0.992943553281765	3.52066924068264e-12	2.80640302986605e-16	36501	NLGN4Y	4.50477793827878e-44	0.793433390000135	0.764799951469108	0.1449849368139	1	NBGMM (LN)
-11.3708847338357	0.694674128446586	5.92247761978701	-0.00304082890963092	3.11370362108738e-06	-1.75390324168523e-05	0.0621743751188293	0.0482120254904778	0.134834786059258	0.00709645791121187	1.45448105565143e-06	8.034343764576e-06	0	4.56009053615442e-47	0	0.668287472583896	0.0322929114514393	0.0290352602568134	36493	USP9Y	4.41165958920259e-43	0.694674128446586	0.725206129739399	0.047087277902965	1	NBGMM (LN)
-11.7934276978514	0.678270452340628	5.74221248889305	-0.00621487361762207	9.88010852975089e-06	-5.04543240551113e-05	0.0613945089203984	0.0477452141934649	0.134353960527831	0.00723467427448508	1.8724505292815e-06	1.03769379996873e-05	0	8.40448417640981e-46	0	0.390318522020535	1.31627223651307e-07	1.1611220540705e-06	36496	UTY	5.42061214431178e-42	0.678270452340628	0.648488918177134	0.0737338674360639	1	NBGMM (LN)
-12.8619308221992	0.737763810379744	6.16733564693309	-0.00605432499410116	-4.42336910462733e-06	3.76478292028286e-05	0.0790258156674216	0.0587452659241128	0.179755387481003	0.00712182351581964	2.70659075691384e-06	1.53653454387284e-05	0	3.56163706024912e-36	5.64361354654231e-258	0.395264587724429	0.102196817324636	0.0142785664703048	36517	KDM5D	1.72285288696901e-32	0.737763810379744	0.622462013037366	0.0509593296920829	-10	NBGMM (LN)
-12.7473453041251	0.547054630461775	5.47098543349647	-0.00699397100317744	-1.22289824700139e-05	6.08308181849315e-05	0.0652332813881898	0.048293867696424	0.139695039260236	0.00690072813800065	3.04727201332907e-06	1.7063366422443e-05	0	9.57706758080884e-30	0	0.310815651585908	5.99285816743317e-05	0.000363862945695695	36495	DDX3Y	3.7061336124214e-26	0.547054630461775	0.463855591792801	0.0424388923849536	1	NBGMM (LN)
-13.0199357660147	0.479164495191237	5.00676167719878	-0.0108111394886087	-3.64051926765091e-05	0.000268153696671165	0.0633274205489458	0.0464086562826764	0.130791003734585	0.00757533598233333	4.10268786571156e-06	2.28017242953913e-05	0	5.43783661282844e-25	1.28753507306229e-320	0.153536710876692	7.08834980371981e-19	6.25579595598377e-32	36451	RPS4Y1	1.75361167702696e-21	0.479164495191237	0.427446444102496	0.2131422632825	1	NBGMM (LN)
-10.9469018730372	0.475448029280219	5.24494982728418	0.000221200119718154	5.40753130171601e-06	-4.42710498133951e-05	0.0562120507052948	0.0464502767309041	0.115513596054458	0.00770451789824053	1.77993351994717e-06	9.22013067514985e-06	0	1.37293038289727e-24	0	0.977095527724612	0.00238112546394032	1.5743098083312e-06	36514	TTTY14	3.79497571123989e-21	0.475448029280219	0.707194578435465	0.152848865621287	1	NBGMM (LN)
-13.051458146614	0.394579541661304	4.6842097419996	-0.00265703056266494	-1.11114978459575e-05	7.34863471177839e-05	0.0606578457003308	0.043728591027299	0.12285567561645	0.00650905782865823	4.82595685593158e-06	2.62361702248566e-05	0	1.82379436005837e-19	4.44691195524102e-318	0.683123108663362	0.0213101175857383	0.00509515335197949	36453	ZFY	4.41107463409619e-16	0.394579541661304	0.344201676353872	0.537157792253313	1	NBGMM (LN)
-10.3712794933532	0.198591394334299	3.38409021497215	-0.00147661818375171	3.39168061639302e-06	-2.8813215250625e-05	0.0263148247139495	0.0233864676443631	0.0519625669448952	0.00390085940592733	2.66896095592464e-06	1.34737802400577e-05	0	2.0359662384453e-17	0	0.705031985823374	0.203804470771588	0.032478974982076	36460	PCDH11Y	4.37710119418646e-14	0.198591394334299	0.185970135250196	0.507486621464319	1	NBGMM (LN)
-12.3491826013335	0.344596678870179	4.80943597107902	0.0045800068247921	9.31709201523606e-06	-8.70173215008034e-05	0.0522619278852415	0.0407950354352463	0.105995663675661	0.00669611771360861	3.58533940203189e-06	1.92041658060052e-05	0	2.98820091039499e-17	0	0.4939881505263	0.00935873600592432	5.86581779635779e-06	36519	TTTY10	5.78186994152326e-14	0.344596678870179	0.360679205809031	0.387520833880379	1	NBGMM (LN)
-13.4108247948304	0.329495046691951	4.48662240321101	-0.00179638534232378	-4.10130104510927e-06	-1.16710565544729e-06	0.0663980023167239	0.0451620606949074	0.13066988879301	0.00714427097544896	5.72881847501564e-06	3.13984960551091e-05	0	2.96807414616924e-13	2.31443022793844e-258	0.801470715491316	0.47404879771754	0.970348860398858	36471	PRKY	5.22084242311170e-10	0.329495046691951	0.288601536569726	0.689387353148681	1	NBGMM (LN)
-13.2708080657997	-0.85873763156713	-0.111383479662631	0.0843017512323843	5.26554381286964e-06	-3.62117003777186e-05	0.139939392331111	0.166886303845167	0.279830537976705	0.0317182588334636	1.17509535998352e-05	5.66738813345368e-05	0	2.66603546545591e-07	0.690601405944521	0.00786454692074299	0.654084620462314	0.522856332995994	18098	LINC01515	0.000429876001842554	-0.85873763156713	2.11485472702583	1.73460676947441	1	NBGMM (LN)
-13.7628676714539	-0.314985926623928	0.243601864868146	0.0347109280619125	-4.17966003370065e-07	3.14917570876102e-06	0.0730893236399378	0.0641252029819163	0.13573299747581	0.0144009265981164	1.24714384129227e-05	6.87613898636482e-05	0	9.01310445394295e-07	0.0726993328057259	0.0159382710727384	0.973264815763414	0.963470770982621	23837	AC244502.1	0.00134149660061032	-0.314985926623928	0.765867946885314	7.60812254389695	1	NBGMM (LN+HL)
-14.0439144196414	-0.363088049023542	-0.122646897678201	-0.0234176764015698	-2.0894557763968e-05	0.000121432463515525	0.0805160224639072	0.079792330715702	0.14778961048503	0.0157662334626762	1.31063667335666e-05	7.26757797612816e-05	0	5.35407532802202e-06	0.406609481308993	0.137462863106208	0.110884619596318	0.0947455005739739	5991	AC069277.1	0.00739971453727844	-0.363088049023542	0.883191286207194	4.33901088531785	1	NBGMM (LN)
-15.5121909251629	0.406429106589637	4.41279975657115	-0.000284941023214937	-6.6948468885606e-05	0.00031746378083851	0.151939593931669	0.0903686910094641	0.292607838713016	0.0122763535340852	1.67244033401102e-05	8.49553956942181e-05	0	6.87717629502584e-06	2.1618606934636e-51	0.981482316324774	6.25335134667404e-05	0.000186355613422776	36494	AC244213.1	0.00887109894216367	0.406429106589637	0.65859045766774	0.374815403509569	1	NBGMM (LN)
-12.8654990833384	0.217075098971807	0.291749858542541	0.00585910172175969	1.41101079082314e-05	-5.38740364001814e-05	0.0531654619699791	0.0489646097069872	0.103154699525426	0.0105495954978654	9.67075499218009e-06	5.22180714033451e-05	0	9.27990013948673e-06	0.00467995846954657	0.578630402190535	0.144551550318634	0.302206825213318	13165	AC004949.1	0.011222299237433	0.217075098971807	0.501142103712705	8.67595334132143	1	NBGMM (LN+HL)
-12.5392692814909	-0.275732716795304	0.195774408935733	-0.00656209743905987	5.04484877820435e-05	-0.000254745242394359	0.0642366658188102	0.0670747726525333	0.126295994337194	0.0112370499489347	7.8974687675895e-06	4.30015477078109e-05	0	3.94246286831032e-05	0.121111838316647	0.559240652815904	1.6814486301077e-10	3.14022397976609e-09	35518	AL592156.2	0.0448721847287861	-0.275732716795304	0.849030333927298	4.67349564025162	1	NBGMM (LN+HL)
-13.4389821755065	-0.146549791590538	0.144705330725627	-0.0134360503990684	-1.79524250774008e-05	8.98505278876083e-05	0.0442105258356556	0.0365678129575554	0.0713491130822962	0.00848291571973512	9.58360263501912e-06	5.34685338141262e-05	0	6.13344594746907e-05	0.0425469045687139	0.11321754551166	0.0610347141641154	0.092872230123153	14235	PRRT4	0.0659311364653217	-0.146549791590538	0.105716503638364	0.297957412671374	1	NBGMM (LN)
