gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
USP9Y	2.29684104065639e-52	0.701673376988473	4.83301291774917e-48	0.701673376988473
NLGN4Y	1.88792024031648e-47	0.701671648863714	1.98628088483696e-43	0.701671648863714
UTY	1.23261967130146e-44	0.630600015268118	8.64559437450844e-41	0.630600015268118
KDM5D	2.30119913344004e-39	0.765491201403797	1.21054580414613e-35	0.765491201403797
DDX3Y	1.23556404635582e-34	0.606178024065521	5.19974773268384e-31	0.606178024065521
TTTY14	1.67218726740985e-33	0.564314833657722	5.86436074680635e-30	0.564314833657722
PRKY	8.08590397993131e-28	0.478288628011474	2.43062273636735e-24	0.478288628011474
RPS4Y1	2.24396092108393e-27	0.474516643644383	5.902178212681e-24	0.474516643644383
ZFY	2.79015651117282e-27	0.484450809800301	6.52338592312205e-24	0.484450809800301
TTTY10	1.06420863814749e-19	0.32935095418854	2.23930781638994e-16	0.32935095418854
AC244502.1	1.32871368326975e-12	-0.41940655941526	2.54170848394201e-09	-0.41940655941526
LINC01515	4.30978046987252e-10	-0.915134239245757	7.55720005392147e-07	-0.915134239245757
PCDH11Y	5.14252332700903e-10	0.155059291991407	8.32376737284031e-07	0.155059291991407
AC004949.1	1.29735331053915e-09	0.328796098892274	1.94992202574035e-06	0.328796098892274
EIF1AY	9.74074770288873e-07	0.203225374537603	0.00136643208776123	0.203225374537603
LINC01850	5.11554814277375e-06	-0.280157451180648	0.00672758525126533	-0.280157451180648
AC024236.1	8.14286492577658e-06	0.32305801770898	0.0100789508098936	0.32305801770898
AC069277.1	2.20876151723404e-05	-0.264638423977149	0.0258204221364659	-0.264638423977149
AC244213.1	2.87718839863642e-05	0.33765864235028	0.0318641043600566	0.33765864235028
KLHL6	3.85374429681717e-05	0.174811821879164	0.0405452437468134	0.174811821879164
SDR9C7	4.96457244799631e-05	0.130593885736072	0.0497450159289231	0.130593885736072
PTX3	5.69540534110452e-05	-0.140320859599246	0.0544739632670552	-0.140320859599246
AC027808.2	9.97241876388818e-05	-0.141678678484935	0.0912346241868413	-0.141678678484935
KCNJ13	0.000163987494246753	-0.241786074274607	0.143776035580841	-0.241786074274607
TMSB4Y	0.00030285391334957	0.205706455026799	0.254906081788066	0.205706455026799
AC023385.1	0.000369724809240092	-0.156529435750985	0.290958352958577	-0.156529435750985
OR2L13	0.00037370090797209	0.102196465643773	0.290958352958577	0.102196465643773
HBA1	0.000387170130350734	0.239003115225473	0.290958352958577	0.239003115225473
IGFL4	0.000433030989060761	-0.053560716262029	0.302243258801504	-0.053560716262029
AC027045.2	0.000441591138664391	-0.125899227371796	0.302243258801504	-0.125899227371796
SDK1	0.000445278064007538	-0.0825295217573525	0.302243258801504	-0.0825295217573525
RELN	0.000558326661503622	0.180897426174857	0.364159330518363	0.180897426174857
SHISA6	0.000571108160208439	-0.0914044374599673	0.364159330518363	-0.0914044374599673
LINC00486	0.000625060790321046	0.200887290497917	0.38683909264516	0.200887290497917
LINC01446	0.00068774043977617	0.305100752195518	0.402452158434591	0.305100752195518
ZNF653	0.00068854090407971	0.0437662598803838	0.402452158434591	0.0437662598803838
NEAT1	0.000724069883050122	-0.0919744645734209	0.411780499436235	-0.0919744645734209
TONSL	0.000753070392255037	0.0572375703896344	0.417002820890276	0.0572375703896344
AP001172.1	0.000789391096181942	-0.0771287214964667	0.420322946585942	-0.0771287214964667
FAM171A1	0.000799017102149875	-0.0348740680444032	0.420322946585942	-0.0348740680444032
CALB1	0.000932830547849749	0.126285919083725	0.478746838728156	0.126285919083725
ZBTB37	0.00106649391089854	-0.0392567521537257	0.534313449360169	-0.0392567521537257
