gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	6.72729980177093e-38	0.699017882781312	1.40304564665735e-33	0.699017882781312
USP9Y	6.32664088142595e-37	0.655788902547337	6.59742111115098e-33	0.655788902547337
TTTY14	5.79141652392061e-35	0.607829566136258	4.0261927674296e-31	0.607829566136258
UTY	9.84966461997979e-35	0.631979572689375	5.13561513285746e-31	0.631979572689375
KDM5D	1.03714737967986e-23	0.522109245729648	4.32614915012062e-20	0.522109245729648
DDX3Y	4.27375254238159e-11	0.275473201181466	1.48555638373184e-07	0.275473201181466
RPS4Y1	1.20616091572255e-10	0.299250964411931	3.59367029404423e-07	0.299250964411931
TTTY10	4.11724799739667e-08	0.216204887683311	0.000107336655292131	0.216204887683311
ZFY	1.33815947746776e-07	0.228470017268136	0.000310096156245196	0.228470017268136
PRKY	2.73352547490849e-06	0.238890153142142	0.00559673352478417	0.238890153142142
LINC00326	2.95186367340937e-06	0.356133041815353	0.00559673352478417	0.356133041815353
LINC01515	3.74464711646391e-06	-1.34205819775464	0.00650819668841428	-1.34205819775464
PCDH11Y	7.95761541278805e-06	0.160489018693982	0.0127664636191621	0.160489018693982
LINC00382	5.71167567431144e-05	0.424423739762877	0.0850876484738852	0.424423739762877
AL590428.1	7.70285096089036e-05	-0.208552564677883	0.10710043976022	-0.208552564677883
XIST	0.000134423240794215	0.436327618037597	0.175220694375259	0.436327618037597
MAP10	0.000152027068189732	-0.127892144260461	0.18651038436265	-0.127892144260461
NIPSNAP3A	0.000548809924291457	-0.0749977771922421	0.612735966034889	-0.0749977771922421
ZFP37	0.000558207870860322	-0.145690986605713	0.612735966034889	-0.145690986605713
CARNMT1	0.000635176845037833	0.0342193057059664	0.64652780745519	0.0342193057059664
OR2L3	0.000677742583839264	0.121604351027801	0.64652780745519	0.121604351027801
AC104984.3	0.000681991358075095	-0.247534337259639	0.64652780745519	-0.247534337259639
AL451069.2	0.000718902214547907	0.20194680346697	0.64903236427449	0.20194680346697
AC073048.1	0.000776622404091636	-0.16128598164711	0.64903236427449	-0.16128598164711
AC108463.3	0.000777992381418404	0.105981962888786	0.64903236427449	0.105981962888786
OR2T6	0.000818454288117748	0.182321386944737	0.65652625511476	0.182321386944737
CREG1	0.0009741682925918	-0.0507141674830626	0.713184812845496	-0.0507141674830626
BMP4	0.000975160971848782	-0.195435576769838	0.713184812845496	-0.195435576769838
LINC00486	0.00100132857890573	0.194099957722606	0.713184812845496	0.194099957722606
TRIM65	0.00103784631371646	-0.0767472025962105	0.713184812845496	-0.0767472025962105
SGMS1-AS1	0.00106662637452281	-0.145199601497554	0.713184812845496	-0.145199601497554
TEKT1	0.00109757836623704	0.130207873480719	0.713184812845496	0.130207873480719
LINC01116	0.00112845698235047	0.150055207548758	0.713184812845496	0.150055207548758
AL513327.2	0.00120149003128298	-0.149067571533705	0.737008120365818	-0.149067571533705
AC079062.1	0.00124079171207251	0.351390373276536	0.739370055628124	0.351390373276536
AC010530.1	0.00130917228745473	0.199477966630939	0.758447145198773	0.199477966630939
C5orf47	0.00139362194508456	-0.197495065385663	0.768956790247955	-0.197495065385663
AL353572.4	0.00140105283992243	0.133571126190197	0.768956790247955	0.133571126190197
UBQLN4	0.00153205118978471	0.081825170834723	0.819293836260256	0.081825170834723
CYP51A1-AS1	0.00159860765707813	-0.161881600809787	0.833514032400537	-0.161881600809787
ERCC2	0.00166699872707701	0.058631006557292	0.835030905004096	0.058631006557292
AC137579.1	0.00168159273159628	-0.316893123497156	0.835030905004096	-0.316893123497156
ZSCAN22	0.00177477572225404	-0.121504425061209	0.835409349001134	-0.121504425061209
PDZD8	0.00190646651044457	-0.0387637584364829	0.835409349001134	-0.0387637584364829
XRRA1	0.00192344304099079	-0.0640635498859918	0.835409349001134	-0.0640635498859918
AC006058.3	0.00193419867727865	-0.215624370434532	0.835409349001134	-0.215624370434532
LINC01865	0.0019441093653499	0.265003847116526	0.835409349001134	0.265003847116526
DUSP5	0.00198651209432593	-0.236490989913885	0.835409349001134	-0.236490989913885
MEGF11	0.00201533487204422	-0.114064839073842	0.835409349001134	-0.114064839073842
AC124864.3	0.00208018766572829	0.261343110348856	0.835409349001134	0.261343110348856
CARTPT	0.00208161380803613	0.300729917639121	0.835409349001134	0.300729917639121
AC007846.1	0.0021069097539928	-0.301865603452075	0.835409349001134	-0.301865603452075
TLL1	0.00218884579197975	0.0587108565013707	0.835409349001134	0.0587108565013707
AC079341.1	0.00220779655355382	-0.132366574598794	0.835409349001134	-0.132366574598794
AL445584.2	0.00232283827313572	-0.2485762120209	0.835409349001134	-0.2485762120209
AL357500.1	0.00236401674656691	0.265655727412547	0.835409349001134	0.265655727412547
AC135050.4	0.00238510130623366	0.265575660940385	0.835409349001134	0.265575660940385
AC015961.2	0.00239612078693607	-0.17264738806753	0.835409349001134	-0.17264738806753
OR2L5	0.0024448589662926	0.110956440864394	0.835409349001134	0.110956440864394
GAS6-DT	0.00245114057045602	-0.145425714925091	0.835409349001134	-0.145425714925091
AC100844.1	0.00248608270488238	-0.349632427140836	0.835409349001134	-0.349632427140836
SH3BGRL2	0.00265909196059642	-0.0243117766311914	0.835409349001134	-0.0243117766311914
AL080250.1	0.00270140150194774	-0.0835927794924269	0.835409349001134	-0.0835927794924269
AC021739.2	0.0027051187533504	0.15688357242766	0.835409349001134	0.15688357242766
C9orf40	0.00272452745447634	-0.0751352058092975	0.835409349001134	-0.0751352058092975
HIP1R	0.00272633099576024	-0.0496420689246598	0.835409349001134	-0.0496420689246598
LINC02839	0.002741976210847	-0.246821599128169	0.835409349001134	-0.246821599128169
NATD1	0.0027895272991737	-0.108971517228002	0.835409349001134	-0.108971517228002
GAREM2	0.00281098037787582	0.244101051417687	0.835409349001134	0.244101051417687
AL358335.2	0.00282658061957671	0.229329444964703	0.835409349001134	0.229329444964703
TIMP1	0.00285176342667691	-0.410399306182024	0.835409349001134	-0.410399306182024
ROM1	0.00291838674336257	-0.301824597006623	0.835409349001134	-0.301824597006623
LINC02484	0.00298640453369798	0.199584453521737	0.835409349001134	0.199584453521737
KCNJ13	0.00300459184975892	-0.337531632359776	0.835409349001134	-0.337531632359776
DCAF17	0.003018373166728	0.0436637362067385	0.835409349001134	0.0436637362067385
PANO1	0.00307818746113054	-0.160706584053764	0.835409349001134	-0.160706584053764
