gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	5.06749237042789e-44	0.843910281669641	1.09285540460648e-39	0.843910281669641
USP9Y	1.98822318074231e-42	0.728238596483736	2.14390105579443e-38	0.728238596483736
TTTY14	2.49675638578052e-39	0.7370308346163	1.79483494052476e-35	0.7370308346163
UTY	5.31218435174007e-38	0.699149603834421	2.86406419324066e-34	0.699149603834421
KDM5D	4.68055257171312e-18	0.430345127068629	2.0188159352313e-14	0.430345127068629
DDX3Y	4.54089251112805e-17	0.392832375499848	1.63214813158312e-13	0.392832375499848
TTTY10	1.70029834948399e-09	0.245148549265036	5.23837631499596e-06	0.245148549265036
RPS4Y1	3.80172745543458e-09	0.273076070203128	1.02485067879878e-05	0.273076070203128
ZFY	6.00170203106482e-08	0.234628198337338	0.000143814117779938	0.234628198337338
LINC01515	6.94456569615049e-07	-0.731473951403431	0.00149766503803182	-0.731473951403431
AC073225.1	1.40080820985788e-06	0.384296480480309	0.00274634816852683	0.384296480480309
LINC00326	4.37194611475233e-06	0.342588733904043	0.00785711582589572	0.342588733904043
DDX60	7.25668477812206e-06	-0.472004192842344	0.0120382818403831	-0.472004192842344
AC244502.1	6.60322902057984e-05	-0.365880025356994	0.101718026469875	-0.365880025356994
PIP5KL1	7.62145731232851e-05	0.136858725988504	0.109576232265118	0.136858725988504
AC023385.1	8.55314929285828e-05	-0.26206488035142	0.115285761031114	-0.26206488035142
ZNF330	0.000113378794168803	-0.0722768168325302	0.143831004414376	-0.0722768168325302
CHADL	0.000199973802317633	0.133402244609716	0.239590834487893	0.133402244609716
RABGAP1L-IT1	0.000221486932892692	0.141812199885309	0.251399326040199	0.141812199885309
GNG8	0.000245600640862287	-0.523730786996153	0.264831171041804	-0.523730786996153
GRHL3	0.000282422020510052	0.278918696971134	0.29003396639618	0.278918696971134
AC084882.1	0.000301260232374983	0.16695771320071	0.293072246657281	0.16695771320071
CYSLTR1	0.000312559662112467	0.157875615129079	0.293072246657281	0.157875615129079
ZDHHC9	0.000337347280072273	0.0513132484456473	0.303134643418277	0.0513132484456473
AC079062.1	0.000357605626588023	0.296667869792606	0.308484917719893	0.296667869792606
MIR210HG	0.000384125089517967	-0.346207068299695	0.309576372463962	-0.346207068299695
AL390783.1	0.000400000498309479	-0.252764659341745	0.309576372463962	-0.252764659341745
SCNN1D	0.000409362142440983	0.0907939653771066	0.309576372463962	0.0907939653771066
EZH1	0.000424599007620356	0.0276905515820372	0.309576372463962	0.0276905515820372
CERS5	0.000430645051187928	0.0423945765582721	0.309576372463962	0.0423945765582721
AL050403.2	0.000449780598874193	-0.212703338794308	0.312266352835207	-0.212703338794308
AL031073.2	0.000475965969768524	0.166921552537278	0.312266352835207	0.166921552537278
SCML4	0.000491211167580468	0.186979379765091	0.312266352835207	0.186979379765091
PXMP2	0.000505781802686931	0.0883975165894352	0.312266352835207	0.0883975165894352
ORMDL1	0.000509304742677671	-0.0558034478799605	0.312266352835207	-0.0558034478799605
SMOC2	0.000521264430217354	0.326277430403558	0.312266352835207	0.326277430403558
RBL1	0.000565083859878981	0.0568598379361177	0.329367527625678	0.0568598379361177
GAL3ST1	0.000587582787983508	0.146312935266767	0.331568350209115	0.146312935266767
AC108463.3	0.000599608905599345	0.141793695962186	0.331568350209115	0.141793695962186
AL356776.2	0.000628196130550293	-0.110414077905907	0.33869194378619	-0.110414077905907
KLRC1	0.000682151949041086	-0.356131275160937	0.34602606208382	-0.356131275160937
POLN	0.000693110229855533	0.0564938344001354	0.34602606208382	0.0564938344001354
ANOS1	0.000705527920216756	0.186450500251028	0.34602606208382	0.186450500251028
EBI3	0.000705979167749609	0.337947492999356	0.34602606208382	0.337947492999356
AL591686.2	0.000749071875543433	-0.111442946254246	0.353873542136712	-0.111442946254246
AC012213.1	0.000754807703713658	0.0776576441315858	0.353873542136712	0.0776576441315858
SORD	0.000827238957269558	0.075493839964237	0.379579475584581	0.075493839964237
AC115837.2	0.000882429394829356	-0.392799827913209	0.381599083565925	-0.392799827913209
LINC01763	0.000897745646221414	-0.210584077322793	0.381599083565925	-0.210584077322793
HHLA2	0.000901818679263784	0.273938758586649	0.381599083565925	0.273938758586649
LINC00470	0.000916551907767728	-0.44069760818883	0.381599083565925	-0.44069760818883
AC068413.1	0.00096311592345662	0.29989980532163	0.381599083565925	0.29989980532163
AP001599.1	0.000969835105444097	0.168474733325221	0.381599083565925	0.168474733325221
AC107918.6	0.000977017873822083	-0.361184978655808	0.381599083565925	-0.361184978655808
LINC02193	0.000988370895282139	0.131859324196536	0.381599083565925	0.131859324196536
LINC01355	0.000994841281486395	-0.0594889499280858	0.381599083565925	-0.0594889499280858
CNKSR1	0.00100876764745871	0.0939857053608196	0.381599083565925	0.0939857053608196
MTHFD2L	0.00102627964605507	-0.0526328266483533	0.381599083565925	-0.0526328266483533
TMEM212-AS1	0.00104815780598078	-0.380463603173199	0.383128326165786	-0.380463603173199
SV2C	0.0011260211595321	-0.294435851968976	0.398588178228614	-0.294435851968976
TAF12	0.00112741717851922	0.0616811881083423	0.398588178228614	0.0616811881083423
OR2L13	0.00114769547251482	0.128873183798347	0.399212912262171	0.128873183798347
CALML6	0.00118188481833185	0.261649759573435	0.402286455380168	0.261649759573435
MKRN2OS	0.00119383905890433	-0.0947395327770831	0.402286455380168	-0.0947395327770831
AC112770.1	0.00122609235728786	0.131113629783174	0.406798581188769	0.131113629783174
FER1L5	0.0012627464797113	0.0824579156120436	0.409284827982788	0.0824579156120436
OR2T6	0.00127154240354478	0.200217210732878	0.409284827982788	0.200217210732878
AL391840.3	0.00130644731482451	-0.0840084989622051	0.410231562391545	-0.0840084989622051
LMAN2L	0.00132638813821308	0.0456888925330238	0.410231562391545	0.0456888925330238
SPHKAP	0.00133155009586424	0.221348523949288	0.410231562391545	0.221348523949288
AC004908.3	0.00139254005890545	-0.174062842532205	0.422979139582463	-0.174062842532205
DOCK11	0.00144817228496717	0.0477489174558354	0.433767826355582	0.0477489174558354
SPRED3	0.00152470232653953	0.137783063309918	0.45043466265961	0.137783063309918
LENG8-AS1	0.0015760173200146	-0.0727969268415618	0.453384274149119	-0.0727969268415618
CCDC6	0.00157673284620161	-0.0401780018305896	0.453384274149119	-0.0401780018305896
ROBO3	0.00162319276281589	0.16534815767363	0.456117670994839	0.16534815767363
RASGRF2-AS1	0.00162853847104714	-0.177935904093038	0.456117670994839	-0.177935904093038
NIN	0.00169569066718726	-0.029656238573866	0.457331585679613	-0.029656238573866
