gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	2.28876281082567e-44	0.775300982816355	4.9890451750378e-40	0.775300982816355
UTY	4.726772305517e-42	0.650202144525934	5.15170913578298e-38	0.650202144525934
TTTY14	1.19247892427431e-41	0.719792169873183	8.66455186377717e-38	0.719792169873183
KDM5D	3.76419321347751e-39	0.759922636417458	2.05129709168457e-35	0.759922636417458
USP9Y	5.99100299854329e-36	0.644367704801884	2.61183766724493e-32	0.644367704801884
DDX3Y	2.22944043174651e-31	0.56132350395425	8.09955708853505e-28	0.56132350395425
RPS4Y1	1.27795066141711e-24	0.462453009418899	3.97953835965288e-21	0.462453009418899
PRKY	3.85779900687469e-22	0.452877703566697	1.05115378439818e-18	0.452877703566697
ZFY	5.85438780449312e-21	0.424435443449428	1.41793272624823e-17	0.424435443449428
TTTY10	1.01369806149152e-17	0.319245324618024	2.20965903443921e-14	0.319245324618024
AC244502.1	1.16983543023428e-08	-0.398770261530999	2.31818842802243e-05	-0.398770261530999
AC064829.1	2.63783120612529e-07	0.2986014355293	0.000479162038592659	0.2986014355293
AC079062.1	5.41992655537097e-07	0.330387217429174	0.000908796608107511	0.330387217429174
AC004949.1	6.38867773441118e-07	0.251761066340857	0.00099471712324782	0.251761066340857
LINC01515	8.14156613535673e-07	-0.579176618179806	0.00118313239079004	-0.579176618179806
PARP14	1.63634228613651e-05	-0.388377248638608	0.0222931182207523	-0.388377248638608
DHCR24-DT	3.1400740478502e-05	-0.199359927623546	0.0402631377029639	-0.199359927623546
TRPM6	6.05610718158095e-05	0.141485445910542	0.0733394579689453	0.141485445910542
AC055855.1	0.000120773868919831	-0.133837880135809	0.13855941024813	-0.133837880135809
AC244213.1	0.000186715892641397	0.330333861132831	0.192142152868999	0.330333861132831
XIST	0.000193156999717461	0.516272278206297	0.192142152868999	0.516272278206297
SPOCK3	0.00019392271598853	-0.0989575103186646	0.192142152868999	-0.0989575103186646
LINC01446	0.000220884372589787	0.384472362705983	0.209340763204877	0.384472362705983
AL590006.1	0.000351297937776509	-0.130868028000407	0.319066351985515	-0.130868028000407
MTUS2-AS2	0.000372034964488599	-0.179096152516637	0.324384726236899	-0.179096152516637
FAM135B	0.00047780976992941	-0.0447027710408373	0.40058836018928	-0.0447027710408373
AC023385.1	0.000532492955382299	-0.182534964052785	0.404459563232058	-0.182534964052785
MEGF11	0.00053474504071066	-0.0978248932179088	0.404459563232058	-0.0978248932179088
ZFY-AS1	0.000538091904474249	0.246804754791274	0.404459563232058	0.246804754791274
TMSB4Y	0.000610572249599223	0.238970935771449	0.443641796558796	0.238970935771449
LINC00486	0.00065292518830546	0.20302484218963	0.4469531183138	0.20302484218963
