gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	6.65382431687823e-42	0.672896148354718	8.99582850986323e-38	0.672896148354718
USP9Y	9.98648813261904e-42	0.690534603174216	8.99582850986323e-38	0.690534603174216
NLGN4Y	8.12027110926868e-37	0.656249397673206	4.87649347681949e-33	0.656249397673206
UTY	1.3297753025525e-34	0.628399941428771	5.98930796269648e-31	0.628399941428771
PCDH11Y	3.76997775150255e-21	0.372405107851233	1.3583983834214e-17	0.372405107851233
KDM5D	2.54964569874026e-15	0.367102713010429	7.65573615141741e-12	0.367102713010429
TTTY10	6.99417721270005e-09	0.225474245177938	1.80010138091434e-05	0.225474245177938
TBL1Y	1.06630920527247e-08	0.239261985433914	2.4013283302736e-05	0.239261985433914
RPS4Y1	6.72019856777257e-07	0.203136262101091	0.00134523441552212	0.203136262101091
AC002383.1	5.69112171027916e-05	0.160984333317209	0.102531248732389	0.160984333317209
LINC01515	6.3417055642827e-05	-0.880097664424436	0.103865606769197	-0.880097664424436
AC004949.1	0.000120599955834902	0.230027397090638	0.181060733693466	0.230027397090638
C4orf48	0.000142423352061704	0.183286729678563	0.19737685467259	0.183286729678563
PRKY	0.00021640736716376	0.146943599661333	0.251187010644541	0.146943599661333
DDX3Y	0.00021903946271404	0.108843919698661	0.251187010644541	0.108843919698661
ZFY	0.000223079050305986	0.12795470909628	0.251187010644541	0.12795470909628
PET100	0.000425008861092682	0.173997608684875	0.414540162800665	0.173997608684875
PPP1R16A	0.000452078541070194	0.0611741198207847	0.414540162800665	0.0611741198207847
AURKAIP1	0.000454244588288989	0.127125428871954	0.414540162800665	0.127125428871954
INHBA-AS1	0.000464627127908618	-0.118674397508596	0.414540162800665	-0.118674397508596
AC069155.1	0.000485048432885161	-0.218143888234157	0.414540162800665	-0.218143888234157
CHCHD10	0.000576972048637473	0.116451508797596	0.414540162800665	0.116451508797596
ERICH6	0.000585022632592076	-0.177194452680513	0.414540162800665	-0.177194452680513
AF127936.2	0.000586543251722001	0.220741555605381	0.414540162800665	0.220741555605381
TMEM204	0.000659903623164829	-0.17605878319716	0.414540162800665	-0.17605878319716
RNF41	0.000664050432221177	0.0445392370348244	0.414540162800665	0.0445392370348244
IGFBP4	0.000682793707983012	0.104294442949206	0.414540162800665	0.104294442949206
AL022097.1	0.000727470730367712	-0.279632997652356	0.414540162800665	-0.279632997652356
RPS19BP1	0.000738812280243491	0.134420934264383	0.414540162800665	0.134420934264383
RPS17	0.000768077976029014	0.152987324415875	0.414540162800665	0.152987324415875
ZNF471	0.000804902764750232	0.0430889264346309	0.414540162800665	0.0430889264346309
ATP5ME	0.000805274442762327	0.130555111674241	0.414540162800665	0.130555111674241
TMSB4X	0.000848427743533235	0.147383642554963	0.414540162800665	0.147383642554963
IGFL4	0.000857642199770935	-0.0499362117680105	0.414540162800665	-0.0499362117680105
LAMTOR5	0.000860796925494073	0.12877801574097	0.414540162800665	0.12877801574097
CCT6B	0.000870603156318448	-0.13112783632916	0.414540162800665	-0.13112783632916
CCDC85B	0.000872251584888993	0.149631858069195	0.414540162800665	0.149631858069195
NHP2	0.000874363132017388	0.124847746541961	0.414540162800665	0.124847746541961
OR2M3	0.000963509495373446	0.173278224402931	0.445091976119179	0.173278224402931
RPL35	0.00102896066116692	0.12912310540423	0.46344388178958	0.12912310540423
TRMT12	0.00109644112072505	0.054883095081381	0.481792273926403	0.054883095081381
AC105429.1	0.00114252760943898	-0.0840341202252526	0.484612076384447	-0.0840341202252526
HYOU1	0.00120280127488896	0.0781905439035063	0.484612076384447	0.0781905439035063
AC005856.1	0.00125238544872326	-0.215512042213215	0.484612076384447	-0.215512042213215
MICOS10	0.00135750238720932	0.0804384187565633	0.484612076384447	0.0804384187565633
GABARAP	0.0013660635626315	0.138739240929854	0.484612076384447	0.138739240929854
