gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	7.09905427746637e-10	0.26543932582695	1.28783943647517e-05	0.26543932582695
APC	1.8459705242358e-06	-0.0480163500151462	0.0120936765112818	-0.0480163500151462
LINC01515	1.99994650426356e-06	-0.991279698831652	0.0120936765112818	-0.991279698831652
RPL36	3.6800777631754e-05	0.168946004617929	0.166900726754412	0.168946004617929
AP001172.1	0.000125359753673199	-0.310533055159618	0.32574670494577	-0.310533055159618
SLC1A3	0.000126475249256639	-0.3662186018388	0.32574670494577	-0.3662186018388
ANXA5	0.000137587337260878	0.350075093835024	0.32574670494577	0.350075093835024
PIAS1	0.000143651046776151	0.044310247467871	0.32574670494577	0.044310247467871
RAG1	0.000216335899043122	-0.372944439885385	0.436061060504586	-0.372944439885385
ANTXR2	0.000259658029121719	0.62235628360304	0.453206667336101	0.62235628360304
ACADS	0.00028486187096602	0.232688050910116	0.453206667336101	0.232688050910116
AC013460.1	0.000331439454457846	-0.245861776414053	0.453206667336101	-0.245861776414053
PSMD12	0.000344141548889868	-0.0859831761358681	0.453206667336101	-0.0859831761358681
RCC1L	0.000349754332324867	-0.128079443508276	0.453206667336101	-0.128079443508276
FUT10	0.000376851044277717	0.125724103597651	0.45576365294947	0.125724103597651
NLGN4Y	0.000426120492801711	0.107308337729125	0.48314074124474	0.107308337729125
AC090772.2	0.000558420902587379	-0.51523078888802	0.56196260446385	-0.51523078888802
SERPINE3	0.00064557763300785	-0.550066883060973	0.56196260446385	-0.550066883060973
UBN2	0.000645705973334428	0.0478386358543414	0.56196260446385	0.0478386358543414
LGMN	0.000686145911840831	0.112192219252721	0.56196260446385	0.112192219252721
RESF1	0.000704457404026189	-0.0780394608582416	0.56196260446385	-0.0780394608582416
MTMR10	0.000754120232507272	-0.129499397817948	0.56196260446385	-0.129499397817948
SMAD3	0.000828504317400932	-0.387881216009395	0.56196260446385	-0.387881216009395
ZNF415	0.00085550950554	0.141875054819338	0.56196260446385	0.141875054819338
DUSP1	0.000855654527806212	0.228153577960897	0.56196260446385	0.228153577960897
NCOA7-AS1	0.000867561612573155	-0.662712877452928	0.56196260446385	-0.662712877452928
CHCHD4	0.000905181664143228	0.267852555053379	0.56196260446385	0.267852555053379
