gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
USP9Y	1.29183697592301e-62	0.834454394697122	2.40204167303125e-58	0.834454394697122
TTTY14	8.67045100982046e-60	0.86035840532975	8.06091830383008e-56	0.86035840532975
NLGN4Y	2.67183394627809e-51	0.777141459754508	1.65600267990316e-47	0.777141459754508
UTY	1.22282311975792e-46	0.655229299008241	5.6842932721947e-43	0.655229299008241
KDM5D	1.89908814217477e-36	0.746235117740325	7.06232898311952e-33	0.746235117740325
DDX3Y	2.73040933488158e-23	0.466870831193001	8.46153852879801e-20	0.466870831193001
TTTY10	2.92868665328982e-19	0.352681944108473	7.77942851875299e-16	0.352681944108473
RPS4Y1	1.48244197414318e-18	0.401398286362453	3.44556575840228e-15	0.401398286362453
ZFY	1.55001723734033e-17	0.350690886011786	3.20233561234512e-14	0.350690886011786
SERPINE1	2.49494498926682e-09	-1.03473513428086	4.63910071304272e-06	-1.03473513428086
LINC01515	5.6203952312668e-07	-0.855220464244402	0.000950051172092499	-0.855220464244402
PCDH11Y	6.44860050441452e-07	0.124547040309028	0.000999210648159029	0.124547040309028
FA2H	1.53070495749939e-06	-0.372493994299714	0.00216060973167293	-0.372493994299714
LINC00326	1.62679016045074e-06	0.393887582778353	0.00216060973167293	0.393887582778353
AC027796.1	1.08539683827183e-05	0.118707085751121	0.0134545792072176	0.118707085751121
AC093655.1	2.65790160334674e-05	0.164775757193427	0.0308881390078933	0.164775757193427
C4orf48	3.31572193547409e-05	0.226367026428092	0.0362661962754149	0.226367026428092
PRKY	3.90846491051652e-05	0.181478355457883	0.0403744425256356	0.181478355457883
AC020917.3	5.50710082667002e-05	0.138024702404323	0.0538942277742643	0.138024702404323
ST18	6.89974534335413e-05	-0.268050877603543	0.0641469324571633	-0.268050877603543
AL133243.2	8.23003867626161e-05	0.0651027302978154	0.0728711138792421	0.0651027302978154
AC244502.1	9.58585923688128e-05	-0.224787600741539	0.081017939386623	-0.224787600741539
AC004949.1	0.000125498073141235	0.180797568023994	0.101457007477745	0.180797568023994
REEP3	0.000170840431578236	-0.0455196497225641	0.132358624365239	-0.0455196497225641
LINC01608	0.0002195930642593	-0.285648642571841	0.163324537473497	-0.285648642571841
OR2M2	0.000247350720211255	0.171149852153205	0.176893818908003	0.171149852153205
BID	0.000430105250052259	0.0771659467293197	0.296199148869322	0.0771659467293197
HSPB1	0.000532224162234066	0.300038018221058	0.349618027970367	0.300038018221058
MOG	0.00056092382196921	-0.264866524373802	0.349618027970367	-0.264866524373802
PRKAR2A-AS1	0.000564082007051254	-0.138485013767845	0.349618027970367	-0.138485013767845
MEDAG	0.000640050033783256	-0.161381476825025	0.373767763514661	-0.161381476825025
AL139353.2	0.00065361359842857	-0.0958141430192889	0.373767763514661	-0.0958141430192889
