logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.2597431638904	0.809388883311537	6.13168306040843	-0.00688808887919346	7.12989576009736e-06	-9.58606873657219e-05	0.070433432714541	0.0565459706661392	0.166738692247691	0.00804353883497703	2.29978011577027e-06	1.02460081507475e-05	0	1.79381347426907e-46	4.77187033309046e-296	0.39180391005343	0.00193356667715663	8.2886398310247e-21	36501	NLGN4Y	1.72658135815185e-42	0.809388883311537	0.701447303254407	0.194011221186455	1	NBGMM (LN)
-11.3410246040405	0.783800341762286	6.23333608919256	-0.00458933787454879	9.79377577881287e-07	-3.24428590074534e-06	0.0687939437975545	0.054791573843463	0.16273514739666	0.00722075371240956	1.93182463963678e-06	9.07235086235795e-06	0	2.03270703808789e-46	5.34579028800229e-321	0.525052806245889	0.612175708398191	0.720641586645266	36493	USP9Y	1.72658135815185e-42	0.783800341762286	0.676521944466126	0.0971416323756702	1	NBGMM (LN)
-10.9876630311651	0.720036332410254	6.10187484879746	-0.00207341656812591	6.38210951986191e-06	-1.37330165251607e-05	0.0632507607709522	0.0505947905163934	0.144232480662084	0.00676473578754353	2.18850291387092e-06	9.65515931657188e-06	0	5.84718457379119e-46	0	0.759221160902649	0.00354324679942951	0.154924650336005	36514	TTTY14	3.31106571798549e-42	0.720036332410254	0.647671829070662	0.21617162937014	1	NBGMM (LN)
-11.5182620498001	0.623597812957048	5.45222870196396	-0.0107986163958327	8.78896936888538e-06	-5.03596191360019e-05	0.0623648183257344	0.0494524285301153	0.141298327455051	0.00787852727667833	2.2966028785294e-06	1.10784593178087e-05	0	1.85864730318944e-36	0	0.17048753303242	0.000129744300745418	5.47467209102889e-06	36496	UTY	7.89367509664555e-33	0.623597812957048	0.563725476344953	0.104076340305563	1	NBGMM (LN)
-12.4114464196313	0.525379348665566	5.24123595289776	-0.00893082273901226	-3.38517338634706e-06	3.45656812977603e-05	0.0701724771123935	0.051784975272997	0.156127389923596	0.00757178336688002	3.30623039211356e-06	1.66253827945073e-05	0	3.47348318724174e-24	4.55973027200142e-247	0.23820416879446	0.305893356302618	0.0376090006617314	36517	KDM5D	1.18015064769726e-20	0.525379348665566	0.441580842164683	0.0715115751696039	1	NBGMM (LN)
-11.8677268252556	0.353647011172736	4.79014631939755	0.0021990223625463	1.46027622241869e-05	-0.000100840744634918	0.0545242315370403	0.0412817260391584	0.114742347722563	0.00643822262092705	4.01601999089073e-06	1.84591881401046e-05	0	1.06518641084169e-17	0	0.732684026221554	0.000276766982660457	4.68411956958801e-08	36519	TTTY10	3.01589779122976e-14	0.353647011172736	0.303420934920809	0.527923067862664	1	NBGMM (LN)
-12.3190222089555	0.316672449950522	4.80035890843723	-0.00500785796417782	-3.05975978918126e-06	-2.93780128395894e-05	0.0620737136281987	0.0425827927961181	0.129653593596356	0.00636166956638051	3.97352988783919e-06	1.94011056913936e-05	0	1.03286767541595e-13	4.62182949678714e-300	0.43116924274369	0.44127872797452	0.129963901129046	36495	DDX3Y	2.50662229570945e-10	0.316672449950522	0.254026256201416	0.110908556262226	-10	NBGMM (LN)
-12.6913035265574	0.321361434038158	4.5217650431494	-0.0113795916461535	-4.58324825894361e-05	0.000259888367008929	0.0647633061593245	0.0454238098779906	0.133547380379545	0.0073750842547615	5.31538376446592e-06	2.52275957082397e-05	0	1.49734228770209e-12	2.68595823620062e-251	0.122836150301903	6.54448968987871e-18	6.91914517316529e-25	36451	RPS4Y1	3.17960634793538e-09	0.321361434038158	0.289634970101321	0.3896785632504	1	NBGMM (LN)
-12.5555331972166	0.260661952377765	4.18713837250023	-0.00661175579044348	-8.69688423803731e-06	3.08967592912065e-05	0.0596125700226994	0.0387149571704315	0.120908941645051	0.00680235221085557	5.51868143283901e-06	2.63953194244259e-05	0	1.66372946793555e-11	8.7792619819637e-263	0.331060097010334	0.115049094577819	0.241783999714029	36453	ZFY	3.14038180014324e-08	0.260661952377765	0.188359418199062	0.612217523815697	1	NBGMM (LN)
-9.31234666805025	0.163842317176972	3.46212078658035	-0.0011952940590263	-1.10272970616714e-05	-2.28381945986455e-05	0.0268210414054442	0.0244259523650789	0.0536915482710492	0.0043040801322315	3.60627288202251e-06	1.47718510102224e-05	0	1.97696108308514e-11	0	0.781233562781272	0.00222960939218567	0.122089642694259	36460	PCDH11Y	3.35846148794504e-08	0.163842317176972	0.194841142498602	1.31015750975338	1	NBGMM (LN)
