logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.4275033724902	0.782838895853625	6.23362625568921	-0.00174101652032181	-3.00591134992667e-06	-1.30267357258159e-05	0.0648652584096234	0.0508902443333043	0.146351251019857	0.0075766878937874	1.53873914341505e-06	7.28087716705795e-06	0	2.13223144778704e-53	0	0.818258093173984	0.0507615748725159	0.0735872486029018	36493	USP9Y	3.85251577986162e-49	0.782838895853625	0.714826841293763	0.140872182414413	1	NBGMM (LN)
-11.3040717999336	0.795258723623864	6.28995168760111	-0.00324363675450547	2.06707805526159e-05	-0.000137197896023155	0.0681454156220513	0.0531834872024365	0.153051309723103	0.00812963662339515	1.85047304232432e-06	8.203880245163e-06	0	1.48634155645904e-50	0	0.689901203620769	5.68351957623292e-29	8.83181800408193e-63	36501	NLGN4Y	1.3427609621051e-46	0.795258723623864	0.797018305498041	0.278186820839199	1	NBGMM (LN)
-11.8019241111324	0.714298221902764	5.82548255242053	-0.000158297332331192	7.80278976369233e-06	-5.35925778476177e-05	0.0630654232479794	0.0500689584247359	0.141006720462735	0.00760800930834334	1.71120444634303e-06	8.53009363762923e-06	0	3.54972737852703e-46	0	0.983399877704229	5.11967014570344e-06	3.32602614566855e-10	36496	UTY	2.13788247584088e-42	0.714298221902764	0.630835299455531	0.110814934057313	1	NBGMM (LN)
-10.8109625051672	0.568643748372016	5.52524407331642	0.00127595879650967	1.65586945301453e-06	6.18552405042278e-06	0.0531564022769617	0.043173976597764	0.11145564212974	0.00773774958045719	1.64646540750093e-06	7.48514604900469e-06	0	1.2890681460115e-39	0	0.86902229662576	0.314554294117925	0.408592424501282	36514	TTTY14	5.82272081553393e-36	0.568643748372016	0.617868936564473	0.235726493842254	1	NBGMM (LN)
-12.8579710663489	0.698555839426916	5.93052723294338	-0.00210760416259286	-6.16468069217243e-06	5.08554712124965e-05	0.0769129974015012	0.0569817817369924	0.1733408612253	0.00741628042345834	2.37479893021941e-06	1.251259359918e-05	0	1.49817969472265e-34	1.54437665657248e-256	0.776267730685845	0.00943504385574172	4.8167964759202e-05	36517	KDM5D	5.41382214484978e-31	0.698555839426916	0.54449584067573	0.0399989794299461	1	NBGMM (LN)
-12.7245494536222	0.46752113146118	5.18122099958328	-0.00210358107561627	1.45430506614574e-06	-5.55205063203976e-05	0.0648770047259542	0.0474687166203738	0.136770877956746	0.00624661237555046	2.90008154530757e-06	1.48398053808407e-05	0	6.92040633062095e-23	4.99948289935096e-314	0.736301221227584	0.616040101318044	0.00018305402156671	36495	DDX3Y	2.08396502636099e-19	0.46752113146118	0.392105539132467	0.0550980766344701	1	NBGMM (LN)
-12.077496360301	0.382873772390695	4.76219393350295	0.00120980602054314	1.72826294632495e-05	-0.000127193926881414	0.0513589837693696	0.0409458853770751	0.105443697388104	0.00652531812496205	3.18457324926529e-06	1.50293008230615e-05	0	8.70477938925882e-21	0	0.852913861292054	5.73141235171208e-08	2.60443858577564e-17	36519	TTTY10	2.24682791435898e-17	0.382873772390695	0.361576030535402	0.560217711598291	1	NBGMM (LN)
-12.9498583786824	0.395235792882557	4.76157143399929	-0.0031713842206684	-2.76097656574473e-05	0.000197935744459046	0.0611001925840153	0.0442294282922851	0.123676827102887	0.00639822238939767	3.81793802834182e-06	1.91771794722236e-05	0	4.03378183570241e-19	4.94065645841247e-324	0.620129756802293	4.77368627325771e-13	5.63823912234831e-25	36451	RPS4Y1	9.11029627593388e-16	0.395235792882557	0.340047029262927	0.333466453108577	1	NBGMM (LN)
-13.0010317982314	0.279333654276483	4.63239086877437	0.00396819315371769	-1.07243898995432e-05	5.14321244402995e-05	0.0610185782487002	0.040097411265518	0.120798683176698	0.00558766652447575	4.49499288756252e-06	2.20333775648421e-05	0	3.25208649464185e-12	9.73309322307256e-322	0.477598720044693	0.0170395849501251	0.0195809421196833	36453	ZFY	6.52874430946543e-09	0.279333654276483	0.218562505935924	0.78354316107725	1	NBGMM (LN)
-13.0589932936602	0.257558203072739	3.97791823915917	0.00128307487795209	-2.04678595811977e-05	9.58159322439126e-05	0.0560160111050038	0.0382922613882352	0.10855171741655	0.00623220081065473	5.62120402207343e-06	2.71990692679015e-05	0	1.74251321677446e-11	5.42215066564861e-294	0.836885980215754	0.000271383064580832	0.000427069676457432	36471	PRKY	3.07026712706929e-08	0.257558203072739	0.19354965649917	1.61982956576499	1	NBGMM (LN)
-13.9412015523948	0.421439631461599	4.58535343370385	-0.00673087181080695	-2.80755917348263e-05	-0.000109177292110331	0.100243828353437	0.0627526073257801	0.199737331695847	0.00963257087226679	1.40981748106069e-05	5.90087449371032e-05	0	1.8692128845341e-11	1.25676678770004e-116	0.484700953796936	0.0464331392840067	0.0642864082646554	36473	AC064829.1	3.07026712706929e-08	0.421439631461599	0.393869439363328	18.3625404935357	1	NBGMM (HL)
