logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.5945797062961	0.588415850055682	5.76842471423434	-0.00293165586856627	5.07946164971477e-06	2.97008436930089e-05	0.0816303312167121	0.0573357321106301	0.167024223157884	0.00729678265800716	2.52429365405502e-05	6.57138781968716e-05	0	1.03831034031064e-24	2.27657790396937e-261	0.687850528659227	0.84052413881961	0.651289036171332	36496	UTY	1.39590442151362e-20	0.588415850055682	0.558928227199073	0.326947117598057	1	NBGMM (LN)
-11.8143846723331	0.544249152596729	5.50637865624713	0.000976234228812196	-8.66858039653778e-05	0.000171865138326186	0.083311191529828	0.0575537275266401	0.165092934490849	0.0074591995091033	3.95886492183064e-05	9.83851233415348e-05	0	3.18829271809244e-21	6.54528321174854e-244	0.895872972775666	0.0285486798296848	0.0806614463147323	36501	NLGN4Y	2.14317036510174e-17	0.544249152596729	0.501220189717296	1.4214562751046	1	NBGMM (LN)
-11.710028543205	0.539294307303997	6.00193669793868	-0.00196036498561779	2.64128617159924e-05	-4.58528491070682e-05	0.0879941064132401	0.0612600370600741	0.17706114589148	0.00791048789924597	3.3327171995166e-05	8.30120579403593e-05	0	1.32776930813093e-18	7.24232897602797e-252	0.804274865821715	0.428050340621168	0.580699182157185	36455	LINC00278	5.95017685950408e-15	0.539294307303997	0.564477326746863	1.18701775001103	1	NBGMM (LN)
-11.6205458335176	0.414792667484506	5.35377960247064	0.00171999293778178	-1.4772818223277e-05	6.00867604501142e-05	0.0746707415065942	0.0529043780512914	0.14591182236679	0.0071824465406665	3.00278922148379e-05	7.72121888738232e-05	0	4.49033577872076e-15	9.83898898460445e-295	0.81073981079024	0.62274064364798	0.436449322316355	36493	USP9Y	1.50920185522805e-11	0.414792667484506	0.446352623002353	0.508201293877899	1	NBGMM (LN)
-7.67946393747789	-0.0778301446223734	0.0158049791168654	-0.00104468502764171	4.23883488637954e-05	-0.000143622662586116	0.0186358552729588	0.0185300313382747	0.0371269863798066	0.00338231113749614	1.47007107780923e-05	3.77005614853722e-05	0	2.66659793398014e-05	0.670326049558714	0.757422535437253	0.00393380396192572	0.000139212654274242	12929	RPS6KA2	0.071699485248858	-0.0778301446223734	0.113538417793879	0.621387455468852	1	NBGMM (LN)
-8.60932501590822	0.281243812405117	0.087782516241022	0.0134004390019797	-7.37142629481014e-05	0.000228403386859193	0.0671527635653277	0.0710676964443634	0.133061144392659	0.00878288652211652	2.31681073513537e-05	6.41843455019222e-05	0	7.57677132834309e-05	0.509436336767433	0.127073558561756	0.00146406939407631	0.000372903735215494	3818	LINC00486	0.150076826431144	0.281243812405117	0.996671008159603	0.0540564807942903	1	NBGMM (LN)
-12.4779166316116	-0.419303626275559	-0.0844086615368323	-0.0162010631820611	0.0016247149592589	-0.00443082857445098	0.106820562985621	0.106152040103577	0.218076867955678	0.0201075390774348	0.000104974312061887	0.000270551101830156	0	7.81417572908366e-05	0.698712369807949	0.420403833092559	4.94054738536738e-54	2.78954003059716e-60	16942	NR4A3	0.150076826431144	-0.419303626275559	1.51555540326154	8.16139858209694	1	NBGMM (LN+HL)
-11.7520031518236	0.125197076212084	-0.0691843754157859	-0.0036433659896624	-2.7579111800258e-05	2.28232825042181e-05	0.0394753174086727	0.0322548047385216	0.0698087990520264	0.00886161331542641	6.83203721801274e-05	0.00018167104897901	0	0.000103813468747838	0.321658612266708	0.680969691366355	0.686452957763487	0.900025038403963	15386	AC113143.3	0.164938417299599	0.125197076212084	0.0443541075353169	7.57864218263913	1	NBGMM (LN+HL)
-12.7921453138039	0.206737979738984	0.16441739385323	-0.0129622222859474	0.000181926427088444	-0.000514135609252848	0.0658756216180786	0.0535787008853557	0.119520453104423	0.0157516835014994	0.000113867701295203	0.000301599925749104	0	0.000114045332705566	0.168932396485864	0.410559016147374	0.11010975734849	0.0882514937308901	27756	AC138627.1	0.164938417299599	0.206737979738984	0.192466249063801	18.677556947037	1	NBGMM (HL)
-11.1604169958973	0.11142902943258	0.0849787189919845	0.00125254934686501	-7.90933749668393e-05	7.8303322261395e-05	0.0327739701262938	0.029012711092277	0.0611403368707816	0.00716057404718983	5.94005950579784e-05	0.000153370677086256	0	0.000122685523132698	0.164560414066217	0.861140109771582	0.183016337678709	0.609666546072281	15387	AC022182.1	0.164938417299599	0.11142902943258	0.0906632447346306	5.02292509410979	1	NBGMM (LN+HL)
