gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
UTY	1.03831034031064e-24	0.588415850055682	1.39590442151362e-20	0.588415850055682
NLGN4Y	3.18829271809244e-21	0.544249152596729	2.14317036510174e-17	0.544249152596729
LINC00278	1.32776930813093e-18	0.539294307303997	5.95017685950408e-15	0.539294307303997
USP9Y	4.49033577872076e-15	0.414792667484506	1.50920185522805e-11	0.414792667484506
RPS6KA2	2.66659793398014e-05	-0.0778301446223734	0.071699485248858	-0.0778301446223734
LINC00486	7.57677132834309e-05	0.281243812405117	0.150076826431144	0.281243812405117
NR4A3	7.81417572908366e-05	-0.419303626275559	0.150076826431144	-0.419303626275559
AC113143.3	0.000103813468747838	0.125197076212084	0.164938417299599	0.125197076212084
AC138627.1	0.000114045332705566	0.206737979738984	0.164938417299599	0.206737979738984
AC022182.1	0.000122685523132698	0.11142902943258	0.164938417299599	0.11142902943258
NFKBID	0.000147601847225412	-0.134388835649798	0.180396294008949	-0.134388835649798
WWTR1	0.00020669250695456	0.132842520180306	0.231564505291425	0.132842520180306
PRXL2C	0.000321360348007652	-0.0944080300158523	0.29446039969038	-0.0944080300158523
PADI2	0.000324026764134874	-0.122593078954421	0.29446039969038	-0.122593078954421
LINC01515	0.000373120869633977	-0.407596539156113	0.29446039969038	-0.407596539156113
DPY19L3	0.000398301282520893	0.0531820773625538	0.29446039969038	0.0531820773625538
NPFFR1	0.000452869578710115	-0.347135647128737	0.29446039969038	-0.347135647128737
AC083862.3	0.000455616725092269	-0.192616613287331	0.29446039969038	-0.192616613287331
LINC00649	0.000460449439116686	0.198566076746484	0.29446039969038	0.198566076746484
STXBP6	0.00047716532249104	0.209763218271192	0.29446039969038	0.209763218271192
RPS28	0.000481155381086349	0.143213632405715	0.29446039969038	0.143213632405715
AC096667.1	0.000481860219665899	-0.268067257058019	0.29446039969038	-0.268067257058019
TNNI2	0.000510929653378876	-0.181945398864172	0.298649489566331	-0.181945398864172
TTTY10	0.000603786630747368	0.249479560147777	0.338221144323651	0.249479560147777
C3orf33	0.000689559664849127	0.129539222864627	0.370817605369267	0.129539222864627
KCNIP1	0.000830760465128012	-0.101366816368535	0.383669734229247	-0.101366816368535
