gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
UTY	8.8251694748128e-52	0.778852110460736	1.24223085527465e-47	0.778852110460736
AC064829.1	8.87380272143206e-48	1.04981991206691	6.24538235534388e-44	1.04981991206691
NLGN4Y	3.04007939911257e-45	0.671737163920483	1.42640525406362e-41	0.671737163920483
KDM5D	7.33121054848679e-43	0.802729717054635	2.5798529920125e-39	0.802729717054635
TTTY14	7.62784342268787e-37	0.61724067761153	2.14739048035509e-33	0.61724067761153
USP9Y	4.34391296278312e-36	0.586570627485109	1.01908198106892e-32	0.586570627485109
DDX3Y	5.36574511298725e-34	0.739103197173061	1.07897468872012e-30	0.739103197173061
RPS4Y1	9.8466075338055e-32	0.548911123517772	1.73251059557308e-28	0.548911123517772
ZFY	6.62964179045429e-31	0.520863607687452	1.03687597602705e-27	0.520863607687452
TTTY10	1.6449971630643e-17	0.329053007352903	2.31549800672931e-14	0.329053007352903
EIF1AY	2.4016056233724e-17	0.386157614041357	3.07318188678089e-14	0.386157614041357
EIF5A	1.59494120983978e-06	0.160950777921534	0.00187086603914206	0.160950777921534
SLC35F3	1.76377247103491e-06	-0.303897999702024	0.0018925619511919	-0.303897999702024
LINC01515	1.89081640031276e-06	-0.924067838239266	0.0018925619511919	-0.924067838239266
IRAK2	2.01679662317977e-06	-0.107222148400112	0.0018925619511919	-0.107222148400112
AC068633.1	3.50923809704012e-06	-0.126007886720814	0.00308725221587105	-0.126007886720814
IQCH-AS1	6.23360460261251e-06	-0.080600600682935	0.00516142461096316	-0.080600600682935
NFIB	7.79588276720624e-06	-0.0566158136470214	0.00609638032395528	-0.0566158136470214
OR2L13	9.81535390797578e-06	0.187443539091037	0.00701758714173199	0.187443539091037
FAM207A	9.97099622297811e-06	0.0888217632188811	0.00701758714173199	0.0888217632188811
TMEM141	1.0545359517049e-05	0.149075628116829	0.00706840383628485	0.149075628116829
CALR	1.44967211048995e-05	0.126464253503685	0.00927526573966204	0.126464253503685
AC012146.1	2.98469262334474e-05	0.143367899054458	0.0182663188548698	0.143367899054458
DNHD1	3.49769481369434e-05	-0.0535071603419861	0.0200273384372922	-0.0535071603419861
IGSF11	3.55700100122411e-05	-0.0476396315588966	0.0200273384372922	-0.0476396315588966
PHYHIPL	4.27502040016456e-05	-0.0446912734209445	0.0228375188050548	-0.0446912734209445
LINC02715	4.38059823626371e-05	-0.183813875636089	0.0228375188050548	-0.183813875636089
PPFIBP2	5.56526998358438e-05	-0.0712828512495211	0.0279774072460478	-0.0712828512495211
AC005034.6	6.51874931520301e-05	0.111041282117144	0.0316406604692405	0.111041282117144
TMTC4	7.13310477226094e-05	-0.0668132727077675	0.0332298797043709	-0.0668132727077675
AC108734.4	7.5148194245505e-05	-0.190604532707278	0.0332298797043709	-0.190604532707278
LINC01344	7.67096822097273e-05	-0.134559306875549	0.0332298797043709	-0.134559306875549
ESS2	7.79046625635295e-05	0.072950205380222	0.0332298797043709	0.072950205380222
MRPL55	9.07664093811287e-05	0.164793918847115	0.0375772934837873	0.164793918847115
ARL10	9.6429476862844e-05	-0.0406602634601601	0.0387811804663255	-0.0406602634601601
FLYWCH2	0.000109493189921355	0.0711980304121391	0.0428118372592497	0.0711980304121391
ACP7	0.000120718954504324	-0.0900218772687623	0.0453998579317854	-0.0900218772687623
PRDM2	0.000122562844658131	-0.0276900894539122	0.0453998579317854	-0.0276900894539122
LINC00844	0.000128793426925049	0.111018134966987	0.046484519933256	0.111018134966987
JOSD2	0.000156566297662562	0.0872708867942077	0.0550956801474557	0.0872708867942077
AC009226.1	0.00017086638054344	-0.0909160889550272	0.0586613456714502	-0.0909160889550272
PPDPF	0.000190071726303032	0.149335292213348	0.0628518029304202	0.149335292213348
WBP1	0.000194333442345545	0.0840251376467354	0.0628518029304202	0.0840251376467354
LINC00486	0.000196467698844735	0.201781159506206	0.0628518029304202	0.201781159506206
MCM5	0.000221944701801046	0.0583006595654092	0.0680432291333818	0.0583006595654092
GIPR	0.00023523437835034	-0.135122237893873	0.0680432291333818	-0.135122237893873
NTM-AS1	0.000240279696341127	0.06250620509786	0.0680432291333818	0.06250620509786
