gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
AP001372.1	1.02968013112695e-05	0.609027988474469	0.150508344766827	0.609027988474469
AKAP5	4.48035773917556e-05	0.625504240891477	0.327446945367646	0.625504240891477
AGTRAP	0.000356735540494778	0.302621209195415	0.749360067820869	0.302621209195415
GABBR2	0.000372463494294318	0.362650953152954	0.749360067820869	0.362650953152954
SERTAD2	0.00051809955574513	-0.18357856143265	0.749360067820869	-0.18357856143265
PLPPR2	0.000599454612175293	0.15345508723388	0.749360067820869	0.15345508723388
TMED5	0.00066126187499008	-0.169355060812812	0.749360067820869	-0.169355060812812
WDR73	0.000908161073785896	0.151684311639002	0.749360067820869	0.151684311639002
AC104123.1	0.00100842112539042	-0.140183065504233	0.749360067820869	-0.140183065504233
NTRK1	0.0010208368621975	0.232150929121827	0.749360067820869	0.232150929121827
SPRED3	0.00110537201124152	0.437601680561353	0.749360067820869	0.437601680561353
PRKACB	0.00113275270041208	0.12135491334527	0.749360067820869	0.12135491334527
SEPTIN7-AS1	0.0012727577350567	0.222265957729637	0.749360067820869	0.222265957729637
CYP27A1	0.00131071996980383	0.138094607188634	0.749360067820869	0.138094607188634
PALMD	0.00135542670790977	0.274590086628577	0.749360067820869	0.274590086628577
GXYLT2	0.00139630771927401	0.185749211930523	0.749360067820869	0.185749211930523
AL391839.1	0.00143941136217482	0.340360774553164	0.749360067820869	0.340360774553164
ZP3	0.00146104376094339	0.38889198643244	0.749360067820869	0.38889198643244
AC010894.3	0.00149676540804916	0.23256364386095	0.749360067820869	0.23256364386095
LINC02315	0.00151812021972769	-0.716523398418267	0.749360067820869	-0.716523398418267
SLC1A1	0.00156206601814651	0.209260760714676	0.749360067820869	0.209260760714676
ERICH1	0.00157682565671648	-0.112844210419447	0.749360067820869	-0.112844210419447
CLCN5	0.00159008161390696	-0.304455389596577	0.749360067820869	-0.304455389596577
MSH4	0.00160835439218877	0.234610294636318	0.749360067820869	0.234610294636318
SFXN1	0.00163496332806125	0.1250741720563	0.749360067820869	0.1250741720563
ZNF268	0.00166831803762737	0.218193465226175	0.749360067820869	0.218193465226175
AL353151.2	0.00171502985414735	0.391399359750844	0.749360067820869	0.391399359750844
ICA1	0.0018391548750893	-0.53014911736945	0.749360067820869	-0.53014911736945
ATG3	0.00192000317839874	-0.209318512428093	0.749360067820869	-0.209318512428093
SERPINE1	0.00192317632617889	0.443071704582579	0.749360067820869	0.443071704582579
SPOCK1	0.00193910496475526	0.223284775605458	0.749360067820869	0.223284775605458
AL445928.2	0.00198235373952091	0.427147813499413	0.749360067820869	0.427147813499413
LINC00863	0.00199370389076619	0.308943630620255	0.749360067820869	0.308943630620255
AC079336.4	0.00206666771983737	0.414261273738816	0.749360067820869	0.414261273738816
AL049840.5	0.00209640260614327	0.220217899923412	0.749360067820869	0.220217899923412
AC107871.2	0.0021428965064862	0.466230704587247	0.749360067820869	0.466230704587247
LINC02188	0.00217081732492704	-0.270513081556271	0.749360067820869	-0.270513081556271
SPAG16	0.00221832535870874	0.152815576286021	0.749360067820869	0.152815576286021
SNX25	0.00225344633634408	-0.10561605382054	0.749360067820869	-0.10561605382054
PUS3	0.00225684596085168	0.389303793223446	0.749360067820869	0.389303793223446
GMEB2	0.00227616807184992	-0.204538377789288	0.749360067820869	-0.204538377789288
AC009113.1	0.00230529431758039	0.492823965583808	0.749360067820869	0.492823965583808
ZNF766	0.00235094098929108	0.155423054865248	0.749360067820869	0.155423054865248
LLGL2	0.00236420759981771	-0.482593301787068	0.749360067820869	-0.482593301787068
MRPS18A	0.00238402555058083	0.225054703518795	0.749360067820869	0.225054703518795
DDX55	0.00239015397241478	0.18492796445697	0.749360067820869	0.18492796445697
NAA30	0.00240951790296099	0.175513223468171	0.749360067820869	0.175513223468171
STXBP3	0.00246669759510544	-0.118065153397665	0.751160807242839	-0.118065153397665
KAT6B	0.00264249760524414	-0.083244299711727	0.788273214201093	-0.083244299711727
AC018797.3	0.00271638571975296	-0.415352344031518	0.794108201312581	-0.415352344031518
PMEPA1	0.00278543862460368	-0.0896492214512891	0.798244873099776	-0.0896492214512891
SOX13	0.00283975736479362	-0.118264707550263	0.798244873099776	-0.118264707550263
SPOCK2	0.00300287272063977	0.242531641813586	0.817997686459086	0.242531641813586
RUSC1-AS1	0.0030219521836759	0.44506496601115	0.817997686459086	0.44506496601115
