gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
UTY	1.02171889590827e-39	0.149599156913149	1.67878631786688e-35	0.149599156913149
USP9Y	2.93484092867097e-38	0.13051998698589	2.41111856494964e-34	0.13051998698589
TTTY14	8.99958534609851e-34	0.130342951523543	4.92907289405816e-30	0.130342951523543
NLGN4Y	9.90462126217321e-31	0.116213898807169	4.0685707989692e-27	0.116213898807169
LINC00278	2.66239181836134e-26	0.11657670883157	8.74915199349905e-23	0.11657670883157
KDM5D	1.32675182726004e-21	0.105369119865886	3.63330987895163e-18	0.105369119865886
RPS4Y1	1.48125860619073e-17	0.0820446139554923	3.47693716547427e-14	0.0820446139554923
TTTY10	8.53768888058636e-16	0.0679216103032009	1.75353457496143e-12	0.0679216103032009
ZFY	7.22612655045887e-14	0.0638854128135849	1.31924983722877e-10	0.0638854128135849
DDX3Y	3.39487938234863e-08	0.0577260720921915	5.57812631313704e-05	0.0577260720921915
AC109347.1	1.39551255791924e-06	-0.0383752960583656	0.00208451516719736	-0.0383752960583656
F2R	5.7258925337034e-06	0.0275662700299132	0.00784017835177338	0.0275662700299132
TRIM26	2.57652067260871e-05	0.0145936354996097	0.0325652393627952	0.0145936354996097
PHKA1	3.78888979555715e-05	-0.0117387078765987	0.0444680344505711	-0.0117387078765987
GEM	6.0884194558784e-05	-0.0265281292846944	0.066692546719692	-0.0265281292846944
DNAL1	8.70952989832168e-05	0.00953298348387666	0.0894414285995772	0.00953298348387666
AC119396.1	0.000106189063878374	-0.0386411680480747	0.10263485344621	-0.0386411680480747
VAV3-AS1	0.000123296036184082	-0.0285373836158101	0.112548731696703	-0.0285373836158101
AURKC	0.000151010203092784	-0.0336386333858874	0.116353886589432	-0.0336386333858874
AL357079.1	0.000152602823426628	-0.016615261330039	0.116353886589432	-0.016615261330039
IER2	0.000154071916085795	-0.0184549571096488	0.116353886589432	-0.0184549571096488
LMAN2L	0.000155790000910931	0.00852516820816747	0.116353886589432	0.00852516820816747
KRCC1	0.000185422723111715	0.00671039710284855	0.127564282682216	0.00671039710284855
AC079922.2	0.000193291025794894	-0.0243132140986904	0.127564282682216	-0.0243132140986904
ADM	0.000200905008348569	-0.0541369255363861	0.127564282682216	-0.0541369255363861
AL158071.4	0.000201854503666095	-0.0324344195032712	0.127564282682216	-0.0324344195032712
TMA7	0.000219009441895452	0.0307576294429828	0.133279412584599	0.0307576294429828
PLBD2	0.000290366036431326	0.0107128934359064	0.170393012307254	0.0107128934359064
SUSD1	0.000334127239197181	0.0229352201044498	0.189311885077547	0.0229352201044498
AC073195.1	0.000351249426859056	-0.0244159965696742	0.192379311090705	-0.0244159965696742
MRTO4	0.000404597429215266	-0.0140711387943651	0.20376172433271	-0.0140711387943651
FANCC	0.000411372682409391	-0.0131235672911679	0.20376172433271	-0.0131235672911679
AL137779.2	0.000450816322751966	-0.0264181635971957	0.20376172433271	-0.0264181635971957
AL137781.1	0.000452170469254049	-0.0339741631117308	0.20376172433271	-0.0339741631117308
PGAP2	0.000457584023199821	0.0124437533048625	0.20376172433271	0.0124437533048625
AL158011.1	0.000476452658152238	-0.0337692607991586	0.20376172433271	-0.0337692607991586
AC007666.1	0.000502347130214004	-0.0215369843951196	0.20376172433271	-0.0215369843951196
AL035071.1	0.000507426493442458	-0.0199170925858253	0.20376172433271	-0.0199170925858253
SLC44A2	0.00050785468084925	0.0107545760928655	0.20376172433271	0.0107545760928655
KBTBD11-OT1	0.000513600536715591	-0.0282227116110752	0.20376172433271	-0.0282227116110752
WDR53	0.000522428657424357	0.0123892150579995	0.20376172433271	0.0123892150579995
LRRC39	0.000536291939687546	-0.0192685544125201	0.20376172433271	-0.0192685544125201
AC097522.2	0.000553123478334651	-0.0385561205527862	0.20376172433271	-0.0385561205527862
AP000350.5	0.000563348456810372	-0.0281393487612336	0.20376172433271	-0.0281393487612336
C3orf35	0.000568261442930553	-0.0254449245451843	0.20376172433271	-0.0254449245451843
AL606489.1	0.000570448500961881	-0.0250237978555285	0.20376172433271	-0.0250237978555285
AC098820.1	0.00060723712731407	0.021202697990852	0.212287515721223	0.021202697990852
TEN1	0.000637170784578126	0.0174233750695105	0.215487604031861	0.0174233750695105
LINC00901	0.000642620205560293	-0.0333744698625342	0.215487604031861	-0.0333744698625342
MAX	0.000687613865110475	-0.00824252849729756	0.222607001887829	-0.00824252849729756
SEMA6A-AS1	0.00070289123450658	-0.0121440470268392	0.222607001887829	-0.0121440470268392
PNISR	0.000704495411001588	-0.0099198689599412	0.222607001887829	-0.0099198689599412
AC068473.5	0.000765655286772342	-0.0216584378264791	0.234291762412156	-0.0216584378264791
INKA2	0.000769993011396534	-0.0339779531471802	0.234291762412156	-0.0339779531471802
INAVA	0.000828859562297408	0.0236593741151114	0.245637844693128	0.0236593741151114
MLC1	0.000847109962649424	0.0111114815941142	0.245637844693128	0.0111114815941142
DNAJC16	0.000852130554896736	0.00632479103320542	0.245637844693128	0.00632479103320542
ZNF485	0.00088344768919548	-0.0263493292043797	0.250274637606395	-0.0263493292043797
CLU	0.000912416789894369	0.0201106436681997	0.252085121021457	0.0201106436681997
RNF24	0.000920522625603277	-0.0123346757133979	0.252085121021457	-0.0123346757133979
STEAP3-AS1	0.000962590292454094	-0.0218176453946007	0.259283952382184	-0.0218176453946007
PHF7	0.0010322243192378	-0.0144277188839623	0.270270152494723	-0.0144277188839623
CADM2	0.00104058711194367	0.00889352436755362	0.270270152494723	0.00889352436755362
ARHGAP19	0.00105272288720481	0.0119218994214399	0.270270152494723	0.0119218994214399
ANKDD1A	0.00109258437659406	-0.0143177193194897	0.274819202001939	-0.0143177193194897
GSTO2	0.0011317348487784	0.0143983027379996	0.274819202001939	0.0143983027379996
GRIK1-AS1	0.00114713853580693	-0.0196027672598117	0.274819202001939	-0.0196027672598117
GABPB1-AS1	0.00115433876741769	-0.0120166119932441	0.274819202001939	-0.0120166119932441
LINC00640	0.0011587977679277	-0.0290273362110103	0.274819202001939	-0.0290273362110103
KLHL9	0.00118233482381323	0.0104368734832221	0.274819202001939	0.0104368734832221
BACH1	0.00118752135245193	-0.0106395177015597	0.274819202001939	-0.0106395177015597
AL135878.1	0.00121284176360767	0.0175027824420821	0.276780597469966	0.0175027824420821
AC002428.2	0.00127013140505936	-0.0388748232640503	0.285883960500415	-0.0388748232640503
GGNBP2	0.00129357856548674	0.00566550848748579	0.287226883912334	0.00566550848748579
SFTPD-AS1	0.001391942809801	-0.0214654022043806	0.296815312345095	-0.0214654022043806
JADE1	0.00141315307331897	0.00981708460422301	0.296815312345095	0.00981708460422301
HSF4	0.00142192215181598	-0.01213617266002	0.296815312345095	-0.01213617266002
LPIN2	0.00142206229598677	-0.00732002760072225	0.296815312345095	-0.00732002760072225
ZNF492	0.00142708354179676	-0.0271310092175217	0.296815312345095	-0.0271310092175217
AC245140.3	0.00146250351478804	-0.0252406466565548	0.300379940643528	-0.0252406466565548
AC007319.1	0.00152535336017322	0.0295388099578533	0.309420753839583	0.0295388099578533
SPAG7	0.00160510596426388	-0.0090024371857347	0.310235449921363	-0.0090024371857347
FN3K	0.00162339738837788	-0.01566605091936	0.310235449921363	-0.01566605091936
COPS9	0.00162801292275513	0.0231405809368764	0.310235449921363	0.0231405809368764
ANAPC7	0.00163059721480411	0.00714498678760227	0.310235449921363	0.00714498678760227
DAB1	0.00164238506801693	-0.024324977458421	0.310235449921363	-0.024324977458421
LINC02666	0.00164265620736161	0.0131849764833471	0.310235449921363	0.0131849764833471
AC087521.2	0.00176766530267468	-0.025168408392857	0.327257712939194	-0.025168408392857
MAP3K8	0.00177262104872426	-0.0116130373157547	0.327257712939194	-0.0116130373157547
SLC8A3	0.00180668135555353	0.0483251131191238	0.328314624321483	0.0483251131191238
CCDC43	0.00183916440573605	-0.0127519128229767	0.328314624321483	-0.0127519128229767
RPS6KA3	0.00184365975936145	-0.00933847043247488	0.328314624321483	-0.00933847043247488
AC025580.2	0.00186679721220779	-0.0252075547625945	0.328314624321483	-0.0252075547625945
PCMTD2	0.0018926993028703	0.0105637652465552	0.328314624321483	0.0105637652465552
ATP6V1E2	0.00192070770789088	-0.0119687660622042	0.328314624321483	-0.0119687660622042
LUC7L3	0.00193179627596161	-0.00761365789061367	0.328314624321483	-0.00761365789061367
ALOX12-AS1	0.00193819722227398	-0.00608222233477256	0.328314624321483	-0.00608222233477256
AC009228.1	0.00198268026280169	-0.0178017923453837	0.329751376364847	-0.0178017923453837
SLCO4A1	0.00202007687345992	-0.0318080865249167	0.329751376364847	-0.0318080865249167
SOX5-AS1	0.00202712156377508	-0.0294405982497233	0.329751376364847	-0.0294405982497233
EEF1A1	0.00203647879280008	0.0213079851125865	0.329751376364847	0.0213079851125865
TTC26	0.00207373328292997	0.0109587031272828	0.329751376364847	0.0109587031272828
CENPL	0.00208142785464748	-0.0157820516716498	0.329751376364847	-0.0157820516716498
MZT1	0.00208716104570288	0.0181257367259392	0.329751376364847	0.0181257367259392
C2CD4C	0.0021712789270529	-0.0521729337666082	0.337924386052286	-0.0521729337666082
KMT5B	0.00218416772669788	0.00530541406957046	0.337924386052286	0.00530541406957046
C2orf72	0.002205311135119	-0.0126549456871685	0.337924386052286	-0.0126549456871685
LINC01937	0.00223267050866307	-0.0339355347059738	0.337924386052286	-0.0339355347059738
MT1F	0.00224172345442755	0.0370140137532041	0.337924386052286	0.0370140137532041
FRMPD4	0.00231644016794749	0.0526533051579731	0.34601298545041	0.0526533051579731
KCNE2	0.00234281637836384	-0.0240074438222499	0.346800143359425	-0.0240074438222499
AL121894.3	0.00237576984537297	0.0251684249387202	0.348382254453214	0.0251684249387202
RPL21	0.00239701330680607	0.023668774388957	0.348382254453214	0.023668774388957
ACSF2	0.00244385465568034	0.00877874633850868	0.348382254453214	0.00877874633850868
WWC1	0.00245653015008793	-0.0102274441637192	0.348382254453214	-0.0102274441637192
CAMK1	0.00245951807659746	-0.0116953544651811	0.348382254453214	-0.0116953544651811
AP002026.1	0.00251466379779563	0.0172040807538455	0.353149067192992	0.0172040807538455
NHP2	0.00255696053270108	0.0350023048714805	0.355507607656563	0.0350023048714805
PKD1L3	0.00259145197827613	-0.021188441999813	0.355507607656563	-0.021188441999813
AC136475.5	0.00259636741030903	0.0317315405372967	0.355507607656563	0.0317315405372967
CSDC2	0.00264469285395834	-0.0269926700930821	0.357090467939023	-0.0269926700930821
C1orf50	0.0026756873627831	-0.0103448048974773	0.357090467939023	-0.0103448048974773
RPL13A	0.00267633372058051	0.0257255203935849	0.357090467939023	0.0257255203935849
NDUFA1	0.00269485837894461	0.0325105580844647	0.357090467939023	0.0325105580844647
MRNIP	0.00278482540999467	-0.0065411057656952	0.363802319653772	-0.0065411057656952
ANKUB1	0.00278979321260881	-0.0192482648344958	0.363802319653772	-0.0192482648344958
RPL28	0.00289674425111693	0.0223289173109704	0.368134422253739	0.0223289173109704
CRTAP	0.00295225428408557	-0.00956297441390945	0.368134422253739	-0.00956297441390945
RPH3AL	0.00296967567690849	0.0140308921716961	0.368134422253739	0.0140308921716961
SELENOP	0.00297443661107226	0.0212239592615182	0.368134422253739	0.0212239592615182
AC132192.2	0.0030223140585293	-0.0155740237870129	0.368134422253739	-0.0155740237870129
AL158064.1	0.0030579185193634	-0.0112694259374414	0.368134422253739	-0.0112694259374414
CYB561A3	0.00305870945256768	-0.0124639514974586	0.368134422253739	-0.0124639514974586
LRRIQ4	0.00306040045604583	0.0229121720360655	0.368134422253739	0.0229121720360655
AC084024.4	0.00306364086081349	-0.0234347879458472	0.368134422253739	-0.0234347879458472
GRINA	0.00306628448897827	0.0151494070400105	0.368134422253739	0.0151494070400105
CST3	0.00310689800653221	0.0223871013655499	0.368134422253739	0.0223871013655499
LINC00486	0.00311844586627577	0.0390270084106678	0.368134422253739	0.0390270084106678
AP000317.1	0.00313371004881482	-0.0160701300086411	0.368134422253739	-0.0160701300086411
AKAP3	0.00315672623615837	0.0172024022086867	0.368134422253739	0.0172024022086867
RPS15	0.00315908669817888	0.0266530531691165	0.368134422253739	0.0266530531691165
SLC25A29	0.00319207077484966	-0.0112205446587406	0.369358555644752	-0.0112205446587406
KCNMB2-AS1	0.00322401488543507	-0.0151678620767488	0.369358891806564	-0.0151678620767488
ACKR4	0.00323703246425325	-0.027632390932702	0.369358891806564	-0.027632390932702
PDYN-AS1	0.00328180402722514	-0.0307102677013007	0.371884979112664	-0.0307102677013007
AL512634.1	0.003387325818948	-0.0409883943853733	0.379113415873492	-0.0409883943853733
AC025038.1	0.00343825673423338	-0.0265753902209637	0.379113415873492	-0.0265753902209637
GPR37L1	0.00344191877775078	0.0150215411665329	0.379113415873492	0.0150215411665329
ATXN1L	0.003509844043615	-0.0104775076498696	0.379113415873492	-0.0104775076498696
DARS-AS1	0.00352062623996237	-0.0238131531623198	0.379113415873492	-0.0238131531623198
APBA2	0.00352175477226039	-0.0106701687405372	0.379113415873492	-0.0106701687405372
CBR4	0.00352563344017873	-0.00537815674726655	0.379113415873492	-0.00537815674726655
PLGRKT	0.00356103930930034	0.00778901179841478	0.379113415873492	0.00778901179841478
GATC	0.00357695109206091	0.00787460142315724	0.379113415873492	0.00787460142315724
AC020910.5	0.00357984070223114	-0.0265977808408334	0.379113415873492	-0.0265977808408334
SERPINE2	0.00362637989275385	0.008987116078711	0.379113415873492	0.008987116078711
AP003071.2	0.00363787272211655	-0.0416400199406955	0.379113415873492	-0.0416400199406955
AC099661.1	0.00365856253283254	-0.0219897275142993	0.379113415873492	-0.0219897275142993
AC021097.1	0.00371071376128795	-0.0140656700969237	0.379113415873492	-0.0140656700969237
ITFG2-AS1	0.00372238910667462	-0.0148183941889803	0.379113415873492	-0.0148183941889803
DEK	0.00374758546800679	-0.00785903815698335	0.379113415873492	-0.00785903815698335
MRPS16	0.00376725089638283	-0.00937467000898347	0.379113415873492	-0.00937467000898347
MMP16	0.00377017239605853	0.0421337487696212	0.379113415873492	0.0421337487696212
FTL	0.00378398151075727	0.0242722852153652	0.379113415873492	0.0242722852153652
TIMELESS	0.0038842672384831	-0.0184163396967378	0.384823326229032	-0.0184163396967378
AC008119.1	0.00388781401947656	-0.0231468739005239	0.384823326229032	-0.0231468739005239
HILPDA	0.00391909134842829	-0.0364550773375912	0.385018713457286	-0.0364550773375912
PDK1	0.00395252971579308	-0.0212168184752502	0.385018713457286	-0.0212168184752502
GTPBP3	0.00397029262244358	-0.0119038703671273	0.385018713457286	-0.0119038703671273
AC009407.1	0.0039835178192282	-0.0255682155871523	0.385018713457286	-0.0255682155871523
AL135791.1	0.00403734884874293	-0.0270298719175318	0.387939642887106	-0.0270298719175318
AC019205.1	0.0040683068960276	0.00963302508787975	0.388641573305985	0.00963302508787975
AL390783.1	0.00410297332778155	-0.025625322716221	0.389687599703923	-0.025625322716221
EDA2R	0.00426056801149514	-0.0270847622629532	0.398550852798463	-0.0270847622629532
RPS5	0.00428402921793657	0.0299164813582299	0.398550852798463	0.0299164813582299
TMEM251	0.00433818526401277	-0.019841966231511	0.398550852798463	-0.019841966231511
PCDHGA8	0.00434738153118501	0.0113431864770193	0.398550852798463	0.0113431864770193
CACNA1D	0.00435811538526322	-0.0323908308457171	0.398550852798463	-0.0323908308457171
BNIP3L	0.00436940632226223	-0.0124572493540455	0.398550852798463	-0.0124572493540455
XKR9	0.00438476500700048	0.0178728876886796	0.398550852798463	0.0178728876886796
AC003044.1	0.00440164965658135	0.0359302081740944	0.398550852798463	0.0359302081740944
