gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
USP9Y	4.02203415443421e-40	0.149831579701485	8.39358307688876e-36	0.149831579701485
NLGN4Y	6.60572460839966e-36	0.143473786317426	6.89274334263462e-32	0.143473786317426
UTY	2.77625149998193e-32	0.126624679418212	1.93125308510409e-28	0.126624679418212
TTTY14	3.51656372063478e-25	0.0930970760355515	1.83467920714818e-21	0.0930970760355515
KDM5D	2.31800512443217e-22	0.106080406219306	9.67488978835499e-19	0.106080406219306
PCDH11Y	8.11050048460738e-17	0.0455388299188642	2.82096724355452e-13	0.0455388299188642
TTTY10	2.77107560719804e-15	0.0697065157037663	8.26136812094513e-12	0.0697065157037663
DDX3Y	4.68391662116505e-14	0.073844057401741	1.22185819958867e-10	0.073844057401741
RPS4Y1	1.59903116563839e-12	0.0680523238976692	3.7077979328564e-09	0.0680523238976692
PRKY	3.96592518108994e-10	0.0614309416376908	8.2764892604166e-07	0.0614309416376908
ZFY	9.02369553001275e-08	0.0465468636765042	0.000171195910923487	0.0465468636765042
AC244502.1	2.26392105097439e-07	-0.0749944613325311	0.000393714736773204	-0.0749944613325311
HM13-IT1	1.67976226484706e-06	0.0514014502669486	0.00269653528500718	0.0514014502669486
LINC00382	5.6642652516854e-05	0.0835199530616426	0.0844339653838733	0.0835199530616426
OR2L3	0.000123028211639803	0.0200501642440477	0.149550614657099	0.0200501642440477
C6orf163	0.000127301059536439	0.0269156313445458	0.149550614657099	0.0269156313445458
AC069277.1	0.000127624647379304	-0.0576634005273918	0.149550614657099	-0.0576634005273918
STYX	0.000128990898645253	0.0114021296100907	0.149550614657099	0.0114021296100907
LINC01515	0.00024179585162022	-0.137119822923208	0.265580927761178	-0.137119822923208
PRDM10	0.000299213112184736	-0.00934233065268609	0.312213921909163	-0.00934233065268609
SPTLC1	0.000327278371481184	-0.00597328660275714	0.31942714969416	-0.00597328660275714
OR2L2	0.000336738573638963	0.0208792025539352	0.31942714969416	0.0208792025539352
PCDHGA7	0.000376147158291334	0.0347013077779421	0.340060138386805	0.0347013077779421
SCN11A	0.000401796228385767	-0.0180272743198244	0.340060138386805	-0.0180272743198244
TMEM240	0.000407461283987059	-0.0152093776289111	0.340060138386805	-0.0152093776289111
MXD3	0.000424359106053187	-0.019040751474637	0.340060138386805	-0.019040751474637
TRIQK	0.000439964719749089	-0.00734936564808169	0.340060138386805	-0.00734936564808169
DCTN1-AS1	0.00072992915287439	-0.0170979210313297	0.544031838976273	-0.0170979210313297
AC008170.1	0.000801642054817023	-0.0395762074985753	0.557848923618041	-0.0395762074985753
ICE1	0.000857085586815147	-0.00484728420296253	0.557848923618041	-0.00484728420296253
LINC00486	0.000857837081109485	0.04032758773091	0.557848923618041	0.04032758773091
ACSS2	0.000893749839019583	0.0080839492766848	0.557848923618041	0.0080839492766848
NBPF14	0.000940552576045942	0.0345576128641503	0.557848923618041	0.0345576128641503
AC046130.1	0.000972548649000965	-0.0427513135221763	0.557848923618041	-0.0427513135221763
AC064807.4	0.000992392746619556	-0.0524059335412394	0.557848923618041	-0.0524059335412394
TRPA1	0.000996698847627519	-0.0405738007436974	0.557848923618041	-0.0405738007436974
AC016747.2	0.00100182010509314	-0.0518534239406684	0.557848923618041	-0.0518534239406684
LINC00326	0.00101603119453197	0.0483515004637937	0.557848923618041	0.0483515004637937
AC022075.1	0.001042508410614	0.0419669306831592	0.557848923618041	0.0419669306831592
HNF1A-AS1	0.00115115696720072	-0.0332081116354058	0.600587368712797	-0.0332081116354058
OR2L13	0.00126907215212784	0.0199804131956283	0.642928112845805	0.0199804131956283
ZNF676	0.00130088798941057	-0.0591260265815098	0.642928112845805	-0.0591260265815098
LIMD1	0.00133086548427435	0.02285381161963	0.642928112845805	0.02285381161963
C19orf38	0.00138411613449937	0.03236568127836	0.642928112845805	0.03236568127836
AC068408.2	0.00141651469968768	0.0447394113362585	0.642928112845805	0.0447394113362585
FRZB	0.00147440310954543	-0.0304972096241184	0.642928112845805	-0.0304972096241184
AC004053.1	0.0014774167756268	-0.029977396518188	0.642928112845805	-0.029977396518188
TCFL5	0.00147877470969374	-0.00735983966259661	0.642928112845805	-0.00735983966259661
TAGAP	0.00151526310533073	-0.0340278594592004	0.645347464186672	-0.0340278594592004
OR2L8	0.00160732071808749	0.0331143198467381	0.664569647050748	0.0331143198467381
LINC01509	0.00163007867104285	-0.0538330992241711	0.664569647050748	-0.0538330992241711
CAPN9	0.00165593088536293	-0.0488624490523156	0.664569647050748	-0.0488624490523156
RNF13	0.00170851528188834	-0.00492355196189785	0.672735951277883	-0.00492355196189785
LINC01446	0.00188304434539573	0.089635989856197	0.721409227249289	0.089635989856197
LINC02352	0.00190126539358431	-0.0155274764238422	0.721409227249289	-0.0155274764238422
BHMG1	0.00194470977541707	0.0412867062286592	0.724716933985335	0.0412867062286592
PDE7B	0.00200299577539892	0.00907029414335273	0.733342435733334	0.00907029414335273
AC068473.5	0.0020869240947174	-0.0323213813606373	0.749615713468411	-0.0323213813606373
SHROOM4	0.00214151053481882	-0.0463540397669652	0.749615713468411	-0.0463540397669652
PCDHA12	0.00215520354631773	-0.0156856262168034	0.749615713468411	-0.0156856262168034
ANKDD1B	0.00237740659967703	-0.0112933470691698	0.813018808924865	-0.0112933470691698
XIST	0.0024154087955025	0.0651603736465708	0.813018808924865	0.0651603736465708
STON1	0.0025395223964921	-0.0333049411080627	0.819810833620178	-0.0333049411080627
IGF2BP3	0.00254532161793136	0.0291052517298066	0.819810833620178	0.0291052517298066
TSPAN10	0.00255343831450053	0.0358624808670034	0.819810833620178	0.0358624808670034
ATE1	0.00259664188482489	-0.00583623208488862	0.821050295369859	-0.00583623208488862
AC012085.2	0.00263660429063956	-0.033030506163046	0.821243208079955	-0.033030506163046
PSAT1	0.0028376056725552	0.0249494671708092	0.853706080245686	0.0249494671708092
SLC30A4	0.00296853273531176	-0.00813556397883524	0.853706080245686	-0.00813556397883524
TCHH	0.00297045985319908	-0.0253709407375419	0.853706080245686	-0.0253709407375419
AC010327.5	0.00309459412838383	-0.0268080091922884	0.853706080245686	-0.0268080091922884
NVL	0.00323471366834126	0.00619350364792885	0.853706080245686	0.00619350364792885
IGSF23	0.00334354072185289	-0.0445978437940855	0.853706080245686	-0.0445978437940855
ERMN	0.00337289200657329	-0.0590742037917181	0.853706080245686	-0.0590742037917181
AC025180.1	0.00343538849446343	0.0414004949328793	0.853706080245686	0.0414004949328793
ARMC8	0.00344882498031042	-0.0044818828571457	0.853706080245686	-0.0044818828571457
LYRM2	0.00350634789009068	-0.00809516806157123	0.853706080245686	-0.00809516806157123
OR2L5	0.00357501718484888	0.0174856295596501	0.853706080245686	0.0174856295596501
NTPCR	0.00357684290996676	-0.00688393523907234	0.853706080245686	-0.00688393523907234
LINC01023	0.00358336095138407	0.0367155094299667	0.853706080245686	0.0367155094299667
PRAG1	0.00359063573093804	0.0150416753133217	0.853706080245686	0.0150416753133217
AP003392.5	0.00365756192308555	-0.0338086140089358	0.853706080245686	-0.0338086140089358
AC022440.1	0.00366481871696547	-0.0228419323854293	0.853706080245686	-0.0228419323854293
AC120114.1	0.00372818921168486	-0.0335008403824205	0.853706080245686	-0.0335008403824205
AC073525.1	0.0037286254936467	-0.042198815295852	0.853706080245686	-0.042198815295852
PRSS51	0.00376710071343595	-0.0236493550596223	0.853706080245686	-0.0236493550596223
METRNL	0.00376844774351031	-0.0399697182147964	0.853706080245686	-0.0399697182147964
UBXN8	0.00385518657810111	-0.0161145808801367	0.853706080245686	-0.0161145808801367
PRXL2C	0.00388834942404233	-0.014490289711961	0.853706080245686	-0.014490289711961
LINC02821	0.00392640315538223	-0.032955725868135	0.853706080245686	-0.032955725868135
PROM2	0.0039942165294869	0.0279548843634849	0.853706080245686	0.0279548843634849
C9orf147	0.0041090220501981	-0.0124461963123676	0.853706080245686	-0.0124461963123676
ZNF746	0.00414375295534466	-0.00668396514302773	0.853706080245686	-0.00668396514302773
SYNPR-AS1	0.00418337807784298	-0.0205946810990125	0.853706080245686	-0.0205946810990125
EXTL1	0.00419831080351847	0.00901284414465691	0.853706080245686	0.00901284414465691
AC090971.2	0.00422685103629989	-0.0263980515247093	0.853706080245686	-0.0263980515247093
AC012640.2	0.00422918956363686	-0.035437439404275	0.853706080245686	-0.035437439404275
CREG1	0.00422938353910926	-0.00721180906860707	0.853706080245686	-0.00721180906860707
AC092667.1	0.00423544202153449	-0.0267783405135806	0.853706080245686	-0.0267783405135806
ZNF709	0.00426380344876138	0.00793854110242969	0.853706080245686	0.00793854110242969
AP000317.1	0.00426520598263056	-0.0123919124066924	0.853706080245686	-0.0123919124066924
AC006348.1	0.00427597797074516	-0.0174142531026442	0.853706080245686	-0.0174142531026442
MMP25	0.00432339264293925	-0.0352322484919038	0.853706080245686	-0.0352322484919038
AC093424.1	0.00432395643326771	-0.0422078733048098	0.853706080245686	-0.0422078733048098
