logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.847350201424	0.15568985984399	6.12846964499582	-1.44365837878815e-05	0.0216243347574637	0.0467509254275556	1.39813710862696e-05	-8.74061264157045e-05	0.0704150356970277	0.0115668274643966	0.160349459769517	0.00833146773866202	0.212101832835217	0.148084597237616	2.00999618384045e-06	1.0683169835737e-05	0	2.68802285152485e-41	1.33817680176102e-319	0.998617443899178	0.918794293305819	0.752227058357774	3.50270536507218e-12	2.79946323837837e-16	36501	NLGN4Y	5.20105541541543e-37	0.15568985984399	0.765033194968276	0.144985245427112	1	NBGMM (LN)
-11.3707501912405	0.133072970187188	5.92266839397548	-0.0037283350142976	-0.00955195001320454	0.144575360964051	3.11820445188702e-06	-1.7565199970078e-05	0.0620882412682049	0.0102037233770514	0.137052129016981	0.00719200151858324	0.193347730345043	0.137811618518984	1.45453501908169e-06	8.03469238038799e-06	0	7.09439331596656e-39	0	0.604179076287251	0.960598170027196	0.294141473151433	0.0320504431521647	0.0288032018216308	36493	USP9Y	6.86347081353185e-35	0.133072970187188	0.722913191340433	0.0470873675529957	1	NBGMM (LN)
-11.7959913748051	0.129473019591662	5.72246722091234	-0.00675579583231745	-0.226784345028741	0.0880538821481737	9.89112668243214e-06	-5.05366669759951e-05	0.061326960163428	0.00997517434717078	0.1343793327792	0.00729314352097285	0.18234870763442	0.129750506948119	1.87255247498938e-06	1.03774365847686e-05	0	1.59870041807025e-38	0	0.354278912612715	0.213615533736322	0.497366000878613	1.27667797842954e-07	1.11677146304504e-06	36496	UTY	1.03110847964137e-34	0.129473019591662	0.641251799899606	0.0737332953469941	1	NBGMM (LN)
-12.8627836011077	0.140496406862794	6.14782442618693	-0.00684613126009244	-0.188585382995669	0.126143481310975	-4.40821065684761e-06	3.75400225154722e-05	0.0790524656172765	0.0120657086432448	0.17925944975704	0.00719188604375879	0.195858918760414	0.135535494100699	2.7066972216002e-06	1.53662599565453e-05	0	2.45405025779026e-31	9.10222498884135e-258	0.341135362570875	0.335616082685754	0.352006490767396	0.103391184707726	0.0145650821276421	36517	KDM5D	1.1870854609496e-27	0.140496406862794	0.615875818251849	0.0509652843440746	1	NBGMM (LN)
-12.7483628959656	0.105906690028858	5.47079337209957	-0.00734128520742542	-0.0348647726809177	0.0737841650573581	-1.22011077424113e-05	6.06547886411735e-05	0.0653387167932275	0.00996657730301023	0.140137824030984	0.00695520552863388	0.160692838580131	0.113847617918507	3.04762780460856e-06	1.70669797381645e-05	0	2.25135528989079e-26	0	0.291192386852734	0.828235374042981	0.516922978711669	6.24182787575281e-05	0.000379525512072509	36495	DDX3Y	8.7122947008194e-23	0.105906690028858	0.464792703108743	0.0424349727224856	1	NBGMM (LN)
-13.019344265291	0.0905409350755055	5.00155201351553	-0.0110029924557049	-0.033257884849712	0.142393131883429	-3.63282505924212e-05	0.000267738888598593	0.0632089199097328	0.00954353021996167	0.130895429143386	0.00759467472588372	0.15789770466751	0.109576224501955	4.10324040223405e-06	2.28074944209713e-05	0	2.37429326078265e-21	1.90032469359919e-319	0.147399780951504	0.833176537979449	0.193776061255112	8.47774696246111e-19	8.03605039989944e-32	36451	RPS4Y1	7.65670005048058e-18	0.0905409350755055	0.425108936617583	0.21318096000256	1	NBGMM (LN)
-10.9502647134665	0.0881319027067907	5.24591856937867	-0.000340842666725696	-0.121202046135999	0.181358584380932	5.40839689694258e-06	-4.43439362839255e-05	0.0559605965170306	0.00962804167316256	0.117285587791549	0.00784567766559359	0.177427228208368	0.127890518614068	1.779991597551e-06	9.22058307491626e-06	0	5.503220549425e-20	0	0.965348107173896	0.494538290374973	0.156168327832946	0.00237806797736226	1.51510201882744e-06	36514	TTTY14	1.52116877729749e-16	0.0881319027067907	0.699264182377635	0.152847041175388	1	NBGMM (LN)
-13.0529271440417	0.073689602990362	4.67431928861971	-0.00331504787742694	-0.108624133879175	0.127529046498295	-1.0993669444945e-05	7.30104287227363e-05	0.0606507419298561	0.00894324863009503	0.123184542688799	0.00654066583266837	0.144520800486924	0.0984915211945142	4.8273550152791e-06	2.62473864587118e-05	0	1.72656342830268e-16	4.54919133040473e-315	0.61226957592046	0.452282068926052	0.195381437509329	0.0227641900282601	0.00540872282025719	36453	ZFY	4.17590947177858e-13	0.073689602990362	0.342686973532964	0.537119463880867	1	NBGMM (LN)
-10.3710885539597	0.0376078827236744	3.37802103361875	-0.00162592067125888	-0.0484262855452259	0.0514130273662679	3.42650096363669e-06	-2.90271291757068e-05	0.0262793368601344	0.00476297376541352	0.0527736727670279	0.00391766496955881	0.0800109761387972	0.0577911526690397	2.66932730812929e-06	1.34759362536213e-05	0	2.88267430253851e-15	0	0.678125140267687	0.545015868690947	0.373661950450867	0.199261959550628	0.0312403902311867	36460	PCDH11Y	6.19742945331307e-12	0.0376078827236744	0.18546272587001	0.507481246162899	1	NBGMM (LN)
-12.3520427514191	0.065569102558612	4.77840581624767	0.00458961825856852	-0.326927519834847	-0.0115054505437581	9.33894321557109e-06	-8.73048009093237e-05	0.0521859881822555	0.00833486693816819	0.105934885964451	0.00669515360750591	0.138274495949757	0.0943917020372869	3.58490190684465e-06	1.9201399462626e-05	0	3.63698101594296e-15	0	0.49301993754007	0.0180623692207744	0.902985749608516	0.00918537858745155	5.44693575079365e-06	36519	TTTY10	7.03719456774804e-12	0.065569102558612	0.354555306191767	0.387507012893231	1	NBGMM (LN)
-13.4095047750013	0.0669111895193048	4.49170768653091	-0.00147506561579326	0.0577405426194904	-0.0597126426264454	-4.15838557899421e-06	-7.43831874954391e-07	0.0662589038461459	0.00920461425299793	0.131262006169299	0.00713350711677994	0.13978648236367	0.093571870098005	5.72680228960613e-06	3.13826384140954e-05	0	3.61329773717239e-13	1.24423979206097e-256	0.836181784203032	0.679560882157341	0.523377754495325	0.467760938426024	0.981090295962489	36471	PRKY	6.35579071968624e-10	0.0669111895193048	0.286052707267333	0.689694028110384	1	NBGMM (LN)
-13.2837766004224	-0.166344045081655	-0.077507270788573	0.06602281039856	-0.544831525456687	-0.401176937300661	5.72984718724038e-06	-3.75661183308413e-05	0.13960096986768	0.0333917820758331	0.311597854993432	0.0331690401436062	0.443288487829571	0.358232088463567	1.17426160711955e-05	5.66869958361048e-05	0	6.30651382186964e-07	0.803560861976913	0.046536428139057	0.21904645526262	0.262764918687409	0.625582984724371	0.507526707973394	18098	LINC01515	0.00101687279949463	-0.166344045081655	2.1097248432322	1.73462632781505	1	NBGMM (LN)
-13.7695159102989	-0.064035083009244	0.166451949483151	0.031768013183139	-0.513232539008405	0.0263885058902826	-5.56844085058811e-08	2.85867739180782e-07	0.072796105980135	0.0129009616173237	0.138095284661989	0.0142502894271478	0.208749104870277	0.151172734852105	1.24787293352547e-05	6.87888508972398e-05	0	6.92019804353926e-07	0.228071573433759	0.0257946833914379	0.0139476222975086	0.861426455781848	0.996439574801274	0.996684218502994	23837	AC244502.1	0.00102999163034185	-0.064035083009244	0.753692200760649	7.61130664452401	1	NBGMM (LN+HL)
