gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NLGN4Y	7.01848095078596e-39	0.166673914011148	1.5136056018465e-34	0.166673914011148
USP9Y	3.94103253917253e-36	0.139554313357645	4.24961538698974e-32	0.139554313357645
TTTY14	2.28211162529659e-34	0.143296705229961	1.64053397703821e-30	0.143296705229961
UTY	1.89591337796655e-33	0.135693688592019	1.02218169773067e-29	0.135693688592019
DDX3Y	4.3321687769919e-16	0.0778928157527973	1.86855103689215e-12	0.0778928157527973
KDM5D	5.40880573157955e-16	0.0819201984567501	1.94410507345408e-12	0.0819201984567501
TTTY10	1.43297131974633e-08	0.0465251538109719	4.41477992594992e-05	0.0465251538109719
RPS4Y1	6.57247626103367e-08	0.0511929353716293	0.000177177528806815	0.0511929353716293
ZFY	1.38533767541269e-07	0.0459209783563053	0.000331957692310556	0.0459209783563053
AC073225.1	8.46170108990019e-07	0.0805493103127189	0.00182485045704788	0.0805493103127189
LINC01515	3.4824832363747e-06	-0.137329456880693	0.00682756667960515	-0.137329456880693
LINC00326	1.1063610739536e-05	0.0656133272599704	0.0198831524340694	0.0656133272599704
DDX60	2.28786340811165e-05	-0.0906514728349748	0.0379538940456429	-0.0906514728349748
AC244502.1	5.76168730352123e-05	-0.0741229998833143	0.0887546774198135	-0.0741229998833143
AC084882.1	0.00016960953999773	0.0345786763418194	0.200310001901838	0.0345786763418194
RABGAP1L-IT1	0.000172365494831281	0.0287723989681805	0.200310001901838	0.0287723989681805
PIP5KL1	0.000173265369953321	0.0258241283086089	0.200310001901838	0.0258241283086089
ZNF330	0.000175875310723445	-0.0139673471098467	0.200310001901838	-0.0139673471098467
AL390783.1	0.000176476399709493	-0.0536610767183954	0.200310001901838	-0.0536610767183954
LINC02193	0.000185923550282235	0.029510091053105	0.200481364269334	0.029510091053105
MIR210HG	0.000202356242998743	-0.0727803003106969	0.202332070941266	-0.0727803003106969
ORMDL1	0.000206403856102562	-0.0117980357997963	0.202332070941266	-0.0117980357997963
POLN	0.000223696861379638	0.0121622674793852	0.209749848370142	0.0121622674793852
AC023385.1	0.000246081420193012	-0.0483395493723564	0.221124662828437	-0.0483395493723564
CERS5	0.000258289151353298	0.0087823360031808	0.222810553523409	0.0087823360031808
AL031073.2	0.000297721391029037	0.0343370135802886	0.246948443035854	0.0343370135802886
SCML4	0.000319383725580532	0.0387044489151251	0.249652218916594	0.0387044489151251
LENG8-AS1	0.000335226668391048	-0.0161023654342404	0.249652218916594	-0.0161023654342404
AC108463.3	0.000335709651700882	0.0295245205632176	0.249652218916594	0.0295245205632176
AL050403.2	0.00038276863487364	-0.0428050283730443	0.275159612656164	-0.0428050283730443
GRHL3	0.000396628847948057	0.0544897921807261	0.275925733382187	0.0544897921807261
