gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NLGN4Y	1.04607974005691e-34	0.142539363076528	2.10345714130643e-30	0.142539363076528
TTTY14	1.04127396394082e-33	0.134666382440283	1.0468968433461e-29	0.134666382440283
USP9Y	5.90733480773402e-32	0.124945495329301	3.95948961046386e-28	0.124945495329301
UTY	1.12521775132738e-27	0.116702623390381	5.65646963592274e-24	0.116702623390381
KDM5D	3.75867616754346e-15	0.072236482793729	1.51158920753928e-11	0.072236482793729
PCDH11Y	4.89302486650296e-15	0.0546145468353383	1.63981573359403e-11	0.0546145468353383
PRKY	1.2443608409833e-11	0.0645254344205837	3.57451539864175e-08	0.0645254344205837
RPS4Y1	2.78057918358078e-08	0.0534380866332461	6.98898577793028e-05	0.0534380866332461
LINC01515	4.6758812618208e-07	-0.16552336014167	0.00104469578236325	-0.16552336014167
DDX3Y	9.21372708479209e-07	0.0411325814311736	0.00185269624220999	0.0411325814311736
TTTY10	1.60134642177472e-06	0.0334059539281214	0.00292726125900418	0.0334059539281214
OR2M3	2.79494934297588e-06	0.0504750787881133	0.00468340344904658	0.0504750787881133
KLHL41	2.00177656774669e-05	-0.0404482922386652	0.0309628640186542	-0.0404482922386652
GYG2	7.68236652104332e-05	0.0578560664386248	0.110340732860814	0.0578560664386248
HGF	0.000124284574980532	-0.0539312968950209	0.150699933266418	-0.0539312968950209
FAM218A	0.000125025823961678	-0.0320601177760504	0.150699933266418	-0.0320601177760504
HACD4	0.000127406945769301	-0.0264823557633746	0.150699933266418	-0.0264823557633746
LINC01949	0.000249166735578922	-0.0343977715306132	0.277959076109358	-0.0343977715306132
ZNF771	0.000262642850908981	0.0130863431036051	0.277959076109358	0.0130863431036051
SLC3A2	0.000379536300512292	-0.0124346427272983	0.374275604387689	-0.0124346427272983
RDH5	0.000390878639951336	-0.0347009656274074	0.374275604387689	-0.0347009656274074
BCL2L2-PABPN1	0.000464140457152277	0.0164919568398821	0.40649006337917	0.0164919568398821
AC112481.2	0.000464952827616914	-0.0316944935740368	0.40649006337917	-0.0316944935740368
HDHD5	0.000492532452975569	-0.012235535075572	0.412660106851364	-0.012235535075572
RBM10	0.000541670098667417	0.00902023791535671	0.435676093760177	0.00902023791535671
AC092353.1	0.000563541598923301	-0.0539516019172587	0.435834402736529	-0.0539516019172587
AC007952.4	0.000697524650909316	0.0405872904968796	0.519475025203131	0.0405872904968796
AL583785.1	0.00076139803839612	-0.0529199222485752	0.532222218950381	-0.0529199222485752
RANGAP1	0.000814625403216352	0.0102911641542131	0.532222218950381	0.0102911641542131
AL356599.1	0.00081597567792353	-0.0153258800349953	0.532222218950381	-0.0153258800349953
GNA14-AS1	0.000849294046203391	-0.042367770482337	0.532222218950381	-0.042367770482337
AL137802.2	0.000868171720716926	-0.0556021571906103	0.532222218950381	-0.0556021571906103
IGFL4	0.000900607744858188	-0.010638829959824	0.532222218950381	-0.010638829959824
AC083798.2	0.000934175199954178	-0.0252108506898021	0.532222218950381	-0.0252108506898021
ZSCAN26	0.00094806749083948	-0.0119942039934881	0.532222218950381	-0.0119942039934881
HSD17B12	0.000952854579382023	-0.0256437475514429	0.532222218950381	-0.0256437475514429
GNAL	0.00100052493534781	0.0252908180469654	0.543744740539833	0.0252908180469654
AC087664.1	0.00113187859166857	-0.0447110595073947	0.551329187002644	-0.0447110595073947
AL391807.1	0.00114871571723054	-0.0128699250813827	0.551329187002644	-0.0128699250813827
ACTN4	0.00115147118387455	0.011456563731644	0.551329187002644	0.011456563731644
DENND2C	0.00124538610103991	0.0344959469581227	0.551329187002644	0.0344959469581227
ZNF793	0.00128350355581782	-0.0100079197774382	0.551329187002644	-0.0100079197774382
RILPL2	0.00132835451126661	0.0164209039572255	0.551329187002644	0.0164209039572255
AC109466.1	0.0013542489786131	-0.020450866966623	0.551329187002644	-0.020450866966623
ZFY	0.00145214469620174	0.0270861193878402	0.551329187002644	0.0270861193878402
AC253576.2	0.00148100784432099	0.0481634905755652	0.551329187002644	0.0481634905755652
PMFBP1	0.00148160202319808	0.0516882709534409	0.551329187002644	0.0516882709534409
ZNF319	0.00148540987917299	0.0251983887475757	0.551329187002644	0.0251983887475757
TESMIN	0.00150325256942948	-0.0201034051267132	0.551329187002644	-0.0201034051267132
AC024257.1	0.00151716126599072	-0.0732695459910453	0.551329187002644	-0.0732695459910453
MED6	0.00152013536921487	-0.0107606666320105	0.551329187002644	-0.0107606666320105
NUP37	0.00154979058491999	-0.0208266360469619	0.551329187002644	-0.0208266360469619
AP000763.3	0.00155060099861189	-0.0687617828334786	0.551329187002644	-0.0687617828334786
