logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-13.7425776924699	-0.151517380589778	-0.0689129667274812	0.0197193662966878	-1.03422247010694	-0.84985150295873	-1.45038994092614e-05	-2.99481347958185e-05	0.132593083543513	0.0312951744077182	0.242960868569039	0.0222607369509068	0.369090144721313	0.26053133840248	9.03854438463388e-06	0.000103993234899558	0	1.28825505815365e-06	0.776687712156644	0.375705807836395	0.00507732758316371	0.00110631724403699	0.108565999387862	0.773360848256823	18098	LINC01515	0.0300202076201545	-0.151517380589778	1.08702422959568	2.33319324358596	1	NBGMM (HL)
-11.2084866098484	0.024539635505091	-0.0212927414867027	0.00865863683537967	-0.15601713579101	-0.0220035992223806	-6.77103226813127e-06	5.04117530469914e-05	0.0363534750049122	0.00550517165803962	0.0573183026197894	0.00545656045677842	0.0931671062073088	0.0622900574993243	2.3024181180398e-06	3.19631303979242e-05	0	8.28976606294449e-06	0.710278251156074	0.11255102750328	0.0940137935118976	0.723905401958239	0.00327328621094028	0.114753084092677	33828	UCKL1	0.0965882092823978	0.024539635505091	1e-04	0.0429794806349403	1	NBGMM (HL)
-12.3835688093707	0.0425307972457574	-0.0686818676132079	0.00914278735400501	0.240824083723535	0.0792630796756532	1.15203733501319e-05	-0.00011150507208665	0.0677664541585348	0.00995447015871056	0.108082055309419	0.0103134368456312	0.159518204208525	0.120227853657896	3.23713266579251e-06	5.09856776391868e-05	0	1.93265376612572e-05	0.525128176838564	0.375352040267753	0.131120870142897	0.509719932996093	0.000372524335820047	0.0287433901197492	3378	OR2L2	0.150122102373426	0.0425307972457574	0.141623859584035	0.0786315405967033	1	NBGMM (HL)
-15.9218494512018	0.152270708980765	0.16831738970487	-0.0527371303034307	-0.925145156552678	0.159177311909097	-4.58128316332113e-06	7.42539717544684e-05	0.387657253227142	0.0375160552838353	0.469332105224037	0.0655747917165004	1.09180728306781	0.502407219658137	1.91618503377173e-05	0.000275923848858538	0	4.93224746614389e-05	0.719870598868075	0.421264899512468	0.396798913987749	0.751373154360449	0.81104079875513	0.787844743085575	19766	OR4D9	0.270709349781381	0.152270708980765	0.000100030006235901	0.001	1	NBGMM (HL)
-11.415954994668	-0.0251736735181005	-0.0905435861427817	-0.00489075788938314	0.024419125877221	0.0294611990942043	-5.57803684738944e-06	0.000103226422998575	0.0417029261435178	0.00626139164613955	0.0614495544968939	0.00646457414603258	0.0923300231228494	0.0674102205292916	2.30681308380535e-06	3.43699743368964e-05	0	5.80846564350901e-05	0.140626491297085	0.449320960029834	0.791412732913903	0.662079797060649	0.0156030500853735	0.00266990409660783	14094	CBLL1	0.270709349781381	-0.0251736735181005	0.00106504023187539	0.0563340321851712	1	NBGMM (HL)
-14.1789248381032	0.0829882607596347	-0.140679998142625	0.0456196888778989	0.031119137776284	-0.220405913287286	1.04582368889597e-05	-0.000214094403345093	0.15338031822348	0.0211676687030018	0.249468607576313	0.0138517793165088	0.366685624199255	0.268789021810797	8.04843773716083e-06	0.000116809360755265	0	8.83582363749437e-05	0.57280950312835	0.000989774733042116	0.932367931864	0.412218407490667	0.19380256236987	0.0668244144187982	25746	AC092868.2	0.327538838176075	0.0829882607596347	1e-04	0.001	1	NBGMM (HL)
-13.8788750237428	-0.115480147782271	0.24406751164087	-0.00808987272724155	0.107992103861132	1.11463717750835	-3.75075994517894e-06	-1.93892492073683e-05	0.156304822147498	0.029716770399127	0.257142075383864	0.024818547098914	0.46977300743004	0.31894579547675	8.62125575973078e-06	0.000118529625917895	0	0.000101898521970816	0.342542130675027	0.744454036335629	0.818183884908984	0.000474498415022018	0.663519178537483	0.870060641217401	30103	LINC00470	0.327538838176075	-0.115480147782271	0.00839709047532573	12.466388049639	1	NBGMM (HL)
-11.2320104602257	-0.0243832226853942	-0.0363953346622146	0.000976186520184818	-0.189398313995609	0.123923392206164	-2.02630814847055e-06	5.70006037705715e-05	0.0394432859966376	0.00631356412862769	0.0612361333626506	0.00605189348145982	0.0986062580596857	0.0669584427992358	2.11857865092151e-06	3.16099633591677e-05	0	0.000112445209003502	0.552281987413312	0.871855027851386	0.0547627929483434	0.0642054107524114	0.338846460037994	0.0713492723746565	11766	TAP2	0.327538838176075	-0.0243832226853942	0.0303979252474482	0.106955034178635	1	NBGMM (HL)
-13.7092793996153	-0.104424616056185	0.444729115153113	0.0580342990147503	-1.13711005528493	-0.398062579845748	-7.04030544040158e-07	-8.00158580769664e-05	0.141987872621689	0.0273999828783121	0.253627991744447	0.0276578805621229	0.454976521637226	0.264951381062127	9.29070872126476e-06	0.000118062521848526	0	0.000138338724508819	0.0795213372897419	0.0358793923273279	0.0124448770925039	0.132994201732863	0.939595786163482	0.497935676079669	23837	AC244502.1	0.358189699692113	-0.104424616056185	0.221580123197139	13.8871250790535	1	NBGMM (HL)
-9.79647466069563	-0.0118896370919401	0.0532646526919563	-0.00721278488599672	-0.0562150913107821	-0.044598928427482	-2.7771869371149e-06	5.40237092609067e-05	0.0199218860370808	0.00322716225989292	0.0320221597384346	0.00336423705657167	0.0487614236960078	0.0349942525124396	1.1521507450953e-06	1.65217614109692e-05	0	0.000229386924358887	0.0962386890269401	0.032036206131504	0.248967882848927	0.202498887659246	0.0159334171261183	0.00107603889598997	30715	TMX3	0.499124401071456	-0.0118896370919401	0.0103294012672754	0.0578557358635734	1	NBGMM (HL)
