gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NLGN4Y	4.1225661837142e-38	0.157164891915197	8.32016307197199e-34	0.157164891915197
USP9Y	8.87938249060333e-35	0.137086394365915	8.96018487126782e-31	0.137086394365915
TTTY14	1.82554776340387e-34	0.139666307954587	1.2281068320339e-30	0.139666307954587
UTY	3.25081926299341e-29	0.122255007927785	1.64020085914332e-25	0.122255007927785
PCDH11Y	4.23976209866565e-13	0.0376021640404458	1.7113375735054e-09	0.0376021640404458
PRKY	2.94551576530634e-12	0.0742037168113476	9.90773319590209e-09	0.0742037168113476
TTTY10	1.25642385809358e-05	0.0338097592759029	0.0362244947200636	0.0338097592759029
AC079062.1	6.38971784226421e-05	0.0782365410326982	0.16119660686572	0.0782365410326982
PI4K2B	7.80696989214857e-05	-0.0185147424024297	0.175066962625936	-0.0185147424024297
LINC02006	0.000116762512474351	0.0501045988285621	0.235650102675735	0.0501045988285621
PPIL1	0.000159208068805375	-0.0220046525911154	0.292103385875461	-0.0220046525911154
TBL1Y	0.000174829453817484	0.0440027159735853	0.294034003078705	0.0440027159735853
TMPRSS5	0.000198624614824908	-0.0263049897922836	0.298731719525983	-0.0263049897922836
LDHD	0.000207226443036555	-0.0413159683647744	0.298731719525983	-0.0413159683647744
LINC02028	0.000235930837786593	-0.0885744560075488	0.317437077880601	-0.0885744560075488
AC100793.2	0.000356540195687693	0.0480607604421374	0.426562103417524	0.0480607604421374
RPS4Y1	0.000359308084337425	0.0311764102719146	0.426562103417524	0.0311764102719146
AC018648.1	0.000404657415254772	-0.0529660149983849	0.443557256454161	-0.0529660149983849
LINC00486	0.000424798771429304	0.042049451592265	0.443557256454161	0.042049451592265
LINC02325	0.000439557285159212	-0.0705285599567946	0.443557256454161	-0.0705285599567946
NBN	0.000547359922125079	-0.00915222349189461	0.526038949920398	-0.00915222349189461
ZNF778	0.000594563075742967	-0.0135466433909227	0.544417044164248	-0.0135466433909227
RPL31	0.000620433654532638	0.031822154181703	0.544417044164248	0.031822154181703
TIMP1	0.000673517562087473	-0.0981019900133018	0.566372143252057	-0.0981019900133018
