gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
CFAP161	1.09447107435802e-05	-0.0983396577565268	0.149904442091827	-0.0983396577565268
KAZN-AS1	2.094590551873e-05	0.0807249907203605	0.149904442091827	0.0807249907203605
LINC00486	3.61614042130776e-05	0.0600121760794417	0.149904442091827	0.0600121760794417
POLR1D	3.76573364546448e-05	-0.0560669006656298	0.149904442091827	-0.0560669006656298
ENPEP	5.82365261711857e-05	0.125205581551238	0.17463677982515	0.125205581551238
SOGA1	6.58054813132511e-05	-0.046178186641283	0.17463677982515	-0.046178186641283
MED13L	9.4448588821269e-05	0.0147505422834276	0.214843554257295	0.0147505422834276
MYCBP2	0.000115547475310754	-0.0189511906166167	0.229982806171642	-0.0189511906166167
SCX	0.0001471489707722	0.107765614122726	0.260339229067304	0.107765614122726
UMAD1	0.000200418442380159	0.025688494941578	0.273597569065814	0.025688494941578
UTY	0.000203638495073849	0.0358271973799192	0.273597569065814	0.0358271973799192
EBAG9	0.000206190468428674	-0.0673082596065647	0.273597569065814	-0.0673082596065647
SLC8A2	0.000248640900944311	0.152941649879829	0.273755517945284	0.152941649879829
SLC44A2	0.000249821179549018	0.04181454306402	0.273755517945284	0.04181454306402
STIM1	0.000257886878677339	0.0299993279764631	0.273755517945284	0.0299993279764631
PNCK	0.000277644484358523	0.104333715783386	0.276308320277548	0.104333715783386
PLPBP	0.000319056089382691	-0.0646719158118046	0.293091113316089	-0.0646719158118046
AC116337.3	0.000331439616066631	0.205297828501041	0.293091113316089	0.205297828501041
EMC6	0.000359853136259007	0.0960830635907593	0.293091113316089	0.0960830635907593
LMLN2	0.00040387445487721	0.16781011414828	0.293091113316089	0.16781011414828
AL033543.1	0.000413257477564459	0.155287839558217	0.293091113316089	0.155287839558217
HEATR5B	0.000420165010112586	0.0274062390280444	0.293091113316089	0.0274062390280444
SEPTIN7-AS1	0.000423355875542928	-0.0910284366340249	0.293091113316089	-0.0910284366340249
ARFIP1	0.000450006358447416	-0.0292804095860271	0.297728845974751	-0.0292804095860271
ARGLU1	0.000467450929433448	-0.0173979131611564	0.297728845974751	-0.0173979131611564
HNRNPA2B1	0.000489269383631022	-0.017003536539004	0.299639861367568	-0.017003536539004
BRF2	0.000598997047731825	0.119359211543671	0.343145366320469	0.119359211543671
IFITM1	0.000634676037503574	0.0863837512046452	0.343145366320469	0.0863837512046452
CHST15	0.000639450475824158	0.031024241593254	0.343145366320469	0.031024241593254
LINC02208	0.000646897104283378	-0.0761519742740327	0.343145366320469	-0.0761519742740327
AC109361.1	0.000668059182059571	-0.154532895943223	0.343145366320469	-0.154532895943223
AC083862.3	0.000728461642375048	-0.118435772948692	0.362477960360559	-0.118435772948692
ISG20	0.000845420007569387	0.0823983001122724	0.396976053009228	0.0823983001122724
AC008543.1	0.000914278381060338	0.128521543501313	0.396976053009228	0.128521543501313
CCNG2	0.000950786250077916	-0.0587302131882685	0.396976053009228	-0.0587302131882685
ALG14	0.000961057964870993	-0.047008268832998	0.396976053009228	-0.047008268832998
KCNH5	0.000978937225057116	0.0864071409692822	0.396976053009228	0.0864071409692822
NT5M	0.000992670091081567	0.0847071216886375	0.396976053009228	0.0847071216886375
MYRIP	0.00101700863417796	0.0660373161332956	0.396976053009228	0.0660373161332956
DYNLT3	0.00101763151363327	-0.0746156600488673	0.396976053009228	-0.0746156600488673
PPP1R26	0.00103873777748146	-0.165401233945898	0.396976053009228	-0.165401233945898
NQO1	0.00104710131422393	0.0615142476189526	0.396976053009228	0.0615142476189526
LINC02343	0.00112843803680407	-0.075751535412064	0.415126567446979	-0.075751535412064
STRIP2	0.00116956356448636	0.0559556991664254	0.415126567446979	0.0559556991664254
LINC01422	0.00119428846885074	0.0460321423728555	0.415126567446979	0.0460321423728555
ADAT1	0.00120342952962144	0.0619976603439254	0.415126567446979	0.0619976603439254
AXIN2	0.00122533119826716	-0.0517231180469039	0.415126567446979	-0.0517231180469039
SLC7A8	0.00125497328558272	0.0653047391019802	0.416311242215284	0.0653047391019802
UBE3B	0.00132030289501401	0.0308049174041054	0.42904455096547	0.0308049174041054
DUS4L	0.00136550631314354	0.111724793171444	0.433464641266618	0.111724793171444
TAF9B	0.00138834997830795	0.0840717322459707	0.433464641266618	0.0840717322459707
AL162390.1	0.00143489455086815	0.0660223053665386	0.439381267951414	0.0660223053665386
NT5C3B	0.00148262347392654	-0.0611522405960723	0.441856989814883	-0.0611522405960723
SBNO1	0.00149847876970443	-0.0288687121226629	0.441856989814883	-0.0288687121226629
RALA	0.00153143193854642	-0.0338773696695212	0.44336346831772	-0.0338773696695212
FBXW2	0.00157230021721749	-0.0434822296297384	0.447066720692038	-0.0434822296297384
XKR6	0.00167090095645257	0.0235751333803601	0.463055847280568	0.0235751333803601
MZT1	0.0016866946644648	-0.0928900211732658	0.463055847280568	-0.0928900211732658
ITGB8	0.00178977790793269	-0.0501847947578256	0.483027688610376	-0.0501847947578256
AXL	0.0018584067631115	-0.0282439171055369	0.484378468069217	-0.0282439171055369
CASTOR1	0.00187427156133262	0.0550290691872038	0.484378468069217	0.0550290691872038
SNRPG	0.00188604314641032	-0.0585213981806613	0.484378468069217	-0.0585213981806613
DCLRE1C	0.0019426410208817	-0.0452463977318071	0.48831571574527	-0.0452463977318071
CFAP97	0.00198303335453124	-0.0384298464585249	0.48831571574527	-0.0384298464585249
GPR37L1	0.00199337571584768	-0.163524665160423	0.48831571574527	-0.163524665160423
GOLGA8R	0.00208876678552128	-0.185828464903941	0.492484071358715	-0.185828464903941
SGSM3	0.00210312407349881	-0.0445818936981727	0.492484071358715	-0.0445818936981727
MIA3	0.00210317885149737	-0.0291941960464353	0.492484071358715	-0.0291941960464353
ABCB8	0.00223411428071742	0.0484243407638048	0.510448560894922	0.0484243407638048
APLNR	0.00224401176051275	0.130559543050268	0.510448560894922	0.130559543050268
PRRX2	0.0024059984410047	0.0713223995837085	0.526306283022724	0.0713223995837085
ZNRD1	0.0024319848285262	-0.127060472424803	0.526306283022724	-0.127060472424803
GRAMD1C	0.00244632490098891	0.0733278819383893	0.526306283022724	0.0733278819383893
EDA	0.00246236881949443	0.0397254701963448	0.526306283022724	0.0397254701963448
TRMT13	0.00247899084511112	-0.0340823386233975	0.526306283022724	-0.0340823386233975
C3	0.0025718720514094	0.0557355304377901	0.52632491984169	0.0557355304377901
