gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	7.48824390061367e-36	0.129525482785507	1.34908202113456e-31	0.129525482785507
USP9Y	2.11439410488376e-35	0.131320179296588	1.90464620967929e-31	0.131320179296588
NLGN4Y	3.58302657264292e-31	0.125995409688533	2.15172689109116e-27	0.125995409688533
UTY	2.71603115696836e-30	0.121390810985564	1.22330043309855e-26	0.121390810985564
PCDH11Y	7.08312367728949e-19	0.071656162190473	2.55219112340095e-15	0.071656162190473
KDM5D	7.36127457934769e-14	0.0703278664443424	2.2103453803588e-10	0.0703278664443424
TTTY10	1.09788368986777e-08	0.0449562626776995	2.82563893666539e-05	0.0449562626776995
TBL1Y	9.36845094693202e-07	0.039306577740178	0.00210977515324909	0.039306577740178
RPS4Y1	1.17762534037859e-05	0.0359314796325645	0.0235734423691786	0.0359314796325645
LINC01515	6.69808080183176e-05	-0.176579366871972	0.120672623725801	-0.176579366871972
AC069155.1	0.000130325067242552	-0.0474449710147935	0.20584289299707	-0.0474449710147935
ZFY	0.00013710672268899	0.026855816933969	0.20584289299707	0.026855816933969
DDX3Y	0.000151572494870291	0.0222230539150307	0.210056159044859	0.0222230539150307
PRKY	0.000194251465964958	0.0296836747214774	0.249614445349842	0.0296836747214774
AC002383.1	0.000207827302411613	0.0292605788266153	0.249614445349842	0.0292605788266153
C4orf48	0.000290669569870623	0.0345728769684867	0.327293935674322	0.0345728769684867
AL022097.1	0.000344313181156657	-0.0587662281665922	0.364890957159902	-0.0587662281665922
IGFL4	0.000415027802658426	-0.0104858724832894	0.374486380420878	-0.0104858724832894
AC105429.1	0.000416535367751219	-0.0181014023494256	0.374486380420878	-0.0181014023494256
AC005856.1	0.000419911222400668	-0.0475553908233484	0.374486380420878	-0.0475553908233484
CCT6B	0.000436512765810304	-0.0276150761096073	0.374486380420878	-0.0276150761096073
INHBA-AS1	0.000533877605995276	-0.0233629137727406	0.414678269638889	-0.0233629137727406
AC004949.1	0.000536013881216231	0.040666450145063	0.414678269638889	0.040666450145063
ERICH6	0.000552413325451451	-0.0357343592079372	0.414678269638889	-0.0357343592079372
GRPEL2	0.000605916226520613	-0.0183748056176926	0.436647469479814	-0.0183748056176926
AL161756.1	0.000748611619692781	-0.0325380455626574	0.51873026693789	-0.0325380455626574
TUBE1	0.000847765340064479	-0.00700983507115066	0.547953061967049	-0.00700983507115066
EFCAB13	0.000851614439113974	-0.0218549136758828	0.547953061967049	-0.0218549136758828
AC009812.1	0.000919694721751362	-0.0285480165274165	0.557869432077226	-0.0285480165274165
TMEM204	0.000943564018371564	-0.0341862260716585	0.557869432077226	-0.0341862260716585
PPP1R16A	0.00095992186913821	0.0114259117344731	0.557869432077226	0.0114259117344731
PET100	0.00101415319011341	0.0321728170855919	0.570968246033851	0.0321728170855919
UBE3A	0.00104662962158302	-0.005846807343709	0.571396341286054	-0.005846807343709
ZNF471	0.00110998130467419	0.00832845855365451	0.588159505441476	0.00832845855365451
AC004982.1	0.00118462795759907	-0.0300591971920994	0.59925423219406	-0.0300591971920994
SMAP1	0.00120473388180887	-0.00419125508054582	0.59925423219406	-0.00419125508054582
AF127936.2	0.00125423243554112	0.0412774948619413	0.59925423219406	0.0412774948619413
CCDC85B	0.00130890221647175	0.0284047487474915	0.59925423219406	0.0284047487474915
TC2N	0.00131558419886748	-0.0474354477006354	0.59925423219406	-0.0474354477006354
PDZK1	0.00133049341073282	-0.0355548437371962	0.59925423219406	-0.0355548437371962
IGFBP4	0.00137706799836365	0.0194613097564785	0.605103830695598	0.0194613097564785
RPS19BP1	0.00142561443594175	0.0247907958919702	0.611520706617301	0.0247907958919702
TMSB4X	0.00146532621520646	0.0282233175756905	0.612462328337691	0.0282233175756905
OR2M3	0.00149597055569112	0.0330485843276972	0.612462328337691	0.0330485843276972
LINC02607	0.00157240313812327	0.0316245916506119	0.612462328337691	0.0316245916506119
OIT3	0.00162061429988111	0.0360611104719014	0.612462328337691	0.0360611104719014
NEURL1B	0.001628632877022	-0.0386567393639058	0.612462328337691	-0.0386567393639058
AC096576.2	0.00165287309411137	-0.0530750329585209	0.612462328337691	-0.0530750329585209
TRMT12	0.00169940193513212	0.0104836675905326	0.612462328337691	0.0104836675905326
RPS17	0.0016997733357507	0.0282685078115358	0.612462328337691	0.0282685078115358
BEND3	0.00175359557879281	0.0189570583270697	0.61946623426532	0.0189570583270697
LINC00486	0.00184996811697489	0.0356807915761981	0.635183911897514	0.0356807915761981
LINC00621	0.0018686027603557	-0.0155658200514782	0.635183911897514	-0.0155658200514782
CHCHD10	0.00197145959499445	0.020514857333275	0.657737334507777	0.020514857333275
FH	0.00203013012498455	-0.0105778379761302	0.658565241690994	-0.0105778379761302
GPN1	0.0020823993868787	-0.0134507918383689	0.658565241690994	-0.0134507918383689
HYOU1	0.00210904170959574	0.0146894953264324	0.658565241690994	0.0146894953264324
ZNF543	0.00212936737411011	-0.0147612691845227	0.658565241690994	-0.0147612691845227
EIF5A	0.00219382507010615	0.0211785056668706	0.658565241690994	0.0211785056668706
AL133538.1	0.00221454296601699	-0.0181776749708236	0.658565241690994	-0.0181776749708236
LRIG2-DT	0.00225635244070659	-0.014497953079143	0.658565241690994	-0.014497953079143
AC008969.1	0.00231290911239623	-0.00897792398222654	0.658565241690994	-0.00897792398222654
ZFP37	0.00238358177562345	-0.0120707097825919	0.658565241690994	-0.0120707097825919
FBXO34	0.00240977429988582	0.00640284097484603	0.658565241690994	0.00640284097484603
EPHA5	0.00245560762792605	0.00717056128360557	0.658565241690994	0.00717056128360557
AC087521.2	0.00248548004409664	-0.0366506857414192	0.658565241690994	-0.0366506857414192
YBX3	0.00253587829798867	-0.03533538801996	0.658565241690994	-0.03533538801996
AC067773.1	0.00255173168015773	0.0253966316084729	0.658565241690994	0.0253966316084729
GSDME	0.00257539419923947	-0.00774497426996394	0.658565241690994	-0.00774497426996394
RNF41	0.0026237927760161	0.00776711608773746	0.658565241690994	0.00776711608773746
AURKAIP1	0.00262437769795404	0.0211856463603734	0.658565241690994	0.0211856463603734
KHDRBS3	0.00266263318565292	-0.00879801303001954	0.658565241690994	-0.00879801303001954
SCUBE3	0.00280771430850783	-0.0334478968586168	0.658565241690994	-0.0334478968586168
NDRG4	0.00281533184309216	0.0154359648915518	0.658565241690994	0.0154359648915518
TLCD5	0.00281825221563264	-0.0114832703907045	0.658565241690994	-0.0114832703907045
G0S2	0.00282717540552278	0.0371565382653867	0.658565241690994	0.0371565382653867
EIF3F	0.00289548101137697	-0.00773314487627442	0.658565241690994	-0.00773314487627442
RPL21	0.00290717311794552	0.0268898999338214	0.658565241690994	0.0268898999338214
AC004233.3	0.00291236082232417	0.0303374897174164	0.658565241690994	0.0303374897174164
AL139424.3	0.00298413110634208	-0.0271623552111641	0.658565241690994	-0.0271623552111641
GABARAP	0.00298926935857869	0.0253034461681246	0.658565241690994	0.0253034461681246
BBS7	0.00302678312826232	-0.00645266713785322	0.658565241690994	-0.00645266713785322
AC092652.1	0.00303402059615633	0.0377955380665461	0.658565241690994	0.0377955380665461
LAMTOR5	0.00311780435336907	0.0225671910839445	0.663953391874347	0.0225671910839445
AC022973.3	0.00313255097187608	-0.0295741117755869	0.663953391874347	-0.0295741117755869
ATP5ME	0.00317747472776366	0.0227999760363092	0.665644008085932	0.0227999760363092
TXK	0.00323562732145543	0.0182408291154851	0.670035193371736	0.0182408291154851
SERF2	0.00328786220312445	0.0212557379163226	0.67311506194875	0.0212557379163226
CES3	0.00334414349871149	-0.0186601028485901	0.676944823289733	-0.0186601028485901
UBB	0.00340019394631364	0.024917862140451	0.679303269819151	0.024917862140451
GADD45GIP1	0.00345718420606309	0.0255514464093621	0.679303269819151	0.0255514464093621
IFI27L2	0.00346891101373012	0.0282496166896427	0.679303269819151	0.0282496166896427
LRRTM4	0.00350701282341527	0.00837099581839942	0.679380032544619	0.00837099581839942
RPL27A	0.00374162807952756	0.0261584947522825	0.683226561256437	0.0261584947522825
RPL35	0.00374583051445887	0.0224752267233282	0.683226561256437	0.0224752267233282
AL162458.1	0.00380246004009936	-0.0174192703086454	0.683226561256437	-0.0174192703086454
MAP10	0.00381130911889609	-0.0206216905784846	0.683226561256437	-0.0206216905784846
C1orf162	0.00381685146211627	0.012701383852838	0.683226561256437	0.012701383852838
MTHFSD	0.00382101412989048	-0.0123361652926317	0.683226561256437	-0.0123361652926317
UBQLN4	0.00386570085554871	0.0105934831574954	0.683226561256437	0.0105934831574954
NDUFB7	0.00400395348381825	0.0227616724054544	0.683226561256437	0.0227616724054544
Z82188.2	0.00403318415379683	-0.0331190648576413	0.683226561256437	-0.0331190648576413
PICART1	0.00403974274316382	-0.0214098209804054	0.683226561256437	-0.0214098209804054
CRYGS	0.00405366993609944	0.0123798746967142	0.683226561256437	0.0123798746967142
PM20D1	0.00405570367889542	-0.0304752014587318	0.683226561256437	-0.0304752014587318
AC004054.1	0.00421930237831293	-0.0299845632597806	0.683226561256437	-0.0299845632597806
RPL13A	0.00427191616562954	0.0244009879526017	0.683226561256437	0.0244009879526017
AL109615.3	0.00427546432592434	-0.0276283666234145	0.683226561256437	-0.0276283666234145
BRCA1	0.00428914343308299	-0.0127989304154998	0.683226561256437	-0.0127989304154998
NHP2	0.00430590502470523	0.0209021489055552	0.683226561256437	0.0209021489055552
AC124312.5	0.00431224939648449	-0.0418162348807183	0.683226561256437	-0.0418162348807183
ZNF8	0.00431437085878673	0.00814063546727276	0.683226561256437	0.00814063546727276
PTPRG-AS1	0.00433170164775954	-0.0141002886760855	0.683226561256437	-0.0141002886760855
AC006511.4	0.00433840715858939	-0.0189359265030448	0.683226561256437	-0.0189359265030448
XRRA1	0.00438364997689875	-0.0114933747163752	0.683226561256437	-0.0114933747163752
CALM2	0.0044900854969516	0.0164513824634789	0.683226561256437	0.0164513824634789
TPI1	0.0045885409247762	0.0244584062414038	0.683226561256437	0.0244584062414038
MEMO1	0.0046068570786805	0.0111244859483098	0.683226561256437	0.0111244859483098
PSKH1	0.00462161809910213	-0.0113413686650789	0.683226561256437	-0.0113413686650789
ORMDL1	0.00466013720526049	-0.00867567420169819	0.683226561256437	-0.00867567420169819
COX7C	0.0046660223638975	0.0260386728655442	0.683226561256437	0.0260386728655442
SOCS4	0.00468888484185651	0.00850354273088812	0.683226561256437	0.00850354273088812
AC104066.4	0.00478305539394756	-0.0336332874622649	0.683226561256437	-0.0336332874622649
CX3CL1	0.00478503582942832	0.0104890410778389	0.683226561256437	0.0104890410778389
RHBDD2	0.00478731959090452	0.0161845797597216	0.683226561256437	0.0161845797597216
AL138760.1	0.00484169446041338	-0.0322722093989936	0.683226561256437	-0.0322722093989936
ATP5MF	0.00486659126876567	0.0207489537215086	0.683226561256437	0.0207489537215086
