gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NLGN4Y	1.11305614658119e-40	0.156466741256229	1.29253948103418e-36	0.156466741256229
TTTY14	1.52170883097973e-40	0.140838406187134	1.29253948103418e-36	0.140838406187134
USP9Y	2.71033575183558e-40	0.151614395356954	1.53477279173943e-36	0.151614395356954
UTY	8.10473688557224e-32	0.119340124331866	3.44208175530253e-28	0.119340124331866
KDM5D	2.21825053601682e-21	0.100079784168342	7.53672802117074e-18	0.100079784168342
TTTY10	2.34273888918929e-16	0.0687904871942345	6.63307470825794e-13	0.0687904871942345
DDX3Y	7.05438434797369e-13	0.0621430258957369	1.71199830433396e-09	0.0621430258957369
RPS4Y1	3.9908337081398e-11	0.0609313717146821	8.47453537923487e-08	0.0609313717146821
ZFY	6.89353328411429e-11	0.0509883120341226	1.30119270478371e-07	0.0509883120341226
PCDH11Y	1.25745325575346e-10	0.031899037583529	2.13616159087398e-07	0.031899037583529
LINC01515	1.14107514774078e-05	-0.185776336311798	0.0176223496452912	-0.185776336311798
FCHSD1	9.44141783317528e-05	-0.0309222217688579	0.123696241606497	-0.0309222217688579
HIST1H2BE	9.46580610362882e-05	0.0309684219623159	0.123696241606497	0.0309684219623159
ZNF654	0.000143375450113231	-0.00674468183679244	0.167697605756235	-0.00674468183679244
C4orf48	0.000148072997783348	0.0421778085216861	0.167697605756235	0.0421778085216861
TTC30A	0.000204207963275583	-0.0323651487423771	0.216817805007851	-0.0323651487423771
DCTN1	0.000231934418021896	0.0135917592943259	0.231770699609174	0.0135917592943259
LINC00486	0.000254721472945309	0.0420724332266224	0.235652762487073	0.0420724332266224
AC026341.1	0.00028596621762788	-0.0113210353040519	0.235652762487073	-0.0113210353040519
C12orf73	0.000304337145734358	0.0114423294844548	0.235652762487073	0.0114423294844548
AC139491.1	0.000320775325322738	-0.0317908132556322	0.235652762487073	-0.0317908132556322
AC003659.1	0.000323018634631469	0.0206890083273642	0.235652762487073	0.0206890083273642
RPS17	0.000327605832802167	0.0340488355873825	0.235652762487073	0.0340488355873825
UPRT	0.000341493841904234	-0.0121173370306692	0.235652762487073	-0.0121173370306692
MSS51	0.000346792975169344	-0.013092650419342	0.235652762487073	-0.013092650419342
DYNC1LI2	0.000403235287014818	-0.00592134529050514	0.263467732915682	-0.00592134529050514
AC025178.1	0.000514782663526635	0.01600915747595	0.304383304418753	0.01600915747595
SRRD	0.000517445965874931	-0.0179201231110324	0.304383304418753	-0.0179201231110324
IL7	0.000519608890283956	-0.0385610447449364	0.304383304418753	-0.0385610447449364
EIF1AY	0.000653756788874032	0.0311691018019511	0.370200677646402	0.0311691018019511
CTHRC1	0.000695024591447725	-0.0380682106479431	0.374574635171797	-0.0380682106479431
CCDC125	0.000710475227112879	0.0110840616230144	0.374574635171797	0.0110840616230144
MED22	0.000731823006030637	0.0145919864900703	0.374574635171797	0.0145919864900703
COL19A1	0.000752405446177273	-0.00846052058940818	0.374574635171797	-0.00846052058940818
SNX7	0.000771727821462968	0.0105338483957081	0.374574635171797	0.0105338483957081
KCTD18	0.000795198968280217	-0.0119173342099144	0.375245557587342	-0.0119173342099144
NCK2	0.000831682046817844	-0.00918032006072836	0.375563272436177	-0.00918032006072836
RPL36	0.000844819853336563	0.0274516301896952	0.375563272436177	0.0274516301896952
KLHL9	0.000878210047856379	0.0126409073781387	0.375563272436177	0.0126409073781387
FN3K	0.000903173600762901	-0.0129301053046614	0.375563272436177	-0.0129301053046614
KCTD21	0.000906410064156067	0.0158928902022225	0.375563272436177	0.0158928902022225
CCDC85B	0.00102499683105825	0.0260207411482679	0.401853718704722	0.0260207411482679
FAM114A2	0.00103202776872176	-0.0107629923485061	0.401853718704722	-0.0107629923485061
RHBDD2	0.00104082667900917	0.0190356307294402	0.401853718704722	0.0190356307294402
SNHG6	0.00107981644144684	0.0205331449556744	0.407642704606642	0.0205331449556744
SELENOM	0.00122985625624224	0.0255004838439019	0.454191262631374	0.0255004838439019
HSPB1	0.00126254411224013	0.060620564123538	0.456342539973091	0.060620564123538
ZFYVE28	0.00129261261534325	-0.00584107887787172	0.45703784400817	-0.00584107887787172
PRDM10	0.00134248524271022	-0.00833654643985456	0.45703784400817	-0.00833654643985456
AL627309.5	0.00134517849072336	0.0231482447916084	0.45703784400817	0.0231482447916084
PCTP	0.00140261204524841	-0.0107447415544242	0.467207322052547	-0.0107447415544242
AC009063.3	0.00151429505905743	-0.0365876043456783	0.488689754117607	-0.0365876043456783
AL162377.1	0.00155384868482472	-0.0346927448260346	0.488689754117607	-0.0346927448260346
UQCR11	0.00155715077512043	0.0213631506628914	0.488689754117607	0.0213631506628914
LEPROT	0.00159826861478152	-0.0108208836621204	0.488689754117607	-0.0108208836621204
AC078883.1	0.00161093867615882	-0.0320767101433257	0.488689754117607	-0.0320767101433257
Z97832.2	0.00170752836701827	0.0193255600309669	0.498574609989215	0.0193255600309669
ACTB	0.00174073427097259	0.0194552178934517	0.498574609989215	0.0194552178934517
ANKRD6	0.00180772736470569	0.00815662649246454	0.498574609989215	0.00815662649246454
TNKS	0.00181903169269701	-0.00443157401730641	0.498574609989215	-0.00443157401730641
PET100	0.00183180182311239	0.0294539661663867	0.498574609989215	0.0294539661663867
ERICH1	0.00188429229285247	-0.00981853239247042	0.498574609989215	-0.00981853239247042
AGBL3	0.00189435755654086	-0.00961107609836144	0.498574609989215	-0.00961107609836144
MYOZ3	0.00192865067100794	0.0169289081971055	0.498574609989215	0.0169289081971055
SRPRA	0.00195139053431985	-0.0130622962641739	0.498574609989215	-0.0130622962641739
CEACAM19	0.00195791635427149	-0.0112277391217228	0.498574609989215	-0.0112277391217228
UBQLN4	0.0019663585395148	0.0119051803398696	0.498574609989215	0.0119051803398696
RPL21	0.00206645987548506	0.0252375556022615	0.50334437225378	0.0252375556022615
PSMB6	0.00211417201276318	0.0303122069215805	0.50334437225378	0.0303122069215805
AC004054.1	0.00216794848955039	-0.0368465701645624	0.50334437225378	-0.0368465701645624
ZNF600	0.00216825820238591	0.0286635464222668	0.50334437225378	0.0286635464222668
KISS1R	0.00220483765953179	-0.0328469436537628	0.50334437225378	-0.0328469436537628
CDKN2B-AS1	0.00223679956659848	-0.020982816844713	0.50334437225378	-0.020982816844713
CXADR	0.00224116727437006	0.0085300841059939	0.50334437225378	0.0085300841059939
