gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
USP9Y	2.00424989160464e-44	0.149811055297314	3.62127870415126e-40	0.149811055297314
NLGN4Y	1.7095159741417e-42	0.15574748942779	1.54437673103961e-38	0.15574748942779
UTY	1.19246120530565e-39	0.137127879503877	7.18179635248747e-36	0.137127879503877
TTTY14	1.11569246805727e-33	0.10969296510601	5.0395828782147e-30	0.10969296510601
KDM5D	3.15057597412697e-30	0.133799461755707	1.13849213401052e-26	0.133799461755707
DDX3Y	1.16275436508309e-20	0.0906794114844182	3.50144097805355e-17	0.0906794114844182
TTTY10	4.62498540269484e-18	0.0726518228125266	1.19377480365558e-14	0.0726518228125266
RPS4Y1	2.97039606184039e-16	0.0736032068289619	6.70863950566652e-13	0.0736032068289619
AC064829.1	1.41154929721455e-11	0.0858174157161809	2.83376363356362e-08	0.0858174157161809
ZFY	2.87404593407888e-11	0.0541398238473326	5.19282619369373e-08	0.0541398238473326
PRKY	5.271634469816e-11	0.051129156528591	8.65889923642141e-08	0.051129156528591
LINC01515	4.10920608073692e-06	-0.143964429292907	0.00618709462222956	-0.143964429292907
PCDH11Y	1.38273305215108e-05	0.0226847089061472	0.0192178621432813	0.0226847089061472
PCMTD1	7.02466489502903e-05	-0.00443329710540906	0.0906583180881317	-0.00443329710540906
SPAG17	8.07969093060059e-05	0.0380764648764651	0.0973225704893943	0.0380764648764651
AC006538.1	0.000197100779757278	0.0229961231920533	0.222576055540906	0.0229961231920533
LGALS1	0.000314962837392474	0.0619058952031787	0.331317781484539	0.0619058952031787
WASHC1	0.000335707179429932	0.017079367892991	0.331317781484539	0.017079367892991
AC024257.1	0.000348408116460386	-0.0382938549834452	0.331317781484539	-0.0382938549834452
OR2L3	0.000376491481908082	0.0210909353994407	0.340122404755762	0.0210909353994407
AC010226.1	0.000407372161123017	-0.0157258966678465	0.350495247960508	-0.0157258966678465
SFRP4	0.000446515432936618	-0.022027701688512	0.356215186281096	-0.022027701688512
LINC02193	0.000453450812733297	0.0191814374710406	0.356215186281096	0.0191814374710406
TSPYL1	0.000504811061688943	0.0158339654704668	0.366021015460025	0.0158339654704668
OR2L2	0.000506449268679467	0.0229841637886992	0.366021015460025	0.0229841637886992
AC009107.2	0.000541116481004245	0.0319327430949701	0.373222371076234	0.0319327430949701
MAP3K9	0.000568543091295176	0.00458164799254927	0.373222371076234	0.00458164799254927
CHRNA2	0.000580712853868711	0.0128296878495362	0.373222371076234	0.0128296878495362
AL133538.1	0.000599039670202058	-0.016883702959052	0.373222371076234	-0.016883702959052
SRL	0.00062518149978291	0.0217896900735294	0.37652597793592	0.0217896900735294
ZNF471	0.000722156198030726	0.00765434877514222	0.420900586645779	0.00765434877514222
SLC30A10	0.000794670791614225	0.00987773620516864	0.430373079056307	0.00987773620516864
RMND1	0.000800110925270734	-0.00732949958909244	0.430373079056307	-0.00732949958909244
ADA2	0.000809867427934163	0.0132095771270661	0.430373079056307	0.0132095771270661
EIF5A	0.00084664530879041	0.0216675983174145	0.437062498263575	0.0216675983174145
EIF1AY	0.000885258617144996	0.0299113433010302	0.444301463738217	0.0299113433010302
RNF144A	0.000912008996869844	-0.00631727329334613	0.445356177174172	-0.00631727329334613
LANCL3	0.000953358342861146	0.00972914908943817	0.453296803653031	0.00972914908943817
ABCB4	0.00108776300468045	0.0195646825911914	0.488409651118896	0.0195646825911914
FNDC3A	0.00109590169999963	-0.00613817497263596	0.488409651118896	-0.00613817497263596
COL11A1	0.00115674329069365	0.00878572265246364	0.488409651118896	0.00878572265246364
AL021395.1	0.00119285713901514	0.0250320757914212	0.488409651118896	0.0250320757914212
SNCG	0.00119822344680156	0.0408026149499189	0.488409651118896	0.0408026149499189
MTRNR2L8	0.00121495465527533	0.0441105798971854	0.488409651118896	0.0441105798971854
LINC00486	0.00122111003931457	0.0368779257474535	0.488409651118896	0.0368779257474535
AC003005.2	0.00124571674165721	-0.0227022604304513	0.488409651118896	-0.0227022604304513
HSPB1	0.00127049222949901	0.0534964893874864	0.488409651118896	0.0534964893874864
ALDOA	0.00131430891948443	0.0441243474618976	0.494727782442597	0.0441243474618976
RPL36	0.00135072941316708	0.0262064459968277	0.498060796675566	0.0262064459968277
CYP3A5	0.00138966474158129	-0.0220433857539899	0.502169251017816	-0.0220433857539899
OIT3	0.0014426087356332	0.0379843986512998	0.511079502655309	0.0379843986512998
AC007370.1	0.001521190082085	0.0245191864308499	0.520439752001904	0.0245191864308499
ZNF517	0.00153797470141555	-0.0143447640711131	0.520439752001904	-0.0143447640711131
NEPRO	0.00157853416501445	-0.00811116074881311	0.520439752001904	-0.00811116074881311
MLH3	0.00158424764003236	-0.00490299440407041	0.520439752001904	-0.00490299440407041
AC025262.1	0.00161518557461927	-0.0128690454313676	0.521128088611089	-0.0128690454313676
OR2M4	0.0016891321595946	0.0256179831283404	0.521720008398467	0.0256179831283404
CDKN2B-AS1	0.00174333603896526	-0.011472808830111	0.521720008398467	-0.011472808830111
HMGA1	0.00181276597371842	0.0157297699562411	0.521720008398467	0.0157297699562411
AC108690.1	0.00182702566743106	0.0326853790639847	0.521720008398467	0.0326853790639847
VIPR2	0.00184638279547261	-0.0117318715026089	0.521720008398467	-0.0117318715026089
STRADB	0.00186270505968726	-0.00999611381095819	0.521720008398467	-0.00999611381095819
PPP2R1A	0.00187406228518584	0.0148603318421864	0.521720008398467	0.0148603318421864
RPL35	0.00188403326528805	0.0244294099831564	0.521720008398467	0.0244294099831564
ANKRD44	0.00189762562603524	-0.00589698109240928	0.521720008398467	-0.00589698109240928
PTPRT	0.00194283238286502	-0.00878331244899243	0.521720008398467	-0.00878331244899243
AC126178.1	0.00195625038779919	-0.0272694238832265	0.521720008398467	-0.0272694238832265
SPATA1	0.00196352449474738	-0.0288613414286649	0.521720008398467	-0.0288613414286649
ELAC1	0.00208937514099413	-0.011653476589683	0.53796210594379	-0.011653476589683
SLC66A3	0.00209155314370762	-0.0117661800676651	0.53796210594379	-0.0117661800676651
FAM155A-IT1	0.00211397551040564	-0.0128501713946379	0.53796210594379	-0.0128501713946379
ZNF547	0.00218568100410897	0.0120761574632227	0.548484505308901	0.0120761574632227
RPS11	0.00222709685281465	0.0198010632276425	0.551221725159659	0.0198010632276425
AC090206.1	0.0023281832413109	-0.0226715163652051	0.565584265445211	-0.0226715163652051
ORMDL1	0.00236632801508433	-0.0087709637833878	0.565584265445211	-0.0087709637833878
AC024075.2	0.00237903498858955	-0.0138327042548491	0.565584265445211	-0.0138327042548491
DACT2	0.00247082297792913	0.0212664535678129	0.574352299648878	0.0212664535678129
RHBDD2	0.00249070281489152	0.0165391775496712	0.574352299648878	0.0165391775496712
XBP1	0.00254777105780058	0.020705521879483	0.574352299648878	0.020705521879483
FNIP1	0.00260397874488709	-0.00369033240559157	0.574352299648878	-0.00369033240559157
GPR63	0.00264394892029549	0.0139331376694231	0.574352299648878	0.0139331376694231
AC090644.1	0.00264451338699159	-0.0208644027933988	0.574352299648878	-0.0208644027933988
GFOD1	0.00270900558668369	-0.00447686210524313	0.574352299648878	-0.00447686210524313
SGPP1	0.00272090861261478	0.00536155358739545	0.574352299648878	0.00536155358739545
TEKT3	0.00272368638918813	-0.0227092691501225	0.574352299648878	-0.0227092691501225
AL157392.2	0.00273379996512085	-0.0217838858087287	0.574352299648878	-0.0217838858087287
NUDT21	0.00286971183977222	0.00831017456953199	0.588678531412028	0.00831017456953199
NDUFB7	0.00289810561900693	0.0245374317731723	0.588678531412028	0.0245374317731723
SLC12A8	0.00289973374450246	-0.00754815561077599	0.588678531412028	-0.00754815561077599
RSKR	0.00294379155376403	0.0122103935042464	0.590898587748513	0.0122103935042464
AC013267.2	0.00300047834791332	-0.0282812260414385	0.590898587748513	-0.0282812260414385
NBL1	0.00300878182825234	0.0162989627406853	0.590898587748513	0.0162989627406853
SYTL5	0.00304368493229459	-0.0068777702421451	0.591325799534394	-0.0068777702421451
EEF1A1	0.00310933154763505	0.0173219687184825	0.597653217049682	0.0173219687184825
EEF1G	0.00316499237957303	0.0214695926568576	0.598373417612473	0.0214695926568576
TM7SF3	0.00317931415158277	-0.00586550271633769	0.598373417612473	-0.00586550271633769
RPS20	0.00322660126568121	0.0179562318234898	0.599541008012147	0.0179562318234898
OR2L5	0.0032518828196364	0.0191326219984884	0.599541008012147	0.0191326219984884
AC138207.7	0.00333241326899949	0.0535639522148945	0.60723551592115	0.0535639522148945
NBPF10	0.00339135459230843	0.017468060470538	0.60723551592115	0.017468060470538
AC123768.4	0.00339444250099824	0.0163656692906214	0.60723551592115	0.0163656692906214
ARHGEF25	0.0034474057736405	0.0153459123195821	0.607560702901714	0.0153459123195821
LINC02163	0.00349323803710496	-0.0361905899200206	0.607560702901714	-0.0361905899200206
CSRNP2	0.00349713931269528	-0.00645518640296432	0.607560702901714	-0.00645518640296432
AC093512.2	0.00357799619258546	-0.0204227916404448	0.61568795435842	-0.0204227916404448
AC006059.1	0.00361300899068716	-0.0112650548751288	0.615847607959769	-0.0112650548751288
STX4	0.00365124707019033	-0.0117568573590979	0.616548897796251	-0.0117568573590979
C2orf81	0.00371657835869759	-0.0110090201179536	0.621769794305075	-0.0110090201179536
DLGAP1-AS2	0.0037861478632242	-0.0232732826913695	0.627597427456284	-0.0232732826913695
FAM181B	0.00383845634081918	-0.0264776569698034	0.630483901508372	-0.0264776569698034
SHISAL2A	0.00403291104231454	0.0230494761068936	0.636027228577074	0.0230494761068936
AC183088.3	0.00407055539625939	-0.0362571232636782	0.636027228577074	-0.0362571232636782
AC073389.1	0.00407871950980077	0.0210319830120131	0.636027228577074	0.0210319830120131
AL162231.2	0.00413563180795257	-0.0133072962243083	0.636027228577074	-0.0133072962243083
DLG4	0.00416277824555597	0.0100422407475083	0.636027228577074	0.0100422407475083
AC079915.1	0.00420987726118077	0.0143209607360395	0.636027228577074	0.0143209607360395
AC008569.2	0.00423258410078629	-0.0226263733356151	0.636027228577074	-0.0226263733356151
AC008691.1	0.00426547622046037	-0.0141637417711787	0.636027228577074	-0.0141637417711787
KLK14	0.00434718554785535	0.0203714438967731	0.636027228577074	0.0203714438967731
PTPRA	0.0043885081714552	-0.00280219679545913	0.636027228577074	-0.00280219679545913
PTRHD1	0.00442133282811014	0.0247210250676268	0.636027228577074	0.0247210250676268
REPS2	0.00447922713378281	-0.00625007908168445	0.636027228577074	-0.00625007908168445
AC090589.2	0.0045409665830256	-0.0256749430938588	0.636027228577074	-0.0256749430938588
AL109947.1	0.00454574302655866	0.0181587420557733	0.636027228577074	0.0181587420557733
AFF3	0.00459661524819535	-0.00483274696092564	0.636027228577074	-0.00483274696092564
TEK	0.00465584934866525	-0.00870422572142322	0.636027228577074	-0.00870422572142322
TMEM126A	0.00467176963468668	0.0188886538907013	0.636027228577074	0.0188886538907013
CCNY	0.00469942341187412	-0.00414862425360744	0.636027228577074	-0.00414862425360744
ZNF470	0.0047384830858331	0.00727008839422816	0.636027228577074	0.00727008839422816
OR2L13	0.00474059984612157	0.0211786569850733	0.636027228577074	0.0211786569850733
PIK3AP1	0.00474854245588759	0.0290142934557847	0.636027228577074	0.0290142934557847
ZNF28	0.00475370087715573	-0.0116797676774958	0.636027228577074	-0.0116797676774958
DEPDC1	0.00475482244612346	0.0173374897112108	0.636027228577074	0.0173374897112108
PDGFD	0.00479464052059243	0.0162260000521878	0.636027228577074	0.0162260000521878
UBA1	0.00480475338064588	0.00917149684958326	0.636027228577074	0.00917149684958326
TIMM13	0.00483238411508215	0.0221305178683869	0.636027228577074	0.0221305178683869
CCDC88B	0.00483821329587245	0.014725955818715	0.636027228577074	0.014725955818715
TULP4	0.00486870188593837	-0.00416906398249502	0.636027228577074	-0.00416906398249502
ACTB	0.00491302354539578	0.0183942680505645	0.636027228577074	0.0183942680505645
FFAR4	0.00492978735768902	-0.0189211527300124	0.636027228577074	-0.0189211527300124
ZNF518A	0.00502398730236225	0.00442504035265742	0.636027228577074	0.00442504035265742
MBOAT7	0.00510417299085446	0.00888878881531888	0.636027228577074	0.00888878881531888
AP001972.3	0.00511566682229259	-0.0130770461888488	0.636027228577074	-0.0130770461888488
RPL38	0.0051813604483322	0.0281810378960122	0.636027228577074	0.0281810378960122
PSMB10	0.00518527033724906	0.0202670367524382	0.636027228577074	0.0202670367524382
SLC8A1-AS1	0.00524617093209675	-0.0122881499760859	0.636027228577074	-0.0122881499760859
KCNN3	0.00525341454130763	-0.00715357780162149	0.636027228577074	-0.00715357780162149
IGSF22	0.0052614905447223	-0.0183993429345466	0.636027228577074	-0.0183993429345466
HECTD2	0.00526887918626984	-0.00567503972745012	0.636027228577074	-0.00567503972745012
TPI1	0.00530544495934417	0.0255015815823042	0.636027228577074	0.0255015815823042
