logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.5980200543774	0.112044091517992	5.74320790913935	-0.00346721553197588	-0.269326507188456	0.0744441729003207	4.73322271450879e-06	3.07544453848438e-05	0.0817987632821413	0.0117396029020794	0.166952197367874	0.00735409782947877	0.182559831568177	0.128024239919716	2.52431234656852e-05	6.57161579318083e-05	0	1.37277856750013e-21	2.49442548727937e-259	0.637307174201396	0.140137812730823	0.560913636709781	0.851264366839026	0.639792386953162	36496	UTY	1.84556350614717e-17	0.112044091517992	0.553808999364247	0.326940107668317	1	NBGMM (LN)
-11.8187418741016	0.104455722586966	5.48629659924354	0.00063129366499755	-0.233625021857094	0.056457325069546	-8.72239224186466e-05	0.000173493128806451	0.0835837554644703	0.0117632263148181	0.165524969057827	0.00752170350889276	0.177489820951058	0.123211884961981	3.95959914917625e-05	9.84075601148629e-05	0	6.69486695603632e-19	6.72354525423147e-241	0.93311239480815	0.188082500092608	0.646799201684045	0.0276055140192983	0.0778994607846176	36501	NLGN4Y	4.50028956784761e-15	0.104455722586966	0.500271508913213	1.4213653269719	1	NBGMM (LN)
-11.7108453616378	0.105640900780635	5.99207001362769	-0.0019123701950286	-0.102322945547587	-0.000140807040350722	2.62735317990944e-05	-4.54466106137178e-05	0.0881578362095307	0.01261268434009	0.177672038797802	0.0079647000776837	0.186648521274	0.131414843605455	3.33302185066727e-05	8.3023628799631e-05	0	5.48655305701049e-17	2.44898320941937e-249	0.810248285553735	0.583546393365808	0.999145090927561	0.430533168974962	0.584108288695189	36455	LINC00278	2.4587073099483e-13	0.105640900780635	0.564712149866621	1.18700976377957	1	NBGMM (LN)
-11.621564891042	0.0789509876191293	5.34491140397974	0.00124618456184694	-0.0808693334303031	0.092498265144356	-1.5242483783938e-05	6.15453360641257e-05	0.0747168859876499	0.0107673878327826	0.146756295015913	0.00724256037791605	0.164793006092335	0.113061480645164	3.00327748049087e-05	7.7230880871924e-05	0	2.26036893579989e-13	2.03014606170089e-290	0.863387143572699	0.623615443998906	0.413286616478542	0.611784169764731	0.425508756705141	36493	USP9Y	7.59709999322343e-10	0.0789509876191293	0.446538180518604	0.50820363202373	1	NBGMM (LN)
-8.61752146815361	0.0587448735427433	0.0702470536633588	0.0151768264760511	0.424165799989447	0.0889437195302693	-7.25219109411792e-05	0.00022443862503963	0.0669025278836886	0.0141521863116585	0.133255275446344	0.00889127823847995	0.198677190943363	0.151685750942236	2.3158430642052e-05	6.41552946183662e-05	0	3.31112843620942e-05	0.598081427433571	0.0878342922389393	0.0327651228075769	0.557628026060186	0.0017388291472977	0.000468120344174853	3818	LINC00486	0.0890296213927989	0.0587448735427433	0.990271802608334	0.0539880185740003	1	NBGMM (LN)
-7.67972254844127	-0.0146279406221762	0.0194542328288849	-0.00128145648616846	-0.018103296793827	-0.0821120517754183	4.28188602441161e-05	-0.000145190849131075	0.0185485278366771	0.00367660602524765	0.0376160671358635	0.00336383293097707	0.0560096342199476	0.0419143890496908	1.47000529745724e-05	3.77000886368976e-05	0	6.93067237781059e-05	0.605031342864832	0.703239394743991	0.746530490050265	0.0501078593152925	0.00358161343892619	0.000117537046468112	12929	RPS6KA2	0.155293265745476	-0.0146279406221762	0.11234451172302	0.621376652067231	1	NBGMM (LN)
-12.7931790988097	0.0407923334548295	0.151142548357246	-0.0132622301519192	-0.132844406358176	-0.105992509194888	0.000184782885908196	-0.000522365198569616	0.0659130234168168	0.0106985934171474	0.122412956308267	0.0157702696903426	0.179591931010504	0.131685891262686	0.000113953646872943	0.000301968012880916	0	0.000137363017755576	0.21694439247888	0.400368064432798	0.459481186392159	0.420883807363964	0.104897197771453	0.0836536273409028	27756	AC138627.1	0.263815487243709	0.0407923334548295	0.189636673407538	18.6696545299318	1	NBGMM (HL)
-10.3753706357114	-0.0266894846195926	0.122522061232252	-0.0117741574359885	-0.120538940843134	-0.0817230754545998	0.000278105969033432	-0.000724902921148411	0.0338704363767766	0.00706355609605492	0.0686299974614818	0.00720662666142978	0.100824380997345	0.0749335867158654	3.63254075491925e-05	9.7518379824094e-05	0	0.000157790389139546	0.0742199287081514	0.102301703513446	0.231878594753564	0.27544595825171	1.9186925770695e-14	1.05760825257112e-13	31906	NFKBID	0.265166748949007	-0.0266894846195926	0.256789556914186	1.52052449149307	1	NBGMM (LN)
-11.7517368010035	0.0236927949051684	-0.0828816416331573	-0.00328044390073805	-0.0674776160788979	0.0653524226150273	-2.97632500866067e-05	3.22316963555858e-05	0.0394186118822651	0.00641117000788616	0.0706832490986988	0.00881289454505682	0.103755754106363	0.0777323389627316	6.82575871035381e-05	0.000181592747410214	0	0.000219411888666483	0.240964969459229	0.709719908163361	0.515465784538784	0.400495510031793	0.662805456894058	0.85912006091584	15386	AC113143.3	0.321460777849118	0.0236927949051684	0.0428135930949246	7.56457577380676	1	NBGMM (LN+HL)
-12.4797510115861	-0.0803337013593755	-0.125739011622773	-0.0175456529108862	-0.148169010198999	-0.169329384585243	0.00162622454550772	-0.00443501184027141	0.106858768936731	0.0219963839926576	0.236246954236681	0.0204701776614517	0.335487646547117	0.244526113790643	0.000105013224029883	0.000270692520398212	0	0.000260071973944752	0.594562910816632	0.39137170595737	0.658740574087086	0.488636092227806	4.31958180504734e-54	2.49045495614675e-60	16942	NR4A3	0.321460777849118	-0.0803337013593755	1.51432318981395	8.16156476663983	1	NBGMM (LN+HL)
