gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
UTY	1.37277856750013e-21	0.112044091517992	1.84556350614717e-17	0.112044091517992
NLGN4Y	6.69486695603632e-19	0.104455722586966	4.50028956784761e-15	0.104455722586966
LINC00278	5.48655305701049e-17	0.105640900780635	2.4587073099483e-13	0.105640900780635
USP9Y	2.26036893579989e-13	0.0789509876191293	7.59709999322343e-10	0.0789509876191293
LINC00486	3.31112843620942e-05	0.0587448735427433	0.0890296213927989	0.0587448735427433
RPS6KA2	6.93067237781059e-05	-0.0146279406221762	0.155293265745476	-0.0146279406221762
AC138627.1	0.000137363017755576	0.0407923334548295	0.263815487243709	0.0407923334548295
NFKBID	0.000157790389139546	-0.0266894846195926	0.265166748949007	-0.0266894846195926
AC113143.3	0.000219411888666483	0.0236927949051684	0.321460777849118	0.0236927949051684
NR4A3	0.000260071973944752	-0.0803337013593755	0.321460777849118	-0.0803337013593755
WWTR1	0.000278275207328958	0.0259421186059028	0.321460777849118	0.0259421186059028
AC022182.1	0.000286933154878713	0.0209457762166742	0.321460777849118	0.0209457762166742
NPIPB13	0.000311077597792693	0.02953512054752	0.321702094209612	0.02953512054752
TTTY10	0.000376058805197691	0.051942121005586	0.359857779764829	0.051942121005586
NPFFR1	0.000421456326859666	-0.0689137513255239	0.359857779764829	-0.0689137513255239
RPS28	0.000438069559705885	0.0288036052410899	0.359857779764829	0.0288036052410899
STXBP6	0.000455041822076918	0.0421068050535289	0.359857779764829	0.0421068050535289
BTG2	0.000496649046170178	-0.0185439843635186	0.361638713218566	-0.0185439843635186
LINC01515	0.000539259651141882	-0.0787509613132635	0.361638713218566	-0.0787509613132635
DPY19L3	0.000564865663704045	0.010280964968754	0.361638713218566	0.010280964968754
ZNF558	0.000564892366675832	0.0157679948559082	0.361638713218566	0.0157679948559082
MED4	0.000598183275152859	0.0083423488432413	0.365544361416138	0.0083423488432413
STAM-AS1	0.00068463674734963	-0.0368351055574021	0.381315515135546	-0.0368351055574021
ANKDD1A	0.00071933253234745	-0.0225079010354243	0.381315515135546	-0.0225079010354243
C3orf33	0.000734942824677724	0.0256586776574519	0.381315515135546	0.0256586776574519
PADI2	0.000750054548092294	-0.0229805407545801	0.381315515135546	-0.0229805407545801
AC083862.3	0.000792835668189748	-0.0368081350650072	0.381315515135546	-0.0368081350650072
CABYR	0.000814752483883561	0.0251443570428035	0.381315515135546	0.0251443570428035
PRXL2C	0.000822782344060522	-0.0174386228912542	0.381315515135546	-0.0174386228912542
AC096667.1	0.00085089746013585	-0.050441822924735	0.381315515135546	-0.050441822924735
MSH2	0.000991520575582058	0.0199321137215504	0.430000084455651	0.0199321137215504
KCNIP1	0.00105313290625254	-0.0198265580696968	0.437837603597622	-0.0198265580696968
LINC00649	0.00107472782793228	0.0371293442395061	0.437837603597622	0.0371293442395061
KIF4A	0.00117807144771377	-0.0723712162001047	0.44895998916985	-0.0723712162001047
RUNX1T1	0.0011820043665529	0.0440517418291847	0.44895998916985	0.0440517418291847
CERNA2	0.00120221359789606	-0.0402868900294926	0.44895998916985	-0.0402868900294926
IGSF8	0.00127399349755721	0.0737103890486938	0.461286674480249	0.0737103890486938
TNNI2	0.00130484086975271	-0.0334168573204084	0.461286674480249	-0.0334168573204084
AL136441.1	0.00140147379656156	0.0259792820763057	0.461286674480249	0.0259792820763057
AC130895.1	0.00140477303031517	0.0228552937906848	0.461286674480249	0.0228552937906848
PTGES2	0.00141904461867039	-0.022566683540556	0.461286674480249	-0.022566683540556
DOCK4-AS1	0.00144109196133371	-0.040976344070531	0.461286674480249	-0.040976344070531
NMT1	0.00157605950496443	0.00999066256780412	0.492756836854459	0.00999066256780412
NEMP2	0.00163657091567375	-0.0199850444279194	0.494665363719663	-0.0199850444279194
COX4I1	0.00165575285386677	0.0468227544816677	0.494665363719663	0.0468227544816677
MELK	0.00188938031448237	-0.0684046666625052	0.53327823857155	-0.0684046666625052
HNRNPA3	0.00194134336612147	-0.00582507196254964	0.53327823857155	-0.00582507196254964
ZNF425	0.00195466036302926	0.0212809634262341	0.53327823857155	0.0212809634262341
ZFP36	0.00198127200789334	-0.0261435301780462	0.53327823857155	-0.0261435301780462
ASTE1	0.00200887261479765	0.0192310081960034	0.53327823857155	0.0192310081960034
MAF	0.00202299837601525	0.0143059560396416	0.53327823857155	0.0143059560396416
TRMT10C	0.0020926804268502	0.0266819684448436	0.541038378049503	0.0266819684448436
AP002433.2	0.00217613243970005	0.0250025881543479	0.551998575836367	0.0250025881543479
ZNF320	0.00229641656192357	0.0186194920761219	0.558838095032345	0.0186194920761219
AC136604.2	0.00234873028540751	0.0362146801271931	0.558838095032345	0.0362146801271931
ADNP	0.00235272990601759	0.00459924547865909	0.558838095032345	0.00459924547865909
Z98884.1	0.00236936710925645	0.0341968081109246	0.558838095032345	0.0341968081109246
AC145285.6	0.00243353670201734	-0.0310570632994754	0.564077024515881	-0.0310570632994754
