gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
UTY	2.07518778255369e-47	0.155469020672982	3.40974104551397e-43	0.155469020672982
USP9Y	4.83429280168692e-45	0.134679289480233	3.97161325122589e-41	0.134679289480233
TTTY14	4.23975711913763e-40	0.134415283799923	2.32211497415168e-36	0.134415283799923
NLGN4Y	2.91201215611799e-36	0.120341189255885	1.19618179342937e-32	0.120341189255885
LINC00278	6.21008738400325e-30	0.119791213383814	2.04075891613115e-26	0.119791213383814
KDM5D	1.2089277763488e-24	0.109101671654932	3.31064871553118e-21	0.109101671654932
RPS4Y1	5.55577316949815e-20	0.0855252475476456	1.30409869925749e-16	0.0855252475476456
TTTY10	5.01149692558444e-18	0.0710631829154922	1.02929882480347e-14	0.0710631829154922
ZFY	1.53271209545389e-15	0.0666391833532972	2.79822138226699e-12	0.0666391833532972
DDX3Y	8.86651055530865e-08	0.0552696519383714	0.000145685634934276	0.0552696519383714
F2R	2.04109765713676e-06	0.0287285046043821	0.00304884323676492	0.0287285046043821
AC109347.1	3.24653637658634e-06	-0.0370013965346309	0.00444531993364085	-0.0370013965346309
TRIM26	7.91908729515337e-06	0.0155323215788976	0.0100091171805127	0.0155323215788976
GEM	1.17058105618861e-05	-0.0289165262965286	0.0137384409530251	-0.0289165262965286
PHKA1	2.60722475491056e-05	-0.0119220569194384	0.0285595399652903	-0.0119220569194384
VAV3-AS1	4.12305910809548e-05	-0.0303745549426955	0.042341240128198	-0.0303745549426955
FANCC	4.7839184538775e-05	-0.0155001625343493	0.0462379788915654	-0.0155001625343493
IER2	5.30438116196639e-05	-0.0195611710229809	0.0484201593734832	-0.0195611710229809
LMAN2L	5.76428944070573e-05	0.00908370920951453	0.048514956352185	0.00908370920951453
DNAL1	5.90529564264927e-05	0.00968947852383897	0.048514956352185	0.00968947852383897
C2CD4C	6.71633345162588e-05	-0.0687310266267682	0.0506774408628648	-0.0687310266267682
AL158071.4	6.78536728734116e-05	-0.0350290918465228	0.0506774408628648	-0.0350290918465228
AURKC	8.91476159248105e-05	-0.0347177840595471	0.0610786767302039	-0.0347177840595471
AL137781.1	9.14859900408465e-05	-0.0383467929455436	0.0610786767302039	-0.0383467929455436
PGAP2	9.29320746305823e-05	0.0140062891568667	0.0610786767302039	0.0140062891568667
KBTBD11-OT1	0.000116558924526628	-0.031750797723505	0.0736607572652705	-0.031750797723505
PNISR	0.000124124962364204	-0.0113042325208783	0.0755369354298607	-0.0113042325208783
AL035071.1	0.000133348445817454	-0.0221045564346595	0.0760230907294909	-0.0221045564346595
AC119396.1	0.000134177446969462	-0.0377679045259463	0.0760230907294909	-0.0377679045259463
GRIK1-AS1	0.000144812944006227	-0.0234193038084427	0.0793140494322106	-0.0234193038084427
ADM	0.000151936062383091	-0.0541723234145009	0.0805310142263409	-0.0541723234145009
AC079922.2	0.000177448929282175	-0.0243224761657467	0.0911144799073566	-0.0243224761657467
RNF24	0.000214057106449937	-0.0137877406291748	0.106580979275118	-0.0137877406291748
C3orf35	0.00023733055630336	-0.026892438080815	0.111045844883169	-0.026892438080815
KRCC1	0.00024598448719612	0.00654230301843799	0.111045844883169	0.00654230301843799
AC007666.1	0.00024933267136074	-0.0226479352319414	0.111045844883169	-0.0226479352319414
SUSD1	0.000250057589962708	0.0231971905103216	0.111045844883169	0.0231971905103216
TMA7	0.000277004080255221	0.0299627775806209	0.119775106386146	0.0299627775806209
MAX	0.000298879440397147	-0.0087436312998852	0.125861867353964	-0.0087436312998852
INKA2	0.000306400991671752	-0.0372366812836122	0.125861867353964	-0.0372366812836122
AC098820.1	0.000314571524261805	0.0222185180295391	0.126066456466969	0.0222185180295391
SFTPD-AS1	0.000362016188608134	-0.0242184992700676	0.138679321912526	-0.0242184992700676
INAVA	0.000365141594061563	0.0257697719554351	0.138679321912526	0.0257697719554351
AC002428.2	0.000375027422536494	-0.0436687312082155	0.138679321912526	-0.0436687312082155
AC073195.1	0.000381611757821157	-0.0242260671793321	0.138679321912526	-0.0242260671793321
PFKP	0.000389976071890751	-0.0220143687858761	0.138679321912526	-0.0220143687858761
AL357079.1	0.000396684811021163	-0.0155489521981184	0.138679321912526	-0.0155489521981184
WDR53	0.000413702197479762	0.0126177001937071	0.141615433474791	0.0126177001937071
ARHGAP19	0.000434884248538354	0.0127827377835608	0.144648872279624	0.0127827377835608
LPIN2	0.000445395635888006	-0.0080938882617529	0.144648872279624	-0.0080938882617529
TEN1	0.000448974042131387	0.0177568727338861	0.144648872279624	0.0177568727338861
DNAJC16	0.000464719753530436	0.00660365450090818	0.145054793059431	0.00660365450090818
GSTO2	0.000467890209491197	0.0155220806910684	0.145054793059431	0.0155220806910684
BACH1	0.000496201167358095	-0.0114642877224538	0.15098298853446	-0.0114642877224538
SEMA6A-AS1	0.000515432429595157	-0.0123921992320594	0.153983095466873	-0.0123921992320594
SLC44A2	0.000544725277770154	0.0105833393633312	0.159745886068206	0.0105833393633312
RPS6KA3	0.000554166849606703	-0.0104202013909406	0.159745886068206	-0.0104202013909406
PLBD2	0.000590142301073571	0.0100867324206354	0.167183243947239	0.0100867324206354
PHF7	0.00066632347929402	-0.0148693432830175	0.181025909851635	-0.0148693432830175
AP000317.1	0.000666678985605651	-0.0186702342160951	0.181025909851635	-0.0186702342160951
STEAP3-AS1	0.000672057726306963	-0.0223727078663009	0.181025909851635	-0.0223727078663009
AL158011.1	0.000703279061051913	-0.0326818062557235	0.186380294389419	-0.0326818062557235
CADM2	0.000774194503331769	0.0090354996373946	0.194295044898141	0.0090354996373946
GGNBP2	0.000777932128055008	0.00591247648210738	0.194295044898141	0.00591247648210738
AL606489.1	0.000784347198563659	-0.0242540229237542	0.194295044898141	-0.0242540229237542
RPS15	0.000790389062464288	0.0300786345365126	0.194295044898141	0.0300786345365126
ATP6V1E2	0.000810718441094917	-0.012939066005365	0.194295044898141	-0.012939066005365
RIMS1	0.000821773881271476	-0.0272552423878463	0.194295044898141	-0.0272552423878463
KCNE2	0.00084022968325867	-0.0264202832771739	0.194295044898141	-0.0264202832771739
