logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.6661887016469	0.138622305557746	6.05262065135122	-0.00535355057195575	2.21288304525647e-06	-2.25874166280589e-05	0.0600342933650646	0.0091158414498623	0.126974495667242	0.00774406910096709	4.61023037128118e-07	3.7530379510448e-06	0	3.18999757282765e-52	0	0.48937089799213	1.58712952072666e-06	1.76110920605737e-09	36493	USP9Y	6.71239289274395e-48	0.138622305557746	0.765090747545129	0.0667076006701056	1	NBGMM (LN)
-11.7663339404344	0.138582460992436	5.94900162852888	-0.0041344519972694	6.66726754524631e-06	-5.59283034913834e-05	0.0632757325848371	0.0095924782320867	0.133863091979354	0.0081537206101367	5.61702415793304e-07	4.38633226287332e-06	0	2.61873297381356e-47	0	0.612110446154946	1.69973730978613e-32	3.09413570469393e-37	36501	NLGN4Y	2.75516896174924e-43	0.138582460992436	0.825435084443712	0.128897187565888	1	NBGMM (LN)
-11.9674656991389	0.124570946253714	5.64338664408617	-0.00608603674973574	2.62234026478756e-06	-4.72600176361207e-05	0.0580277205481128	0.00890040636049833	0.121992621654097	0.00742170994135383	5.56315818816288e-07	4.60745298382762e-06	0	1.64670186917772e-44	0	0.412198087592897	2.43184907303488e-06	1.09734436479943e-24	36496	UTY	1.15499669104125e-40	0.124570946253714	0.704902868606201	0.0813013910659236	1	NBGMM (LN)
-13.3177674994017	0.151307716270628	6.31761298007748	-0.00415815812927528	-3.55793772390683e-06	-9.53807546603275e-06	0.0777157766461118	0.0115394235776596	0.173814865494856	0.00735849023342462	8.55920117751498e-07	7.26226863104306e-06	0	2.80190561060166e-39	2.95278621667243e-289	0.572017274607574	3.22655493673078e-05	0.189056923318288	36517	KDM5D	1.473942446457e-35	0.151307716270628	0.725931859546005	0.0732773617424032	1	NBGMM (LN)
-13.1937119062404	0.11982092884745	5.70212677810639	-0.00781589900911377	-7.23120132082243e-06	-1.01561362342249e-05	0.0644291506534539	0.00977235252029459	0.137538162309386	0.00687304442059746	9.85772100875033e-07	8.2456945002325e-06	0	1.46287325297188e-34	0	0.255462416300029	2.20778017096943e-13	0.218065052887412	36495	DDX3Y	6.15635579780685e-31	0.11982092884745	0.547425966490958	0.0676549668768769	1	NBGMM (LN)
-11.2011934427104	0.111494860428074	5.58866036374103	-0.000418895866798076	6.26541409998986e-06	-3.96675040247811e-05	0.0581304229535357	0.00925351943331419	0.119465730288942	0.00822790943693233	5.17406617543013e-07	3.93853750415002e-06	0	1.96521908858645e-33	0	0.959395978236784	9.4335111027221e-34	7.37434243816001e-24	36514	TTTY14	6.89202334367268e-30	0.111494860428074	0.780839400569828	0.133713306411683	1	NBGMM (LN)
-13.2950392584409	0.0945225465436523	5.02798602345047	-0.00500611339893339	4.97569504329629e-06	3.82771972291958e-06	0.0565088072413564	0.00865741305896383	0.115718211301438	0.00661871295180234	1.15464155695115e-06	9.98785653446078e-06	0	9.44455492128898e-28	0	0.449434862303014	1.6377325266162e-05	0.701543782966324	36471	PRKY	2.83903320933947e-24	0.0945225465436523	0.451485516512535	0.278079120435679	1	NBGMM (LN)
-13.2549182309757	0.0937746365669219	5.15506550733199	-0.00409992826266738	-2.02767687263264e-05	0.000148689097651063	0.0568826899390489	0.00866073318588566	0.116979945960241	0.00579491347554355	1.3376819310716e-06	1.08216327323217e-05	0	2.54846897289964e-27	0	0.479252920553934	6.6939235997693e-52	5.84859508857521e-43	36451	RPS4Y1	6.70311051596928e-24	0.0937746365669219	0.449463260101401	0.295800638718597	1	NBGMM (LN)
-13.3691734591185	0.0957110216065111	5.16795067615329	-0.0028208222213159	-4.41776183174196e-06	-8.38073156703774e-07	0.0589499319145281	0.00885901801816268	0.120873870305427	0.00640715488805701	1.3511813656681e-06	1.10948688135076e-05	0	3.30261857155046e-27	0	0.659747879963164	0.00107716782508087	0.939787456204356	36453	ZFY	7.72152222028498e-24	0.0957110216065111	0.427760307214125	0.419324316781654	1	NBGMM (LN)
-12.3427812325579	0.0650486906692457	4.75957599188034	-0.00146702809615772	7.14049067713803e-06	-9.50077324613588e-05	0.0441271439370554	0.00717423545424373	0.0886316431057447	0.00601412540230888	9.92123466115562e-07	7.92080519685742e-06	0	1.22354906196193e-19	0	0.807284713957437	6.14708155360035e-13	3.78757978902542e-33	36519	TTTY10	2.57459193618029e-16	0.0650486906692457	0.381575587814528	0.342612354594844	1	NBGMM (LN)
-14.1453443220402	-0.0829342902675565	0.402464825530786	0.0601219382341711	-3.2233030978384e-07	-7.27707460845671e-05	0.0725376855948428	0.0117020537346625	0.137760644364362	0.0153513443594795	4.45061709936722e-06	3.655257827109e-05	0	1.36895203073713e-12	0.0034837379286815	8.98826948776532e-05	0.942264697236162	0.0464972432317282	23837	AC244502.1	2.61868078461551e-09	-0.0829342902675565	0.900321261794596	3.79500870193769	1	NBGMM (LN)
-13.1997989235012	-0.18061316206345	0.0522715528745822	0.0584539724104311	3.02202077345594e-06	-0.000199471014289732	0.121504811688103	0.0290056150362863	0.245697576458633	0.0283511449808515	3.86248353127744e-06	2.65867173971524e-05	0	4.75953665336843e-10	0.831523890591005	0.0392281864114455	0.433977456259776	6.253716832047e-14	18098	LINC01515	8.34584752168155e-07	-0.18061316206345	1.87015018687884	1.79196650810113	1	NBGMM (LN)
