gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NLGN4Y	6.41794319476789e-44	0.16683735204568	1.38409362938364e-39	0.16683735204568
USP9Y	2.49008239607571e-42	0.143961569252523	2.68505584768844e-38	0.143961569252523
TTTY14	3.11325635041683e-39	0.145679356950924	2.23801621510298e-35	0.145679356950924
UTY	6.68920253117233e-38	0.138170321666392	3.60648354468156e-34	0.138170321666392
KDM5D	5.24529552651031e-18	0.0849820591831352	2.26240086649443e-14	0.0849820591831352
DDX3Y	5.34370116300615e-17	0.0775344354374504	1.92070432135651e-13	0.0775344354374504
TTTY10	1.88044423755312e-09	0.0483482304533163	5.7933800610101e-06	0.0483482304533163
RPS4Y1	3.95555347468517e-09	0.0539353926515582	1.06631832793826e-05	0.0539353926515582
ZFY	6.51211079641276e-08	0.046245848327518	0.000156044646039375	0.046245848327518
LINC01515	6.87987765310076e-07	-0.144680039812318	0.00148371441466771	-0.144680039812318
AC073225.1	1.45844232942002e-06	0.0759055556344385	0.0028593424796611	0.0759055556344385
LINC00326	4.52520401477322e-06	0.0676140227688582	0.00813254581521661	0.0676140227688582
DDX60	7.1065503831905e-06	-0.0934478468325301	0.0117892204279912	-0.0934478468325301
AC244502.1	6.71518368093857e-05	-0.0722624812802522	0.103442608045087	-0.0722624812802522
PIP5KL1	7.64364534498107e-05	0.0270523215319177	0.109895237006574	0.0270523215319177
AC023385.1	8.7000531106334e-05	-0.0517755887977513	0.11726584086495	-0.0517755887977513
ZNF330	0.000112818405656893	-0.014292775381995	0.143120102140974	-0.014292775381995
CHADL	0.000197880344007344	0.0263914554592505	0.237082638825688	0.0263914554592505
RABGAP1L-IT1	0.000225088890954975	0.0280095615644333	0.255487738017631	0.0280095615644333
GNG8	0.000245342057077931	-0.103533060772245	0.264552340147133	-0.103533060772245
GRHL3	0.000282576912959234	0.0551511336337854	0.290193033565659	0.0551511336337854
AC084882.1	0.000299612333497772	0.0330182085728221	0.290223609954543	0.0330182085728221
CYSLTR1	0.000309521609429403	0.0312244615699362	0.290223609954543	0.0312244615699362
AC079062.1	0.000336494617212175	0.0588972719558484	0.291058383038986	0.0588972719558484
ZDHHC9	0.000337404227764752	0.0101452784192909	0.291058383038986	0.0101452784192909
MIR210HG	0.000392177920920421	-0.0683581159300201	0.307757888282997	-0.0683581159300201
AL390783.1	0.000404247146263239	-0.0499358694715072	0.307757888282997	-0.0499358694715072
SCNN1D	0.000427324922359642	0.0178932948336962	0.307757888282997	0.0178932948336962
CERS5	0.000439868602642901	0.00836875399134777	0.307757888282997	0.00836875399134777
EZH1	0.000445957049643639	0.00545931790694631	0.307757888282997	0.00545931790694631
AL050403.2	0.000461116788288324	-0.0419672588119101	0.307757888282997	-0.0419672588119101
AL031073.2	0.000487531859506847	0.0329380574539344	0.307757888282997	0.0329380574539344
SCML4	0.000491024703673119	0.0369643363557094	0.307757888282997	0.0369643363557094
SMOC2	0.000496959589187606	0.064707615122482	0.307757888282997	0.064707615122482
PXMP2	0.000499467962992901	0.0174925041566686	0.307757888282997	0.0174925041566686
ORMDL1	0.000518205202330386	-0.0110175580974264	0.310433705373809	-0.0110175580974264
RBL1	0.000576129532293581	0.011224413700234	0.333958900859329	0.011224413700234
