gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NLGN4Y	1.35620385956016e-44	0.161183962844576	2.73709062936432e-40	0.161183962844576
USP9Y	1.60608753390332e-39	0.139408345463049	1.3912782625488e-35	0.139408345463049
TTTY14	2.06809770471034e-39	0.141991208557855	1.3912782625488e-35	0.141991208557855
UTY	8.84839711243382e-33	0.125010048131093	4.46445876307848e-29	0.125010048131093
PCDH11Y	3.82454781487805e-14	0.0385072179230761	1.54374047999738e-10	0.0385072179230761
PRKY	2.85613166447863e-13	0.0758771400023903	9.60707487541795e-10	0.0758771400023903
TTTY10	5.64618332582572e-06	0.034500473844728	0.0162787531259735	0.034500473844728
AC079062.1	4.44996516207694e-05	0.0788446417412084	0.112261496126296	0.0788446417412084
RPS4Y1	6.92401649336597e-05	0.0344709938354112	0.155267223187902	0.0344709938354112
TBL1Y	0.000110743448536233	0.0446767170924611	0.223502427835826	0.0446767170924611
AC100793.2	0.000143413686083986	0.0506395270595005	0.263125001140636	0.0506395270595005
PI4K2B	0.000202615773481139	-0.0173030453355452	0.340765961699696	-0.0173030453355452
LINC02006	0.000225818206550306	0.0478688890192563	0.344535034364846	0.0478688890192563
SLC25A35	0.000238999627445637	0.0631082800241958	0.344535034364846	0.0631082800241958
RPL31	0.000295372644306805	0.033025613808167	0.397414047159995	0.033025613808167
LDHD	0.00040139530429529	-0.0390847250115567	0.476282582419795	-0.0390847250115567
LINC00486	0.000424061346978655	0.041930128943991	0.476282582419795	0.041930128943991
TMPRSS5	0.000424788746583902	-0.0249342483399778	0.476282582419795	-0.0249342483399778
AC018648.1	0.000516074477943527	-0.0516687001441786	0.54817974283454	-0.0516687001441786
TIMP1	0.000555039180475646	-0.0989365989379896	0.553514117576935	-0.0989365989379896
LINC02028	0.000584648044875578	-0.0814934559541682	0.553514117576935	-0.0814934559541682
ATP8B4	0.000603374818486402	-0.0179989065231635	0.553514117576935	-0.0179989065231635
LINC02325	0.000646939001353939	-0.067702388687942	0.557746373381555	-0.067702388687942
AC008443.5	0.000663259982219667	0.0348884760339715	0.557746373381555	0.0348884760339715
NBN	0.000704270035081435	-0.00887935972189489	0.568543113920541	-0.00887935972189489
PPIL1	0.000910619793627225	-0.0194691589983318	0.683373505305147	-0.0194691589983318
MMP28	0.000914234696424485	0.0186698252331057	0.683373505305147	0.0186698252331057
LITAF	0.0009647863933071	0.0413507982078105	0.695404249632996	0.0413507982078105
MEGF11	0.00101247615788167	-0.0157988530825759	0.704613579943717	-0.0157988530825759
RAD21L1	0.00108268900501225	-0.0548311304718349	0.728360983305243	-0.0548311304718349
OR2AG2	0.00112320509634937	-0.0300293649002425	0.7312427501459	-0.0300293649002425
TCTE1	0.00128417078423098	0.0283649778819947	0.801700385693623	0.0283649778819947
GALNT3	0.0013108766587994	-0.0278066550974493	0.801700385693623	-0.0278066550974493
NLRC5	0.00140960179163187	-0.0436512001338598	0.825429807402981	-0.0436512001338598
