logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.401768417802	0.130867777576143	6.02200899561631	-0.00394856148214626	1.0768322472237e-06	-2.52005754239873e-05	0.0677811906015424	0.0100812399684493	0.142441542710571	0.00707547253595353	1.05972285311671e-06	8.56128175222712e-06	0	1.56170682292246e-38	0	0.576801167025619	0.309560267003346	0.00324469627968653	36493	USP9Y	3.3735990788771e-34	0.130867777576143	0.691490096332315	0.0709543965367557	1	NBGMM (LN)
-11.9072524176759	0.125011239943032	5.51383765702605	-0.0013206165847585	2.43309307605598e-06	-3.1882283221451e-05	0.0668893970513161	0.0099067065336823	0.139384849137246	0.00693630981212009	1.36935235192811e-06	1.14892056593707e-05	0	1.66231820271145e-36	0	0.849002114416537	0.0755978084659	0.0055205585720146	36496	UTY	1.79546989074863e-32	0.125011239943032	0.583774950905027	0.0841691838977413	1	NBGMM (LN)
-11.3353350528235	0.123751494791042	5.76678493423363	-0.00892785550002641	6.34702625578017e-06	-3.33418310271636e-05	0.075352732863133	0.0109620293992401	0.157038539463956	0.0073342344356456	1.3850573713495e-06	1.04966331463716e-05	0	1.48542424662396e-29	3.24261996772408e-295	0.223495699053813	4.59448357414342e-06	0.00149099248410006	36501	NLGN4Y	9.65996646578383e-26	0.123751494791042	0.869108987846999	0.174951056671762	1	NBGMM (LN)
-11.297863355285	0.118754405174622	5.90587152617465	-0.00792747010194522	1.98041370000764e-06	-5.11799773160059e-05	0.0719952186228214	0.0105346336285068	0.149499024539253	0.00754678034449509	1.2120872545877e-06	9.35362435140845e-06	0	1.78871705689915e-29	0	0.293514026836005	0.102282563983399	4.45805914273268e-08	36514	TTTY14	9.65996646578383e-26	0.118754405174622	0.80525279580453	0.125310207269571	1	NBGMM (LN)
-12.6892227804588	0.102639204340484	5.15907053229506	-0.00512794378627592	5.57667523561992e-07	-1.58598595534625e-05	0.0717995442642418	0.00997804223552745	0.14252247213873	0.00681292967902757	2.17871630351224e-06	1.83549674847638e-05	0	8.1063642850029e-25	6.47575721411971e-287	0.451643300802127	0.797980554955953	0.387552945445015	36471	PRKY	3.50227362569265e-21	0.102639204340484	0.419032203984823	0.179755437075762	1	NBGMM (LN)
-12.9888453373698	0.0952523086051019	5.26860170486392	-0.00536495264291605	-1.97250425482113e-06	2.3189459529445e-05	0.077955927621403	0.0102031802892579	0.153033463038541	0.00631315800891063	2.22832203328986e-06	1.94496470098811e-05	0	1.004674363164e-20	9.68681171578063e-260	0.395433562081885	0.376050323313323	0.233150780819657	36517	KDM5D	3.6171625988448e-17	0.0952523086051019	0.379297131156127	0.0760981387227267	1	NBGMM (LN)
-12.1322295682022	0.0678337766926748	4.60068926179081	0.00510725650401407	8.66791020974456e-07	-2.94592594957358e-05	0.0550201071409534	0.00827700392209242	0.105519933879186	0.00666957961671688	2.40776954215364e-06	1.90899181901504e-05	0	2.49656158319861e-16	0	0.443822757897433	0.71884900149569	0.122786097807644	36519	TTTY10	7.70438904575093e-13	0.0678337766926748	0.313012787905749	0.430245337316441	1	NBGMM (LN)
-12.9193376851362	0.0609710606724877	5.08635837091019	-0.00185171270366766	-7.16210734989957e-06	7.78849462553462e-05	0.0718730303539088	0.00910404536244176	0.136159818908846	0.0053030995118503	2.21069329223863e-06	1.96656815570476e-05	0	2.12538894719546e-11	2.0415805390951e-305	0.726957518554412	0.00119631929985868	7.48086921997995e-05	36495	DDX3Y	5.73908150466455e-08	0.0609710606724877	0.262063808208879	0.0509329505449099	1	NBGMM (LN)
-13.1017603998384	0.059702194038799	4.54629428789458	-0.000462045208608292	-1.08643571362976e-05	0.000103026172932658	0.0712850417846529	0.00916467257386282	0.133028963933827	0.005448980271972	3.04946800603673e-06	2.58248621639316e-05	0	7.29886846448526e-11	5.64494347510233e-256	0.932424525281546	0.0003670520539049	6.62355792592081e-05	36451	RPS4Y1	1.75189062855345e-07	0.059702194038799	0.256996824221948	0.227381788820403	1	NBGMM (LN)
-13.0678850699935	0.0583219744858272	4.61836681067607	-0.000461703475879393	-3.72247242484723e-06	5.92042406104618e-06	0.0728416748338085	0.00931550153612142	0.137119644935376	0.00621469542855149	3.12926492903089e-06	2.58542312661765e-05	0	3.83143970762911e-10	1.08629364446547e-248	0.940777873116436	0.234216354849614	0.818874775223957	36453	ZFY	8.27667605642041e-07	0.0583219744858272	0.26128084842998	0.365404335083304	1	NBGMM (LN)
-9.65215607675462	0.0226434113497798	3.06266970758474	-0.00142203240863696	4.55867160574259e-06	-0.000119014338103699	0.0239552399657288	0.00438335054848427	0.0466775053935401	0.00355729448652572	1.37086365586126e-06	1.04638775671037e-05	0	2.39442160113915e-07	0	0.689339845680516	0.000882913954100852	5.64564678309945e-30	36460	PCDH11Y	0.000470220867525526	0.0226434113497798	0.149694132948196	0.243261254775205	1	NBGMM (LN)
-14.6272303761335	0.0613350618104681	-0.263850867735979	-0.0174392023544768	-2.70412980747715e-05	0.000108166185787914	0.0953944314202094	0.013303199026589	0.151109916541128	0.0177788025997128	1.31366620456969e-05	0.000107577890217008	0	4.01605387831284e-06	0.0807960574268752	0.326642754198256	0.0395459627636301	0.31467128372563	7778	AC090018.2	0.00722956632327616	0.0613350618104681	0.0197155292596913	1.83483342818343	1	NBGMM (LN+HL)
-14.7063930489408	-0.0708725885969579	0.162043504192407	0.025704789726534	-1.33686268851722e-07	-8.17969945251455e-06	0.102704478050014	0.0175965658342079	0.155389764850165	0.0104867746241478	1.12750835460201e-05	0.000102026801795699	0	5.6340117038076e-05	0.297031816835859	0.0142395613949763	0.990539874026158	0.936100407003178	29818	TRIM47	0.0936199390966552	-0.0708725885969579	0.00454178836316666	7.13236870224109	1	NBGMM (HL)
-13.5987769808303	0.0391229008808975	-0.124709020294957	-0.0140996840330076	3.78254360060772e-06	-3.59128337760286e-05	0.0639967941864174	0.0102398298421951	0.10630484121274	0.0120640250218943	7.96759777015306e-06	6.90653748700637e-05	0	0.000133095418408925	0.240745103697846	0.242509221613838	0.634971745702845	0.603075293153313	23631	SOX1-OT	0.197795209375129	0.0391229008808975	0.0127481609725668	14.1348056302158	1	NBGMM (HL)
-13.8131056385769	-0.043616357096935	-0.14625185075392	-0.00323019055290344	-2.60131405199484e-06	-6.1082464188051e-05	0.0645148324879124	0.0114391524058535	0.108066607556268	0.0111059330241564	8.00267146313762e-06	6.88227965044945e-05	0	0.000137345067152436	0.175944116357796	0.771163981645348	0.745138908759921	0.374792311400025	21139	C1R	0.197795209375129	-0.043616357096935	0.0366567128121226	3.22773952408676	1	NBGMM (HL)
-14.3757490955358	0.0505243588560108	0.018934527640742	0.0109005577117669	-2.07946096553194e-05	0.000144190957856866	0.0911992946108658	0.0135625561076052	0.143242027631205	0.0135827563073028	1.22211842414619e-05	0.000102240172357836	0	0.000195096270455521	0.894837522329521	0.42224694028305	0.0888450747226829	0.158446376129645	4818	AC097499.2	0.26340435214876	0.0505243588560108	0.0416763926234175	18.1799926853724	1	NBGMM (HL)
-8.78048440604435	0.0436448148614188	0.0736424275250589	0.023671201422568	-3.93603699266953e-06	4.23484839857285e-05	0.0572343962910378	0.011782839286565	0.116691307545978	0.0085046640325991	1.03617392605608e-06	8.87902756107727e-06	0	0.000212142575289208	0.527983302767935	0.00538057103155882	0.000145500582334713	1.84687663300667e-06	3818	LINC00486	0.267761236089283	0.0436448148614188	0.822498375959789	0.0433068403563837	1	NBGMM (LN)
-13.4926008011447	0.0396805005479532	-0.0101781867214422	-0.00569356598488973	5.02435541474715e-06	-8.04272018658749e-05	0.0627280019899007	0.0107497456693297	0.110097401734373	0.0120025238393043	8.55663425688257e-06	7.00143421702439e-05	0	0.000223113704731372	0.926342810475089	0.635240314590515	0.557077257836019	0.25066953132151	21586	PCED1B	0.267761236089283	0.0396805005479532	0.073734255906585	17.8384606946991	1	NBGMM (HL)
-13.2018385335101	-0.0325006329260323	-0.0846028433382045	-0.0137583134843235	-8.52315289039423e-06	3.49388328474122e-05	0.0511532717602272	0.00886473827320683	0.0836297035973142	0.00932825036579255	5.93887644613313e-06	5.17877437702408e-05	0	0.000246102251026916	0.31171198623139	0.140237210245442	0.151245588151886	0.49989531736119	6032	IL17RC	0.27980530666755	-0.0325006329260323	0.0983336656670217	1.52466953492625	1	NBGMM (LN+HL)
-11.8615660722772	0.0139757676101132	-0.0275816547871244	0.00724087496345173	-2.18185932822638e-05	0.000157498937917398	0.025996454123812	0.00388995449752683	0.0396255713952116	0.00365293237323264	3.07486820889891e-06	2.68589561056831e-05	0	0.000327163344591713	0.48639315865985	0.0474558679861484	1.28622456672975e-12	4.52048306610239e-09	722	TMEM234	0.34804603081334	0.0139757676101132	0.0182854061535546	0.00750472061778907	1	NBGMM (LN)
-13.9497930119036	-0.054558985535776	-0.0876716833695563	-0.0254833697707531	2.69474464499486e-05	-0.000245532845772981	0.0774162920781563	0.0152406942829647	0.140957827773509	0.016495338897606	9.26514663386937e-06	7.71455147876408e-05	0	0.00034382722602043	0.533960926557941	0.122374549606796	0.00363196328089207	0.00145896847067484	35706	AC231759.2	0.34804603081334	-0.054558985535776	0.397321318725994	12.6966092056237	1	NBGMM (HL)
-12.7712519973403	0.0278278990757148	-0.151165828109434	-0.0118339941290518	-3.22034149496752e-05	0.000218701819444971	0.0476881981442011	0.00779087643589548	0.0786454960100538	0.00851326354063258	5.75777843270726e-06	4.85379885892715e-05	0	0.000354458507448082	0.0545910642274083	0.164508981691786	2.23143520447633e-08	6.61275135360476e-06	2335	PCP4L1	0.34804603081334	0.0278278990757148	0.1387074736103	4.09749086234181	1	NBGMM (HL)
