gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
CFAP161	1.33148377001223e-05	-0.094138571647859	0.126116890157532	-0.094138571647859
MED13L	2.99158366994037e-05	0.0156130769735355	0.126116890157532	0.0156130769735355
KAZN-AS1	3.08338143292513e-05	0.078091513360896	0.126116890157532	0.078091513360896
UTY	3.16737339505324e-05	0.0388569795432468	0.126116890157532	0.0388569795432468
SOGA1	4.02648135117823e-05	-0.0462034837524143	0.12666878880397	-0.0462034837524143
LINC00486	5.23157078262739e-05	0.0590846060958512	0.12666878880397	0.0590846060958512
ENPEP	5.89720390828715e-05	0.118335167477097	0.12666878880397	0.118335167477097
SCX	6.36246820136721e-05	0.111458082062009	0.12666878880397	0.111458082062009
POLR1D	9.88373311532088e-05	-0.0508059293959765	0.151149640404273	-0.0508059293959765
KCNH5	0.000101662256782011	0.0985813303428421	0.151149640404273	0.0985813303428421
LMLN2	0.000104391664748352	0.187719479458438	0.151149640404273	0.187719479458438
PLPBP	0.000114057734366779	-0.0667242982361963	0.151383127938308	-0.0667242982361963
STIM1	0.00013953138467953	0.0307637775349066	0.170947412599299	0.0307637775349066
ARFIP1	0.00015991853857216	-0.0308736467234532	0.181930183131342	-0.0308736467234532
STRIP2	0.000225647033784392	0.0627268504180911	0.23385570892845	0.0627268504180911
PNCK	0.000253330693111778	0.103365929325866	0.23385570892845	0.103365929325866
TAF9B	0.000273265419484292	0.0924878872153534	0.23385570892845	0.0924878872153534
PRRX2	0.000275457620449581	0.0824765223749735	0.23385570892845	0.0824765223749735
MYCBP2	0.000284017356351075	-0.0176079999423935	0.23385570892845	-0.0176079999423935
ISG20	0.00029365945743511	0.0863184797185815	0.23385570892845	0.0863184797185815
CCNG2	0.000380397725354819	-0.0610896521431029	0.279791124848848	-0.0610896521431029
LINC01422	0.000395542398221353	0.0493939181653263	0.279791124848848	0.0493939181653263
AC116337.3	0.000404043189020124	0.190327284999699	0.279791124848848	0.190327284999699
AC083862.3	0.000447809291234996	-0.11931175691189	0.284693891974497	-0.11931175691189
UMAD1	0.000453069626051556	0.0236392385771595	0.284693891974497	0.0236392385771595
NT5C3B	0.000495236696889089	-0.0649653264032823	0.284693891974497	-0.0649653264032823
HEATR5B	0.000503175809911407	0.0263579996685806	0.284693891974497	0.0263579996685806
DHCR24	0.000504792855221858	0.0691480469162855	0.284693891974497	0.0691480469162855
SLC8A2	0.000526384877399199	0.142617030651292	0.284693891974497	0.142617030651292
XKR6	0.000536247677480687	0.0254119042631785	0.284693891974497	0.0254119042631785
AL162390.1	0.00061485672638489	0.0694504399066222	0.315897518746198	0.0694504399066222
PCOLCE2	0.000647755415254174	0.104314850451061	0.320588345476946	0.104314850451061
FBXW2	0.000664244076143607	-0.0451195888730876	0.320588345476946	-0.0451195888730876
SBNO1	0.000688307670389216	-0.0299110220978595	0.322431654890854	-0.0299110220978595
UBE3B	0.000728918937565464	0.0315647966024431	0.33139671389282	0.0315647966024431
AC008543.1	0.000749060193391191	0.128232943868629	0.33139671389282	0.128232943868629
SLC44A2	0.000787957481318238	0.0376936512802268	0.339183751485286	0.0376936512802268
TMEM243	0.00094004861374443	-0.0521643412815727	0.376260186605801	-0.0521643412815727
CFAP97	0.000983003166885595	-0.039750244668658	0.376260186605801	-0.039750244668658
BRF2	0.00101310831216896	0.113208907508182	0.376260186605801	0.113208907508182
EBAG9	0.0010321505544504	-0.0577481477202832	0.376260186605801	-0.0577481477202832
ADAMTSL4	0.00105853253646918	0.0630647266938844	0.376260186605801	0.0630647266938844
CHST15	0.00106719650682097	0.0293646156172812	0.376260186605801	0.0293646156172812
ARGLU1	0.0010925702172103	-0.0160726185706178	0.376260186605801	-0.0160726185706178
MZT1	0.00110328032848269	-0.0930045465288894	0.376260186605801	-0.0930045465288894
AL033543.1	0.0011105819294852	0.139679376596473	0.376260186605801	0.139679376596473
LINC02343	0.00111779145934902	-0.07558342198435	0.376260186605801	-0.07558342198435
PPP1R26	0.00113395422597341	-0.155283444707613	0.376260186605801	-0.155283444707613
NT5M	0.00120167506352376	0.0821159509660587	0.381972406398861	0.0821159509660587
GRAMD1C	0.00121397230668397	0.0765474169514125	0.381972406398861	0.0765474169514125
EMC6	0.00123111427090942	0.0854549795412576	0.381972406398861	0.0854549795412576
ERMARD	0.00125816344834916	-0.0539876628935966	0.381972406398861	-0.0539876628935966
NQO1	0.00127108291198214	0.0596674026100902	0.381972406398861	0.0596674026100902
ZNF519	0.00135519590580236	-0.0497328671548116	0.389088692588135	-0.0497328671548116
DYNLT3	0.0013554477835944	-0.0690300374429341	0.389088692588135	-0.0690300374429341
CDH3	0.001369695605366	0.0943662117559282	0.389088692588135	0.0943662117559282
LINC02208	0.00143136363778297	-0.0686569968694076	0.389088692588135	-0.0686569968694076
TSR2	0.00145456235676298	0.0777539812498685	0.389088692588135	0.0777539812498685
ISG15	0.00147249689419712	0.0661663891669635	0.389088692588135	0.0661663891669635
REV3L	0.00153534816031223	0.018384146705619	0.389088692588135	0.018384146705619
RHBDF2	0.00153793352736652	0.0691372040519633	0.389088692588135	0.0691372040519633
GPR37L1	0.00154202795360701	-0.162084100644709	0.389088692588135	-0.162084100644709
MYRIP	0.00154625949999008	0.0623905388833223	0.389088692588135	0.0623905388833223
MET	0.0015634881851975	0.0651334447060226	0.389088692588135	0.0651334447060226
SEPTIN7-AS1	0.00163972743042792	-0.077960164593353	0.400414288977417	-0.077960164593353
MIA3	0.00165927940431403	-0.0291675689292303	0.400414288977417	-0.0291675689292303
HNRNPA2B1	0.00177373961932079	-0.0150167974502016	0.42164702861078	-0.0150167974502016
EDA	0.00182248263709003	0.0403378848264764	0.426862955307836	0.0403378848264764
DCLRE1C	0.00188728991823861	-0.043988858835472	0.434393039703613	-0.043988858835472
SNRPG	0.00190918018328957	-0.0568940632519935	0.434393039703613	-0.0568940632519935
RALA	0.00203793065725024	-0.0327419246501435	0.450094510371209	-0.0327419246501435
SLC7A8	0.00203930644924051	0.0603054979067816	0.450094510371209	0.0603054979067816
AXIN2	0.00208118447882304	-0.0481326268767312	0.450094510371209	-0.0481326268767312
BTBD11	0.00209122833976703	0.0656013674821857	0.450094510371209	0.0656013674821857
AXL	0.00217663446143015	-0.0269648070220895	0.452008937589601	-0.0269648070220895
HGF	0.00218088857911739	-0.0780629983346685	0.452008937589601	-0.0780629983346685
KCND3	0.00219934149752473	0.0583762303829683	0.452008937589601	0.0583762303829683
STAG1	0.00222885322213222	-0.0108458766909717	0.452008937589601	-0.0108458766909717
