logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.4618257328626	0.0523023663409917	5.20135742423592	-0.000656233903600364	2.75648448210316e-06	-1.88014190205547e-05	0.0725760406602013	0.00850862220573366	0.141011024496838	0.00572909717348798	6.54071200100891e-06	2.96245828629402e-05	0	7.89699873260149e-10	7.69843656867997e-298	0.908806541693117	0.673437519611647	0.525652801641238	36514	TTTY14	1.43259454008124e-05	0.0523023663409917	0.199673589462083	0.132490524931847	1	NBGMM (HL)
-8.20432788187995	-0.00949259372760394	0.0353718208352262	0.00293404858027103	3.79758744663727e-06	-1.04094738578828e-05	0.0137692722657735	0.00199077629928048	0.0213509614170041	0.002263498434649	2.92730438718361e-06	1.56636360844922e-05	0	1.85798518110813e-06	0.0975831457529849	0.194891082681992	0.194528517222384	0.506330005680954	10298	APC	0.0124068850334079	-0.00949259372760394	0.0023379139816795	0.0543727993067933	1	NBGMM (HL)
-13.6322960714396	-0.195549863354825	0.376478970091633	0.0553298534111103	-0.00013978085387535	0.000637183181503285	0.224902981420488	0.0411834788717266	0.31160048371501	0.035412706899674	7.00474143689973e-05	0.000309636119764241	0	2.05174219173274e-06	0.226966311545214	0.118186872131683	0.0459864477268761	0.0396050021884742	18098	LINC01515	0.0124068850334079	-0.195549863354825	0.0718454872638112	30.2974106490785	1	NBGMM (HL)
-10.2990864529639	0.0333558233857129	0.0470894724375532	-0.0100357686839014	-4.80027193413977e-05	0.000258262333966469	0.0488803821181013	0.00809258283403915	0.0853644367824399	0.00905219545488338	9.31504695458229e-06	4.77366830424782e-05	0	3.75960729019771e-05	0.581202775781938	0.267578711151073	2.56017099775286e-07	6.29740571797968e-08	31095	RPL36	0.170507589628692	0.0333558233857129	0.276185237077141	0.404612958776895	1	NBGMM (HL)
-12.1103056461322	-0.0725899639458247	0.0122932079777614	0.0203278972583277	-4.03892722018239e-05	9.0869367436962e-05	0.106314454217436	0.018899597556377	0.181839244864361	0.0199929364386936	3.0515769256252e-05	0.000140752646493848	0	0.00012262369988585	0.946100224680294	0.309270489929949	0.185651170221806	0.518540927847225	9697	SLC1A3	0.314661136869989	-0.0725899639458247	0.0762510639444751	14.3312504659097	1	NBGMM (HL)
-12.5316897576251	-0.0614607500043164	-0.00328567925534175	-0.0225410003735783	-8.31727433042989e-06	8.65915656719809e-05	0.114763332515029	0.0160124325689593	0.159323635114865	0.020234478997149	2.10453635842409e-05	0.000117602298534254	0	0.000123881815715918	0.983546653736234	0.265283622678291	0.692690150747548	0.4615430074075	33922	AP001172.1	0.314661136869989	-0.0614607500043164	0.00475222629779745	0.938219180078442	1	NBGMM (HL)
-8.68208196515688	0.00878484854374421	-0.0312563540197317	-0.00371668625045034	-6.28195676954148e-06	4.15868675893123e-05	0.0171176693961582	0.00230388706123325	0.0256423910477428	0.00291332320473688	3.47827666535135e-06	1.89355072615287e-05	0	0.00013725943984034	0.222869662190677	0.202042187374467	0.070909847405466	0.0280749619572225	25881	PIAS1	0.314661136869989	0.00878484854374421	0.00214130126364262	0.0503050975985299	1	NBGMM (HL)
-12.8701464480908	0.0691555143818678	0.129695152897323	0.00898855435029862	4.84511401959907e-05	-0.000421793386186751	0.129105247509483	0.0181493204609434	0.221182704306888	0.0243435143403993	3.08272067014546e-05	0.000160123959042131	0	0.00013876242185987	0.557626138781162	0.711950217616394	0.116019996001545	0.00843437791256874	8843	ANXA5	0.314661136869989	0.0691555143818678	0.000758815065823904	3.01685692321357	1	NBGMM (HL)
-12.6254859979164	-0.0737953123073874	0.206399692080319	-0.0382173407808825	8.59054135403785e-06	-0.000135062772299445	0.119439263369778	0.0199359480009642	0.19110210618896	0.0264487008059549	2.79136852072947e-05	0.000142922716496235	0	0.000214226937279148	0.280120236301916	0.148468844610298	0.758269715181737	0.344655999759005	19511	RAG1	0.43181009657567	-0.0737953123073874	1e-04	3.47286168761591	1	NBGMM (HL)
-14.1663215276043	0.123079359677192	0.61850984910465	-0.110019476867076	5.4019287416979e-05	7.37952187867527e-05	0.291914539630708	0.0336832545198955	0.378781956640754	0.067157526834034	6.96005346550926e-05	0.000348070694217502	0	0.000258163934547343	0.102491811638124	0.101373718475931	0.43767032799761	0.832097549734171	8545	ANTXR2	0.462393468796663	0.123079359677192	1e-04	42.1802846438997	1	NBGMM (HL)
-12.2836003189439	0.0459848748615581	-0.0753568429102278	0.00947021155691227	-6.97602041882579e-05	0.000193353024712901	0.0989336459597132	0.012676152225596	0.151319358292086	0.0152297387761566	2.81516777921945e-05	0.000133741614838734	0	0.000285992414222389	0.618484962214325	0.534057841967295	0.0132116586019842	0.148255548234504	22662	ACADS	0.462393468796663	0.0459848748615581	0.0165711833125787	0.346294678506498	1	NBGMM (HL)
-12.1132987304217	-0.0485937346475909	-0.157729573460362	0.0149563414619759	-3.79194930993258e-05	0.000181165095672215	0.095676344495405	0.0135442880470451	0.141449038011326	0.0131291943657614	2.18353731306394e-05	0.000112438518723121	0	0.000333523548331419	0.264808325260647	0.254633617737408	0.0824563101380054	0.107128087677082	3501	AC013460.1	0.462393468796663	-0.0485937346475909	0.0152365667900383	2.44225691003001	1	NBGMM (HL)
-10.2107019040904	-0.0170319704731605	-1.71006603425153e-05	-0.00454700731747752	-1.54473905405291e-05	0.000121126204515412	0.0362708251064285	0.00475021834591505	0.051020627534291	0.00579253135735776	6.83499653417619e-06	3.80811511781207e-05	0	0.000336416015176088	0.999732571838671	0.43246670668088	0.0238185416497623	0.00146899887394456	29667	PSMD12	0.462393468796663	-0.0170319704731605	1e-04	0.139210045408196	1	NBGMM (HL)
-10.8210015512063	-0.025287934252496	0.0885635619424445	0.0148442078672443	-1.02106941688803e-05	-1.71153249117334e-05	0.047652105494865	0.00708325526602306	0.073606296073692	0.00645191266617078	1.06576831954733e-05	5.60643413009819e-05	0	0.00035684408594638	0.228896482920081	0.0214060308426276	0.338032778224207	0.760152869017184	13738	RCC1L	0.462393468796663	-0.025287934252496	0.00362912789035679	0.0836472294360617	1	NBGMM (HL)
-10.7337671268657	0.0247802007317857	0.0619587402933314	-0.0148333532489987	4.25232685118741e-06	-0.000129712514680126	0.0469418229718411	0.00699141165938304	0.0782094202582912	0.00975296375204904	1.14240496841581e-05	5.85408969722011e-05	0	0.000393541642755977	0.428234843541221	0.128283115118814	0.709724685056381	0.0267080172337269	15138	FUT10	0.475949262749078	0.0247802007317857	0.0287715825590296	0.637345023128712	1	NBGMM (HL)
-10.9071813084894	0.021159282336122	5.76365123974794	0.00111336728356909	5.15647757230864e-06	-9.44814859528738e-06	0.098302109826589	0.00601733034915028	0.190444404118722	0.00474658860299851	6.97553663355538e-06	3.15441497496157e-05	0	0.000437457319449006	3.39148485412512e-201	0.814549038675855	0.459771557156952	0.764542229293635	36501	NLGN4Y	0.495994577007776	0.021159282336122	0.0736853347353118	0.17203358513713	1	NBGMM (HL)
-14.3651439793831	-0.101806370603009	0.0656531648109566	-0.0811559211512446	-5.52984599012503e-05	0.000513394571908886	0.275953636671923	0.0295126765505694	0.290448859826912	0.0444406909044907	3.73963894370513e-05	0.000225672891636854	0	0.000561457099383307	0.821170029897891	0.067825795067659	0.139217517633834	0.0229089222243468	30340	AC090772.2	0.568836765294394	-0.101806370603009	1e-04	0.00100007920208064	1	NBGMM (HL)
-8.9373679788953	0.00946609295976408	0.0395933746625492	0.000565048674161183	7.43292094047508e-06	-4.59564948546621e-05	0.0196799959736341	0.00277229229648936	0.0305455628325778	0.0033321493703092	3.77489962147756e-06	2.09440027140334e-05	0	0.000638906557732494	0.194904152611734	0.865344515947715	0.0489487233249171	0.0282170407868148	14358	UBN2	0.568836765294394	0.00946609295976408	0.00970749471120558	0.0225645938484168	1	NBGMM (HL)
-13.7148751446403	-0.108252783864052	0.247751871651383	0.0316119690223683	-4.40053394224718e-05	0.000140317441950595	0.203499813042988	0.0318450105697191	0.286232269142828	0.0138115435945015	4.67722445031379e-05	0.000233504284429255	0	0.000675427504916777	0.386730217386774	0.0220905207661366	0.346785314969324	0.547893136439103	23252	SERPINE3	0.568836765294394	-0.108252783864052	0.00241558813548312	0.00100219099930748	1	NBGMM (HL)
-10.7229611619999	0.0222041087318285	0.00339880630785171	-0.00688785969510608	-1.74298129737715e-05	8.04291489074975e-05	0.0478431125918188	0.00653218817993795	0.0724881409010971	0.00834553837259419	9.56849492030408e-06	5.18276234095546e-05	0	0.000675872613137893	0.962602686170607	0.409181781236035	0.0685181983507173	0.120696033960517	24734	LGMN	0.568836765294394	0.0222041087318285	0.0510117499980223	0.163393456938528	1	NBGMM (HL)
-9.91873216218383	-0.0154450686631982	0.0394859980693822	0.00635295592591468	2.23916610551949e-05	-0.000150733752330896	0.0307367731758747	0.00455475928854533	0.0486179998288603	0.00500700489185198	6.24007854844241e-06	3.43904867620405e-05	0	0.000696448004272339	0.416695068859878	0.204507551674479	0.000332761984544722	1.17052223513713e-05	21492	RESF1	0.568836765294394	-0.0154450686631982	0.00652387926820286	0.0938350595158573	1	NBGMM (HL)
