logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.4508189038327	0.165039407258092	6.39176149369415	0.00149450442800195	1.18241906624795e-06	-1.08425575437411e-05	0.0621733320495553	0.009890444615167	0.14134544724035	0.00733972064670504	1.07850772653776e-06	6.33754747733957e-06	0	1.63631247205544e-62	0	0.83865147330517	0.272926804145352	0.087109842728209	36493	USP9Y	3.04255941053989e-58	0.165039407258092	0.691759777046096	0.0979591779890488	1	NBGMM (LN)
-11.3297446871757	0.170061439708805	6.78018961524945	0.00038188862245956	1.057023176145e-06	4.67834551594131e-06	0.0674310480052891	0.0104401336533474	0.152841369325436	0.00770726940402393	1.31403237805812e-06	7.14868707145616e-06	0	1.17756850340229e-59	0	0.960481671857075	0.421159177319063	0.512832087615164	36514	TTTY14	1.0947854376131e-55	0.170061439708805	0.77961527570611	0.246748298744541	1	NBGMM (LN)
-11.7640396525392	0.153669089635455	6.21098229038266	-0.00137860968435381	9.5032725422336e-06	-6.32758528671534e-05	0.0649990409240737	0.0102092543977624	0.146702300193091	0.00751569790308976	1.39150388391933e-06	8.02524404807484e-06	0	3.35254271123352e-51	0	0.85446009387441	8.52124765970548e-12	3.15540335697698e-15	36501	NLGN4Y	2.07790597242253e-47	0.153669089635455	0.691717721734593	0.174470439313347	1	NBGMM (LN)
-11.7807492931427	0.129508738033648	5.67819205613643	-0.00445009755186257	4.05646043623436e-06	-3.32517304654379e-05	0.0571601258012612	0.00904258226589404	0.125672102807565	0.00687175419179738	1.33975162852791e-06	8.11775198264092e-06	0	1.59245152960277e-46	0	0.517248448185716	0.00246365124750393	4.2003296861148e-05	36496	UTY	7.40251093535849e-43	0.129508738033648	0.570069845620066	0.0999216053059777	1	NBGMM (LN)
-12.9609830519021	0.147503191254122	6.19476007475493	-0.00208091468800151	-8.77971716549709e-06	7.64721740579509e-05	0.0778366986232338	0.0117106993305708	0.179714804113097	0.00668033628944664	1.8233616796135e-06	1.15538991170215e-05	0	2.23278307732659e-36	2.26307403831409e-260	0.755421688228734	1.47106661188131e-06	3.62290381106334e-11	36517	KDM5D	8.30327370796211e-33	0.147503191254122	0.596066118903913	0.0359142252212986	1	NBGMM (LN)
-12.8051436883086	0.0922393144181307	5.36657021330642	-0.00580281889816792	-2.13799903342444e-06	-2.20700041079077e-05	0.0623929267205373	0.00929069844396773	0.132446976217325	0.00680208121036714	2.21182414438826e-06	1.37000734591645e-05	0	3.14072715921924e-23	0	0.393606833627967	0.333732771326311	0.107192676950758	36495	DDX3Y	9.73311346642044e-20	0.0922393144181307	0.38300698919109	0.0773740106171184	1	NBGMM (LN)
-12.1618580141272	0.0696508196220182	4.82256490631383	-8.40828332031764e-05	1.07582114444827e-05	-9.38852531888044e-05	0.0484455002642725	0.00777703741215138	0.0994554127587233	0.00629453470690098	2.3107694869135e-06	1.35175190634111e-05	0	3.36798519519349e-19	0	0.989342119404877	3.22907611010733e-06	3.77255746199015e-12	36519	TTTY10	8.94633095991825e-16	0.0696508196220182	0.341507921151774	0.450498191269763	1	NBGMM (LN)
-13.1741024066662	0.0792833575279774	4.86244033997506	0.000110642050126004	-2.57369867273873e-05	0.000203111072666735	0.0617757958458068	0.00903101596489725	0.127106245155364	0.00601562104248417	3.13068747698944e-06	1.91304368385564e-05	0	1.64923428972978e-18	3.44413161715933e-320	0.985325770030888	2.02025730176846e-16	2.47968602587572e-26	36451	RPS4Y1	3.83323279790445e-15	0.0792833575279774	0.363492281851572	0.309639661479567	1	NBGMM (LN)
-13.0360715946754	0.0692311503435355	4.59399569233053	-0.00745098402434369	-9.94261658241016e-06	6.22486458000811e-05	0.0564400421584875	0.0081368747168275	0.113932155073347	0.00684270586790548	3.35332809185778e-06	2.01772868356255e-05	0	1.76468516300698e-17	0	0.276200460934597	0.00302683284570739	0.00203493959425907	36453	ZFY	3.64583954677243e-14	0.0692311503435355	0.273556892891861	0.634307490376042	1	NBGMM (LN)
-15.0845692016068	-0.203734972804608	-0.400555071439938	-0.177074066590574	1.34055569505274e-05	-9.46661998978695e-05	0.152170041216446	0.0343927637223269	0.294230637694692	0.0406547431809992	1.41896371632094e-05	9.75332906978472e-05	0	3.14635052727889e-09	0.173398607909013	1.32728742381566e-05	0.344790221942749	0.331745524486954	14005	SERPINE1	5.85032417042237e-06	-0.203734972804608	1.72800882252914	5.25330234309094	1	NBGMM (LN+HL)
