gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
NLGN4Y	2.33847118272591e-46	0.159968442238517	2.19186696947235e-42	0.159968442238517
USP9Y	2.58048854423399e-46	0.154911016124529	2.19186696947235e-42	0.154911016124529
TTTY14	7.57836976381739e-46	0.14231488642425	4.29137818492433e-42	0.14231488642425
UTY	2.30397729835485e-36	0.123232688665317	9.78499158611306e-33	0.123232688665317
KDM5D	3.98877961115007e-24	0.103775007456554	1.35522776068435e-20	0.103775007456554
TTTY10	1.18040061882724e-17	0.0698459015213792	3.34210761877286e-14	0.0698459015213792
DDX3Y	1.15257583192464e-13	0.0624904198532013	2.79713689039083e-10	0.0624904198532013
RPS4Y1	1.60026518983196e-12	0.063453245195434	3.39816313060817e-09	0.063453245195434
ZFY	1.8133049596769e-11	0.0514295812834215	3.42271385055457e-08	0.0514295812834215
PCDH11Y	2.09876600611011e-11	0.0323616141471515	3.56538369117985e-08	0.0323616141471515
LINC01179	2.11227140868349e-06	-0.152561514786909	0.00326211515370137	-0.152561514786909
LINC01515	8.95513737760612e-06	-0.186366900250059	0.0126774894808977	-0.186366900250059
DCTN1	9.37798845210335e-05	0.0144152581296165	0.12233884725099	0.0144152581296165
C4orf48	0.000100820806540726	0.0433097956153432	0.12233884725099	0.0433097956153432
FCHSD1	0.000140303323060857	-0.0297019213056431	0.158898190143856	-0.0297019213056431
C12orf73	0.000181307400604876	0.0117970144156668	0.192503132592227	0.0117970144156668
RPS17	0.000195238931062	0.0349433551893773	0.195101115345956	0.0349433551893773
EIF1AY	0.000233046166370236	0.033446409323733	0.215213141612865	0.033446409323733
ZNF654	0.000243827623082974	-0.00646134947870126	0.215213141612865	-0.00646134947870126
HIST1H2BE	0.000255314067594129	0.0291998855707109	0.215213141612865	0.0291998855707109
LINC00486	0.00026603932033613	0.0418988291325331	0.215213141612865	0.0418988291325331
SERPINE1	0.000292927784811004	-0.122362004759059	0.224501379515413	-0.122362004759059
RPL36	0.000303951714672387	0.0296374780444609	0.224501379515413	0.0296374780444609
AC003659.1	0.000347230544008395	0.0204777245150845	0.245781353400609	0.0204777245150845
AC026341.1	0.000369737062284934	-0.0110465833944779	0.251243728563858	-0.0110465833944779
CCDC125	0.000390697931225963	0.011557720664032	0.255276017525641	0.011557720664032
PET100	0.000486085078111165	0.0329564360428679	0.305837529887129	0.0329564360428679
AGBL3	0.000507077507575936	-0.0109488380615261	0.307651167810714	-0.0109488380615261
TTC30A	0.000536369211579698	-0.0296691412801919	0.314201385045376	-0.0296691412801919
RHBDD2	0.000576891702521187	0.0199491956468426	0.317783803998174	0.0199491956468426
KCTD21	0.000621463891577599	0.0161737837578693	0.317783803998174	0.0161737837578693
HSPB1	0.000630075096987218	0.0666514118269026	0.317783803998174	0.0666514118269026
MED22	0.000645672279237959	0.0146507410180326	0.317783803998174	0.0146507410180326
UQCR11	0.000651558168754881	0.0230965252029018	0.317783803998174	0.0230965252029018
SNHG6	0.000676195015645644	0.0212463284230462	0.317783803998174	0.0212463284230462
SELENOM	0.000687568328147025	0.0269053666412917	0.317783803998174	0.0269053666412917
CCDC85B	0.000720454389040782	0.0268827727731568	0.317783803998174	0.0268827727731568
AC139491.1	0.000723852532634262	-0.0296980843554012	0.317783803998174	-0.0296980843554012
MSS51	0.000729548408048551	-0.0122735958301563	0.317783803998174	-0.0122735958301563
ZFYVE28	0.00078016888630517	-0.00608009879435996	0.324912533728266	-0.00608009879435996
UPRT	0.000784166110363722	-0.0113110390059111	0.324912533728266	-0.0113110390059111
NCK2	0.000821600568229171	-0.00911452158190756	0.332317867930409	-0.00911452158190756
DYNC1LI2	0.000921137734594527	-0.0055256074159736	0.363913670588182	-0.0055256074159736
RPL21	0.000953225593518526	0.0269542720951163	0.368031735970289	0.0269542720951163
KLHL9	0.00100211960795059	0.0123974767783751	0.372214304525583	0.0123974767783751
TNKS	0.00102172699090083	-0.00464656887019356	0.372214304525583	-0.00464656887019356
MON1A	0.00103062885153473	0.0118574829747692	0.372214304525583	0.0118574829747692
AC078883.1	0.00105170041306969	-0.0331029042710676	0.372214304525583	-0.0331029042710676
SRRD	0.00108924878526021	-0.0167396429949958	0.3776358849796	-0.0167396429949958
AC091576.1	0.00113398503822039	-0.0397155834199105	0.384348722886745	-0.0397155834199105
COL19A1	0.0011552363187477	-0.0081139580436429	0.384348722886745	-0.0081139580436429
IL7	0.00117687461406062	-0.0359217562417279	0.384348722886745	-0.0359217562417279
UBQLN4	0.00120343532295061	0.0123798504571163	0.384348722886745	0.0123798504571163
PSENEN	0.00122173481492137	0.0351454854959598	0.384348722886745	0.0351454854959598
AC025178.1	0.00135632066392493	0.0148371282370134	0.406148155269126	0.0148371282370134
B3GAT3	0.00137794493577372	0.0135066855711782	0.406148155269126	0.0135066855711782
PSMB6	0.00138022230762986	0.0312472878847297	0.406148155269126	0.0312472878847297
DYNLL2	0.00138666076086704	0.0170262242836956	0.406148155269126	0.0170262242836956
VARS2	0.00144099394424784	0.0119586837703603	0.411142710436796	0.0119586837703603
ACTB	0.00146320460527254	0.0195396561719332	0.411142710436796	0.0195396561719332
COPS9	0.00147631889196165	0.0293580838204794	0.411142710436796	0.0293580838204794
