gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
UTY	1.14482710213918e-51	0.15395529275837	1.61145862897111e-47	0.15395529275837
AC064829.1	1.00370709706132e-47	0.207646958539636	7.06409054911754e-44	0.207646958539636
NLGN4Y	3.93273286620426e-45	0.132750479546333	1.84523826082304e-41	0.132750479546333
KDM5D	9.10168145159821e-43	0.158655694256353	3.20288170281741e-39	0.158655694256353
TTTY14	8.85429438197803e-37	0.12206046805657	2.49266095441446e-33	0.12206046805657
USP9Y	5.31739247862233e-36	0.115920205585461	1.2474602754848e-32	0.115920205585461
DDX3Y	6.41245714601379e-34	0.146085009607968	1.28945352553272e-30	0.146085009607968
RPS4Y1	1.12825657326152e-31	0.108502479038085	1.98516744065364e-28	0.108502479038085
ZFY	8.01266629945996e-31	0.102927305602582	1.25318100923554e-27	0.102927305602582
TTTY10	1.84704658958864e-17	0.0649972818542103	2.59990277950497e-14	0.0649972818542103
EIF1AY	2.67735434168707e-17	0.0762556168736679	3.42603997396247e-14	0.0762556168736679
EIF5A	1.60335383850695e-06	0.0318104038972362	0.00188073405256866	0.0318104038972362
SLC35F3	1.86423983451408e-06	-0.0599600632410074	0.00195214706397922	-0.0599600632410074
LINC01515	1.98166238305173e-06	-0.182410523661624	0.00195214706397922	-0.182410523661624
IRAK2	2.08029312018246e-06	-0.0211732924233013	0.00195214706397922	-0.0211732924233013
AC068633.1	3.78799751620568e-06	-0.0248306136181628	0.00333249081488195	-0.0248306136181628
IQCH-AS1	6.3062366448026e-06	-0.0159278793133293	0.00522156394189655	-0.0159278793133293
NFIB	8.32882832038446e-06	-0.0111615414351283	0.00651314374654065	-0.0111615414351283
OR2L13	9.51338445166915e-06	0.037113128286976	0.00700822434536367	0.037113128286976
FAM207A	1.01264658990401e-05	0.0175490727943108	0.00700822434536367	0.0175490727943108
TMEM141	1.04555776678486e-05	0.0294750255522751	0.00700822434536367	0.0294750255522751
CALR	1.4640905709971e-05	0.0249857787307481	0.00936751767152511	0.0249857787307481
AC012146.1	2.97030592609522e-05	0.0283515112911087	0.0181782722677027	0.0283515112911087
DNHD1	3.57725811875367e-05	-0.0105650742322099	0.0202566162579002	-0.0105650742322099
IGSF11	3.597722410113e-05	-0.0094120954554426	0.0202566162579002	-0.0094120954554426
PHYHIPL	4.47419106457142e-05	-0.00881347101113683	0.0238236863188393	-0.00881347101113683
LINC02715	4.56976080284641e-05	-0.0362537089640164	0.0238236863188393	-0.0362537089640164
PPFIBP2	5.62653404958289e-05	-0.0140844621948278	0.0282853904578317	-0.0140844621948278
AC005034.6	6.49943832510605e-05	0.0219578144660968	0.0315469289186871	0.0219578144660968
AC108734.4	7.3849739358675e-05	-0.037717771955811	0.0335435897991582	-0.037717771955811
TMTC4	7.38740610808401e-05	-0.0131841058469705	0.0335435897991582	-0.0131841058469705
ESS2	7.65806122649224e-05	0.0144354693846805	0.0336858968200328	0.0144354693846805
LINC01344	8.00282673135073e-05	-0.0265317422959298	0.0341356936577251	-0.0265317422959298
MRPL55	8.95219999040727e-05	0.0325989692465771	0.0370621079602861	0.0325989692465771
ARL10	9.47406025283488e-05	-0.00804768734826075	0.0381019634625439	-0.00804768734826075
FLYWCH2	0.000106624709572689	0.014099030925748	0.0416902614429214	0.014099030925748
ACP7	0.000120301253253557	-0.0178006753899993	0.0452119296861823	-0.0178006753899993
PRDM2	0.000122055507820043	-0.0054754447337746	0.0452119296861823	-0.0054754447337746
LINC00844	0.000127328770947038	0.0219602228061338	0.0459558917910386	0.0219602228061338
JOSD2	0.000155279019013852	0.0172599049051839	0.0546426867909746	0.0172599049051839
AC009226.1	0.000172490319897219	-0.0179627832145309	0.0592188717773964	-0.0179627832145309
PPDPF	0.00019112479168713	0.0295053647652568	0.0617646465927409	0.0295053647652568
LINC00486	0.000192880949746392	0.0399354349010153	0.0617646465927409	0.0399354349010153
WBP1	0.000193069369855115	0.0166163265541785	0.0617646465927409	0.0166163265541785
MCM5	0.000217039241254135	0.0115441346816429	0.0678898746642934	0.0115441346816429
HIGD2A	0.000240638522513846	0.0281095129990656	0.0690988696812063	0.0281095129990656
NTM-AS1	0.000241180034715446	0.0123534644695535	0.0690988696812063	0.0123534644695535
NDUFA11	0.000242343383157705	0.0235903537339046	0.0690988696812063	0.0235903537339046
GIPR	0.000245925319552658	-0.0266376908776713	0.0690988696812063	-0.0266376908776713
C17orf49	0.000249217740736262	0.0235323788700065	0.0690988696812063	0.0235323788700065
ZFAND4	0.000250358223482631	0.00729812964595885	0.0690988696812063	0.00729812964595885
AC119674.1	0.000266616752942618	-0.0211255309651471	0.0693839235442338	-0.0211255309651471
RAB11B	0.000269113698529712	0.0131590043904693	0.0693839235442338	0.0131590043904693
AL049779.4	0.000277433829260045	-0.0127986741255861	0.0693839235442338	-0.0127986741255861
ERBIN	0.000279448557540512	-0.0115786202843706	0.0693839235442338	-0.0115786202843706
LYSMD1	0.000279694477176209	0.00972918236679436	0.0693839235442338	0.00972918236679436
AURKA	0.000280966442314672	0.0143955877469184	0.0693839235442338	0.0143955877469184
WDFY3	0.00028829364505833	-0.00618769045486413	0.0699658853076044	-0.00618769045486413
NAALAD2	0.000293834350647656	0.0188520350941497	0.0699715674194725	0.0188520350941497
ARHGEF7	0.00029825902565845	-0.00690551460601476	0.0699715674194725	-0.00690551460601476
ZDHHC2	0.000307261190829336	-0.00848347221437074	0.0709017790510449	-0.00848347221437074
AL122014.1	0.000314079614602484	-0.0695793913028089	0.0713062041152349	-0.0695793913028089
AP005671.1	0.00033517087205216	-0.018688136042818	0.0748867491270826	-0.018688136042818
SNHG25	0.000340557343137662	0.027063117485457	0.0749013306563396	0.027063117485457
MAMLD1	0.000349166590648055	-0.0213857711109829	0.0749291224871316	-0.0213857711109829
FKBP8	0.000351330071337786	0.0121458658906131	0.0749291224871316	0.0121458658906131
VASH1	0.000356685312904474	-0.0107105658658341	0.0749358576782592	-0.0107105658658341
TCEAL8	0.000374557498582048	0.0274439133808554	0.077533402206484	0.0274439133808554
NDUFS5	0.00038715281894459	0.0442169327699129	0.0780454960267005	0.0442169327699129
RPL38	0.000388950668232886	0.0344249882480178	0.0780454960267005	0.0344249882480178
AL355076.2	0.000394125899807011	0.0145401952583812	0.0780454960267005	0.0145401952583812
ZNF644	0.000401419203224635	-0.00553911058065419	0.0780454960267005	-0.00553911058065419
ZNF578	0.000406802361524082	0.0126802575191935	0.0780454960267005	0.0126802575191935
FKBP2	0.00041435873627129	0.0420843319775347	0.0780454960267005	0.0420843319775347
AC026979.2	0.00042152060460116	0.0249932920763622	0.0780454960267005	0.0249932920763622
AC002428.2	0.000423563188879969	-0.0370427563404933	0.0780454960267005	-0.0370427563404933
GOLGA4	0.000429895953475672	-0.00850250786665365	0.0780454960267005	-0.00850250786665365
KCNIP3	0.000441100643208042	-0.0447145561992376	0.0780454960267005	-0.0447145561992376
LITAF	0.000446067087328491	0.00735090509989858	0.0780454960267005	0.00735090509989858
LINC00640	0.000446156694672544	-0.0276560189368273	0.0780454960267005	-0.0276560189368273
FANCC	0.000452128014005767	-0.016170991123812	0.0780454960267005	-0.016170991123812
DAZAP2	0.000454655489783279	0.0144999676087783	0.0780454960267005	0.0144999676087783
SMIM30	0.000468326939500877	0.021976121027453	0.0794237349447511	0.021976121027453
ATE1	0.000487366084001394	-0.00745975964400788	0.0794718634263121	-0.00745975964400788
ADAM12	0.000487410804349019	-0.0163766067647471	0.0794718634263121	-0.0163766067647471
GK5	0.000488450692738324	-0.0152131813116223	0.0794718634263121	-0.0152131813116223
ZNF146	0.000491194381790931	-0.00891551542317405	0.0794718634263121	-0.00891551542317405
L3MBTL4	0.00050958993128288	-0.00950896937274087	0.0815112258265661	-0.00950896937274087
SPATA21	0.000526084747540382	-0.0186994850330008	0.0832041450154878	-0.0186994850330008
APOD	0.000538539842409516	0.0274519097215712	0.0842276313528483	0.0274519097215712
AL354892.1	0.000551724941326719	-0.0118130937461405	0.08534154147379	-0.0118130937461405
LINC00926	0.000565631456068002	-0.016832129784507	0.0865416127784043	-0.016832129784507
ZNF544	0.000580031848655342	0.00969513039452293	0.0872418080968447	0.00969513039452293
SYNJ2	0.000582603719885152	-0.00819758283573537	0.0872418080968447	-0.00819758283573537
AL138762.1	0.000592011255789552	0.0230128790295155	0.0872993837299065	0.0230128790295155
PRKCSH	0.000595392216401749	0.00903650301991589	0.0872993837299065	0.00903650301991589
ATP5IF1	0.000613291517333215	0.0289722267233451	0.0881124818248972	0.0289722267233451
NDUFAF3	0.000613457176672345	0.0247374688274557	0.0881124818248972	0.0247374688274557
LPP	0.000636495087255819	-0.00652786452358106	0.0904980287698274	-0.00652786452358106
TATDN1	0.000646727172958024	0.00555892919912911	0.0905225982625543	0.00555892919912911
RICTOR	0.000652410612912699	-0.00404497462866024	0.0905225982625543	-0.00404497462866024
