gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
UTY	5.95631454128358e-40	0.776645130674021	9.77371653079223e-36	0.776645130674021
USP9Y	3.16568187114082e-37	0.67300666216498	2.59728369117749e-33	0.67300666216498
TTTY14	9.54397247639196e-35	0.696306732198329	5.22023481217052e-31	0.696306732198329
NLGN4Y	2.37458880223948e-29	0.582298520332984	9.74115691398693e-26	0.582298520332984
LINC00278	5.56727531378054e-26	0.586563760795073	1.8270684124765e-22	0.586563760795073
KDM5D	1.43398671147573e-20	0.510040015609301	3.92171465810087e-17	0.510040015609301
RPS4Y1	9.99337216262316e-17	0.405435304030548	2.34258919737834e-13	0.405435304030548
TTTY10	2.65720226205748e-15	0.33469792621165	5.45025398976264e-12	0.33469792621165
ZFY	1.43817587507857e-12	0.308995863248708	2.62211421490714e-09	0.308995863248708
DDX3Y	2.51349826746569e-07	0.267245275198745	0.000412439930708444	0.267245275198745
KRCC1	2.2188968578719e-06	0.0431112903503275	0.00330998895825636	0.0431112903503275
RRAD	1.42561073825505e-05	-0.294365424025436	0.0194940388366893	-0.294365424025436
F2R	1.85022016696616e-05	0.135143479357544	0.0233540482459597	0.135143479357544
KBTBD11-OT1	2.01970977686399e-05	-0.176051581391178	0.0236724412346866	-0.176051581391178
DNAL1	2.83598895697669e-05	0.0527927292195532	0.0279489119375837	0.0527927292195532
AC119396.1	2.98671139500899e-05	-0.212713707168038	0.0279489119375837	-0.212713707168038
PHKA1	2.99393213841433e-05	-0.0606599454266002	0.0279489119375837	-0.0606599454266002
AC109347.1	3.06588100966851e-05	-0.173140605416239	0.0279489119375837	-0.173140605416239
GEM	6.65777283103097e-05	-0.128902639250176	0.0574986286233617	-0.128902639250176
AL137781.1	7.66146686566343e-05	-0.202103855198145	0.0608016018628914	-0.202103855198145
LMAN2L	7.78130074423012e-05	0.0476590956221469	0.0608016018628914	0.0476590956221469
PLBD2	9.02803352529933e-05	0.0604363657800899	0.0673368191439258	0.0604363657800899
VAV3-AS1	0.000110810713942311	-0.147377741017405	0.0790562176121469	-0.147377741017405
JADE1	0.00017522391615851	0.0593417371815218	0.119802051676874	0.0593417371815218
TRIM26	0.000191071395357244	0.0646292437825636	0.125411621056681	0.0646292437825636
MRTO4	0.000217839080861127	-0.0764220053161233	0.137481595301932	-0.0764220053161233
AL158071.4	0.000237003698243673	-0.172592728938961	0.144036803128905	-0.172592728938961
LINC02666	0.00025944783005714	0.0808596437663045	0.152045694407414	0.0808596437663045
AC106873.1	0.000271667302478826	-0.220607271682343	0.152658735229062	-0.220607271682343
AC079922.2	0.00027910061898177	-0.122075195893912	0.152658735229062	-0.122075195893912
DNAJC16	0.000319282499718548	0.0363328068372328	0.16900343670586	0.0363328068372328
INAVA	0.00035576491485136	0.132269219301004	0.173652081175623	0.132269219301004
LINC00640	0.000356344725548277	-0.172369368214419	0.173652081175623	-0.172369368214419
AL357079.1	0.000366320200665901	-0.0828118268901792	0.173652081175623	-0.0828118268901792
GGNBP2	0.000380036033255498	0.0321294067917092	0.173652081175623	0.0321294067917092
ADM	0.000383819744843841	-0.304703340988942	0.173652081175623	-0.304703340988942
AC069224.1	0.000394760405208224	-0.130036859990955	0.173652081175623	-0.130036859990955
GSTO2	0.000402143889613851	0.0807459032433508	0.173652081175623	0.0807459032433508
ACSF2	0.00043546792368796	0.0519984140147312	0.18322033743066	0.0519984140147312
AL137779.2	0.000490807309696236	-0.141605560271357	0.197332131268606	-0.141605560271357
AC007666.1	0.000493059746603257	-0.114104928701376	0.197332131268606	-0.114104928701376
SFTPD-AS1	0.000531212649418575	-0.120887564477536	0.204370777240547	-0.120887564477536
GATC	0.000535556305767781	0.0480906517448236	0.204370777240547	0.0480906517448236
MGRN1	0.000568201514939007	-0.0384138427172026	0.210403110374073	-0.0384138427172026
MAX	0.000582184925961119	-0.0432140037387428	0.210403110374073	-0.0432140037387428
SEMA6A-AS1	0.000607984638097579	-0.0654178672885905	0.210403110374073	-0.0654178672885905
TMA7	0.000610928523930943	0.144419923030882	0.210403110374073	0.144419923030882
AURKC	0.000615476220242277	-0.158890795245806	0.210403110374073	-0.158890795245806
HSF4	0.000633471702087186	-0.0671649587431653	0.211381704052957	-0.0671649587431653
MZT1	0.000651429026428897	0.101014847822861	0.211381704052957	0.101014847822861
IGFBP5	0.000656985002541339	-0.178522721196936	0.211381704052957	-0.178522721196936
LINC00901	0.000693957371143203	-0.174972171287163	0.212275294402118	-0.174972171287163
ZNF492	0.000696816874914223	-0.148303782965278	0.212275294402118	-0.148303782965278
KLHL9	0.000698571875051154	0.0557487388244267	0.212275294402118	0.0557487388244267
AP000350.5	0.000720232095758352	-0.143267256466166	0.214877971987251	-0.143267256466166
XKR9	0.000756361410320218	0.105167327925037	0.22162739967758	0.105167327925037
PCMTD2	0.000827289560033455	0.0580439957345723	0.236901826230935	0.0580439957345723
NHP2	0.000837364002766423	0.211552319900359	0.236901826230935	0.211552319900359
SLC44A2	0.000934795160282696	0.0533872555568727	0.248967506899267	0.0533872555568727
FANCC	0.000935304926694339	-0.0668756829594507	0.248967506899267	-0.0668756829594507
LINC02715	0.000947191445403754	0.157556972680852	0.248967506899267	0.157556972680852
MEP1B	0.000949038477919417	-0.172852935110865	0.248967506899267	-0.172852935110865
AL035071.1	0.000955875003635434	-0.100856991620722	0.248967506899267	-0.100856991620722
MBP	0.000980881520456723	0.185989568427069	0.249105555870769	0.185989568427069
MRPS16	0.000988612481876349	-0.0567781985574219	0.249105555870769	-0.0567781985574219
AL606489.1	0.00101178126382857	-0.125084271270467	0.249105555870769	-0.125084271270467
SUSD1	0.00103410822081198	0.113200923596163	0.249105555870769	0.113200923596163
LRRIQ4	0.00104355317633494	0.132278256870083	0.249105555870769	0.132278256870083
PGAP2	0.00105475141905535	0.0608701272975759	0.249105555870769	0.0608701272975759
WDR53	0.00106267224760521	0.061212714729591	0.249105555870769	0.061212714729591
ALOX12-AS1	0.00108553426978641	-0.0327726312825931	0.2508807300412	-0.0327726312825931
AP002026.1	0.00116306230949451	0.0992035405017634	0.259634635378655	0.0992035405017634
AL121894.3	0.00116791352082464	0.134564653880168	0.259634635378655	0.134564653880168
C2orf72	0.00117087957937842	-0.0690277569614001	0.259634635378655	-0.0690277569614001
FAM210B	0.00123246488764756	0.0656316475489361	0.26896776496502	0.0656316475489361
COPS9	0.00125194158922457	0.11790302545842	0.26896776496502	0.11790302545842
MTHFD1L	0.00127661861477588	-0.0509888998306514	0.26896776496502	-0.0509888998306514
AC002428.2	0.00130676000349729	-0.20286687423432	0.26896776496502	-0.20286687423432
RPS6KA3	0.00130931471828022	-0.0495603811075119	0.26896776496502	-0.0495603811075119
AC021097.1	0.00131131825200814	-0.0824083588373576	0.26896776496502	-0.0824083588373576
AL390783.1	0.0013485794388901	-0.13955995202352	0.273195555712934	-0.13955995202352
AL135878.1	0.00142050746459684	0.0937539723126102	0.284257402275238	0.0937539723126102
ANKUB1	0.00143944257735762	-0.105417719663637	0.284576063275436	-0.105417719663637
ARL10	0.00145897626305433	-0.0407396942488494	0.285004065481649	-0.0407396942488494
PLCG2	0.00148181618645379	0.15482478446294	0.286060256512004	0.15482478446294
GABPB1-AS1	0.00153518469804538	-0.0602175086509065	0.292916810584032	-0.0602175086509065
AL158011.1	0.00158115408942366	-0.161466112539551	0.29822020061325	-0.161466112539551
AL109615.3	0.00160733443532356	-0.132593351852277	0.299496692351855	-0.132593351852277
AL512634.1	0.00162442596253977	-0.224558629874829	0.299496692351855	-0.224558629874829
CLU	0.0016598043347992	0.0990973526419098	0.29967794135804	0.0990973526419098
MT1F	0.00166659302495361	0.192030741599432	0.29967794135804	0.192030741599432
KMT5B	0.00168019809890546	0.0276292983369853	0.29967794135804	0.0276292983369853
AC092747.4	0.00172899825951954	-0.0987741892142992	0.302477672525789	-0.0987741892142992
GRIK1-AS1	0.00173276258257202	-0.0994077153891745	0.302477672525789	-0.0994077153891745
IER2	0.00187475301206084	-0.0824729937210425	0.32279305263927	-0.0824729937210425
NPAS2	0.00188848394499177	-0.0642106159823069	0.32279305263927	-0.0642106159823069
AL353150.1	0.00196919738491989	-0.163605511253554	0.33146503290697	-0.163605511253554
PHF7	0.00202005364076895	-0.0711986971206453	0.33146503290697	-0.0711986971206453
KCNE2	0.00205259585649026	-0.125621066725513	0.33146503290697	-0.125621066725513
RHOT2	0.0020543754985156	-0.0501348282715779	0.33146503290697	-0.0501348282715779
ANKDD1A	0.00206426923702621	-0.0711049833920936	0.33146503290697	-0.0711049833920936
RIMS1	0.00209069284581403	-0.129430738191571	0.33146503290697	-0.129430738191571
PNISR	0.00215140761701776	-0.0455178123053227	0.33146503290697	-0.0455178123053227
NCAPH2	0.00216803602978025	0.0673421864887852	0.33146503290697	0.0673421864887852
BACH1	0.00217497109338617	-0.0518540462740737	0.33146503290697	-0.0518540462740737
MCTS1	0.00220443758328357	-0.0447397352744115	0.33146503290697	-0.0447397352744115
MGLL	0.00223925162939657	-0.0414761773454991	0.33146503290697	-0.0414761773454991
AC087521.2	0.00224003365735353	-0.130839339438616	0.33146503290697	-0.130839339438616
AP001453.1	0.00224892295411963	-0.067676690228359	0.33146503290697	-0.067676690228359
AC009228.1	0.00225555977568066	-0.0947919883895819	0.33146503290697	-0.0947919883895819
RAD21L1	0.00225613772512525	-0.188679486828962	0.33146503290697	-0.188679486828962
INKA2	0.00227667629830926	-0.164102349364227	0.33146503290697	-0.164102349364227
SLC25A29	0.00230046641064593	-0.0616393898638098	0.33146503290697	-0.0616393898638098
MAP4K5	0.00230282246032022	-0.0323028226057285	0.33146503290697	-0.0323028226057285
AC073195.1	0.00233138014069939	-0.108911601773964	0.33265753677162	-0.108911601773964
TATDN1	0.00239816437694838	0.0326580351385854	0.338866708069968	0.0326580351385854
RNF24	0.00243041682381598	-0.0610651538549986	0.338866708069968	-0.0610651538549986
SLCO4A1	0.00243870187517728	-0.158894058294224	0.338866708069968	-0.158894058294224
PADI2	0.00246870123471315	-0.0714105918169417	0.338866708069968	-0.0714105918169417
