gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
SLC43A1	5.54958613797916e-06	0.8674193039528	0.07137322732055	0.8674193039528
GCNT1	2.38740747974243e-05	0.282469649106596	0.143507368919154	0.282469649106596
TEC	3.81302568587886e-05	0.206879010672715	0.143507368919154	0.206879010672715
AC007952.4	4.46333469929721e-05	0.551281468661111	0.143507368919154	0.551281468661111
ARHGAP8	6.42648404409295e-05	-0.468277022985186	0.165302022582159	-0.468277022985186
PACSIN2	0.000110901497508946	-0.14638866502707	0.224786556760322	-0.14638866502707
WBP1	0.00015645606611185	0.51674063271289	0.224786556760322	0.51674063271289
AC083837.1	0.000164201100462886	-0.388106194118386	0.224786556760322	-0.388106194118386
JMJD1C	0.000167716558971409	0.0822509383400327	0.224786556760322	0.0822509383400327
LPXN	0.000174781554125124	0.308348962223291	0.224786556760322	0.308348962223291
UBE2E2	0.000203335247549883	-0.0910642791858228	0.237735874430822	-0.0910642791858228
MAF	0.000247498930352225	0.14942894669487	0.246242035928643	0.14942894669487
PTGDS	0.000248903387533812	0.409578374060754	0.246242035928643	0.409578374060754
PEX2	0.000360293367292467	0.369792542639504	0.330980928339172	0.369792542639504
LPAR6	0.000396691915445384	0.136152097749688	0.332942192386351	0.136152097749688
SUV39H2	0.000431376286414988	0.720110265742978	0.332942192386351	0.720110265742978
TNIP2	0.000484889879090871	-0.49939417778518	0.332942192386351	-0.49939417778518
PLPP7	0.000537514104202483	0.670851148092465	0.332942192386351	0.670851148092465
LAMP2	0.000570932051683707	0.197101873164731	0.332942192386351	0.197101873164731
TERF1	0.000616295153125906	0.282477357314035	0.332942192386351	0.282477357314035
CHST11	0.000619202225252881	-0.108974664317598	0.332942192386351	-0.108974664317598
SREBF1	0.000650269321408044	-0.226068527257899	0.332942192386351	-0.226068527257899
TRIM50	0.000694488131450383	0.667241531280276	0.332942192386351	0.667241531280276
ZNF254	0.000700931696348633	0.198939971845414	0.332942192386351	0.198939971845414
C14orf178	0.000704307163570857	0.870603131025383	0.332942192386351	0.870603131025383
AKIRIN2	0.00071222190759337	0.236637698940553	0.332942192386351	0.236637698940553
TXN	0.000712828510096054	0.522109728376123	0.332942192386351	0.522109728376123
RNASE1	0.000724856650868348	0.234492764278782	0.332942192386351	0.234492764278782
ADCK5	0.000766710961250491	0.363469244798123	0.336606858337317	0.363469244798123
KAZN	0.000785180448652477	0.473980618434918	0.336606858337317	0.473980618434918
GNPDA1	0.000823494221293771	0.273440118942444	0.341643844518038	0.273440118942444
MINK1	0.000891817427702861	-0.252376652569455	0.358426998052703	-0.252376652569455
DMTF1	0.000962030000184592	0.162933769355493	0.366180382105361	0.162933769355493
MARCH3	0.00100320235255731	-0.360822686272571	0.366180382105361	-0.360822686272571
TICAM2	0.0010557088415992	0.278143523738242	0.366180382105361	0.278143523738242
MFSD6	0.00116123934814024	-0.874957684811334	0.366180382105361	-0.874957684811334
CKB	0.00117520095739253	0.537502217499178	0.366180382105361	0.537502217499178
