gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
USP9Y	1.26959582288981e-43	0.696234139306662	2.67148353052475e-39	0.696234139306662
NLGN4Y	1.3690332203011e-39	0.700797140571142	1.44035985107878e-35	0.700797140571142
UTY	4.35249295720218e-37	0.615175857162216	3.05283856018161e-33	0.615175857162216
KDM5D	5.62830321025526e-34	0.748184732164454	2.96076890375478e-30	0.748184732164454
DDX3Y	5.2543958238526e-31	0.599293510387149	2.21125993851013e-27	0.599293510387149
TTTY14	2.93176683965428e-28	0.549327559796414	1.02817063066676e-24	0.549327559796414
PRKY	6.22142687369778e-25	0.470521015453663	1.87016091823355e-21	0.470521015453663
ZFY	3.8077407677969e-24	0.470287567442048	9.0761047329023e-21	0.470287567442048
RPS4Y1	3.88199518088208e-24	0.462711184095424	9.0761047329023e-21	0.462711184095424
TTTY10	3.30874429127369e-17	0.317200111438376	6.9622597376981e-14	0.317200111438376
AC244502.1	2.58308875048699e-11	-0.411252561120221	4.94121395343156e-08	-0.411252561120221
LINC01515	5.1747211896921e-10	-0.942595768356719	9.0738736061251e-07	-0.942595768356719
AC004949.1	6.47849318587715e-09	0.317686921571186	1.04861887397867e-05	0.317686921571186
PCDH11Y	7.95258646566951e-09	0.146483629528045	1.19527374579013e-05	0.146483629528045
EIF1AY	3.68257386186659e-06	0.196060099698805	0.00516591461342645	0.196060099698805
AC024236.1	1.32834601835626e-05	0.320815124105729	0.0174694105739078	0.320815124105729
AC069277.1	1.94298768196248e-05	-0.259204434909122	0.0240496157669733	-0.259204434909122
AC027808.2	2.53695140092419e-05	-0.152661653966096	0.0296569618768038	-0.152661653966096
LINC01850	3.0494634464673e-05	-0.25870768478275	0.0337720051792447	-0.25870768478275
AC244213.1	3.85535375425391e-05	0.337679763025876	0.0405621768485054	0.337679763025876
PTX3	4.4710968958526e-05	-0.143535340029426	0.0448003908964431	-0.143535340029426
KCNJ13	5.30027967019185e-05	-0.256500124121937	0.0506947658273531	-0.256500124121937
KLHL6	5.79294773572646e-05	0.171387772388519	0.0529979157631114	0.171387772388519
SDR9C7	0.000148719014896619	0.121273851697327	0.130389396310611	0.121273851697327
SHISA6	0.000161807840831578	-0.0992847270656893	0.136190423471123	-0.0992847270656893
OR2L13	0.000214813906888426	0.10682366614671	0.173850547259471	0.10682366614671
