logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.2910637117292	0.843111226591091	6.33308428073125	-0.0054958040196618	-0.426352733943565	-0.118399610696702	7.26272150841223e-06	-7.98331987564991e-05	0.0757457991709106	0.064555291792461	0.168919337232839	0.00791303962014181	0.212837636204754	0.153148899720527	1.31568447539464e-06	1.13076146797565e-05	0	5.55114417255724e-39	1.25450136340083e-307	0.487353014207621	0.0451576500148176	0.439462442514071	3.38789744374138e-08	1.66350174421536e-12	36501	NLGN4Y	1.1971597522537e-34	0.843111226591091	0.79501879722339	0.143257321930433	1	NBGMM (LN)
-11.4700521922924	0.706056518187256	5.98298070743622	-0.0032622005878438	-0.364735102256462	0.0432905643013098	1.59945181846362e-06	-3.58388396763706e-05	0.0694565491511183	0.0561782015638864	0.151921095666248	0.00732514365509834	0.186395315248984	0.134362181285016	1.06152042800348e-06	1.01106460147245e-05	0	3.16000344998433e-36	0	0.656071982670684	0.0503730382874213	0.747306430644549	0.131873321622266	0.000393114343916179	36493	USP9Y	3.4074317201181e-32	0.706056518187256	0.633465264843877	0.0413266904532785	1	NBGMM (LN)
-11.4389828442152	0.725054070877314	6.36732581677979	-0.00350898155159377	-0.444648814930275	-0.0455900873570989	3.96847628984244e-06	-3.67894187992901e-05	0.0723302430504059	0.0592237704721997	0.158533257772662	0.00718612140322496	0.190988795034685	0.136150622136789	1.30735455199807e-06	1.15182381606778e-05	0	1.8399744762882e-34	0	0.625337512234218	0.0199046259855846	0.737737955448406	0.00240136281039318	0.00140309107725699	36514	TTTY14	1.32269631852104e-30	0.725054070877314	0.645603759617355	0.132476588614143	1	NBGMM (LN)
-11.7594173263409	0.68672510260334	5.76837524099735	-0.00911694186487023	-0.308702736533507	-0.0127713735466823	3.76158490951483e-06	-4.15655142619876e-05	0.0709579489080881	0.0568922465784462	0.155715259906163	0.00727314172733244	0.185801173910341	0.130574808452333	1.28055559684696e-06	1.22673644085695e-05	0	1.50979065091585e-33	2.21190067378807e-300	0.210020863253053	0.0966194563415636	0.922084069503131	0.00330909469049279	0.000703272251570596	36496	UTY	8.14003629441282e-30	0.68672510260334	0.598162435356965	0.0602116579070125	1	NBGMM (LN)
-12.4435247899206	0.394702586210294	4.9921780186087	-0.00167889689690536	-0.0474568976823504	-0.0261129245710116	-7.1984176807712e-06	3.18325253847721e-05	0.0683929873733144	0.0484366225891014	0.136445754319335	0.00595674339993981	0.140893659438942	0.0967140449079578	2.02423202321014e-06	1.96314161812333e-05	0	3.6741298230902e-16	4.55822785751726e-293	0.778059975653288	0.736246734609817	0.787159200045076	0.000376368186140946	0.10490844099744	36495	DDX3Y	1.58472567529526e-12	0.394702586210294	0.31702084412797	0.0385144525609629	1	NBGMM (LN)
-12.5494826819228	0.414885596219215	5.09632638681338	-0.00535847034550512	-0.238738168387549	0.0430171111044926	-3.6257243896059e-06	2.22439556278506e-05	0.0725122283408268	0.0511231352331939	0.146774446700247	0.00619133361688554	0.151040992922564	0.102189280985775	2.01371046300626e-06	1.98140654584805e-05	0	4.84116739070486e-16	3.64784347355866e-264	0.386775838126213	0.113965322443031	0.673787782446259	0.0717786917265613	0.261592710409533	36517	KDM5D	1.74007693246568e-12	0.414885596219215	0.352754785603681	0.0481885188093191	1	NBGMM (LN)
-12.242800596883	0.235950336258589	4.48017926065092	-0.00105609802268307	-0.183501270283289	0.0191261475239234	-5.00511535557944e-06	6.17745129415401e-07	0.0588330217599921	0.0414947437050647	0.114039809299522	0.0058660326404337	0.125421270431826	0.0821655944770597	2.55281128355459e-06	2.34268447438563e-05	0	1.29843689962378e-08	0	0.857124176176004	0.143445668781981	0.81593564227194	0.0499223387738035	0.978962929387829	36519	TTTY10	4.0002985967552e-05	0.235950336258589	0.225886337204378	0.330146751949635	1	NBGMM (LN)
-12.5379815685038	0.259220573708854	4.7583573599253	-0.0029968478282814	-0.0825716830697742	0.0744950364852926	-1.18178383671548e-05	6.91730425957134e-05	0.0686089410109693	0.0479206424126117	0.134800904346981	0.00603704161108344	0.140726156508409	0.0940380229890561	2.620650098784e-06	2.38050211885906e-05	0	6.3246191054815e-08	6.05133751551865e-273	0.619605170897537	0.557368706651193	0.428255756833008	6.49786374654885e-06	0.00366295245829555	36451	RPS4Y1	0.000170495919536017	0.259220573708854	0.28499756573828	0.196800743853057	1	NBGMM (LN)
-12.9518723257201	0.2329925643747	4.39734726568165	-0.00668163793757598	0.0498439335948754	0.0287091749122244	-6.09110298381469e-06	5.9568556301415e-05	0.0736153471408087	0.0441089621438505	0.141469203936128	0.00653343593207316	0.128099265172721	0.0840111025266694	3.21798346395381e-06	3.03415158615991e-05	0	1.27638511326386e-07	4.03462701448182e-212	0.30645745652732	0.697199231259663	0.732553547982263	0.058380177042298	0.0496149301340853	36453	ZFY	0.000305850237251649	0.2329925643747	0.191802447525655	0.432920919451931	1	NBGMM (LN)
-14.185957003613	0.407770493014094	-0.144303918554272	0.000363734617329286	-0.473674133315964	-0.377745501490294	-2.68675141321189e-05	0.000125657114055748	0.0976582344306163	0.0826689078924378	0.180652980855867	0.0157929573348199	0.279827912190301	0.204208506867154	1.16090163518434e-05	0.000101366327754695	0	8.11530825989633e-07	0.424411791975781	0.981625190665709	0.0905061701898523	0.0643419533660552	0.0206476476789641	0.215110916814224	5027	AC073225.1	0.00175014737932924	0.407770493014094	0.77006679462641	10.972497762185	-10	NBGMM (HL)
