gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	5.55114417255724e-39	0.843111226591091	1.1971597522537e-34	0.843111226591091
USP9Y	3.16000344998433e-36	0.706056518187256	3.4074317201181e-32	0.706056518187256
TTTY14	1.8399744762882e-34	0.725054070877314	1.32269631852104e-30	0.725054070877314
UTY	1.50979065091585e-33	0.68672510260334	8.14003629441282e-30	0.68672510260334
DDX3Y	3.6741298230902e-16	0.394702586210294	1.58472567529526e-12	0.394702586210294
KDM5D	4.84116739070486e-16	0.414885596219215	1.74007693246568e-12	0.414885596219215
TTTY10	1.29843689962378e-08	0.235950336258589	4.0002985967552e-05	0.235950336258589
RPS4Y1	6.3246191054815e-08	0.259220573708854	0.000170495919536017	0.259220573708854
ZFY	1.27638511326386e-07	0.2329925643747	0.000305850237251649	0.2329925643747
AC073225.1	8.11530825989633e-07	0.407770493014094	0.00175014737932924	0.407770493014094
LINC01515	3.46921531717485e-06	-0.694396178765116	0.00680155432092662	-0.694396178765116
LINC00326	1.07016102795664e-05	0.332487361590951	0.0192325772740942	0.332487361590951
DDX60	2.33845848176643e-05	-0.45780804413274	0.0387932273982883	-0.45780804413274
AC244502.1	5.66343609721657e-05	-0.375332477947762	0.0872411877661233	-0.375332477947762
RABGAP1L-IT1	0.000169571357792527	0.14567231385588	0.196938357342619	0.14567231385588
AC084882.1	0.000170622944265265	0.174854666768498	0.196938357342619	0.174854666768498
PIP5KL1	0.000172647609234934	0.130652042867406	0.196938357342619	0.130652042867406
AL390783.1	0.00017470594407561	-0.271578595117628	0.196938357342619	-0.271578595117628
ZNF330	0.000176583845441971	-0.0706330133500571	0.196938357342619	-0.0706330133500571
LINC02193	0.000182637816324417	0.149436508281461	0.196938357342619	0.149436508281461
MIR210HG	0.000198133920009042	-0.368539396168818	0.198693884488318	-0.368539396168818
ORMDL1	0.000202692453804275	-0.0597492096513484	0.198693884488318	-0.0597492096513484
POLN	0.000230852338016433	0.0613880181589928	0.216459196594017	0.0613880181589928
AC023385.1	0.000243410822105656	-0.244654689222033	0.218228907629243	-0.244654689222033
CERS5	0.000252977960249053	0.0444829964862844	0.218228907629243	0.0444829964862844
AL031073.2	0.000290222958848286	0.174010558983107	0.240728781943159	0.174010558983107
SCML4	0.000319422066003894	0.195789728276741	0.255135417608888	0.195789728276741
AC108463.3	0.000333397834785339	0.149405116885227	0.255834933616694	0.149405116885227
LENG8-AS1	0.000344023605438381	-0.0812938476979993	0.255834933616694	-0.0812938476979993
AL050403.2	0.000373390017545348	-0.216931316579374	0.268417637279432	-0.216931316579374
GRHL3	0.00039659396207724	0.275574408435248	0.274136831854695	0.275574408435248
HHLA2	0.000417124408996086	0.296105461143808	0.274136831854695	0.296105461143808
EZH1	0.000427136477316576	0.0278941136323934	0.274136831854695	0.0278941136323934
AL356776.2	0.000432191981965113	-0.114473097883975	0.274136831854695	-0.114473097883975
AP001599.1	0.000508717282783069	0.178261234214044	0.305758786629508	0.178261234214044
DOCK11	0.000510401387306978	0.0524867220234869	0.305758786629508	0.0524867220234869
ZDHHC9	0.000528441430621944	0.0501221357017833	0.308009943048456	0.0501221357017833
LINC01763	0.00054908469450896	-0.221630770635143	0.311620013731059	-0.221630770635143
LINC01355	0.000598603290903095	-0.0625916117338925	0.32497627199847	-0.0625916117338925
CYSLTR1	0.000608494158848731	0.151203637808895	0.32497627199847	0.151203637808895
EBI3	0.000617825612164391	0.342860076258605	0.32497627199847	0.342860076258605
AC068481.1	0.000665715435579287	-0.214756394397016	0.338814345317813	-0.214756394397016
CHADL	0.00067805717295792	0.121989249693758	0.338814345317813	0.121989249693758
GNG8	0.000691265473151432	-0.486355442055357	0.338814345317813	-0.486355442055357
PXMP2	0.000756529431115326	0.0866694846572545	0.362562526920736	0.0866694846572545
OR2L13	0.00083108671660954	0.133375891115242	0.387476556444276	0.133375891115242
AL591686.2	0.000844449510937631	-0.110959774981884	0.387476556444276	-0.110959774981884
AC115837.2	0.000865757710262883	-0.396112564660096	0.388977724573528	-0.396112564660096
AC008088.1	0.000919802739785076	0.229229876955144	0.404825834412346	0.229229876955144
CNKSR1	0.00100070203724588	0.0949750242644199	0.412488249359606	0.0949750242644199
SCNN1D	0.00101660564489722	0.0841600054839092	0.412488249359606	0.0841600054839092
FBXW12	0.00104389673356515	-0.108411150665843	0.412488249359606	-0.108411150665843
OR2T6	0.00105449698842068	0.204318059999118	0.412488249359606	0.204318059999118
VIPR1-AS1	0.00105952184779102	-0.17494147974224	0.412488249359606	-0.17494147974224
SMOC2	0.00106671231555808	0.309348179351493	0.412488249359606	0.309348179351493
KLRC1	0.00107109997051553	-0.346018063175774	0.412488249359606	-0.346018063175774
CALML6	0.00112299527900271	0.26452519037385	0.419004038557759	0.26452519037385
LINC00470	0.00112687722509274	-0.435879362371271	0.419004038557759	-0.435879362371271
AC079062.1	0.00119018571474761	0.274892070706696	0.4350431376991	0.274892070706696
RBL1	0.00121722727179025	0.0534267515852485	0.437512055723809	0.0534267515852485
TMEM212-AS1	0.00129100651079962	-0.378990943872486	0.45497369249884	-0.378990943872486
RASGRF2-AS1	0.00131326929137604	-0.182987037478997	0.45497369249884	-0.182987037478997
BZW1	0.00133774764217357	0.0396039485540995	0.45497369249884	0.0396039485540995
LIMD1-AS1	0.00135431956795337	0.204376456521898	0.45497369249884	0.204376456521898
ANOS1	0.00137451760501534	0.177487419650688	0.45497369249884	0.177487419650688
AC004908.3	0.00140503604734454	-0.175919679741095	0.45497369249884	-0.175919679741095
SMIM10L2B-AS1	0.00142908562365965	0.268754401071062	0.45497369249884	0.268754401071062
AF038458.3	0.00143458272697399	0.109712187761255	0.45497369249884	0.109712187761255
AL391840.3	0.00148887015045706	-0.0836249341410289	0.465347444416769	-0.0836249341410289
LINC02253	0.00159864533720629	-0.185402790833947	0.492519790602727	-0.185402790833947
ISM2	0.00172005017819623	0.250706949565265	0.522459185112393	0.250706949565265
AC068413.1	0.00182545309059597	0.287132480958324	0.543336510183829	0.287132480958324
PI4K2B	0.00184109568252748	-0.0822956375968894	0.543336510183829	-0.0822956375968894
MSX1	0.00186436528580188	0.127711910350593	0.543336510183829	0.127711910350593
TAF12	0.00192855453997562	0.0587791989265268	0.554549429454855	0.0587791989265268
INAVA	0.00200530599830412	-0.355893388440744	0.569031962624036	-0.355893388440744
LINC02009	0.00206416010712373	0.316969104608031	0.578125673639355	0.316969104608031
AC012213.1	0.00210099211725959	0.0717179970642134	0.5808973846259	0.0717179970642134
AL162394.1	0.00213906900722631	-0.236322936982911	0.583938762149907	-0.236322936982911
LINC00921	0.00218059025344369	-0.170003620641103	0.586892997750448	-0.170003620641103
LINC00535	0.00220431850216945	-0.0477843642688903	0.586892997750448	-0.0477843642688903
AF129075.1	0.0022329315080881	-0.289736294172082	0.58726098662717	-0.289736294172082
AC010941.1	0.00230609447898305	-0.209493614030151	0.589337128577073	-0.209493614030151
GAL3ST1	0.00233197098542581	0.128301574821209	0.589337128577073	0.128301574821209
LINC02330	0.0023615373295508	-0.214462489402939	0.589337128577073	-0.214462489402939
AC009961.1	0.00238896825192255	0.0576660188859129	0.589337128577073	0.0576660188859129
MTHFD2L	0.0024292777409348	-0.0486977696464048	0.589337128577073	-0.0486977696464048
LMAN2L	0.00246745230840229	0.0432715355988194	0.589337128577073	0.0432715355988194
TMEM123	0.00250280566980103	0.179684052725688	0.589337128577073	0.179684052725688
MKRN2OS	0.00251929441877494	-0.0887343036528468	0.589337128577073	-0.0887343036528468
RELN	0.00252931618463596	0.242051550836964	0.589337128577073	0.242051550836964
FAM114A2	0.00253113342932742	-0.0626753296784326	0.589337128577073	-0.0626753296784326
UCK1	0.00254142413788685	0.0724264086659477	0.589337128577073	0.0724264086659477
AC103739.2	0.0025898785390387	-0.23752806757856	0.594184261413921	-0.23752806757856
AL512306.3	0.00263580518896471	-0.157079877573993	0.596686385597053	-0.157079877573993
NUDT8	0.00265612042183609	-0.23046517680935	0.596686385597053	-0.23046517680935
AC015712.1	0.002716456538714	-0.156499600295548	0.597231023310288	-0.156499600295548
UBR3	0.0027460934873468	-0.0244633624953792	0.597231023310288	-0.0244633624953792
ACYP2	0.00275458078147071	-0.028856853449689	0.597231023310288	-0.028856853449689
ZDHHC13	0.00281406906911425	0.043773801069489	0.597231023310288	0.043773801069489
ZNF217	0.0028200957942238	0.187526680648316	0.597231023310288	0.187526680648316
SORD	0.00282470390325741	0.0681105544840739	0.597231023310288	0.0681105544840739
SMPD4	0.00288326273492666	0.0396676018193111	0.603693632441051	0.0396676018193111
AC092574.2	0.00291603798568853	-0.107190947374947	0.604685338455374	-0.107190947374947
AC139100.2	0.00299991314835007	-0.137105792327414	0.61282855691832	-0.137105792327414
AP000721.2	0.00301214073232597	0.108524222474288	0.61282855691832	0.108524222474288
SFRP4	0.00305427202611801	-0.195911920103929	0.613478339281089	-0.195911920103929
NCMAP	0.00307222761023637	0.253547793126419	0.613478339281089	0.253547793126419
GALR3	0.00314232542201293	-0.338663786517916	0.618373992589244	-0.338663786517916
AC131571.1	0.00321502837652909	-0.121918087197973	0.618373992589244	-0.121918087197973
LINC00486	0.00323165356073876	0.182070150809996	0.618373992589244	0.182070150809996
AC026347.1	0.0032629959669651	-0.174317744630579	0.618373992589244	-0.174317744630579
MYH14	0.0032648287648779	0.050740892482221	0.618373992589244	0.050740892482221
SULT1A3	0.00328038296640012	0.106167232940473	0.618373992589244	0.106167232940473
XIAP	0.00329745938735802	0.0356821322898226	0.618373992589244	0.0356821322898226
CEBPB-AS1	0.00348412994064247	0.0841824863769284	0.637531025154132	0.0841824863769284
ANKRD36	0.00350599111188342	0.0282442045591446	0.637531025154132	0.0282442045591446
SV2C	0.00351346696721372	-0.267757241130686	0.637531025154132	-0.267757241130686
ROBO3	0.00355213686484484	0.154459570461851	0.637531025154132	0.154459570461851
SPHKAP	0.00356753033361531	0.20211255402047	0.637531025154132	0.20211255402047
SPRED3	0.00357698479289854	0.125487288548193	0.637531025154132	0.125487288548193
FAM218A	0.0036542339669257	-0.119447310050704	0.645960735497702	-0.119447310050704
AC107918.6	0.00376032196144422	-0.312919848191266	0.659309783906554	-0.312919848191266
LINC02610	0.0038284135907408	0.14480984342772	0.662898917325543	0.14480984342772
ABRAXAS1	0.00384226860176634	-0.0999006520066769	0.662898917325543	-0.0999006520066769
AP001610.2	0.00395167794020938	-0.281499273098434	0.676364178242504	-0.281499273098434
TMEM244	0.00398357300506209	-0.0506586319423506	0.676454609662748	-0.0506586319423506
ASAP1-IT2	0.00407890345901827	0.0684664304021114	0.687231499978032	0.0684664304021114
BORCS5	0.00412252547615569	-0.0373193401072988	0.689196778440106	-0.0373193401072988
ADM5	0.00417311131803922	-0.250274083405149	0.692287066806414	-0.250274083405149
AC008751.3	0.00423920061561598	-0.113876177080612	0.697882446384537	-0.113876177080612
HIST1H4H	0.00434390192294942	-0.184417391115521	0.70673798734981	-0.184417391115521
SCN5A	0.00435853437436357	0.23754965538496	0.70673798734981	0.23754965538496
PEX14	0.00444666167883345	-0.0317775396327643	0.713718592365628	-0.0317775396327643
EIF2B3	0.00446777380920708	0.0318543578203047	0.713718592365628	0.0318543578203047
AC137579.1	0.00459606477784197	-0.311977467516612	0.728814213227499	-0.311977467516612
EPN3	0.00469687464039264	-0.195970229663458	0.730337654536162	-0.195970229663458
AC134772.1	0.00472554841865495	-0.18674789751417	0.730337654536162	-0.18674789751417
RIOX1	0.00474830815417331	0.12355193903273	0.730337654536162	0.12355193903273
KRI1	0.00476134826934625	0.0640884149416153	0.730337654536162	0.0640884149416153
JPX	0.00482014023414344	-0.0259980307178336	0.730337654536162	-0.0259980307178336
XRRA1	0.0049612915045117	-0.0568150372090049	0.730337654536162	-0.0568150372090049
CADM2-AS2	0.00498034057319557	-0.149126851643387	0.730337654536162	-0.149126851643387
AC005014.4	0.00503714483581724	-0.135778471009656	0.730337654536162	-0.135778471009656
FZD5	0.00503739874617504	-0.130244400053352	0.730337654536162	-0.130244400053352
GINS2	0.00504848115665825	0.175868801569277	0.730337654536162	0.175868801569277
AC016745.2	0.00506454560904545	0.0558117189024167	0.730337654536162	0.0558117189024167
AC012640.2	0.00507209912108878	-0.25684726745351	0.730337654536162	-0.25684726745351
FCSK	0.00507959565105928	0.0484757718895451	0.730337654536162	0.0484757718895451
LINC01396	0.00507978522583809	0.111276378462338	0.730337654536162	0.111276378462338
AC112770.1	0.00512137210995234	0.112439128794069	0.73144046969028	0.112439128794069
MKNK1-AS1	0.00521379861274509	0.14014073889481	0.739741979489872	0.14014073889481
SRGAP2	0.00526531632670055	0.0333141820034125	0.741048364492125	0.0333141820034125
B3GNT5	0.00529172995139513	-0.11941289389043	0.741048364492125	-0.11941289389043
GGT1	0.00546220390193971	0.0864561522359807	0.759986382898269	0.0864561522359807
MINPP1	0.005519691134424	-0.0464827201772436	0.761051078153431	-0.0464827201772436
