gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	3.15897187350067e-38	0.795389912015292	6.37543703509904e-34	0.795389912015292
USP9Y	6.93506282654487e-35	0.693871344254135	6.99817189826643e-31	0.693871344254135
TTTY14	1.38581426729564e-34	0.707137590942057	9.32283451418687e-31	0.707137590942057
UTY	2.65672877289403e-29	0.618879783529346	1.34045250236369e-25	0.618879783529346
PCDH11Y	3.78457097868945e-13	0.190526005753883	1.52760422983821e-09	0.190526005753883
PRKY	2.68234055709919e-12	0.375980228524722	9.02249952056263e-09	0.375980228524722
TTTY10	1.16749293809361e-05	0.171657401950988	0.0336604892522933	0.171657401950988
AC079062.1	6.86739245114742e-05	0.394322726000309	0.163740003133278	0.394322726000309
PI4K2B	7.30185327618421e-05	-0.0940266720028992	0.163740003133278	-0.0940266720028992
LINC02006	0.000113461044206501	0.253913893055346	0.228987079417561	0.253913893055346
PPIL1	0.00015107603288518	-0.111678990962595	0.277183317789882	-0.111678990962595
TBL1Y	0.00016609280057706	0.223343105674996	0.279340408437185	0.223343105674996
TMPRSS5	0.000195686508381612	-0.133202319321697	0.303795777858284	-0.133202319321697
LDHD	0.000212184163318518	-0.20867127981563	0.305878627435309	-0.20867127981563
LINC02028	0.000233228383652638	-0.448393794615028	0.31380101592517	-0.448393794615028
AC100793.2	0.000357963828057608	0.243035408585473	0.425836741226696	0.243035408585473
RPS4Y1	0.000358697086555041	0.157807159754253	0.425836741226696	0.157807159754253
AC018648.1	0.000404646589300088	-0.267998549143479	0.453698748069688	-0.267998549143479
LINC00486	0.000428801568780887	0.21255104545363	0.453940570793468	0.21255104545363
LINC02325	0.000449846963426289	-0.356205949295602	0.453940570793468	-0.356205949295602
NBN	0.00054554857412233	-0.0463055136870384	0.524298158235089	-0.0463055136870384
ZNF778	0.000595390159680958	-0.0685246302400436	0.546090049288884	-0.0685246302400436
RPL31	0.000622340260313365	0.161012382920143	0.546090049288884	0.161012382920143
TIMP1	0.000686297919150491	-0.495240493603404	0.5771193585123	-0.495240493603404
TAP2	0.000810307580550291	-0.123733522952589	0.607687074796884	-0.123733522952589
RAD21L1	0.00082190125033927	-0.288178517165147	0.607687074796884	-0.288178517165147
COL22A1	0.000823452333067232	0.240579798803236	0.607687074796884	0.240579798803236
EIF5B	0.000849816894772925	0.0473224717068221	0.607687074796884	0.0473224717068221
AC008443.5	0.000873200137206899	0.173531343654933	0.607687074796884	0.173531343654933
OR2AG2	0.00102656644578872	-0.154560555169048	0.642181380981484	-0.154560555169048
MMP28	0.00109942093138514	0.093341239354767	0.642181380981484	0.093341239354767
TTLL3	0.00112353627448293	-0.0554602158295545	0.642181380981484	-0.0554602158295545
SLC25A35	0.00112694686655992	0.286944692498907	0.642181380981484	0.286944692498907
DHRS4-AS1	0.00112742722369159	-0.0809937562661656	0.642181380981484	-0.0809937562661656
AC087491.1	0.00113488940326476	-0.29832575526727	0.642181380981484	-0.29832575526727
