gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	3.80838334060939e-28	0.605357968822252	6.1238804116999e-24	0.605357968822252
NLGN4Y	1.11917778707775e-26	0.612407952281566	8.99818940810513e-23	0.612407952281566
USP9Y	4.99040193362049e-23	0.514615257561407	2.67485543642058e-19	0.514615257561407
UTY	6.65093074391485e-20	0.461999379351787	2.67367415905377e-16	0.461999379351787
LINC01515	5.33529830912549e-07	-0.84123460984293	0.00171583193621476	-0.84123460984293
KDM5D	1.47101545661637e-06	0.215846459251767	0.00394232142373186	0.215846459251767
PCDH11Y	1.86919267434873e-06	0.154815220943226	0.00429380260050393	0.154815220943226
TTTY10	3.87477942138027e-06	0.182864373581777	0.00778830663697434	0.182864373581777
AC026341.1	7.16765749454372e-06	-0.0955230702712614	0.0128062147235848	-0.0955230702712614
ZFY	3.10318822202394e-05	0.183093289973996	0.0487036265290644	0.183093289973996
LINC00862	3.33171574514744e-05	0.0938455674122637	0.0487036265290644	0.0938455674122637
RAB1A	4.49944983949718e-05	-0.0581501373839176	0.0602926278492622	-0.0581501373839176
STYXL1	9.06452399261326e-05	0.0943564298511033	0.109518140086587	0.0943564298511033
TRIM58	9.95846250739689e-05	0.246884574704154	0.109518140086587	0.246884574704154
FN3K	0.000108708287883248	-0.107162979020429	0.109518140086587	-0.107162979020429
LINC00486	0.000115782291545683	0.217925272426443	0.109518140086587	0.217925272426443
IFT22	0.000115784103325372	-0.126095290332882	0.109518140086587	-0.126095290332882
ZNF644	0.000123690708857502	-0.0471491679315383	0.110497033246035	-0.0471491679315383
AC024257.3	0.000166575144932217	-0.251785059714163	0.140975175290002	-0.251785059714163
AL133538.1	0.000178422362865951	-0.177651118635962	0.143451579744225	-0.177651118635962
AC003659.1	0.000193444639134831	0.147967969545919	0.148123323680385	0.147967969545919
R3HDM4	0.000257797424923126	0.137977525988697	0.188426481489267	0.137977525988697
ANKRD13A	0.000275001958598827	-0.0667949154238132	0.192185060476434	-0.0667949154238132
AL137182.1	0.000286843373845423	-0.354604255823847	0.192185060476434	-0.354604255823847
AL353689.3	0.000343391877325615	-0.32323416279793	0.220869655495836	-0.32323416279793
AC107021.1	0.000423235019753631	-0.306613147118377	0.26175458144763	-0.306613147118377
APH1B	0.000484029548793264	-0.0860215112926255	0.267688588067301	-0.0860215112926255
BCAP29	0.000486712616345875	-0.045275922652669	0.267688588067301	-0.045275922652669
AF064858.1	0.000498954513124719	0.135956176621687	0.267688588067301	0.135956176621687
CAPN5	0.000499419007588249	-0.114401523549695	0.267688588067301	-0.114401523549695
TMCO3	0.000525512665820019	-0.0526808431826216	0.272588505367287	-0.0526808431826216
RBPMS	0.000568158635947655	-0.21641695022857	0.285499714563697	-0.21641695022857
MSS51	0.000636456278659116	-0.108109608706767	0.310127786692078	-0.108109608706767
CFAP36	0.000772150774602122	-0.0566812037474072	0.344123430675173	-0.0566812037474072
CDKN2B-AS1	0.000785376578487624	-0.109192851904553	0.344123430675173	-0.109192851904553
MED22	0.000796944486056043	0.114571943785837	0.344123430675173	0.114571943785837
AP003419.3	0.000816262360759134	0.231516702631315	0.344123430675173	0.231516702631315
LRRC61	0.000836546985964164	0.153651815695882	0.344123430675173	0.153651815695882
KLHL32	0.000853058130658298	-0.0420534568609342	0.344123430675173	-0.0420534568609342
PPT1	0.000856028434515356	-0.0617887620192098	0.344123430675173	-0.0617887620192098
STARD5	0.00088955032675072	-0.232456152771952	0.348877298881746	-0.232456152771952
LINC01931	0.000926680439631303	0.290500461392833	0.354786225458842	0.290500461392833
AC110285.1	0.000966443013753745	-0.257113026776158	0.361404736306052	-0.257113026776158
C8orf37-AS1	0.000993123804343634	-0.178259323533643	0.362941608496492	-0.178259323533643
TTC30A	0.00105284573156904	-0.313453328331652	0.3684352451182	-0.313453328331652
PGBD2	0.00105398142260181	-0.228122061462836	0.3684352451182	-0.228122061462836
SELENOM	0.0011157615926	0.139592624796682	0.381732902319319	0.139592624796682
AC007376.2	0.0012870472356141	0.0767069137529852	0.431160823930723	0.0767069137529852
ARHGAP26	0.00134932064897285	-0.0273698095259375	0.436425213453217	-0.0273698095259375
DDX3Y	0.00142921174670729	0.120048234979456	0.436425213453217	0.120048234979456
MXD3	0.00147318143304068	-0.168703835116267	0.436425213453217	-0.168703835116267
FCHSD1	0.00147620947027261	-0.201586449236894	0.436425213453217	-0.201586449236894
GTF2IRD1	0.00152154506520634	0.0555988455641498	0.436425213453217	0.0555988455641498
HSPB1	0.00157735488072337	0.414409870648654	0.436425213453217	0.414409870648654
KLHL9	0.00158544457174391	0.0819949018649794	0.436425213453217	0.0819949018649794
MIR100HG	0.00160990639346612	-0.0354412114895709	0.436425213453217	-0.0354412114895709
GFM2	0.00162582655375685	-0.0617981340034328	0.436425213453217	-0.0617981340034328
DYNC1LI2	0.00163054269576294	-0.0405298380806525	0.436425213453217	-0.0405298380806525
TSPAN11	0.00164764932292824	0.163856580585984	0.436425213453217	0.163856580585984
KCTD18	0.00165101843056485	-0.103095454471566	0.436425213453217	-0.103095454471566
TMEM220	0.00170094164880036	-0.204014752900115	0.436425213453217	-0.204014752900115
METAP1D	0.00173918042553692	-0.0815234219010042	0.436425213453217	-0.0815234219010042
ALKBH8	0.00174582052856154	-0.0597728645170718	0.436425213453217	-0.0597728645170718
DHX57	0.00175814630207974	-0.0445720150497258	0.436425213453217	-0.0445720150497258
ABCA7	0.00176415664642158	0.105718618335061	0.436425213453217	0.105718618335061
RPS17	0.00183951556349212	0.170628100251282	0.437463910471566	0.170628100251282
DHX35	0.00184164704886724	-0.0733879655614815	0.437463910471566	-0.0733879655614815
AL160006.1	0.00184997176070065	0.153497271781757	0.437463910471566	0.153497271781757
AL627309.5	0.00188163346698777	0.186671016512338	0.43850240795889	0.186671016512338
SCRN2	0.00195870051068629	-0.101616186742016	0.444342323376919	-0.101616186742016
ZNF691	0.00196414280133393	-0.204927290661271	0.444342323376919	-0.204927290661271
RRP7A	0.00203688235207363	0.076879552336969	0.444342323376919	0.076879552336969
HNRNPUL2	0.00205970472984018	-0.062100539026037	0.444342323376919	-0.062100539026037
PCDHB9	0.00208995507824109	0.190533028863676	0.444342323376919	0.190533028863676
ZNF654	0.00215134690353777	-0.0458143376588704	0.444342323376919	-0.0458143376588704
MICU3	0.00217854434702562	-0.0271789086626745	0.444342323376919	-0.0271789086626745
AF274853.1	0.00219061809387528	-0.185005893178539	0.444342323376919	-0.185005893178539
AC007681.1	0.00222227240204938	0.144233519352246	0.444342323376919	0.144233519352246
AC126696.1	0.00226242499713107	-0.234808545818541	0.444342323376919	-0.234808545818541
LEPROT	0.00226256284523439	-0.0873051592882696	0.444342323376919	-0.0873051592882696
PJVK	0.00226518954941098	-0.0787367634270938	0.444342323376919	-0.0787367634270938
AC026894.1	0.00228881506810859	-0.283146200033545	0.444342323376919	-0.283146200033545
AL591242.1	0.00229355801245549	-0.180730458641373	0.444342323376919	-0.180730458641373
FAM20C	0.00233958277914001	0.0587908543035577	0.44786298914966	0.0587908543035577
DHFR2	0.00241550965579605	-0.111930388506897	0.452757479820543	-0.111930388506897
MATR3-1	0.00245365859962988	-0.0897360359001005	0.452757479820543	-0.0897360359001005
TACO1	0.0024698192938397	-0.14844994091238	0.452757479820543	-0.14844994091238
WDR12	0.00247777725274924	-0.0625067801658357	0.452757479820543	-0.0625067801658357
AL356481.1	0.0025371599852367	-0.132939979422171	0.458399242276473	-0.132939979422171
VAMP7	0.00264218361165233	-0.0897008749507253	0.464108811898656	-0.0897008749507253
MYOZ3	0.0026619552872749	0.132082077773449	0.464108811898656	0.132082077773449
REXO2	0.00272350264282578	-0.0880093417899108	0.464108811898656	-0.0880093417899108
FXR2	0.00273981994992219	0.065880554515971	0.464108811898656	0.065880554515971
FUT8	0.00274834079225779	-0.0353239516457191	0.464108811898656	-0.0353239516457191
NUP205	0.00279651722021928	-0.0601294015403419	0.464108811898656	-0.0601294015403419
ARHGAP39	0.00282919294958403	0.0555782040395156	0.464108811898656	0.0555782040395156
SPATA33	0.00285001688985202	-0.0896718255698405	0.464108811898656	-0.0896718255698405
SEL1L2	0.00286269977971145	0.214953423460356	0.464108811898656	0.214953423460356
AC074117.1	0.00287919612903513	0.17296811474375	0.464108811898656	0.17296811474375
C11orf58	0.00288624883021552	-0.0328446212303741	0.464108811898656	-0.0328446212303741
XRCC4	0.00293017387754255	-0.0923284606081197	0.466506890602814	-0.0923284606081197
POSTN	0.00307741838171442	0.16872715632109	0.480291929778996	0.16872715632109
AC087280.2	0.00312021087375445	-0.0805394969998508	0.480291929778996	-0.0805394969998508
OR2L5	0.00315612994943449	0.114019058797696	0.480291929778996	0.114019058797696
LAT2	0.00315912111155996	0.13994051477751	0.480291929778996	0.13994051477751
APPL2	0.00316610351719985	-0.0408730166150668	0.480291929778996	-0.0408730166150668
RPS4Y1	0.00327596940901776	0.119234665645043	0.487426011182345	0.119234665645043
TCAF1	0.00331439243598817	-0.036239475777903	0.487426011182345	-0.036239475777903
PLCD1	0.00331949253997348	0.128664866063768	0.487426011182345	0.128664866063768
RPH3AL	0.00336462851398768	0.121119874776123	0.487426011182345	0.121119874776123
STKLD1	0.00336469448017664	-0.138201649664668	0.487426011182345	-0.138201649664668
ZDHHC17	0.00351079311977638	-0.0328893739284455	0.504049583625037	-0.0328893739284455
TBC1D32	0.00354813406864866	-0.044523080885795	0.504902617910358	-0.044523080885795
AQP4-AS1	0.00366452655481283	-0.114994549462051	0.513347735868983	-0.114994549462051
AC010884.2	0.00367133020055553	-0.237676401036268	0.513347735868983	-0.237676401036268
AGBL3	0.00372354414853446	-0.0657678248620186	0.513514769588949	-0.0657678248620186
GALNT10	0.00373639477872556	0.0886675065459809	0.513514769588949	0.0886675065459809
RUNDC3B	0.0038583444350379	-0.0250875886515598	0.525781173859402	-0.0250875886515598
LINC01091	0.00390445547657212	-0.291993498660638	0.527593647590586	-0.291993498660638
RFC1	0.00396545576652599	-0.0497287295011494	0.527652923717882	-0.0497287295011494
AC015871.7	0.00397052262250396	-0.167314535129276	0.527652923717882	-0.167314535129276
BRAT1	0.00410611140242903	0.0579631454405621	0.533350091210348	0.0579631454405621
AC090644.1	0.00412070655540762	-0.230628283539711	0.533350091210348	-0.230628283539711
EPHA1-AS1	0.00418275138952796	-0.173394332857198	0.533350091210348	-0.173394332857198
RAB33B	0.00429399585594691	-0.103103415314378	0.533350091210348	-0.103103415314378
RAMP2-AS1	0.00435770861675342	-0.150579819063981	0.533350091210348	-0.150579819063981
HOMEZ	0.00436707533877684	0.116679434017361	0.533350091210348	0.116679434017361
CD81-AS1	0.00442646005148152	-0.0965691691089504	0.533350091210348	-0.0965691691089504
LINC02360	0.00444062012242477	0.167593670608678	0.533350091210348	0.167593670608678
C2orf16	0.00445500653650501	-0.191100877132046	0.533350091210348	-0.191100877132046
PPFIBP1	0.00445733572528075	-0.0796826228880431	0.533350091210348	-0.0796826228880431
AL121578.3	0.00448174379911764	-0.050241377902167	0.533350091210348	-0.050241377902167
TOMM40L	0.00453431821790292	0.0986882238981519	0.533350091210348	0.0986882238981519
UBAC2	0.00454972105450932	-0.0428751202322944	0.533350091210348	-0.0428751202322944
SYTL5	0.00463317340564	-0.0398468849429979	0.533350091210348	-0.0398468849429979
ANAPC5	0.00473428459628099	-0.0376977546685148	0.533350091210348	-0.0376977546685148
KCNH8	0.00473559559229744	-0.255058063411096	0.533350091210348	-0.255058063411096
AC092068.2	0.00476255398965559	-0.227883503564068	0.533350091210348	-0.227883503564068
LINC01937	0.00478431754462106	-0.160676644832196	0.533350091210348	-0.160676644832196
LINC00299	0.00482617597433362	0.227047128225814	0.533350091210348	0.227047128225814
PRR7-AS1	0.00483116815624171	-0.243932040152592	0.533350091210348	-0.243932040152592
TCTA	0.00484056498379724	0.0946553242465715	0.533350091210348	0.0946553242465715
TBC1D20	0.00484630067166666	-0.0547430788441618	0.533350091210348	-0.0547430788441618
AC010230.1	0.00485547359121956	0.15809465572712	0.533350091210348	0.15809465572712
VSTM2B	0.00493798784233564	-0.0526921409263887	0.533350091210348	-0.0526921409263887
ZFYVE1	0.00493950147884005	0.0662779495110225	0.533350091210348	0.0662779495110225
